Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,0.60309,0.60309,0.60309,0.60309,66884,0.60309,,
1968-01-03,0.59917,0.59917,0.59917,0.59917,57329,0.59917,,
1968-01-04,0.59524,0.59524,0.59524,0.59524,95548,0.59524,,
1968-01-05,0.59655,0.59655,0.59655,0.59655,76439,0.59655,,
1968-01-08,0.59786,0.59786,0.59786,0.59786,47774,0.59786,,
1968-01-09,0.59786,0.59786,0.59786,0.59786,38219,0.59786,,
1968-01-10,0.58608,0.58608,0.58608,0.58608,95548,0.58608,,
1968-01-11,0.58608,0.58608,0.58608,0.58608,152878,0.58608,,
1968-01-12,0.59262,0.59262,0.59262,0.59262,181542,0.59262,,
1968-01-15,0.60832,0.60832,0.60832,0.60832,219763,0.60832,,
1968-01-16,0.60702,0.60702,0.60702,0.60702,133768,0.60702,,
1968-01-17,0.62141,0.62141,0.62141,0.62141,286647,0.62141,,
1968-01-18,0.62533,0.62533,0.62533,0.62533,210208,0.62533,,
1968-01-19,0.62533,0.62533,0.62533,0.62533,143323,0.62533,,
1968-01-22,0.62271,0.62271,0.62271,0.62271,152878,0.62271,,
1968-01-23,0.6044,0.6044,0.6044,0.6044,124213,0.6044,,
1968-01-24,0.60702,0.60702,0.60702,0.60702,66884,0.60702,,
1968-01-25,0.61486,0.61486,0.61486,0.61486,133768,0.61486,,
1968-01-26,0.62926,0.62926,0.62926,0.62926,143323,0.62926,,
1968-01-29,0.62533,0.62533,0.62533,0.62533,9554,0.62533,,
1968-01-30,0.6044,0.6044,0.6044,0.6044,95548,0.6044,,
1968-01-31,0.6044,0.6044,0.6044,0.6044,19109,0.6044,,
1968-02-01,0.6044,0.6044,0.6044,0.6044,38219,0.6044,,
1968-02-02,0.6044,0.6044,0.6044,0.6044,28664,0.6044,,
1968-02-05,0.59655,0.59655,0.59655,0.59655,621071,0.59655,,
1968-02-06,0.57562,0.57562,0.57562,0.57562,296202,0.57562,,
1968-02-07,0.56777,0.56777,0.56777,0.56777,449082,0.56777,,
1968-02-08,0.57039,0.57039,0.57039,0.57039,143323,0.57039,,
1968-02-09,0.56515,0.56515,0.56515,0.56515,76439,0.56515,,
1968-02-13,0.57562,0.57562,0.57562,0.57562,229318,0.57562,,
1968-02-14,0.56777,0.56777,0.56777,0.56777,38219,0.56777,,
1968-02-15,0.55992,0.55992,0.55992,0.55992,353532,0.55992,,
1968-02-16,0.55992,0.55992,0.55992,0.55992,382198,0.55992,,
1968-02-19,0.56254,0.56254,0.56254,0.56254,191099,0.56254,,
1968-02-20,0.56515,0.56515,0.56515,0.56515,85994,0.56515,,
1968-02-21,0.57562,0.57562,0.57562,0.57562,38219,0.57562,,
1968-02-23,0.56777,0.56777,0.56777,0.56777,47774,0.56777,,
1968-02-26,0.5573,0.5573,0.5573,0.5573,57329,0.5573,,
1968-02-27,0.55599,0.55599,0.55599,0.55599,143323,0.55599,,
1968-02-28,0.55469,0.55469,0.55469,0.55469,133768,0.55469,,
1968-02-29,0.56515,0.56515,0.56515,0.56515,229318,0.56515,,
1968-03-01,0.55992,0.55992,0.55992,0.55992,76439,0.55992,,
1968-03-04,0.55469,0.55469,0.55469,0.55469,143323,0.55469,,
1968-03-05,0.53376,0.53376,0.53376,0.53376,76439,0.53376,,
1968-03-06,0.52983,0.52983,0.52983,0.52983,152878,0.52983,,
1968-03-07,0.53637,0.53637,0.53637,0.53637,229318,0.53637,,
1968-03-08,0.5246,0.5246,0.5246,0.5246,95548,0.5246,,
1968-03-11,0.52852,0.52852,0.52852,0.52852,257983,0.52852,,
1968-03-12,0.52852,0.52852,0.52852,0.52852,57329,0.52852,,
1968-03-13,0.52852,0.52852,0.52852,0.52852,47774,0.52852,,
1968-03-14,0.52067,0.52067,0.52067,0.52067,124213,0.52067,,
1968-03-15,0.51936,0.51936,0.51936,0.51936,76439,0.51936,,
