Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1971-05-11,1.51,1.51,1.51,1.51,208683,1.51,,
1971-05-12,1.5,1.5,1.5,1.5,61157,1.5,,
1971-05-13,1.47,1.47,1.47,1.47,125925,1.47,,
1971-05-14,1.47,1.47,1.47,1.47,17979,1.47,,
1971-05-17,1.47,1.47,1.47,1.47,133121,1.47,,
1971-05-18,1.46,1.46,1.46,1.46,39568,1.46,,
1971-05-19,1.47,1.47,1.47,1.47,71952,1.47,,
1971-05-20,1.47,1.47,1.47,1.47,21577,1.47,,
1971-05-21,1.47,1.47,1.47,1.47,61157,1.47,,
1971-05-24,1.47,1.47,1.47,1.47,28773,1.47,,
1971-05-25,1.48,1.48,1.48,1.48,39568,1.48,,
1971-05-26,1.48,1.48,1.48,1.48,154710,1.48,,
1971-05-27,1.49,1.49,1.49,1.49,71952,1.49,,
1971-05-28,1.5,1.5,1.5,1.5,129523,1.5,,
1971-06-01,1.49,1.49,1.49,1.49,28773,1.49,,
1971-06-02,1.49,1.49,1.49,1.49,86344,1.49,,
1971-06-03,1.5,1.5,1.5,1.5,46764,1.5,,
1971-06-04,1.5,1.5,1.5,1.5,10782,1.5,,
1971-06-07,1.49,1.49,1.49,1.49,43166,1.49,,
1971-06-08,1.48,1.48,1.48,1.48,32371,1.48,,
1971-06-09,1.47,1.47,1.47,1.47,50362,1.47,,
1971-06-10,1.47,1.47,1.47,1.47,57559,1.47,,
1971-06-11,1.47,1.47,1.47,1.47,32371,1.47,,
1971-06-14,1.43,1.43,1.43,1.43,1532821,1.43,,
1971-06-15,1.39,1.39,1.39,1.39,79148,1.39,,
1971-06-16,1.36,1.36,1.36,1.36,79148,1.36,,
1971-06-17,1.34,1.34,1.34,1.34,53961,1.34,,
1971-06-18,1.35,1.35,1.35,1.35,10782,1.35,,
1971-06-21,1.32,1.32,1.32,1.32,86344,1.32,,
1971-06-22,1.31,1.31,1.31,1.31,25175,1.31,,
1971-06-23,1.29,1.29,1.29,1.29,25175,1.29,,
1971-06-25,1.29,1.29,1.29,1.29,10782,1.29,,
1971-06-28,1.28,1.28,1.28,1.28,64755,1.28,,
1971-06-29,1.3,1.3,1.3,1.3,61157,1.3,,
1971-06-30,1.33,1.33,1.33,1.33,43166,1.33,,
1971-07-01,1.32,1.32,1.32,1.32,97139,1.32,,
1971-07-02,1.31,1.31,1.31,1.31,14380,1.31,,
1971-07-07,1.29,1.29,1.29,1.29,21577,1.29,,
1971-07-08,1.28,1.28,1.28,1.28,39568,1.28,,
1971-07-09,1.26,1.26,1.26,1.26,14380,1.26,,
1971-07-12,1.22,1.22,1.22,1.22,57559,1.22,,
1971-07-13,1.24,1.24,1.24,1.24,111532,1.24,,
1971-07-14,1.26,1.26,1.26,1.26,82746,1.26,,
1971-07-15,1.28,1.28,1.28,1.28,43166,1.28,,
1971-07-16,1.31,1.31,1.31,1.31,71952,1.31,,
1971-07-19,1.31,1.31,1.31,1.31,28773,1.31,,
1971-07-20,1.31,1.31,1.31,1.31,3586,1.31,,
1971-07-21,1.32,1.32,1.32,1.32,21577,1.32,,
1971-07-22,1.3,1.3,1.3,1.3,107934,1.3,,
1971-07-23,1.31,1.31,1.31,1.31,3586,1.31,,
1971-07-27,1.31,1.31,1.31,1.31,57559,1.31,,
1971-07-28,1.28,1.28,1.28,1.28,25175,1.28,,
1971-07-29,1.24,1.24,1.24,1.24,75550,1.24,,
1971-07-30,1.24,1.24,1.24,1.24,3586,1.24,,
1971-08-03,1.23,1.23,1.23,1.23,161907,1.23,,
1971-08-04,1.23,1.23,1.23,1.23,3586,1.23,,
1971-08-06,1.22,1.22,1.22,1.22,53961,1.22,,
1971-08-09,1.23,1.23,1.23,1.23,10782,1.23,,
1971-08-10,1.22,1.22,1.22,1.22,10782,1.22,,
1971-08-11,1.22,1.22,1.22,1.22,17979,1.22,,
1971-08-12,1.24,1.24,1.24,1.24,75550,1.24,,
1971-08-13,1.24,1.24,1.24,1.24,7184,1.24,,
1971-08-16,1.25,1.25,1.25,1.25,21577,1.25,,
1971-08-17,1.27,1.27,1.27,1.27,86344,1.27,,
1971-08-18,1.25,1.25,1.25,1.25,86344,1.25,,
1971-08-19,1.22,1.22,1.22,1.22,82746,1.22,,
1971-08-20,1.21,1.21,1.21,1.21,28773,1.21,,
1971-08-23,1.22,1.22,1.22,1.22,7184,1.22,,
1971-08-24,1.21,1.21,1.21,1.21,111532,1.21,,
1971-08-25,1.22,1.22,1.22,1.22,68353,1.22,,
1971-08-26,1.23,1.23,1.23,1.23,7184,1.23,,
1971-08-27,1.26,1.26,1.26,1.26,75550,1.26,,
1971-08-30,1.31,1.31,1.31,1.31,71952,1.31,,
1971-08-31,1.31,1.31,1.31,1.31,39568,1.31,,
1971-09-01,1.31,1.31,1.31,1.31,32371,1.31,,
1971-09-02,1.31,1.31,1.31,1.31,25175,1.31,,
1971-09-03,1.31,1.31,1.31,1.31,633271,1.31,,
1971-09-07,1.32,1.32,1.32,1.32,21577,1.32,,
1971-09-08,1.32,1.32,1.32,1.32,17979,1.32,,
1971-09-09,1.32,1.32,1.32,1.32,7184,1.32,,
1971-09-10,1.32,1.32,1.32,1.32,28773,1.32,,
1971-09-13,1.32,1.32,1.32,1.32,10782,1.32,,
1971-09-14,1.31,1.31,1.31,1.31,46764,1.31,,
1971-09-15,1.31,1.31,1.31,1.31,10782,1.31,,
1971-09-16,1.31,1.31,1.31,1.31,21577,1.31,,
1971-09-17,1.31,1.31,1.31,1.31,115130,1.31,,
1971-09-20,1.31,1.31,1.31,1.31,14380,1.31,,
1971-09-21,1.35,1.35,1.35,1.35,71952,1.35,,
1971-09-22,1.35,1.35,1.35,1.35,82746,1.35,,
1971-09-23,1.35,1.35,1.35,1.35,28773,1.35,,
1971-09-24,1.38,1.38,1.38,1.38,50362,1.38,,
1971-09-27,1.39,1.39,1.39,1.39,10782,1.39,,
1971-09-28,1.38,1.38,1.38,1.38,21577,1.38,,
1971-09-29,1.35,1.35,1.35,1.35,21577,1.35,,
1971-09-30,1.38,1.38,1.38,1.38,61157,1.38,,
1971-10-01,1.39,1.39,1.39,1.39,71952,1.39,,
1971-10-04,1.4,1.4,1.4,1.4,32371,1.4,,
1971-10-05,1.4,1.4,1.4,1.4,21577,1.4,,
1971-10-06,1.4,1.4,1.4,1.4,7184,1.4,,
1971-10-07,1.42,1.42,1.42,1.42,169103,1.42,,
1971-10-08,1.42,1.42,1.42,1.42,21577,1.42,,
1971-10-11,1.41,1.41,1.41,1.41,14380,1.41,,
1971-10-12,1.4,1.4,1.4,1.4,136719,1.4,,
1971-10-13,1.4,1.4,1.4,1.4,46764,1.4,,
1971-10-14,1.41,1.41,1.41,1.41,14380,1.41,,
1971-10-15,1.42,1.42,1.42,1.42,187094,1.42,,
1971-10-18,1.41,1.41,1.41,1.41,64755,1.41,,
1971-10-19,1.39,1.39,1.39,1.39,64755,1.39,,
1971-10-20,1.39,1.39,1.39,1.39,75550,1.39,,
1971-10-21,1.35,1.35,1.35,1.35,43166,1.35,,
1971-10-22,1.3,1.3,1.3,1.3,295040,1.3,,
1971-10-25,1.29,1.29,1.29,1.29,32371,1.29,,
1971-10-26,1.29,1.29,1.29,1.29,97139,1.29,,
1971-10-27,1.29,1.29,1.29,1.29,61157,1.29,,
1971-10-28,1.28,1.28,1.28,1.28,43166,1.28,,
1971-10-29,1.27,1.27,1.27,1.27,7184,1.27,,
1971-11-01,1.26,1.26,1.26,1.26,17979,1.26,,
1971-11-02,1.26,1.26,1.26,1.26,3586,1.26,,
1971-11-03,1.26,1.26,1.26,1.26,43166,1.26,,
1971-11-04,1.25,1.25,1.25,1.25,35970,1.25,,
1971-11-05,1.25,1.25,1.25,1.25,32371,1.25,,
1971-11-08,1.26,1.26,1.26,1.26,57559,1.26,,
1971-11-09,1.26,1.26,1.26,1.26,32371,1.26,,
1971-11-11,1.25,1.25,1.25,1.25,46764,1.25,,
1971-11-12,1.24,1.24,1.24,1.24,35970,1.24,,
