Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1984-09-26,0.17188,0.17188,0.17188,0.17188,600000,0.17188,,
1984-09-27,0.17448,0.17448,0.17448,0.17448,240000,0.17448,,
1984-09-28,0.16927,0.16927,0.16927,0.16927,201600,0.16927,,
1984-10-01,0.16667,0.16667,0.16667,0.16667,240000,0.16667,,
1984-10-02,0.16406,0.16406,0.16406,0.16406,24000,0.16406,,
1984-10-03,0.16406,0.16406,0.16406,0.16406,0,0.16406,,
1984-10-04,0.15886,0.15886,0.15886,0.15886,321600,0.15886,,
1984-10-05,0.15885,0.15885,0.15885,0.15885,0,0.15885,,
1984-10-08,0.15625,0.15625,0.15625,0.15625,48000,0.15625,,
1984-10-09,0.15625,0.15625,0.15625,0.15625,192000,0.15625,,
1984-10-10,0.15625,0.15625,0.15625,0.15625,0,0.15625,,
1984-10-11,0.15625,0.15625,0.15625,0.15625,480000,0.15625,,
1984-10-12,0.15104,0.15104,0.15104,0.15104,76800,0.15104,,
1984-10-15,0.15104,0.15104,0.15104,0.15104,0,0.15104,,
1984-10-16,0.15365,0.15365,0.15365,0.15365,120000,0.15365,,
1984-10-17,0.15104,0.15104,0.15104,0.15104,768000,0.15104,,
1984-10-18,0.15886,0.15886,0.15886,0.15886,192000,0.15886,,
1984-10-19,0.16406,0.16406,0.16406,0.16406,552000,0.16406,,
1984-10-22,0.16667,0.16667,0.16667,0.16667,163200,0.16667,,
1984-10-23,0.16667,0.16667,0.16667,0.16667,446400,0.16667,,
1984-10-24,0.16927,0.16927,0.16927,0.16927,81600,0.16927,,
1984-10-25,0.16667,0.16667,0.16667,0.16667,38400,0.16667,,
1984-10-26,0.16927,0.16927,0.16927,0.16927,48000,0.16927,,
1984-10-29,0.16927,0.16927,0.16927,0.16927,19200,0.16927,,
1984-10-30,0.16927,0.16927,0.16927,0.16927,384000,0.16927,,
1984-10-31,0.16927,0.16927,0.16927,0.16927,254400,0.16927,,
1984-11-01,0.16927,0.16927,0.16927,0.16927,216000,0.16927,,
1984-11-02,0.16927,0.16927,0.16927,0.16927,0,0.16927,,
1984-11-05,0.16667,0.16667,0.16667,0.16667,96000,0.16667,,
1984-11-06,0.16667,0.16667,0.16667,0.16667,0,0.16667,,
1984-11-07,0.16667,0.16667,0.16667,0.16667,0,0.16667,,
1984-11-08,0.16667,0.16667,0.16667,0.16667,192000,0.16667,,
1984-11-09,0.16406,0.16406,0.16406,0.16406,129600,0.16406,,
1984-11-12,0.16146,0.16146,0.16146,0.16146,110400,0.16146,,
1984-11-13,0.16146,0.16146,0.16146,0.16146,4800,0.16146,,
1984-11-14,0.15886,0.15886,0.15886,0.15886,28800,0.15886,,
1984-11-15,0.15886,0.15886,0.15886,0.15886,105600,0.15886,,
1984-11-16,0.15885,0.15885,0.15885,0.15885,0,0.15885,,
1984-11-19,0.15885,0.15885,0.15885,0.15885,0,0.15885,,
1984-11-20,0.15885,0.15885,0.15885,0.15885,0,0.15885,,
1984-11-21,0.15625,0.15625,0.15625,0.15625,28800,0.15625,,
1984-11-23,0.15625,0.15625,0.15625,0.15625,0,0.15625,,
1984-11-26,0.15625,0.16146,0.15625,0.15625,4800,0.15755,,
1984-11-27,0.15365,0.15365,0.15365,0.15365,144000,0.15365,,
1984-11-28,0.15365,0.15365,0.15365,0.15365,288000,0.15365,,
1984-11-29,0.15104,0.15104,0.15104,0.15104,48000,0.15104,,
1984-11-30,0.15365,0.15365,0.15365,0.15365,244800,0.15365,,
1984-12-03,0.15365,0.15365,0.15365,0.15365,4800,0.15365,,
1984-12-04,0.15625,0.15625,0.15625,0.15625,48000,0.15625,,
1984-12-05,0.15365,0.15365,0.15365,0.15365,96000,0.15365,,
1984-12-06,0.15365,0.15885,0.15365,0.15365,4800,0.15495,,
1984-12-07,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1984-12-10,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1984-12-11,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1984-12-12,0.15365,0.15365,0.15365,0.15365,14400,0.15365,,
1984-12-13,0.15104,0.15104,0.15104,0.15104,28800,0.15104,,
1984-12-14,0.15104,0.15104,0.15104,0.15104,0,0.15104,,
1984-12-17,0.15365,0.15365,0.15365,0.15365,72000,0.15365,,
1984-12-18,0.15365,0.15365,0.15365,0.15365,14400,0.15365,,
1984-12-19,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1984-12-20,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1984-12-21,0.15365,0.15365,0.15365,0.15365,158400,0.15365,,
1984-12-24,0.15104,0.15104,0.15104,0.15104,48000,0.15104,,
1984-12-26,0.15104,0.15104,0.15104,0.15104,0,0.15104,,
1984-12-27,0.15365,0.15365,0.15365,0.15365,96000,0.15365,,
1984-12-28,0.15365,0.15365,0.15365,0.15365,24000,0.15365,,
1984-12-31,0.15365,0.15365,0.15365,0.15365,24000,0.15365,,
1985-01-02,0.15365,0.15365,0.15365,0.15365,264000,0.15365,,
1985-01-03,0.15365,0.15365,0.15365,0.15365,52800,0.15365,,
1985-01-04,0.15365,0.15365,0.15365,0.15365,28800,0.15365,,
1985-01-07,0.15365,0.15365,0.15365,0.15365,9600,0.15365,,
1985-01-08,0.15365,0.15365,0.15365,0.15365,4800,0.15365,,
1985-01-09,0.15365,0.15365,0.15365,0.15365,38400,0.15365,,
1985-01-10,0.15365,0.15365,0.15365,0.15365,244800,0.15365,,
1985-01-11,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1985-01-14,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1985-01-15,0.15365,0.15365,0.15365,0.15365,0,0.15365,,
1985-01-16,0.16667,0.16667,0.16667,0.16667,878400,0.16667,,
1985-01-17,0.16927,0.16927,0.16927,0.16927,590400,0.16927,,
