Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,0.0,0.75313,0.72813,0.74688,2648000,0.74271,,
1962-01-03,0.74688,0.78125,0.74688,0.77188,2092000,0.76875,,
1962-01-04,0.77188,0.80625,0.77188,0.775,2884000,0.78438,,
1962-01-05,0.775,0.79375,0.775,0.77813,1532000,0.78229,,
1962-01-08,0.77813,0.79375,0.76563,0.79063,1676000,0.78333,,
1962-01-09,0.79063,0.80625,0.78125,0.79375,1604000,0.79375,,
1962-01-10,0.79375,0.80938,0.7875,0.80313,2020000,0.8,,
1962-01-11,0.80313,0.84375,0.79688,0.84375,2324000,0.82813,,
1962-01-12,0.84375,0.8625,0.84375,0.85,2660000,0.85313,,
1962-01-15,0.85,0.85313,0.83125,0.83125,1468000,0.83854,,
1962-01-16,0.83125,0.83125,0.79063,0.8125,1724000,0.80938,,
1962-01-17,0.8125,0.8125,0.76875,0.79063,1200000,0.78958,,
1962-01-18,0.79063,0.81875,0.7875,0.8125,1016000,0.80625,,
1962-01-19,0.8125,0.83125,0.79688,0.83125,1140000,0.81979,,
1962-01-22,0.83125,0.84063,0.8125,0.82188,696000,0.825,,
1962-01-23,0.82188,0.82813,0.80938,0.81875,324000,0.81875,,
1962-01-24,0.81875,0.81875,0.79688,0.8125,512000,0.80938,,
1962-01-25,0.8125,0.84375,0.8125,0.8375,780000,0.83229,,
1962-01-26,0.8375,0.85313,0.825,0.84688,1492000,0.84167,,
1962-01-29,0.84688,0.85313,0.84063,0.84375,560000,0.84583,,
1962-01-30,0.84375,0.85,0.8375,0.84063,572000,0.84271,,
1962-01-31,0.84063,0.89688,0.84063,0.89063,3516000,0.87708,,
1962-02-01,0.89063,0.91875,0.89063,0.90938,2516000,0.90833,,
1962-02-02,0.90938,0.91563,0.88438,0.90313,1716000,0.90104,,
1962-02-05,0.90313,0.90938,0.89063,0.90313,912000,0.90104,,
1962-02-06,0.90313,0.90313,0.8875,0.9,444000,0.89688,,
1962-02-07,0.9,0.9,0.8625,0.875,1020000,0.87813,,
1962-02-08,0.875,0.875,0.84375,0.84375,812000,0.85417,,
1962-02-09,0.84375,0.85625,0.82813,0.85625,688000,0.84688,,
1962-02-12,0.85625,0.85625,0.83125,0.84688,384000,0.84271,,
1962-02-13,0.84688,0.86875,0.84375,0.8625,476000,0.85833,,
1962-02-14,0.8625,0.8625,0.84375,0.84688,292000,0.85104,,
1962-02-15,0.84688,0.85313,0.84063,0.84063,376000,0.84479,,
1962-02-16,0.84063,0.84375,0.82813,0.8375,688000,0.83646,,
1962-02-19,0.8375,0.8375,0.82813,0.83438,416000,0.83333,,
1962-02-20,0.83438,0.89375,0.83438,0.875,1884000,0.87708,,
1962-02-21,0.875,0.87813,0.8375,0.85313,1224000,0.85625,,
1962-02-23,0.85313,0.85313,0.83438,0.84063,436000,0.84271,,
1962-02-26,0.84063,0.84063,0.7875,0.80625,1548000,0.80938,,
1962-02-27,0.80625,0.80625,0.79063,0.79063,704000,0.79583,,
1962-02-28,0.79063,0.79063,0.77813,0.78125,660000,0.78229,,
1962-03-01,0.78125,0.80625,0.78125,0.79688,544000,0.79583,,
1962-03-02,0.79688,0.83438,0.79688,0.81875,616000,0.81771,,
1962-03-05,0.81875,0.81875,0.8,0.80625,256000,0.80521,,
1962-03-06,0.80625,0.8125,0.77813,0.79375,528000,0.79479,,
1962-03-07,0.79375,0.79688,0.78125,0.79063,240000,0.78958,,
1962-03-08,0.79063,0.79688,0.78125,0.7875,336000,0.78854,,
1962-03-09,0.7875,0.79063,0.78125,0.78125,348000,0.78438,,
1962-03-12,0.78125,0.78125,0.76875,0.76875,528000,0.77188,,
1962-03-13,0.76875,0.76875,0.75625,0.76563,520000,0.76354,,
1962-03-14,0.76563,0.78438,0.7625,0.77188,396000,0.77292,,
1962-03-15,0.77188,0.7875,0.77188,0.77813,192000,0.78021,,
1962-03-16,0.77813,0.77813,0.7625,0.77188,252000,0.76979,,
1962-03-19,0.77188,0.77188,0.75938,0.75938,276000,0.76146,,
1962-03-20,0.75938,0.75938,0.75,0.75313,788000,0.75417,,
1962-03-21,0.75313,0.81563,0.75313,0.80313,1216000,0.79167,,
1962-03-22,0.80313,0.80625,0.77813,0.7875,508000,0.79063,,
1962-03-23,0.7875,0.7875,0.77813,0.77813,300000,0.78125,,
1962-03-26,0.77813,0.79375,0.77813,0.77813,324000,0.78333,,
1962-03-27,0.77813,0.78438,0.75313,0.76563,1068000,0.76771,,
1962-03-28,0.76563,0.79063,0.76563,0.78438,532000,0.78125,,
1962-03-29,0.78438,0.79063,0.78125,0.7875,260000,0.78646,,
1962-03-30,0.7875,0.7875,0.76875,0.77188,384000,0.77396,,
1962-04-02,0.77188,0.77188,0.75625,0.7625,384000,0.7625,,
1962-04-03,0.7625,0.77188,0.75625,0.76563,368000,0.76458,,
1962-04-04,0.76563,0.76563,0.75625,0.75938,432000,0.76042,,
1962-04-05,0.75938,0.7625,0.73125,0.75,928000,0.74792,,
1962-04-06,0.75,0.79063,0.75,0.7875,744000,0.77604,,
1962-04-09,0.7875,0.7875,0.76563,0.77188,288000,0.775,,
1962-04-10,0.77188,0.77188,0.76563,0.76563,240000,0.76771,,
1962-04-11,0.76563,0.7875,0.76563,0.76875,396000,0.775,,
1962-04-12,0.76875,0.8125,0.7625,0.8,1172000,0.79167,,
1962-04-13,0.8,0.81875,0.8,0.80625,1052000,0.80833,,
1962-04-16,0.80625,0.81563,0.775,0.78125,2048000,0.79063,,
1962-04-17,0.78125,0.78125,0.75625,0.775,660000,0.76875,,
1962-04-18,0.775,0.78438,0.76875,0.77813,392000,0.77708,,
1962-04-19,0.77813,0.78125,0.76875,0.78125,268000,0.77708,,
1962-04-23,0.78125,0.78438,0.76563,0.77188,300000,0.77396,,
1962-04-24,0.77188,0.79375,0.7625,0.77188,716000,0.77604,,
1962-04-25,0.77188,0.78125,0.76563,0.775,416000,0.77396,,
1962-04-26,0.775,0.79688,0.76875,0.78125,924000,0.78229,,
1962-04-27,0.78125,0.79688,0.78125,0.7875,800000,0.78958,,
1962-04-30,0.7875,0.79688,0.76563,0.775,604000,0.77917,,
1962-05-01,0.775,0.78125,0.75313,0.77813,636000,0.77083,,
1962-05-02,0.77813,0.78125,0.76563,0.76563,456000,0.77083,,
