Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,3.3803316926,3.3901282609,3.3710507331,3.3710507331,44799,3.38,,
1962-01-03,3.3710507331,3.4220960103,3.3643478179,3.4220960103,59735,3.4,,
1962-01-04,3.4220960103,3.4483920622,3.4220960103,3.4220960103,64535,3.43,,
1962-01-05,3.4220960103,3.441689147,3.4097213976,3.415908704,56535,3.42,,
1962-01-08,3.4030184825,3.4030184825,3.2741162672,3.2998967103,75199,3.33,,
1962-01-09,3.2998967103,3.3514575964,3.2870064887,3.2870064887,51735,3.31,,
1962-01-10,3.2870064887,3.2998967103,3.2741162672,3.2937094039,27735,3.29,,
1962-01-11,3.2803035735,3.2803035735,3.2612260457,3.2741162672,22399,3.27,,
1962-01-12,3.2741162672,3.2803035735,3.1967749381,3.1967749381,21335,3.22,,
1962-01-15,3.170994495,3.170994495,3.1323238304,3.1323238304,51735,3.15,,
1962-01-16,3.1194336089,3.1194336089,3.0936531659,3.0936531659,22399,3.1,,
1962-01-17,3.0936531659,3.1065433874,3.0936531659,3.0936531659,63999,3.1,,
1962-01-18,3.0936531659,3.0936531659,3.0936531659,3.0936531659,71999,3.0936531659,,
1962-01-19,3.0936531659,3.1256209152,3.0936531659,3.1065433874,80535,3.11,,
1962-01-22,3.1194336089,3.1642915798,3.1194336089,3.1194336089,55999,3.13,,
1962-01-23,3.1194336089,3.1519169672,3.1003560811,3.1003560811,27735,3.12,,
1962-01-24,3.1003560811,3.1003560811,3.0163118367,3.0807629443,36799,3.07,,
1962-01-25,3.0807629443,3.0869502507,3.0482795861,3.0482795861,30399,3.06,,
1962-01-26,3.0482795861,3.0616854165,3.0482795861,3.0616854165,30399,3.06,,
1962-01-29,3.0616854165,3.0807629443,3.0482795861,3.0549825013,34135,3.06,,
1962-01-30,3.0616854165,3.0869502507,3.0616854165,3.0869502507,24535,3.08,,
1962-01-31,3.0869502507,3.0936531659,3.074575638,3.0807629443,44799,3.08,,
1962-02-01,3.074575638,3.074575638,3.0292020582,3.0616854165,54399,3.06,,
1962-02-02,3.0616854165,3.0807629443,3.0420922798,3.0482795861,24535,3.06,,
1962-02-05,3.0678727228,3.0869502507,3.0678727228,3.0678727228,58135,3.07,,
1962-02-06,3.0482795861,3.0482795861,3.0034216152,3.0292020582,32535,3.03,,
1962-02-07,3.0353893646,3.0678727228,3.0353893646,3.0482795861,36799,3.05,,
1962-02-08,3.0482795861,3.0616854165,3.0163118367,3.0353893646,41599,3.04,,
1962-02-09,3.0353893646,3.0549825013,3.0034216152,3.0034216152,27199,3.02,,
1962-02-12,3.0034216152,3.0096089215,2.9972343089,2.9972343089,13335,3.0,,
1962-02-13,3.0292020582,3.0482795861,3.0292020582,3.0353893646,50135,3.04,,
1962-02-14,3.0163118367,3.0163118367,2.970938257,2.9905313937,45335,2.99,,
1962-02-15,2.9905313937,3.0420922798,2.9647509506,2.9647509506,50135,2.99,,
1962-02-16,2.9647509506,3.0096089215,2.9647509506,3.0096089215,44799,2.99,,
1962-02-19,3.0163118367,3.0420922798,3.0163118367,3.0353893646,23999,3.03,,
1962-02-20,3.0353893646,3.0869502507,3.0230147519,3.0869502507,32535,3.07,,
1962-02-21,3.0936531659,3.1642915798,3.0936531659,3.1127306937,45335,3.12,,
1962-02-23,3.1127306937,3.1390267456,3.1065433874,3.1323238304,58135,3.13,,
1962-02-26,3.1323238304,3.145214052,3.0807629443,3.145214052,66135,3.12,,
1962-02-27,3.145214052,3.1581042735,3.145214052,3.145214052,22399,3.15,,
1962-02-28,3.145214052,3.2096651596,3.1194336089,3.1194336089,38399,3.15,,
1962-03-01,3.1194336089,3.2483358242,3.1065433874,3.2354456026,59735,3.2,,
1962-03-02,3.2354456026,3.2870064887,3.2354456026,3.267413352,33599,3.26,,
1962-03-05,3.267413352,3.3189742381,3.267413352,3.3127869318,45335,3.3,,
1962-03-06,3.3189742381,3.3514575964,3.3189742381,3.3447546812,60799,3.34,,
1962-03-07,3.3447546812,3.3643478179,3.3323800685,3.3323800685,36799,3.34,,
1962-03-08,3.3323800685,3.3447546812,3.3127869318,3.3323800685,33599,3.33,,
1962-03-09,3.3323800685,3.3514575964,3.3323800685,3.3447546812,58135,3.34,,
1962-03-12,3.3643478179,3.4349862318,3.3643478179,3.4220960103,43735,3.41,,
1962-03-13,3.4220960103,3.4349862318,3.3963155673,3.4287989255,29335,3.42,,
1962-03-14,3.4287989255,3.441689147,3.4287989255,3.4349862318,44799,3.44,,
1962-03-15,3.4349862318,3.4674695901,3.4349862318,3.4349862318,33599,3.45,,
1962-03-16,3.4483920622,3.4674695901,3.4483920622,3.4545793685,40535,3.46,,
1962-03-19,3.441689147,3.441689147,3.3323800685,3.3514575964,60799,3.38,,
1962-03-20,3.3514575964,3.3772380394,3.3514575964,3.3643478179,20799,3.36,,
1962-03-21,3.3643478179,3.4287989255,3.3643478179,3.415908704,34135,3.4,,
1962-03-22,3.4287989255,3.4994373395,3.4287989255,3.4994373395,46399,3.48,,
1962-03-23,3.4994373395,3.5319206977,3.4736568964,3.4803598116,52799,3.5,,
1962-03-26,3.4803598116,3.4932500331,3.4803598116,3.4803598116,26135,3.483582367,,
1962-03-27,3.4803598116,3.4803598116,3.415908704,3.415908704,35199,3.44,,
1962-03-28,3.415908704,3.4287989255,3.3963155673,3.4030184825,29335,3.41,,
1962-03-29,3.3839409546,3.3839409546,3.3385673748,3.3385673748,26135,3.35,,
1962-03-30,3.3323800685,3.3323800685,3.2550387394,3.2937094039,51199,3.29,,
1962-04-02,3.2937094039,3.2998967103,3.2741162672,3.2803035735,30935,3.28,,
1962-04-03,3.2803035735,3.3643478179,3.2741162672,3.3643478179,18135,3.33,,
