Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1989-06-02,2.89,2.91,2.86,2.89,1590131,2.8875,0.0712,40.58988764044944
1989-06-05,2.89,2.89,2.86,2.86,438413,2.875,0.0712,40.168539325842694
1989-06-06,2.86,2.89,2.86,2.86,547256,2.8675,0.0712,40.168539325842694
1989-06-07,2.86,2.89,2.86,2.89,177188,2.875,0.0712,40.58988764044944
1989-06-08,2.89,2.91,2.89,2.89,743681,2.895,0.0712,40.58988764044944
1989-06-09,2.89,2.94,2.89,2.91,414113,2.9075,0.0712,40.87078651685393
1989-06-12,2.91,2.94,2.89,2.89,939600,2.9075,0.0712,40.58988764044944
1989-06-13,2.89,2.89,2.84,2.84,492075,2.865,0.0712,39.8876404494382
1989-06-14,2.84,2.84,2.81,2.81,136181,2.825,0.0712,39.46629213483146
1989-06-15,2.81,2.84,2.79,2.79,118463,2.8075,0.0712,39.18539325842697
1989-06-16,2.79,2.81,2.79,2.81,99731,2.8,0.0712,39.46629213483146
1989-06-19,2.81,2.89,2.81,2.86,309319,2.8425,0.0712,40.168539325842694
1989-06-20,2.86,2.89,2.84,2.86,205538,2.8625,0.0712,40.168539325842694
1989-06-21,2.86,2.89,2.86,2.89,198450,2.875,0.0712,40.58988764044944
1989-06-22,2.89,2.89,2.84,2.89,218700,2.8775,0.0712,40.58988764044944
1989-06-23,2.89,2.89,2.86,2.86,118463,2.875,0.0712,40.168539325842694
1989-06-26,2.86,2.89,2.86,2.86,213131,2.8675,0.0712,40.168539325842694
1989-06-27,2.86,2.89,2.86,2.89,322988,2.875,0.0712,40.58988764044944
1989-06-28,2.89,2.89,2.84,2.84,146813,2.865,0.0712,39.8876404494382
1989-06-29,2.84,2.84,2.84,2.84,139219,2.84,0.0712,39.8876404494382
1989-06-30,2.84,2.84,2.74,2.81,215156,2.8075,0.0712,39.46629213483146
1989-07-03,2.84,2.84,2.84,2.84,17213,2.84,0.0712,39.8876404494382
1989-07-05,2.84,2.86,2.81,2.86,157950,2.8425,0.0712,40.168539325842694
1989-07-06,2.86,2.86,2.79,2.79,17719,2.825,0.0712,39.18539325842697
1989-07-07,2.79,2.84,2.77,2.84,31894,2.81,0.0712,39.8876404494382
1989-07-10,2.84,2.91,2.84,2.91,401963,2.875,0.0712,40.87078651685393
1989-07-11,2.91,2.94,2.89,2.89,125550,2.9075,0.0712,40.58988764044944
1989-07-12,2.89,2.91,2.89,2.89,59738,2.895,0.0712,40.58988764044944
1989-07-13,2.89,2.91,2.89,2.89,60244,2.895,0.0712,40.58988764044944
1989-07-14,2.89,2.89,2.86,2.89,132638,2.8825,0.0712,40.58988764044944
1989-07-17,2.89,2.91,2.89,2.91,128081,2.9,0.0712,40.87078651685393
1989-07-18,2.91,2.91,2.89,2.91,63281,2.905,0.0712,40.87078651685393
1989-07-19,2.91,2.96,2.91,2.96,117450,2.935,0.0712,41.57303370786517
1989-07-20,2.96,2.96,2.94,2.96,127069,2.955,0.0712,41.57303370786517
1989-07-21,2.96,3.01,2.96,2.96,54675,2.9725,0.0712,41.57303370786517
1989-07-24,3.01,3.11,3.01,3.11,165544,3.06,0.0712,43.67977528089887
1989-07-25,3.09,3.09,3.04,3.06,97200,3.07,0.0712,42.97752808988764
1989-07-26,3.06,3.14,3.06,3.11,62775,3.0925,0.0712,43.67977528089887
1989-07-27,3.14,3.16,3.14,3.14,207563,3.145,0.0712,44.10112359550562
1989-07-28,3.14,3.16,3.11,3.14,131119,3.1375,0.0712,44.10112359550562
1989-07-31,3.19,3.26,3.19,3.19,432338,3.2075,0.0712,44.80337078651685
1989-08-01,3.19,3.21,3.19,3.21,321975,3.2,0.0712,45.08426966292135
1989-08-02,3.21,3.21,3.16,3.21,156431,3.1975,0.0712,45.08426966292135
1989-08-03,3.21,3.21,3.16,3.21,107831,3.1975,0.0712,45.08426966292135
1989-08-04,3.21,3.21,3.16,3.16,70369,3.185,0.0712,44.38202247191011
1989-08-07,3.16,3.21,3.16,3.21,248569,3.185,0.0712,45.08426966292135
1989-08-08,3.21,3.23,3.16,3.19,147825,3.1975,0.0712,44.80337078651685
1989-08-09,3.19,3.21,3.16,3.16,45056,3.18,0.0712,44.38202247191011
1989-08-10,3.16,3.19,3.16,3.16,37463,3.1675,0.0712,44.38202247191011
1989-08-11,3.16,3.19,3.11,3.14,42019,3.15,0.0712,44.10112359550562
1989-08-14,3.14,3.16,3.11,3.11,57206,3.13,0.0712,43.67977528089887
1989-08-15,3.11,3.16,3.11,3.14,100238,3.13,0.0712,44.10112359550562
1989-08-16,3.14,3.16,3.11,3.16,34931,3.1425,0.0712,44.38202247191011
1989-08-17,3.16,3.16,3.11,3.16,75431,3.1475,0.0712,44.38202247191011
1989-08-18,3.16,3.16,3.11,3.11,64800,3.135,0.0712,43.67977528089887
1989-08-21,3.11,3.14,3.09,3.09,87075,3.1075,0.0712,43.39887640449438
1989-08-22,3.09,3.11,3.09,3.09,35438,3.095,0.0712,43.39887640449438
1989-08-23,3.09,3.11,3.09,3.11,83025,3.1,0.0712,43.67977528089887
1989-08-24,3.11,3.14,3.09,3.11,134663,3.1125,0.0712,43.67977528089887
1989-08-25,3.11,3.14,3.11,3.11,23288,3.1175,0.0712,43.67977528089887
1989-08-28,3.11,3.14,3.09,3.09,127575,3.1075,0.0712,43.39887640449438
1989-08-29,3.06,3.06,3.04,3.04,66825,3.05,0.0712,42.69662921348315
1989-08-30,3.04,3.09,3.04,3.04,103781,3.0525,0.0712,42.69662921348315
1989-08-31,3.04,3.06,3.04,3.04,24300,3.045,0.0712,42.69662921348315
1989-09-01,3.04,3.06,3.01,3.06,92644,3.0425,0.0712,42.97752808988764
1989-09-05,3.09,3.09,3.09,3.09,47081,3.09,0.0712,43.39887640449438
1989-09-06,3.09,3.11,3.06,3.09,46575,3.0875,0.0712,43.39887640449438
1989-09-07,3.11,3.14,3.11,3.14,287550,3.125,0.0712,44.10112359550562
1989-09-08,3.14,3.14,3.14,3.14,125550,3.14,0.0712,44.10112359550562
1989-09-11,3.14,3.16,3.14,3.16,5569,3.15,0.0712,44.38202247191011
1989-09-12,3.16,3.16,3.14,3.16,15694,3.155,0.0712,44.38202247191011
1989-09-13,3.16,3.19,3.14,3.14,55181,3.1575,0.0712,44.10112359550562
1989-09-14,3.14,3.16,3.14,3.14,73406,3.145,0.0712,44.10112359550562
1989-09-15,3.14,3.16,3.14,3.16,247556,3.15,0.0712,44.38202247191011
1989-09-18,3.16,3.16,3.14,3.16,40500,3.155,0.0712,44.38202247191011
1989-09-19,3.16,3.16,3.14,3.14,314888,3.15,0.0712,44.10112359550562
1989-09-20,3.14,3.19,3.14,3.14,153900,3.1525,0.0712,44.10112359550562
1989-09-21,3.14,3.16,3.14,3.14,52650,3.145,0.0712,44.10112359550562
1989-09-22,3.14,3.14,3.11,3.14,103781,3.1325,0.0712,44.10112359550562
1989-09-25,3.14,3.14,3.09,3.09,110869,3.115,0.0712,43.39887640449438
1989-09-26,3.09,3.11,3.06,3.06,28856,3.08,0.0712,42.97752808988764
1989-09-27,3.06,3.14,3.06,3.14,26325,3.1,0.0712,44.10112359550562
1989-09-28,3.14,3.16,3.09,3.09,170606,3.12,0.0712,43.39887640449438
1989-09-29,3.09,3.14,3.09,3.09,37969,3.1025,0.0712,43.39887640449438
1989-10-02,3.09,3.11,3.09,3.11,11138,3.1,0.0623,49.919743178170144
1989-10-03,3.11,3.16,3.11,3.14,124031,3.13,0.0623,50.40128410914928
1989-10-04,3.14,3.21,3.14,3.14,581681,3.1575,0.0623,50.40128410914928
1989-10-05,3.14,3.19,3.14,3.14,87581,3.1525,0.0623,50.40128410914928
1989-10-06,3.14,3.19,3.14,3.16,161494,3.1575,0.0623,50.722311396468704
1989-10-09,3.19,3.23,3.19,3.23,131119,3.21,0.0623,51.845906902086675
1989-10-10,3.23,3.26,3.19,3.23,117450,3.2275,0.0623,51.845906902086675
1989-10-11,3.23,3.26,3.21,3.26,94163,3.24,0.0623,52.327447833065804
1989-10-12,3.23,3.23,3.21,3.21,39994,3.22,0.0623,51.52487961476725
1989-10-13,3.21,3.23,3.06,3.06,110363,3.14,0.0623,49.11717495987159
1989-10-16,3.01,3.01,2.94,2.99,76444,2.9875,0.0623,47.99357945425361
1989-10-17,2.99,2.99,2.94,2.96,98719,2.97,0.0623,47.51203852327448
1989-10-18,2.96,2.96,2.94,2.96,33413,2.955,0.0623,47.51203852327448
1989-10-19,2.96,2.96,2.94,2.96,132131,2.955,0.0623,47.51203852327448
1989-10-20,2.99,3.06,2.99,3.06,64294,3.025,0.0623,49.11717495987159
1989-10-23,3.06,3.06,3.01,3.04,15694,3.0425,0.0623,48.796147672552166
1989-10-24,3.01,3.01,2.96,2.99,31388,2.9925,0.0623,47.99357945425361
1989-10-25,2.99,3.01,2.96,3.01,20250,2.9925,0.0623,48.31460674157303
1989-10-26,3.01,3.04,2.96,2.96,5569,2.9925,0.0623,47.51203852327448
1989-10-27,2.96,2.99,2.96,2.96,33413,2.9675,0.0623,47.51203852327448
1989-10-30,2.96,2.96,2.94,2.94,19744,2.95,0.0623,47.19101123595505
1989-10-31,2.94,2.94,2.94,2.94,18225,2.94,0.0623,47.19101123595505
1989-11-01,2.96,3.01,2.96,3.01,74419,2.985,0.0623,48.31460674157303
1989-11-02,2.99,2.99,2.94,2.94,45563,2.965,0.0623,47.19101123595505
1989-11-03,2.94,2.96,2.94,2.94,30881,2.945,0.0623,47.19101123595505
1989-11-06,2.94,2.96,2.91,2.91,5063,2.93,0.0623,46.70947030497592
1989-11-07,2.91,2.91,2.91,2.91,1519,2.91,0.0623,46.70947030497592
1989-11-08,2.91,2.96,2.91,2.96,40500,2.935,0.0623,47.51203852327448
1989-11-09,2.96,2.99,2.96,2.96,31894,2.9675,0.0623,47.51203852327448
1989-11-10,2.96,2.99,2.96,2.99,1519,2.975,0.0623,47.99357945425361
1989-11-13,2.99,3.01,2.96,2.96,28856,2.98,0.0623,47.51203852327448
1989-11-14,2.96,2.96,2.94,2.96,36956,2.955,0.0623,47.51203852327448
1989-11-15,2.96,3.01,2.94,3.01,17719,2.98,0.0623,48.31460674157303
1989-11-16,2.96,2.96,2.96,2.96,8100,2.96,0.0623,47.51203852327448
1989-11-17,2.96,2.96,2.96,2.96,4556,2.96,0.0623,47.51203852327448
1989-11-20,2.99,2.99,2.99,2.99,506,2.99,0.0623,47.99357945425361
1989-11-21,2.99,2.99,2.96,2.96,2025,2.975,0.0623,47.51203852327448
1989-11-22,2.96,3.06,2.96,3.06,30881,3.01,0.0623,49.11717495987159
1989-11-24,3.06,3.09,3.06,3.06,19238,3.0675,0.0623,49.11717495987159
1989-11-27,3.06,3.11,3.06,3.06,13669,3.0725,0.0623,49.11717495987159
1989-11-28,3.11,3.14,3.11,3.14,11138,3.125,0.0623,50.40128410914928
