Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-12-14,0.9375,0.9375,0.9375,0.9375,25600,0.9375,,
1972-12-15,0.94141,0.94141,0.94141,0.94141,70400,0.94141,,
1972-12-18,0.96484,1.03,0.96484,1.03,160000,0.99742,,
1972-12-19,1.03,1.09,1.03,1.07,262400,1.055,,
1972-12-20,1.06,1.06,1.06,1.06,44800,1.06,,
1972-12-21,1.04,1.04,1.02,1.02,128000,1.03,,
1972-12-22,1.02,1.02,1.01,1.02,25600,1.0175,,
1972-12-26,1.02,1.02,1.02,1.02,70400,1.02,,
1972-12-27,1.02,1.03,1.02,1.02,83200,1.0225,,
1972-12-29,1.02,1.04,1.02,1.04,179200,1.03,,
1973-01-02,1.05,1.06,1.05,1.06,32000,1.055,,
1973-01-03,1.06,1.07,1.06,1.07,102400,1.065,,
1973-01-04,1.07,1.07,1.07,1.07,70400,1.07,,
1973-01-05,1.08,1.08,1.08,1.08,51200,1.08,,
1973-01-08,1.08,1.08,1.08,1.08,6400,1.08,,
1973-01-09,1.08,1.08,1.08,1.08,32000,1.08,,
1973-01-10,1.08,1.08,1.08,1.08,51200,1.08,,
1973-01-11,1.08,1.08,1.07,1.07,25600,1.075,,
1973-01-12,1.07,1.07,1.05,1.05,736000,1.06,,
1973-01-15,1.05,1.05,1.05,1.05,19200,1.05,,
1973-01-16,1.05,1.05,1.05,1.05,19200,1.05,,
1973-01-17,1.06,1.06,1.06,1.06,6400,1.06,,
1973-01-18,1.05,1.05,1.05,1.05,19200,1.05,,
1973-01-19,1.05,1.06,1.05,1.05,32000,1.0525,,
1973-01-22,1.06,1.07,1.06,1.07,134400,1.065,,
1973-01-23,1.07,1.07,1.06,1.07,19200,1.0675,,
1973-01-24,1.07,1.07,1.07,1.07,32000,1.07,,
1973-01-29,1.06,1.06,1.04,1.04,51200,1.05,,
1973-01-30,1.04,1.04,1.04,1.04,64000,1.04,,
1973-02-07,1.06,1.06,1.06,1.06,73600,1.06,,
1973-02-08,1.06,1.07,1.05,1.07,76800,1.0625,,
1973-02-14,1.07,1.11,1.07,1.11,700800,1.09,,
1973-02-15,1.11,1.13,1.1,1.11,67200,1.1125,,
1973-02-16,1.11,1.13,1.11,1.13,28800,1.12,,
1973-02-20,1.13,1.15,1.13,1.14,320000,1.1375,,
1973-02-21,1.14,1.14,1.13,1.14,57600,1.1375,,
1973-02-22,1.14,1.14,1.14,1.14,28800,1.14,,
1973-02-23,1.14,1.14,1.13,1.14,96000,1.1375,,
1973-02-26,1.14,1.15,1.13,1.14,51200,1.14,,
1973-02-27,1.15,1.16,1.15,1.15,236800,1.1525,,
1973-02-28,1.15,1.15,1.13,1.14,19200,1.1425,,
