Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-11-22,1.54,1.54,1.54,1.54,5736000,1.54,,
1983-11-23,1.56,1.56,1.56,1.56,2424000,1.56,,
1983-11-25,1.63,1.63,1.63,1.63,741600,1.63,,
1983-11-28,1.52,1.52,1.52,1.52,1251600,1.52,,
1983-11-29,1.56,1.56,1.56,1.56,1209600,1.56,,
1983-11-30,1.56,1.56,1.56,1.56,632400,1.56,,
1983-12-01,1.56,1.56,1.56,1.56,422400,1.56,,
1983-12-02,1.54,1.54,1.54,1.54,985200,1.54,,
1983-12-05,1.52,1.52,1.52,1.52,229200,1.52,,
1983-12-06,1.5,1.5,1.5,1.5,220800,1.5,,
1983-12-07,1.5,1.5,1.5,1.5,85200,1.5,,
1983-12-08,1.52,1.52,1.52,1.52,264000,1.52,,
1983-12-09,1.52,1.52,1.52,1.52,246000,1.52,,
1983-12-12,1.52,1.52,1.52,1.52,164400,1.52,,
1983-12-13,1.54,1.54,1.54,1.54,687600,1.54,,
1983-12-14,1.54,1.54,1.54,1.54,164400,1.54,,
1983-12-15,1.54,1.54,1.54,1.54,81600,1.54,,
1983-12-16,1.54,1.54,1.54,1.54,135600,1.54,,
1983-12-19,1.54,1.54,1.54,1.54,150000,1.54,,
1983-12-20,1.56,1.56,1.56,1.56,126000,1.56,,
1983-12-21,1.56,1.56,1.56,1.56,362400,1.56,,
1983-12-22,1.56,1.56,1.56,1.56,24000,1.56,,
1983-12-23,1.58,1.58,1.58,1.58,130800,1.58,,
1983-12-27,1.6,1.6,1.6,1.6,338400,1.6,,
1983-12-28,1.6,1.6,1.6,1.6,54000,1.6,,
1983-12-29,1.56,1.56,1.56,1.56,58800,1.56,,
1983-12-30,1.58,1.58,1.58,1.58,205200,1.58,,
1984-01-03,1.6,1.6,1.6,1.6,18000,1.6,,
1984-01-04,1.58,1.58,1.58,1.58,352800,1.58,,
1984-01-05,1.6,1.6,1.6,1.6,499200,1.6,,
1984-01-06,1.67,1.67,1.67,1.67,218400,1.67,,
1984-01-09,1.65,1.65,1.65,1.65,22800,1.65,,
1984-01-10,1.67,1.67,1.67,1.67,26400,1.67,,
1984-01-11,1.67,1.67,1.67,1.67,99600,1.67,,
1984-01-12,1.67,1.67,1.67,1.67,67200,1.67,,
1984-01-13,1.67,1.67,1.67,1.67,446400,1.67,,
1984-01-16,1.69,1.69,1.69,1.69,328800,1.69,,
1984-01-17,1.75,1.75,1.75,1.75,637200,1.75,,
1984-01-18,1.77,1.77,1.77,1.77,73200,1.77,,
1984-01-19,1.77,1.77,1.77,1.77,397200,1.77,,
1984-01-20,1.77,1.77,1.77,1.77,356400,1.77,,
1984-01-23,1.77,1.77,1.77,1.77,318000,1.77,,
1984-01-24,1.71,1.71,1.71,1.71,615600,1.71,,
1984-01-25,1.71,1.71,1.71,1.71,176400,1.71,,
1984-01-26,1.71,1.71,1.71,1.71,183600,1.71,,
1984-01-27,1.67,1.67,1.67,1.67,352800,1.67,,
1984-01-30,1.56,1.56,1.56,1.56,79200,1.56,,
1984-01-31,1.54,1.54,1.54,1.54,92400,1.54,,
1984-02-01,1.54,1.54,1.54,1.54,434400,1.54,,
1984-02-02,1.54,1.54,1.54,1.54,9600,1.54,,
1984-02-03,1.54,1.54,1.54,1.54,46800,1.54,,
1984-02-06,1.54,1.54,1.54,1.54,140400,1.54,,
1984-02-07,1.48,1.48,1.48,1.48,166800,1.48,,
1984-02-08,1.48,1.48,1.48,1.48,4800,1.48,,
1984-02-09,1.48,1.48,1.48,1.48,584400,1.48,,
1984-02-10,1.5,1.5,1.5,1.5,386400,1.5,,
1984-02-13,1.48,1.48,1.48,1.48,62400,1.48,,
1984-02-14,1.48,1.48,1.48,1.48,45600,1.48,,
1984-02-15,1.48,1.48,1.48,1.48,54000,1.48,,
1984-02-16,1.5,1.5,1.5,1.5,200400,1.5,,
1984-02-17,1.52,1.52,1.52,1.52,7200,1.52,,
1984-02-21,1.5,1.5,1.5,1.5,2400,1.5,,
1984-02-22,1.5,1.5,1.5,1.5,128400,1.5,,
1984-02-23,1.5,1.5,1.5,1.5,2400,1.5,,
1984-02-24,1.5,1.5,1.5,1.5,140400,1.5,,
1984-02-27,1.5,1.5,1.5,1.5,79200,1.5,,
1984-02-28,1.5,1.5,1.5,1.5,130800,1.5,,
1984-02-29,1.5,1.5,1.5,1.5,8400,1.5,,
1984-03-01,1.5,1.5,1.5,1.5,2400,1.5,,
1984-03-02,1.5,1.5,1.5,1.5,0,1.5,,
1984-03-05,1.5,1.5,1.5,1.5,8400,1.5,,
1984-03-06,1.46,1.46,1.46,1.46,21600,1.46,,
1984-03-07,1.44,1.44,1.44,1.44,224400,1.44,,
1984-03-08,1.44,1.44,1.44,1.44,273600,1.44,,
1984-03-09,1.44,1.44,1.44,1.44,15600,1.44,,
1984-03-12,1.44,1.44,1.44,1.44,63600,1.44,,
1984-03-13,1.46,1.46,1.46,1.46,9600,1.46,,
1984-03-14,1.46,1.46,1.46,1.46,31200,1.46,,
1984-03-15,1.46,1.46,1.46,1.46,32400,1.46,,
1984-03-16,1.46,1.46,1.46,1.46,26400,1.46,,
1984-03-19,1.44,1.44,1.44,1.44,327600,1.44,,
1984-03-20,1.44,1.44,1.44,1.44,18000,1.44,,
1984-03-21,1.44,1.44,1.44,1.44,10800,1.44,,
1984-03-22,1.44,1.44,1.44,1.44,9600,1.44,,
1984-03-23,1.44,1.44,1.44,1.44,0,1.44,,
1984-03-26,1.42,1.42,1.42,1.42,642000,1.42,,
1984-03-27,1.44,1.44,1.44,1.44,16800,1.44,,
1984-03-28,1.44,1.44,1.44,1.44,234000,1.44,,
1984-03-29,1.44,1.44,1.44,1.44,20400,1.44,,
1984-03-30,1.44,1.44,1.44,1.44,10800,1.44,,
1984-04-02,1.44,1.44,1.44,1.44,25200,1.44,,
1984-04-03,1.44,1.44,1.44,1.44,34800,1.44,,
1984-04-04,1.44,1.44,1.44,1.44,7200,1.44,,
1984-04-05,1.44,1.44,1.44,1.44,66000,1.44,,
1984-04-06,1.44,1.44,1.44,1.44,136800,1.44,,
1984-04-09,1.44,1.44,1.44,1.44,2400,1.44,,
1984-04-10,1.44,1.44,1.44,1.44,7200,1.44,,
1984-04-11,1.42,1.42,1.42,1.42,12000,1.42,,
1984-04-12,1.42,1.42,1.42,1.42,38400,1.42,,
1984-04-13,1.42,1.42,1.42,1.42,36000,1.42,,
1984-04-16,1.42,1.42,1.42,1.42,28800,1.42,,
1984-04-17,1.44,1.44,1.44,1.44,36000,1.44,,
1984-04-18,1.42,1.42,1.42,1.42,170400,1.42,,
1984-04-19,1.42,1.42,1.42,1.42,25200,1.42,,
1984-04-23,1.42,1.42,1.42,1.42,142800,1.42,,
1984-04-24,1.44,1.44,1.44,1.44,78000,1.44,,
1984-04-25,1.46,1.46,1.46,1.46,658800,1.46,,
1984-04-26,1.5,1.5,1.5,1.5,37200,1.5,,
1984-04-27,1.5,1.5,1.5,1.5,625200,1.5,,
1984-04-30,1.5,1.5,1.5,1.5,753600,1.5,,
1984-05-01,1.5,1.5,1.5,1.5,8400,1.5,,
1984-05-02,1.5,1.5,1.5,1.5,8400,1.5,,
1984-05-03,1.5,1.5,1.5,1.5,8400,1.5,,
1984-05-04,1.5,1.5,1.5,1.5,3600,1.5,,
1984-05-07,1.5,1.5,1.5,1.5,0,1.5,,
1984-05-08,1.48,1.48,1.48,1.48,139200,1.48,,
1984-05-09,1.5,1.5,1.5,1.5,19200,1.5,,
1984-05-10,1.5,1.5,1.5,1.5,49200,1.5,,
1984-05-11,1.5,1.5,1.5,1.5,30000,1.5,,
1984-05-14,1.5,1.5,1.5,1.5,0,1.5,,
1984-05-15,1.48,1.48,1.48,1.48,37200,1.48,,
1984-05-16,1.5,1.5,1.5,1.5,54000,1.5,,
1984-05-17,1.48,1.48,1.48,1.48,36000,1.48,,
1984-05-18,1.48,1.48,1.48,1.48,10800,1.48,,
