Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-03-29,0.3717,0.3717,0.3717,0.3717,3707300,0.3717,,
1968-04-01,0.3717,0.42079,0.3717,0.42079,8002790,0.39624,,
1968-04-02,0.42079,0.45095,0.42079,0.45095,8359280,0.43587,,
1968-04-03,0.45095,0.45305,0.45095,0.45305,4937120,0.452,,
1968-04-04,0.45305,0.45796,0.45305,0.45796,2816110,0.45551,,
1968-04-05,0.45796,0.49373,0.45796,0.49373,6879910,0.47584,,
1968-04-08,0.49373,0.49373,0.48671,0.48671,2423990,0.49022,,
1968-04-10,0.48671,0.49653,0.48671,0.49653,4438070,0.49162,,
1968-04-11,0.49653,0.50775,0.49653,0.50775,2423990,0.50214,,
1968-04-15,0.50775,0.51687,0.50775,0.51687,1924910,0.51231,,
1968-04-16,0.51687,0.51687,0.51056,0.51056,1176350,0.51372,,
1968-04-17,0.51056,0.51406,0.51056,0.51406,855520,0.51231,,
1968-04-18,0.51406,0.52739,0.51406,0.52739,1140680,0.52073,,
1968-04-19,0.52739,0.52739,0.50635,0.50635,4669770,0.51687,,
1968-04-22,0.50635,0.53721,0.50635,0.53721,1924910,0.52178,,
1968-04-23,0.53721,0.57858,0.53721,0.57858,3226060,0.5579,,
1968-04-24,0.57858,0.58069,0.57858,0.58069,2887400,0.57964,,
1968-04-25,0.58069,0.58069,0.57017,0.57017,1122860,0.57543,,
1968-04-26,0.57017,0.57578,0.57017,0.57578,1408050,0.57298,,
1968-04-29,0.57578,0.57578,0.57017,0.57017,481210,0.57298,,
1968-04-30,0.57017,0.57017,0.54983,0.54983,1639750,0.56,,
1968-05-01,0.54983,0.54983,0.54983,0.54983,891160,0.54983,,
1968-05-02,0.54983,0.56105,0.54983,0.56105,2174460,0.55544,,
1968-05-03,0.56105,0.56806,0.56105,0.56806,1621930,0.56456,,
1968-05-06,0.56806,0.56806,0.56736,0.56736,695090,0.56771,,
1968-05-07,0.56736,0.57788,0.56736,0.57788,463380,0.57262,,
1968-05-08,0.57788,0.60594,0.57788,0.60594,1390230,0.59191,,
1968-05-09,0.60594,0.60594,0.59962,0.59962,2085340,0.60278,,
1968-05-10,0.59962,0.61716,0.59962,0.61716,1051570,0.60839,,
1968-05-13,0.61716,0.61716,0.61435,0.61435,1140680,0.61576,,
1968-05-14,0.61435,0.61435,0.60734,0.60734,695090,0.61085,,
1968-05-15,0.60734,0.60734,0.60173,0.60173,1425880,0.60454,,
1968-05-16,0.60173,0.60173,0.58349,0.58349,1497160,0.59261,,
1968-05-17,0.58349,0.58349,0.55825,0.55825,2388350,0.57087,,
1968-05-20,0.55825,0.55825,0.55123,0.55123,873340,0.55474,,
1968-05-21,0.55123,0.57227,0.55123,0.57227,552500,0.56175,,
1968-05-22,0.57227,0.57227,0.57227,0.57227,712910,0.57227,,
1968-05-23,0.57227,0.57227,0.56035,0.56035,285160,0.56631,,
1968-05-24,0.56035,0.56035,0.54703,0.54703,748560,0.55369,,
1968-05-27,0.54703,0.54703,0.5344,0.5344,926800,0.54072,,
1968-05-28,0.5344,0.56245,0.5344,0.56245,1960590,0.54842,,
1968-05-29,0.56245,0.57788,0.56245,0.57788,1051570,0.57017,,
1968-05-31,0.57788,0.59261,0.57788,0.59261,1372400,0.58525,,
1968-06-03,0.59261,0.59261,0.5863,0.5863,534680,0.58946,,
1968-06-04,0.5863,0.61856,0.5863,0.61856,1621930,0.60243,,
1968-06-05,0.61856,0.62417,0.61856,0.62417,1835810,0.62136,,
1968-06-06,0.62417,0.6424,0.62417,0.6424,1497160,0.63329,,
1968-06-07,0.6424,0.66134,0.6424,0.66134,1408050,0.65187,,
1968-06-10,0.66134,0.66134,0.64521,0.64521,766380,0.65328,,
1968-06-11,0.64521,0.64872,0.64521,0.64872,695090,0.64697,,
1968-06-13,0.64872,0.65082,0.64872,0.65082,784220,0.64977,,
1968-06-14,0.65082,0.65082,0.62978,0.62978,1586280,0.6403,,
1968-06-17,0.62978,0.62978,0.62136,0.62136,249500,0.62557,,
1968-06-18,0.62136,0.62136,0.60594,0.60594,695090,0.61365,,
1968-06-20,0.60594,0.61856,0.60594,0.61856,1194170,0.61225,,
1968-06-21,0.61856,0.61856,0.61575,0.61575,712910,0.61716,,
1968-06-24,0.61575,0.61575,0.5856,0.5856,819860,0.60068,,
1968-06-25,0.5856,0.5856,0.54703,0.54703,1675390,0.56632,,
1968-06-27,0.54703,0.57157,0.54703,0.57157,891160,0.5593,,
1968-06-28,0.57157,0.57157,0.56175,0.56175,338630,0.56666,,
1968-07-01,0.56175,0.56175,0.53931,0.53931,463380,0.55053,,
1968-07-02,0.53931,0.55544,0.53931,0.55544,1015920,0.54737,,
1968-07-03,0.55544,0.58349,0.55544,0.58349,1176350,0.56947,,
1968-07-08,0.58349,0.61014,0.58349,0.61014,1211990,0.59682,,
1968-07-09,0.61014,0.61014,0.60243,0.60243,712910,0.60628,,
1968-07-11,0.60243,0.60243,0.5891,0.5891,516850,0.59577,,
1968-07-12,0.5891,0.61926,0.5891,0.61926,1158500,0.60418,,
