Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,3.47,3.47,3.47,3.47,118050,3.47,,
1968-01-03,3.41,3.41,3.41,3.41,79969,3.41,,
1968-01-04,3.4,3.4,3.4,3.4,146611,3.4,,
1968-01-05,3.41,3.41,3.41,3.41,99010,3.41,,
1968-01-08,3.41,3.41,3.41,3.41,116146,3.41,,
1968-01-09,3.44,3.44,3.44,3.44,119953,3.44,,
1968-01-10,3.41,3.41,3.41,3.41,53311,3.41,,
1968-01-11,3.37,3.37,3.37,3.37,78064,3.37,,
1968-01-12,3.36,3.36,3.36,3.36,79969,3.36,,
1968-01-15,3.36,3.36,3.36,3.36,49505,3.36,,
1968-01-16,3.34,3.34,3.34,3.34,53311,3.34,,
1968-01-17,3.37,3.37,3.37,3.37,91394,3.37,,
1968-01-18,3.32,3.32,3.32,3.32,150418,3.32,,
1968-01-19,3.32,3.32,3.32,3.32,85682,3.32,,
1968-01-22,3.26,3.26,3.26,3.26,62832,3.26,,
1968-01-23,3.2,3.2,3.2,3.2,177076,3.2,,
1968-01-24,3.26,3.26,3.26,3.26,60929,3.26,,
1968-01-25,3.22,3.22,3.22,3.22,83776,3.22,,
1968-01-26,3.24,3.24,3.24,3.24,68545,3.24,,
1968-01-29,3.27,3.27,3.27,3.27,68545,3.27,,
1968-01-30,3.19,3.19,3.19,3.19,72354,3.19,,
1968-01-31,3.19,3.19,3.19,3.19,43792,3.19,,
1968-02-01,3.16,3.16,3.16,3.16,47599,3.16,,
1968-02-02,3.12,3.12,3.12,3.12,47599,3.12,,
1968-02-05,2.94,2.94,2.94,2.94,177076,2.94,,
1968-02-06,3.05,3.05,3.05,3.05,79969,3.05,,
1968-02-07,3.01,3.01,3.01,3.01,99010,3.01,,
1968-02-08,2.87,2.87,2.87,2.87,97106,2.87,,
1968-02-09,2.74,2.74,2.74,2.74,357961,2.74,,
1968-02-13,2.63,2.63,2.63,2.63,114241,2.63,,
1968-02-14,2.68,2.68,2.68,2.68,276086,2.68,,
1968-02-15,2.75,2.75,2.75,2.75,481724,2.75,,
1968-02-16,2.81,2.81,2.81,2.81,630241,2.81,,
1968-02-19,2.86,2.86,2.86,2.86,83776,2.86,,
1968-02-20,2.84,2.84,2.84,2.84,66641,2.84,,
1968-02-21,2.88,2.88,2.88,2.88,104722,2.88,,
1968-02-23,2.84,2.84,2.84,2.84,95201,2.84,,
1968-02-26,2.78,2.78,2.78,2.78,217062,2.78,,
1968-02-27,2.76,2.76,2.76,2.76,131378,2.76,,
1968-02-28,2.74,2.74,2.74,2.74,55217,2.74,,
1968-02-29,2.69,2.69,2.69,2.69,24752,2.69,,
1968-03-01,2.7,2.7,2.7,2.7,89488,2.7,,
1968-03-04,2.72,2.72,2.72,2.72,57120,2.72,,
1968-03-05,2.71,2.71,2.71,2.71,79969,2.71,,
1968-03-06,2.73,2.73,2.73,2.73,36177,2.73,,
1968-03-07,2.75,2.75,2.75,2.75,45696,2.75,,
1968-03-08,2.77,2.77,2.77,2.77,64736,2.77,,
1968-03-11,2.76,2.76,2.76,2.76,114241,2.76,,
1968-03-12,2.73,2.73,2.73,2.73,68545,2.73,,
1968-03-13,2.7,2.7,2.7,2.7,60929,2.7,,
1968-03-14,2.63,2.63,2.63,2.63,112338,2.63,,
1968-03-15,2.61,2.61,2.61,2.61,76160,2.61,,
1968-03-18,2.61,2.61,2.61,2.61,110434,2.61,,
1968-03-19,2.58,2.58,2.58,2.58,83776,2.58,,
1968-03-20,2.55,2.55,2.55,2.55,19040,2.55,,
1968-03-21,2.47,2.47,2.47,2.47,49505,2.47,,
1968-03-22,2.46,2.46,2.46,2.46,108531,2.46,,
1968-03-25,2.47,2.47,2.47,2.47,47599,2.47,,
1968-03-26,2.52,2.52,2.52,2.52,74257,2.52,,
1968-03-27,2.55,2.55,2.55,2.55,146611,2.55,,
1968-03-28,2.64,2.64,2.64,2.64,85682,2.64,,
1968-03-29,2.64,2.64,2.64,2.64,108531,2.64,,
1968-04-01,2.78,2.78,2.78,2.78,245621,2.78,,
1968-04-02,2.79,2.79,2.79,2.79,83776,2.79,,
1968-04-03,2.84,2.84,2.84,2.84,169460,2.84,,
1968-04-04,2.86,2.86,2.86,2.86,142802,2.86,,
1968-04-05,2.84,2.84,2.84,2.84,49505,2.84,,
1968-04-08,2.9,2.9,2.9,2.9,85682,2.9,,
1968-04-10,2.87,2.87,2.87,2.87,167555,2.87,,
1968-04-11,2.95,2.95,2.95,2.95,110434,2.95,,
1968-04-15,2.92,2.92,2.92,2.92,81873,2.92,,
1968-04-16,2.99,2.99,2.99,2.99,39983,2.99,,
1968-04-17,2.95,2.95,2.95,2.95,39983,2.95,,
1968-04-18,3.0,3.0,3.0,3.0,291319,3.0,,
1968-04-19,3.01,3.01,3.01,3.01,148515,3.01,,
1968-04-22,3.03,3.03,3.03,3.03,108531,3.03,,
1968-04-23,3.05,3.05,3.05,3.05,89488,3.05,,
1968-04-24,3.09,3.09,3.09,3.09,154227,3.09,,
1968-04-25,3.1,3.1,3.1,3.1,217062,3.1,,
1968-04-26,3.09,3.09,3.09,3.09,201828,3.09,,
1968-04-29,3.15,3.15,3.15,3.15,186595,3.15,,
1968-04-30,3.21,3.21,3.21,3.21,184692,3.21,,
1968-05-01,3.26,3.26,3.26,3.26,386523,3.26,,
1968-05-02,3.25,3.25,3.25,3.25,253239,3.25,,
1968-05-03,3.24,3.24,3.24,3.24,173267,3.24,,
1968-05-06,3.27,3.27,3.27,3.27,135187,3.27,,
1968-05-07,3.33,3.33,3.33,3.33,72354,3.33,,
1968-05-08,3.39,3.39,3.39,3.39,89488,3.39,,
