Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1999-07-29,19.13,19.88,18.75,18.75,4780801,19.1275,0.19,98.6842105263158
1999-07-30,19.0,19.19,18.63,19.19,1036200,19.0025,0.19,101.0
1999-08-02,19.0,19.0,18.75,18.75,168800,18.875,0.19,98.6842105263158
1999-08-03,18.75,18.81,18.25,18.75,246200,18.64,0.19,98.6842105263158
1999-08-04,18.75,18.75,18.13,18.63,178200,18.565,0.19,98.05263157894736
1999-08-05,18.63,18.63,17.88,18.13,67700,18.3175,0.19,95.42105263157895
1999-08-06,18.13,18.19,17.38,17.5,103900,17.8,0.19,92.10526315789474
1999-08-09,17.44,17.56,17.19,17.38,75800,17.3925,0.19,91.47368421052632
1999-08-10,17.25,17.25,16.75,17.0,81500,17.0625,0.19,89.47368421052632
1999-08-11,17.0,17.44,17.0,17.44,18700,17.22,0.19,91.78947368421053
1999-08-12,18.25,18.25,17.63,17.75,63400,17.97,0.19,93.42105263157895
1999-08-13,17.88,17.94,17.19,17.19,62700,17.55,0.19,90.47368421052632
1999-08-16,17.0,17.0,16.25,16.44,72600,16.6725,0.19,86.52631578947368
1999-08-17,16.44,16.88,16.38,16.63,37400,16.5825,0.68,24.455882352941174
1999-08-18,16.63,16.69,16.38,16.38,36800,16.52,0.68,24.088235294117645
1999-08-19,16.38,16.63,16.38,16.5,32600,16.4725,0.68,24.26470588235294
1999-08-20,16.44,17.19,16.44,17.0,136100,16.7675,0.68,24.999999999999996
1999-08-23,17.88,17.94,17.25,17.38,193800,17.6125,0.68,25.55882352941176
1999-08-24,17.13,17.44,16.88,17.06,126600,17.1275,0.68,25.088235294117645
1999-08-25,16.88,17.0,16.5,16.63,125500,16.7525,0.68,24.455882352941174
1999-08-26,16.63,17.0,16.63,17.0,32700,16.815,0.68,24.999999999999996
1999-08-27,17.25,17.5,17.13,17.44,34300,17.33,0.68,25.647058823529413
1999-08-30,17.44,18.38,17.25,18.06,136000,17.7825,0.68,26.55882352941176
1999-08-31,17.94,19.25,17.75,19.0,309100,18.485,0.68,27.941176470588232
1999-09-01,19.06,19.06,18.25,18.38,49100,18.6875,0.68,27.02941176470588
1999-09-02,18.38,18.38,17.75,18.38,50900,18.2225,0.68,27.02941176470588
1999-09-03,18.44,18.56,18.19,18.31,52300,18.375,0.68,26.92647058823529
1999-09-07,18.06,18.06,17.81,17.81,12700,17.935,0.68,26.191176470588232
1999-09-08,17.81,17.81,16.63,16.94,54400,17.2975,0.68,24.91176470588235
1999-09-09,16.81,16.94,16.63,16.75,28100,16.7825,0.68,24.632352941176467
1999-09-10,16.88,16.88,16.25,16.25,91800,16.565,0.68,23.89705882352941
1999-09-13,16.38,17.06,16.38,16.94,33600,16.69,0.68,24.91176470588235
1999-09-14,17.06,17.13,16.38,16.5,18500,16.7675,0.68,24.26470588235294
1999-09-15,16.5,17.0,16.31,17.0,69500,16.7025,0.68,24.999999999999996
1999-09-16,17.25,17.25,16.81,16.81,84500,17.03,0.68,24.720588235294112
1999-09-17,17.0,17.13,16.88,17.13,22500,17.035,0.68,25.191176470588232
1999-09-20,17.06,17.06,16.81,16.94,18200,16.9675,0.68,24.91176470588235
1999-09-21,16.75,16.81,16.5,16.5,23800,16.64,0.68,24.26470588235294
1999-09-22,16.5,16.81,16.5,16.75,19600,16.64,0.68,24.632352941176467
1999-09-23,16.75,16.75,15.38,15.38,55700,16.065,0.68,22.61764705882353
1999-09-24,15.38,15.5,14.5,14.94,80200,15.08,0.68,21.970588235294116
