Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1977-01-03,0.94581,0.95859,0.94581,0.95859,165282,0.9522,,
1977-01-04,0.95859,0.97137,0.90746,0.95859,179952,0.949,,
1977-01-05,0.95859,0.98415,0.95859,0.98415,189732,0.97137,,
1977-01-06,0.98415,1.04,0.98415,1.04,384354,1.01,,
1977-01-07,1.04,1.05,1.02,1.05,345234,1.04,,
1977-01-10,1.05,1.06,1.04,1.05,311004,1.05,,
1977-01-11,1.05,1.05,1.02,1.02,155502,1.04,,
1977-01-12,1.01,1.01,0.98415,0.99693,198534,1.0,,
1977-01-13,0.99693,0.99693,0.97137,0.98415,155502,0.98735,,
1977-01-14,0.98415,0.99693,0.98415,0.98415,116382,0.98735,,
1977-01-17,0.99693,1.04,0.99693,1.01,222006,1.01,,
1977-01-18,1.02,1.04,1.02,1.04,112470,1.03,,
1977-01-19,1.04,1.05,1.02,1.02,149634,1.03,,
1977-01-20,1.02,1.04,1.01,1.01,179952,1.02,,
1977-01-21,1.01,1.02,0.99693,0.99693,185820,1.01,,
1977-01-24,1.04,1.09,1.04,1.09,850860,1.06,,
1977-01-25,1.09,1.12,1.07,1.09,502692,1.09,,
1977-01-26,1.09,1.09,1.06,1.07,263082,1.08,,
1977-01-27,1.07,1.09,1.05,1.07,258192,1.07,,
1977-01-28,1.07,1.09,1.05,1.07,122250,1.07,,
1977-01-31,1.06,1.06,1.04,1.05,114426,1.05,,
1977-02-01,1.05,1.05,1.04,1.05,81174,1.04,,
1977-02-02,1.04,1.04,1.01,1.01,112470,1.02,,
1977-02-03,1.01,1.02,0.98415,1.02,153546,1.01,,
1977-02-04,1.02,1.04,1.02,1.02,121272,1.03,,
1977-02-07,1.04,1.06,1.04,1.04,82152,1.04,,
1977-02-08,1.04,1.04,1.02,1.02,115404,1.03,,
1977-02-09,1.02,1.05,1.02,1.02,283620,1.03,,
1977-02-10,1.02,1.02,0.99693,1.01,74328,1.01,,
1977-02-11,1.01,1.01,0.97137,0.97137,152568,0.99054,,
1977-02-14,0.95859,0.95859,0.94581,0.94581,143766,0.9522,,
1977-02-15,0.95859,0.98415,0.95859,0.98415,175062,0.97137,,
1977-02-16,0.98415,0.99693,0.97137,0.98415,225918,0.98415,,
1977-02-17,0.98415,1.04,0.98415,1.02,1001472,1.01,,
1977-02-18,1.02,1.06,1.02,1.04,472374,1.04,,
1977-02-22,1.05,1.06,1.05,1.05,275796,1.05,,
1977-02-23,1.05,1.06,1.04,1.04,81174,1.04,,
1977-02-24,1.04,1.04,1.02,1.02,228852,1.03,,
1977-02-25,1.02,1.02,1.01,1.01,355014,1.02,,
1977-02-28,1.01,1.02,1.01,1.02,86064,1.02,,
1977-03-01,1.02,1.06,1.02,1.05,293400,1.04,,
1977-03-02,1.05,1.05,1.02,1.02,243522,1.04,,
1977-03-03,1.02,1.02,1.01,1.01,52812,1.02,,
1977-03-04,1.01,1.02,1.01,1.02,45966,1.02,,
1977-03-07,1.01,1.01,0.98415,0.98415,65526,0.99693,,
1977-03-08,0.98415,0.99693,0.98415,0.98415,59658,0.98735,,
1977-03-09,0.98415,0.99693,0.98415,0.98415,68460,0.98735,,
1977-03-10,0.98415,1.02,0.98415,1.01,203424,1.0,,
1977-03-11,1.01,1.02,1.01,1.01,158436,1.01,,
