Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,3.55,3.55,3.45,3.47,254522,3.505,,
1962-01-03,3.5,3.5,3.42,3.5,505217,3.48,,
1962-01-04,3.56,3.56,3.5,3.5,254522,3.53,,
1962-01-05,3.49,3.49,3.4,3.41,376999,3.4475,,
1962-01-08,3.42,3.42,3.37,3.39,399964,3.4,,
1962-01-09,3.42,3.42,3.38,3.39,376999,3.4025,,
1962-01-10,3.38,3.38,3.34,3.35,304278,3.3625,,
1962-01-11,3.37,3.37,3.26,3.34,269832,3.335,,
1962-01-12,3.38,3.38,3.27,3.27,692760,3.325,,
1962-01-15,3.31,3.31,3.27,3.31,252608,3.3,,
1962-01-16,3.36,3.36,3.29,3.36,239212,3.3425,,
1962-01-17,3.37,3.37,3.32,3.34,135872,3.35,,
1962-01-18,3.37,3.37,3.32,3.36,306192,3.355,,
1962-01-19,3.36,3.36,3.3,3.32,170319,3.335,,
1962-01-22,3.36,3.36,3.31,3.34,246867,3.3425,,
1962-01-23,3.38,3.38,3.33,3.33,164578,3.355,,
1962-01-24,3.36,3.36,3.32,3.36,139700,3.35,,
1962-01-25,3.37,3.37,3.32,3.34,415273,3.35,,
1962-01-26,3.36,3.36,3.32,3.35,118649,3.3475,,
1962-01-29,3.36,3.36,3.3,3.3,216248,3.33,,
1962-01-30,3.34,3.34,3.3,3.32,170319,3.325,,
1962-01-31,3.5,3.5,3.34,3.45,327243,3.4475,,
1962-02-01,3.57,3.57,3.44,3.55,319588,3.5325,,
1962-02-02,3.61,3.61,3.57,3.59,239212,3.595,,
1962-02-05,3.65,3.65,3.58,3.65,233471,3.6325,,
1962-02-06,3.66,3.66,3.62,3.66,210507,3.65,,
1962-02-07,3.67,3.67,3.63,3.65,221989,3.655,,
1962-02-08,3.66,3.66,3.64,3.64,116735,3.65,,
1962-02-09,3.67,3.67,3.58,3.64,153096,3.64,,
1962-02-12,3.63,3.63,3.59,3.61,110994,3.615,,
1962-02-13,3.63,3.63,3.55,3.55,183715,3.59,,
1962-02-14,3.55,3.55,3.43,3.45,179888,3.495,,
1962-02-15,3.51,3.51,3.44,3.46,187542,3.48,,
1962-02-16,3.51,3.51,3.45,3.46,218162,3.4825,,
1962-02-19,3.44,3.44,3.4,3.4,197111,3.42,,
1962-02-20,3.54,3.54,3.42,3.54,174147,3.51,,
1962-02-21,3.55,3.55,3.5,3.53,126304,3.5325,,
1962-02-23,3.53,3.53,3.49,3.49,124390,3.51,,
1962-02-26,3.52,3.52,3.45,3.48,170319,3.4925,,
1962-02-27,3.5,3.5,3.46,3.46,124390,3.48,,
1962-02-28,3.49,3.49,3.42,3.49,116735,3.4725,,
1962-03-01,3.52,3.52,3.45,3.47,139700,3.49,,
1962-03-02,3.5,3.5,3.42,3.46,267918,3.47,,
1962-03-05,3.47,3.47,3.42,3.42,202852,3.445,,
1962-03-06,3.42,3.42,3.4,3.42,216248,3.415,,
1962-03-07,3.45,3.45,3.41,3.45,130131,3.44,,
1962-03-08,3.49,3.49,3.45,3.47,310020,3.475,,
1962-03-09,3.49,3.49,3.46,3.47,177974,3.4775,,
1962-03-12,3.53,3.53,3.49,3.53,176060,3.52,,
1962-03-13,3.64,3.64,3.54,3.63,325329,3.6125,,
1962-03-14,3.66,3.66,3.64,3.64,340639,3.65,,
1962-03-15,3.66,3.66,3.65,3.66,137786,3.6575,,
1962-03-16,3.66,3.66,3.64,3.64,135872,3.65,,
1962-03-19,3.66,3.66,3.63,3.64,162664,3.6475,,
1962-03-20,3.65,3.65,3.63,3.63,225817,3.64,,
1962-03-21,3.66,3.66,3.63,3.65,135872,3.65,,
1962-03-22,3.66,3.66,3.61,3.63,195197,3.64,,
1962-03-23,3.64,3.64,3.61,3.64,114822,3.6325,,
1962-03-26,3.65,3.65,3.62,3.63,130131,3.6375,,
1962-03-27,3.63,3.63,3.59,3.61,135872,3.615,,
1962-03-28,3.63,3.63,3.6,3.63,88030,3.6225,,
1962-03-29,3.66,3.66,3.64,3.65,166492,3.6525,,
1962-03-30,3.65,3.65,3.63,3.65,166492,3.645,,
1962-04-02,3.65,3.65,3.63,3.64,116735,3.6425,,
1962-04-03,3.63,3.63,3.52,3.57,176060,3.5875,,
1962-04-04,3.57,3.57,3.53,3.53,168405,3.55,,
1962-04-05,3.59,3.59,3.47,3.58,223903,3.5575,,
1962-04-06,3.63,3.63,3.55,3.59,114822,3.6,,
1962-04-09,3.63,3.63,3.57,3.57,168405,3.6,,
1962-04-10,3.63,3.63,3.55,3.63,160751,3.61,,
1962-04-11,3.66,3.66,3.59,3.59,116735,3.625,,
1962-04-12,3.65,3.65,3.59,3.63,221989,3.63,,
1962-04-13,3.62,3.62,3.59,3.61,145441,3.61,,
1962-04-16,3.63,3.63,3.58,3.59,103340,3.6075,,
1962-04-17,3.63,3.63,3.58,3.61,110994,3.6125,,
1962-04-18,3.61,3.61,3.55,3.55,149268,3.58,,
1962-04-19,3.59,3.59,3.56,3.59,101426,3.5825,,
1962-04-23,3.63,3.63,3.58,3.59,141614,3.6075,,
1962-04-24,3.61,3.61,3.57,3.59,97598,3.595,,
1962-04-25,3.6,3.6,3.54,3.57,199025,3.5775,,
1962-04-26,3.55,3.55,3.48,3.51,166492,3.5225,,
1962-04-27,3.54,3.54,3.47,3.5,191370,3.5125,,
1962-04-30,3.52,3.52,3.32,3.32,621953,3.42,,
1962-05-01,3.42,3.42,3.29,3.4,359776,3.3825,,
1962-05-02,3.51,3.51,3.47,3.5,273659,3.4975,,
1962-05-03,3.6,3.6,3.48,3.55,199025,3.5575,,
1962-05-04,3.53,3.53,3.46,3.53,110994,3.5125,,
1962-05-07,3.55,3.55,3.49,3.49,141614,3.52,,
1962-05-08,3.47,3.47,3.42,3.47,103340,3.4575,,
1962-05-09,3.49,3.49,3.41,3.43,145441,3.455,,
1962-05-10,3.44,3.44,3.35,3.37,243040,3.4,,
1962-05-11,3.4,3.4,3.29,3.29,214334,3.345,,
1962-05-14,3.29,3.29,3.14,3.29,476512,3.2525,,
1962-05-15,3.44,3.44,3.33,3.38,304278,3.3975,,
1962-05-16,3.38,3.38,3.31,3.35,189456,3.355,,
1962-05-17,3.34,3.34,3.28,3.31,164578,3.3175,,
1962-05-18,3.29,3.29,3.21,3.27,183715,3.265,,
1962-05-21,3.33,3.33,3.25,3.32,118649,3.3075,,
1962-05-22,3.31,3.31,3.22,3.23,153096,3.2675,,
1962-05-23,3.21,3.21,3.03,3.03,532009,3.12,,
1962-05-24,3.14,3.14,3.03,3.03,507131,3.085,,
1962-05-25,3.07,3.07,2.89,3.0,478425,3.0075,,
1962-05-28,2.95,2.95,2.63,2.63,685106,2.79,,
1962-05-29,3.03,3.03,2.82,3.02,1416140,2.975,,
1962-05-31,3.02,3.02,2.87,2.87,757826,2.945,,
1962-06-01,2.95,2.95,2.78,2.78,694674,2.865,,
