Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.14,2.14,2.14,2.14,192452,2.14,,
1968-01-03,2.19,2.19,2.19,2.19,482146,2.19,,
1968-01-04,2.12,2.12,2.12,2.12,448415,2.12,,
1968-01-05,2.07,2.07,2.07,2.07,146816,2.07,,
1968-01-08,2.06,2.06,2.06,2.06,249995,2.06,,
1968-01-09,2.08,2.08,2.08,2.08,132926,2.08,,
1968-01-10,2.07,2.07,2.07,2.07,367062,2.07,,
1968-01-11,2.05,2.05,2.05,2.05,124990,2.05,,
1968-01-12,1.99,1.99,1.99,1.99,200388,1.99,,
1968-01-15,1.97,1.97,1.97,1.97,184515,1.97,,
1968-01-16,1.9,1.9,1.9,1.9,736123,1.9,,
1968-01-17,1.93,1.93,1.93,1.93,255948,1.93,,
1968-01-18,1.98,1.98,1.98,1.98,180547,1.98,,
1968-01-19,1.93,1.93,1.93,1.93,402777,1.93,,
1968-01-22,1.86,1.86,1.86,1.86,285710,1.86,,
1968-01-23,1.9,1.9,1.9,1.9,103164,1.9,,
1968-01-24,1.92,1.92,1.92,1.92,126974,1.92,,
1968-01-25,1.92,1.92,1.92,1.92,291663,1.92,,
1968-01-26,1.95,1.95,1.95,1.95,136895,1.95,,
1968-01-29,1.97,1.97,1.97,1.97,55543,1.97,,
1968-01-30,1.92,1.92,1.92,1.92,81338,1.92,,
1968-01-31,1.84,1.84,1.84,1.84,65464,1.84,,
1968-02-01,1.85,1.85,1.85,1.85,236106,1.85,,
1968-02-02,1.86,1.86,1.86,1.86,148800,1.86,,
1968-02-05,1.86,1.86,1.86,1.86,126974,1.86,,
1968-02-06,1.85,1.85,1.85,1.85,67448,1.85,,
1968-02-07,1.84,1.84,1.84,1.84,71417,1.84,,
1968-02-08,1.79,1.79,1.79,1.79,69433,1.79,,
1968-02-09,1.81,1.81,1.81,1.81,111100,1.81,,
1968-02-13,1.8,1.8,1.8,1.8,101179,1.8,,
1968-02-14,1.83,1.83,1.83,1.83,136895,1.83,,
1968-02-15,1.8,1.8,1.8,1.8,109116,1.8,,
1968-02-16,1.81,1.81,1.81,1.81,47607,1.81,,
1968-02-19,1.8,1.8,1.8,1.8,107132,1.8,,
1968-02-20,1.76,1.76,1.76,1.76,230153,1.76,,
1968-02-21,1.78,1.78,1.78,1.78,97211,1.78,,
1968-02-23,1.8,1.8,1.8,1.8,136895,1.8,,
1968-02-26,1.76,1.76,1.76,1.76,156736,1.76,,
1968-02-27,1.76,1.76,1.76,1.76,83322,1.76,,
1968-02-28,1.71,1.71,1.71,1.71,37686,1.71,,
1968-02-29,1.76,1.76,1.76,1.76,95227,1.76,,
1968-03-01,1.75,1.75,1.75,1.75,65464,1.75,,
1968-03-04,1.72,1.72,1.72,1.72,144831,1.72,,
1968-03-05,1.7,1.7,1.7,1.7,67448,1.7,,
1968-03-06,1.71,1.71,1.71,1.71,101179,1.71,,
1968-03-07,1.72,1.72,1.72,1.72,226185,1.72,,
1968-03-08,1.71,1.71,1.71,1.71,93243,1.71,,
1968-03-11,1.71,1.71,1.71,1.71,71417,1.71,,
1968-03-12,1.73,1.73,1.73,1.73,97211,1.73,,
1968-03-13,1.69,1.69,1.69,1.69,49591,1.69,,
1968-03-14,1.63,1.63,1.63,1.63,170626,1.63,,
1968-03-15,1.65,1.65,1.65,1.65,115069,1.65,,
1968-03-18,1.66,1.66,1.66,1.66,107132,1.66,,
1968-03-19,1.64,1.64,1.64,1.64,105148,1.64,,
1968-03-20,1.64,1.64,1.64,1.64,63480,1.64,,
1968-03-21,1.66,1.66,1.66,1.66,91259,1.66,,
1968-03-22,1.62,1.62,1.62,1.62,49591,1.62,,
1968-03-25,1.6,1.6,1.6,1.6,95227,1.6,,
1968-03-26,1.61,1.61,1.61,1.61,176578,1.61,,
1968-03-27,1.68,1.68,1.68,1.68,107132,1.68,,
1968-03-28,1.73,1.73,1.73,1.73,378967,1.73,,
1968-03-29,1.75,1.75,1.75,1.75,148800,1.75,,
1968-04-01,1.7,1.7,1.7,1.7,164673,1.7,,
1968-04-02,1.63,1.63,1.63,1.63,124990,1.63,,
1968-04-03,1.68,1.68,1.68,1.68,198404,1.68,,
1968-04-04,1.67,1.67,1.67,1.67,287695,1.67,,
1968-04-05,1.62,1.62,1.62,1.62,184515,1.62,,
1968-04-08,1.64,1.64,1.64,1.64,117053,1.64,,
1968-04-10,1.61,1.61,1.61,1.61,279758,1.61,,
1968-04-11,1.64,1.64,1.64,1.64,307536,1.64,,
1968-04-15,1.71,1.71,1.71,1.71,249995,1.71,,
1968-04-16,1.73,1.73,1.73,1.73,244043,1.73,,
1968-04-17,1.71,1.71,1.71,1.71,164673,1.71,,
1968-04-18,1.71,1.71,1.71,1.71,140863,1.71,,
1968-04-19,1.69,1.69,1.69,1.69,115069,1.69,,
1968-04-22,1.68,1.68,1.68,1.68,97211,1.68,,
1968-04-23,1.79,1.79,1.79,1.79,253963,1.79,,
1968-04-24,1.88,1.88,1.88,1.88,265869,1.88,,
1968-04-25,1.85,1.85,1.85,1.85,458336,1.85,,
1968-04-26,1.82,1.82,1.82,1.82,77369,1.82,,
1968-04-29,1.86,1.86,1.86,1.86,61496,1.86,,
1968-04-30,1.88,1.88,1.88,1.88,105148,1.88,,
1968-05-01,1.87,1.87,1.87,1.87,188483,1.87,,
1968-05-02,1.86,1.86,1.86,1.86,196420,1.86,,
1968-05-03,1.79,1.79,1.79,1.79,317457,1.79,,
1968-05-06,1.81,1.81,1.81,1.81,87290,1.81,,
1968-05-07,1.82,1.82,1.82,1.82,63480,1.82,,
1968-05-08,1.86,1.86,1.86,1.86,200388,1.86,,
1968-05-09,1.85,1.85,1.85,1.85,162689,1.85,,
1968-05-10,1.93,1.93,1.93,1.93,158721,1.93,,
1968-05-13,1.95,1.95,1.95,1.95,263884,1.95,,
1968-05-14,2.0,2.0,2.0,2.0,349204,2.0,,
1968-05-15,1.94,1.94,1.94,1.94,160705,1.94,,
1968-05-16,1.95,1.95,1.95,1.95,136895,1.95,,
1968-05-17,1.93,1.93,1.93,1.93,91259,1.93,,
1968-05-20,1.9,1.9,1.9,1.9,71417,1.9,,
1968-05-21,1.95,1.95,1.95,1.95,134910,1.95,,
1968-05-22,2.07,2.07,2.07,2.07,656754,2.07,,
1968-05-23,2.02,2.02,2.02,2.02,226185,2.02,,
1968-05-24,2.03,2.03,2.03,2.03,126974,2.03,,
1968-05-27,2.03,2.03,2.03,2.03,142847,2.03,,
1968-05-28,2.04,2.04,2.04,2.04,192452,2.04,,
1968-05-29,2.03,2.03,2.03,2.03,152768,2.03,,
1968-05-31,2.06,2.06,2.06,2.06,194436,2.06,,
1968-06-03,2.04,2.04,2.04,2.04,174594,2.04,,
1968-06-04,2.04,2.04,2.04,2.04,164673,2.04,,
1968-06-05,2.05,2.05,2.05,2.05,128958,2.05,,
1968-06-06,2.15,2.15,2.15,2.15,722234,2.15,,
1968-06-07,2.18,2.18,2.18,2.18,309520,2.18,,
1968-06-10,2.2,2.2,2.2,2.2,218246,2.2,,
1968-06-11,2.19,2.19,2.19,2.19,279758,2.19,,
1968-06-13,2.19,2.19,2.19,2.19,486115,2.19,,
1968-06-14,2.19,2.19,2.19,2.19,234122,2.19,,
1968-06-17,2.15,2.15,2.15,2.15,265869,2.15,,
1968-06-18,2.17,2.17,2.17,2.17,287695,2.17,,
1968-06-20,2.19,2.19,2.19,2.19,232137,2.19,,
1968-06-21,2.18,2.18,2.18,2.18,333331,2.18,,
1968-06-24,2.18,2.18,2.18,2.18,124990,2.18,,
1968-06-25,2.1,2.1,2.1,2.1,374998,2.1,,
1968-06-27,2.13,2.13,2.13,2.13,192452,2.13,,
1968-06-28,2.12,2.12,2.12,2.12,75385,2.12,,
1968-07-01,2.09,2.09,2.09,2.09,115069,2.09,,
1968-07-02,2.07,2.07,2.07,2.07,285710,2.07,,
1968-07-03,2.04,2.04,2.04,2.04,428571,2.04,,
1968-07-08,2.14,2.14,2.14,2.14,422619,2.14,,
1968-07-09,2.2,2.2,2.2,2.2,202373,2.2,,
1968-07-11,2.21,2.21,2.21,2.21,228169,2.21,,
1968-07-12,2.21,2.21,2.21,2.21,315473,2.21,,
1968-07-15,2.2,2.2,2.2,2.2,126974,2.2,,
1968-07-16,2.19,2.19,2.19,2.19,174594,2.19,,
1968-07-18,2.19,2.19,2.19,2.19,124990,2.19,,
1968-07-19,2.14,2.14,2.14,2.14,119037,2.14,,
1968-07-22,2.07,2.07,2.07,2.07,234122,2.07,,
1968-07-23,2.07,2.07,2.07,2.07,1888943,2.07,,
1968-07-25,2.03,2.03,2.03,2.03,480162,2.03,,
1968-07-26,2.05,2.05,2.05,2.05,394840,2.05,,
1968-07-29,1.92,1.92,1.92,1.92,148800,1.92,,
1968-07-30,1.95,1.95,1.95,1.95,132926,1.95,,
1968-08-01,1.93,1.93,1.93,1.93,103164,1.93,,
1968-08-02,1.93,1.93,1.93,1.93,482146,1.93,,
1968-08-05,1.95,1.95,1.95,1.95,81338,1.95,,
1968-08-06,2.03,2.03,2.03,2.03,132926,2.03,,
1968-08-08,2.06,2.06,2.06,2.06,164673,2.06,,
1968-08-09,2.14,2.14,2.14,2.14,263884,2.14,,
1968-08-12,2.14,2.14,2.14,2.14,79353,2.14,,
1968-08-13,2.15,2.15,2.15,2.15,126974,2.15,,
1968-08-15,2.1,2.1,2.1,2.1,184515,2.1,,
1968-08-16,2.05,2.05,2.05,2.05,186499,2.05,,
1968-08-19,2.07,2.07,2.07,2.07,51575,2.07,,
1968-08-20,2.0,2.0,2.0,2.0,65464,2.0,,
1968-08-22,2.07,2.07,2.07,2.07,182531,2.07,,
1968-08-23,2.04,2.04,2.04,2.04,57527,2.04,,
1968-08-26,2.04,2.04,2.04,2.04,37686,2.04,,
1968-08-27,2.04,2.04,2.04,2.04,67448,2.04,,
1968-08-29,2.07,2.07,2.07,2.07,97211,2.07,,
1968-08-30,2.13,2.13,2.13,2.13,77369,2.13,,
1968-09-03,2.15,2.15,2.15,2.15,160705,2.15,,
1968-09-04,2.14,2.14,2.14,2.14,95227,2.14,,
1968-09-05,2.14,2.14,2.14,2.14,81338,2.14,,
1968-09-06,2.17,2.17,2.17,2.17,144831,2.17,,
1968-09-09,2.17,2.17,2.17,2.17,85306,2.17,,
1968-09-10,2.17,2.17,2.17,2.17,261900,2.17,,
1968-09-12,2.17,2.17,2.17,2.17,119037,2.17,,
1968-09-13,2.17,2.17,2.17,2.17,93243,2.17,,
1968-09-16,2.2,2.2,2.2,2.2,89274,2.2,,
1968-09-17,2.22,2.22,2.22,2.22,240074,2.22,,
1968-09-19,2.31,2.31,2.31,2.31,446431,2.31,,
1968-09-20,2.34,2.34,2.34,2.34,329362,2.34,,
1968-09-23,2.39,2.39,2.39,2.39,259916,2.39,,
1968-09-24,2.33,2.33,2.33,2.33,305552,2.33,,
1968-09-26,2.31,2.31,2.31,2.31,166657,2.31,,
1968-09-27,2.31,2.31,2.31,2.31,101179,2.31,,
1968-09-30,2.36,2.36,2.36,2.36,103164,2.36,,
1968-10-01,2.35,2.35,2.35,2.35,166657,2.35,,
1968-10-03,2.34,2.34,2.34,2.34,297615,2.34,,
1968-10-04,2.36,2.36,2.36,2.36,166657,2.36,,
1968-10-07,2.38,2.38,2.38,2.38,220230,2.38,,
1968-10-08,2.41,2.41,2.41,2.41,222217,2.41,,
1968-10-10,2.46,2.46,2.46,2.46,416666,2.46,,
1968-10-11,2.43,2.43,2.43,2.43,130942,2.43,,
1968-10-14,2.46,2.46,2.46,2.46,206341,2.46,,
1968-10-15,2.45,2.45,2.45,2.45,109116,2.45,,
1968-10-17,2.4,2.4,2.4,2.4,279758,2.4,,
1968-10-18,2.36,2.36,2.36,2.36,204357,2.36,,
1968-10-21,2.34,2.34,2.34,2.34,152768,2.34,,
1968-10-22,2.37,2.37,2.37,2.37,170626,2.37,,
1968-10-24,2.38,2.38,2.38,2.38,140863,2.38,,
1968-10-25,2.39,2.39,2.39,2.39,162689,2.39,,
1968-10-28,2.41,2.41,2.41,2.41,166657,2.41,,
1968-10-29,2.39,2.39,2.39,2.39,146816,2.39,,
1968-10-31,2.36,2.36,2.36,2.36,117053,2.36,,
1968-11-01,2.36,2.36,2.36,2.36,178562,2.36,,
1968-11-04,2.39,2.39,2.39,2.39,77369,2.39,,
1968-11-06,2.41,2.41,2.41,2.41,73401,2.41,,
1968-11-07,2.43,2.43,2.43,2.43,77369,2.43,,
1968-11-08,2.48,2.48,2.48,2.48,134910,2.48,,
1968-11-12,2.52,2.52,2.52,2.52,253963,2.52,,
1968-11-13,2.53,2.53,2.53,2.53,111100,2.53,,
1968-11-14,2.53,2.53,2.53,2.53,140863,2.53,,
1968-11-15,2.53,2.53,2.53,2.53,126974,2.53,,
1968-11-18,2.56,2.56,2.56,2.56,126974,2.56,,
1968-11-19,2.52,2.52,2.52,2.52,71417,2.52,,
1968-11-21,2.53,2.53,2.53,2.53,138879,2.53,,
1968-11-22,2.55,2.55,2.55,2.55,53559,2.55,,
1968-11-25,2.61,2.61,2.61,2.61,95227,2.61,,
1968-11-26,2.65,2.65,2.65,2.65,107132,2.65,,
1968-11-27,2.63,2.63,2.63,2.63,97211,2.63,,
1968-11-29,2.65,2.65,2.65,2.65,69433,2.65,,
1968-12-02,2.63,2.63,2.63,2.63,35702,2.63,,
1968-12-03,2.61,2.61,2.61,2.61,87290,2.61,,
1968-12-05,2.62,2.62,2.62,2.62,85306,2.62,,
1968-12-06,2.69,2.69,2.69,2.69,103164,2.69,,
1968-12-09,2.66,2.66,2.66,2.66,192452,2.66,,
1968-12-10,2.65,2.65,2.65,2.65,97211,2.65,,
1968-12-12,2.62,2.62,2.62,2.62,73401,2.62,,
1968-12-13,2.66,2.66,2.66,2.66,87290,2.66,,
1968-12-16,2.67,2.67,2.67,2.67,45622,2.67,,
1968-12-17,2.68,2.68,2.68,2.68,85306,2.68,,
1968-12-19,2.68,2.68,2.68,2.68,97211,2.68,,
1968-12-20,2.68,2.68,2.68,2.68,57527,2.68,,
1968-12-23,2.66,2.66,2.66,2.66,69433,2.66,,
1968-12-24,2.69,2.69,2.69,2.69,97211,2.69,,
1968-12-26,2.68,2.68,2.68,2.68,53559,2.68,,
1968-12-27,2.66,2.66,2.66,2.66,65464,2.66,,
1968-12-30,2.66,2.66,2.66,2.66,97211,2.66,,
1968-12-31,2.72,2.72,2.72,2.72,103164,2.72,,
1969-01-02,2.62,2.62,2.62,2.62,154752,2.62,,
1969-01-03,2.6,2.6,2.6,2.6,43638,2.6,,
1969-01-06,2.5,2.5,2.5,2.5,204357,2.5,,
1969-01-07,2.43,2.43,2.43,2.43,190468,2.43,,
1969-01-08,2.46,2.46,2.46,2.46,128958,2.46,,
1969-01-09,2.48,2.48,2.48,2.48,119037,2.48,,
1969-01-10,2.47,2.47,2.47,2.47,91259,2.47,,
1969-01-13,2.52,2.52,2.52,2.52,75385,2.52,,
1969-01-14,2.49,2.49,2.49,2.49,73401,2.49,,
1969-01-15,2.49,2.49,2.49,2.49,39670,2.49,,
1969-01-16,2.49,2.49,2.49,2.49,43638,2.49,,
1969-01-17,2.49,2.49,2.49,2.49,55543,2.49,,
1969-01-20,2.49,2.49,2.49,2.49,59512,2.49,,
1969-01-21,2.48,2.48,2.48,2.48,45622,2.48,,
1969-01-22,2.52,2.52,2.52,2.52,35702,2.52,,
1969-01-23,2.54,2.54,2.54,2.54,73401,2.54,,
1969-01-24,2.61,2.61,2.61,2.61,323410,2.61,,
1969-01-27,2.65,2.65,2.65,2.65,71417,2.65,,
1969-01-28,2.64,2.64,2.64,2.64,63480,2.64,,
1969-01-29,2.65,2.65,2.65,2.65,281742,2.65,,
1969-01-30,2.66,2.66,2.66,2.66,73401,2.66,,
1969-01-31,2.67,2.67,2.67,2.67,128958,2.67,,
1969-02-03,2.65,2.65,2.65,2.65,73401,2.65,,
1969-02-04,2.62,2.62,2.62,2.62,103164,2.62,,
1969-02-05,2.56,2.56,2.56,2.56,204357,2.56,,
1969-02-06,2.58,2.58,2.58,2.58,63480,2.58,,
1969-02-07,2.57,2.57,2.57,2.57,460320,2.57,,
1969-02-11,2.53,2.53,2.53,2.53,51575,2.53,,
1969-02-12,2.52,2.52,2.52,2.52,126974,2.52,,
1969-02-13,2.51,2.51,2.51,2.51,456352,2.51,,
1969-02-14,2.49,2.49,2.49,2.49,65464,2.49,,
1969-02-17,2.47,2.47,2.47,2.47,123005,2.47,,
1969-02-18,2.43,2.43,2.43,2.43,99195,2.43,,
1969-02-19,2.42,2.42,2.42,2.42,99195,2.42,,
1969-02-20,2.38,2.38,2.38,2.38,132926,2.38,,
1969-02-24,2.42,2.42,2.42,2.42,123005,2.42,,
1969-02-25,2.39,2.39,2.39,2.39,57527,2.39,,
1969-02-26,2.34,2.34,2.34,2.34,367062,2.34,,
1969-02-27,2.29,2.29,2.29,2.29,49591,2.29,,
1969-02-28,2.31,2.31,2.31,2.31,77369,2.31,,
1969-03-03,2.34,2.34,2.34,2.34,35702,2.34,,
1969-03-04,2.39,2.39,2.39,2.39,67448,2.39,,
1969-03-05,2.47,2.47,2.47,2.47,91259,2.47,,
1969-03-06,2.42,2.42,2.42,2.42,156736,2.42,,
1969-03-07,2.37,2.37,2.37,2.37,220230,2.37,,
1969-03-10,2.36,2.36,2.36,2.36,166657,2.36,,
1969-03-11,2.36,2.36,2.36,2.36,89274,2.36,,
1969-03-12,2.35,2.35,2.35,2.35,31733,2.35,,
1969-03-13,2.38,2.38,2.38,2.38,49591,2.38,,
1969-03-14,2.32,2.32,2.32,2.32,248011,2.32,,
1969-03-17,2.32,2.32,2.32,2.32,180547,2.32,,
1969-03-18,2.32,2.32,2.32,2.32,49591,2.32,,
1969-03-19,2.33,2.33,2.33,2.33,89274,2.33,,
1969-03-20,2.33,2.33,2.33,2.33,75385,2.33,,
1969-03-21,2.35,2.35,2.35,2.35,55543,2.35,,
1969-03-24,2.32,2.32,2.32,2.32,73401,2.32,,
1969-03-25,2.32,2.32,2.32,2.32,73401,2.32,,
1969-03-26,2.34,2.34,2.34,2.34,37686,2.34,,
1969-03-27,2.34,2.34,2.34,2.34,57527,2.34,,
