Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2020-03-19,40.0,46.0,40.0,45.25,7000,42.8125,0.5,90.5
2020-03-20,45.01,46.01,45.0,45.0,3600,45.255,0.5,90.0
2020-03-23,42.0,42.0,39.98,40.0,11900,40.995,0.5,80.0
2020-03-24,40.0,40.0,39.0,40.0,77832,39.75,0.5,80.0
2020-03-25,40.0,44.8,38.0,41.01,7000,40.9525,0.5,82.02
2020-03-26,45.0,47.5,44.25,45.0,29100,45.4375,0.5,90.0
2020-03-27,45.0,47.5,44.99,45.24,263228,45.6825,0.5,90.48
2020-03-30,44.25,50.0,44.25,50.0,118100,47.125,0.5,100.0
2020-03-31,46.5,50.0,44.78,50.0,210314,47.82,0.5,100.0
2020-04-01,45.99,48.5,44.0,46.7,1206140,46.2975,0.5,93.4
2020-04-02,45.02,48.66,43.2,44.0,9264200,45.22,0.5,88.0
2020-04-03,43.75,49.3,41.8,47.32,22551644,45.5425,0.5,94.64
2020-04-06,47.0,47.85,44.7,45.94,10294277,46.3725,0.5,91.88
2020-04-07,45.15,46.99,42.93,44.28,12146546,44.8375,0.5,88.56
2020-04-08,42.21,45.2,41.26,44.09,22265800,43.19,0.5,88.18
2020-04-09,44.05,50.25,44.0,49.14,17355648,46.86,0.5,98.28
2020-04-13,48.55,48.67,45.72,46.0,8545210,47.235,0.5,92.0
2020-04-14,45.91,46.3,43.97,45.89,10152133,45.5175,0.5,91.78
2020-04-15,44.19,44.85,42.8,44.55,7935500,44.0975,0.5,89.1
2020-04-16,44.08,46.41,43.55,45.62,8740244,44.915,0.5,91.24
2020-04-17,47.0,48.56,45.92,46.15,7878100,46.9075,0.5,92.3
2020-04-20,45.0,46.98,44.9,45.39,5407500,45.5675,0.5,90.78
2020-04-21,44.5,47.2,44.5,45.9,6939729,45.525,0.5,91.8
2020-04-22,47.31,49.55,46.0,47.05,6802088,47.4775,0.5,94.1
2020-04-23,47.44,48.04,46.48,47.47,5174889,47.3575,0.5,94.94
2020-04-24,48.02,48.5,46.31,47.85,6447126,47.67,0.5,95.7
2020-04-27,48.08,48.6,47.61,48.22,5541214,48.1275,0.5,96.44
2020-04-28,49.07,50.95,48.65,49.86,5368208,49.6325,0.5,99.72
2020-04-29,50.77,51.73,49.71,51.15,4343900,50.84,0.5,102.3
2020-04-30,50.97,51.6,50.5,50.91,6123800,50.995,0.5,101.82
2020-05-01,50.33,50.53,48.31,49.71,3089700,49.72,0.5,99.42
2020-05-04,48.85,49.67,47.51,49.53,5676627,48.89,0.5,99.06
2020-05-05,49.53,50.64,47.96,48.09,4103610,49.055,0.5,96.18
2020-05-06,48.61,49.0,47.89,48.31,2931809,48.4525,0.5,96.62
2020-05-07,49.02,53.29,48.99,51.81,4803320,50.7775,0.5,103.62
2020-05-08,52.12,54.17,52.11,52.95,4381849,52.8375,0.38,139.3421052631579
2020-05-11,52.0,52.4,51.06,51.81,3150608,51.8175,0.38,136.3421052631579
2020-05-12,52.19,52.29,49.69,49.72,3059907,50.9725,0.38,130.8421052631579
2020-05-13,49.0,50.3,47.89,48.21,4567104,48.85,0.38,126.86842105263158
2020-05-14,47.61,48.4,47.23,48.0,4850038,47.81,0.38,126.3157894736842
2020-05-15,47.32,49.22,47.2,48.89,2981400,48.1575,0.38,128.6578947368421
2020-05-18,50.12,52.34,50.12,52.13,4453655,51.1775,0.38,137.18421052631578
2020-05-19,51.68,52.93,51.06,52.31,2050300,51.995,0.38,137.6578947368421
2020-05-20,52.55,54.7,52.48,53.18,4755173,53.2275,0.38,139.94736842105263
2020-05-21,52.36,53.55,51.87,52.03,3813100,52.4525,0.38,136.92105263157896
2020-05-22,52.46,52.72,50.92,51.71,2134337,51.9525,0.38,136.07894736842104
2020-05-26,53.03,53.99,50.7,50.89,6247010,52.1525,0.38,133.92105263157896
2020-05-27,51.59,52.65,50.77,52.38,5202304,51.8475,0.38,137.8421052631579
2020-05-28,52.87,52.95,50.93,50.96,4260743,51.9275,0.38,134.10526315789474
2020-05-29,50.44,52.87,50.18,52.65,7522913,51.535,0.38,138.55263157894737
2020-06-01,52.45,54.44,52.11,54.08,3073320,53.27,0.38,142.3157894736842
2020-06-02,54.16,54.75,53.29,54.15,2638267,54.0875,0.38,142.5
2020-06-03,55.0,55.58,54.55,55.47,4134500,55.15,0.38,145.9736842105263
2020-06-04,55.3,56.66,54.69,55.4,3281334,55.5125,0.38,145.78947368421052
