Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1983-08-26,0.20811,0.20811,0.20811,0.20811,15754089,0.20811,,
1983-08-29,0.19944,0.19944,0.19944,0.19944,3598298,0.19944,,
1983-08-30,0.19944,0.19944,0.19944,0.19944,3096613,0.19944,,
1983-08-31,0.19944,0.19944,0.19944,0.19944,738113,0.19944,,
1983-09-01,0.1951,0.1951,0.1951,0.1951,1176367,0.1951,,
1983-09-02,0.1951,0.1951,0.1951,0.1951,674681,0.1951,,
1983-09-06,0.1951,0.1951,0.1951,0.1951,651615,0.1951,,
1983-09-07,0.1951,0.1951,0.1951,0.1951,1037971,0.1951,,
1983-09-08,0.19944,0.19944,0.19944,0.19944,697747,0.19944,,
1983-09-09,0.20377,0.20377,0.20377,0.20377,1066803,0.20377,,
1983-09-12,0.20377,0.20377,0.20377,0.20377,657381,0.20377,,
1983-09-13,0.19944,0.19944,0.19944,0.19944,317158,0.19944,,
1983-09-14,0.1951,0.1951,0.1951,0.1951,271026,0.1951,,
1983-09-15,0.1951,0.1951,0.1951,0.1951,282559,0.1951,,
1983-09-16,0.1951,0.1951,0.1951,0.1951,167229,0.1951,,
1983-09-19,0.1951,0.1951,0.1951,0.1951,149929,0.1951,,
1983-09-20,0.20811,0.20811,0.20811,0.20811,1124468,0.20811,,
1983-09-21,0.20811,0.20811,0.20811,0.20811,334457,0.20811,,
1983-09-22,0.20811,0.20811,0.20811,0.20811,420955,0.20811,,
1983-09-23,0.20811,0.20811,0.20811,0.20811,818844,0.20811,,
1983-09-26,0.21244,0.21244,0.21244,0.21244,149929,0.21244,,
1983-09-27,0.21244,0.21244,0.21244,0.21244,144163,0.21244,,
1983-09-28,0.21244,0.21244,0.21244,0.21244,126863,0.21244,,
1983-09-29,0.21244,0.21244,0.21244,0.21244,86498,0.21244,,
1983-09-30,0.21244,0.21244,0.21244,0.21244,957240,0.21244,,
1983-10-03,0.21244,0.21244,0.21244,0.21244,92264,0.21244,,
1983-10-04,0.21244,0.21244,0.21244,0.21244,74965,0.21244,,
1983-10-05,0.21244,0.21244,0.21244,0.21244,190295,0.21244,,
1983-10-06,0.23846,0.23846,0.23846,0.23846,593950,0.23846,,
1983-10-07,0.23412,0.23412,0.23412,0.23412,392122,0.23412,,
1983-10-10,0.23412,0.23412,0.23412,0.23412,126863,0.23412,,
1983-10-11,0.24279,0.24279,0.24279,0.24279,2150906,0.24279,,
1983-10-12,0.23846,0.23846,0.23846,0.23846,853443,0.23846,,
1983-10-13,0.23846,0.23846,0.23846,0.23846,2600693,0.23846,,
1983-10-14,0.23846,0.23846,0.23846,0.23846,69198,0.23846,,
1983-10-17,0.23846,0.23846,0.23846,0.23846,28833,0.23846,,
1983-10-18,0.23412,0.23412,0.23412,0.23412,253726,0.23412,,
1983-10-19,0.21678,0.21678,0.21678,0.21678,317158,0.21678,,
1983-10-20,0.22112,0.22112,0.22112,0.22112,397889,0.22112,,
1983-10-21,0.22979,0.22979,0.22979,0.22979,536285,0.22979,,
1983-10-24,0.22979,0.22979,0.22979,0.22979,196061,0.22979,,
1983-10-25,0.22979,0.22979,0.22979,0.22979,155696,0.22979,,
1983-10-26,0.23412,0.23412,0.23412,0.23412,184528,0.23412,,
1983-10-27,0.23412,0.23412,0.23412,0.23412,138396,0.23412,,
1983-10-28,0.23412,0.23412,0.23412,0.23412,115330,0.23412,,
1983-10-31,0.22979,0.22979,0.22979,0.22979,74965,0.22979,,
1983-11-01,0.22979,0.22979,0.22979,0.22979,80731,0.22979,,
1983-11-02,0.23412,0.23412,0.23412,0.23412,697747,0.23412,,
1983-11-03,0.23412,0.23412,0.23412,0.23412,80731,0.23412,,
1983-11-04,0.23412,0.23412,0.23412,0.23412,57665,0.23412,,
1983-11-07,0.23412,0.23412,0.23412,0.23412,420955,0.23412,,
1983-11-08,0.22979,0.22979,0.22979,0.22979,334457,0.22979,,
1983-11-09,0.22979,0.22979,0.22979,0.22979,34599,0.22979,,
1983-11-10,0.22979,0.22979,0.22979,0.22979,34599,0.22979,,
1983-11-11,0.22979,0.22979,0.22979,0.22979,98031,0.22979,,
1983-11-14,0.22979,0.22979,0.22979,0.22979,57665,0.22979,,
1983-11-15,0.22979,0.22979,0.22979,0.22979,51899,0.22979,,
1983-11-16,0.22112,0.22112,0.22112,0.22112,92264,0.22112,,
1983-11-17,0.22112,0.22112,0.22112,0.22112,276792,0.22112,,
1983-11-18,0.22112,0.22112,0.22112,0.22112,219127,0.22112,,
1983-11-21,0.21678,0.21678,0.21678,0.21678,403655,0.21678,,
1983-11-22,0.21244,0.21244,0.21244,0.21244,190295,0.21244,,
1983-11-23,0.21244,0.21244,0.21244,0.21244,138396,0.21244,,
1983-11-25,0.20377,0.20377,0.20377,0.20377,720813,0.20377,,
1983-11-28,0.19944,0.19944,0.19944,0.19944,726579,0.19944,,
1983-11-29,0.20377,0.20377,0.20377,0.20377,490153,0.20377,,
1983-11-30,0.20377,0.20377,0.20377,0.20377,357523,0.20377,,
1983-12-01,0.20811,0.20811,0.20811,0.20811,374823,0.20811,,
1983-12-02,0.20377,0.20377,0.20377,0.20377,1285930,0.20377,,
1983-12-05,0.20811,0.20811,0.20811,0.20811,5767,0.20811,,
1983-12-06,0.20377,0.20377,0.20377,0.20377,282559,0.20377,,
1983-12-07,0.20377,0.20377,0.20377,0.20377,63432,0.20377,,
1983-12-08,0.20376,0.20376,0.20376,0.20376,0,0.20376,,
1983-12-09,0.20377,0.20377,0.20377,0.20377,34599,0.20377,,
1983-12-12,0.20377,0.20377,0.20377,0.20377,132630,0.20377,,
1983-12-13,0.19944,0.19944,0.19944,0.19944,207594,0.19944,,
1983-12-14,0.19944,0.19944,0.19944,0.19944,132630,0.19944,,
1983-12-15,0.19944,0.19944,0.19944,0.19944,5767,0.19944,,
1983-12-16,0.19944,0.19944,0.19944,0.19944,201828,0.19944,,
1983-12-19,0.1951,0.1951,0.1951,0.1951,28833,0.1951,,
1983-12-20,0.1951,0.1951,0.1951,0.1951,294092,0.1951,,
1983-12-21,0.19944,0.19944,0.19944,0.19944,432488,0.19944,,
1983-12-22,0.21244,0.21244,0.21244,0.21244,1891413,0.21244,,
