Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,3.39,3.39,3.39,3.39,15352,3.39,,
1968-01-03,3.41,3.41,3.41,3.41,5104,3.41,,
1968-01-05,3.41,3.41,3.41,3.41,5104,3.41,,
1968-01-08,3.42,3.42,3.42,3.42,23896,3.42,,
1968-01-09,3.5,3.5,3.5,3.5,8519,3.5,,
1968-01-10,3.42,3.42,3.42,3.42,49525,3.42,,
1968-01-11,3.45,3.45,3.45,3.45,8519,3.45,,
1968-01-12,3.56,3.56,3.56,3.56,30728,3.56,,
1968-01-15,3.56,3.56,3.56,3.56,17060,3.56,,
1968-01-16,3.55,3.55,3.55,3.55,25606,3.55,,
1968-01-17,3.46,3.46,3.46,3.46,304100,3.46,,
1968-01-18,3.31,3.31,3.31,3.31,227215,3.31,,
1968-01-19,3.25,3.25,3.25,3.25,15352,3.25,,
1968-01-22,3.19,3.19,3.19,3.19,11936,3.19,,
1968-01-23,2.96,2.96,2.96,2.96,625307,2.96,,
1968-01-24,3.0,3.0,3.0,3.0,20476,3.0,,
1968-01-25,3.05,3.05,3.05,3.05,15352,3.05,,
1968-01-26,3.07,3.07,3.07,3.07,20476,3.07,,
1968-01-29,3.1,3.1,3.1,3.1,27311,3.1,,
1968-01-30,3.04,3.04,3.04,3.04,13642,3.04,,
1968-01-31,3.02,3.02,3.02,3.02,6806,3.02,,
1968-02-01,3.05,3.05,3.05,3.05,3391,3.05,,
1968-02-02,3.02,3.02,3.02,3.02,1684,3.02,,
1968-02-05,3.01,3.01,3.01,3.01,3391,3.01,,
1968-02-06,2.99,2.99,2.99,2.99,17060,2.99,,
1968-02-07,3.02,3.02,3.02,3.02,35857,3.02,,
1968-02-08,2.97,2.97,2.97,2.97,22187,2.97,,
1968-02-13,2.98,2.98,2.98,2.98,20476,2.98,,
1968-02-14,2.84,2.84,2.84,2.84,15352,2.84,,
1968-02-15,2.92,2.92,2.92,2.92,13642,2.92,,
1968-02-16,2.81,2.81,2.81,2.81,27311,2.81,,
1968-02-19,2.79,2.79,2.79,2.79,27311,2.79,,
1968-02-20,2.87,2.87,2.87,2.87,22187,2.87,,
1968-02-21,2.9,2.9,2.9,2.9,13642,2.9,,
1968-02-23,2.99,2.99,2.99,2.99,27311,2.99,,
1968-02-26,2.96,2.96,2.96,2.96,15352,2.96,,
1968-02-27,2.94,2.94,2.94,2.94,20476,2.94,,
1968-02-28,2.9,2.9,2.9,2.9,11936,2.9,,
1968-02-29,2.87,2.87,2.87,2.87,5104,2.87,,
1968-03-01,2.78,2.78,2.78,2.78,11936,2.78,,
1968-03-04,2.62,2.62,2.62,2.62,17060,2.62,,
1968-03-05,2.64,2.64,2.64,2.64,15352,2.64,,
1968-03-06,2.61,2.61,2.61,2.61,1684,2.61,,
1968-03-07,2.63,2.63,2.63,2.63,11936,2.63,,
1968-03-08,2.66,2.66,2.66,2.66,8519,2.66,,
1968-03-11,2.66,2.66,2.66,2.66,17060,2.66,,
1968-03-12,2.67,2.67,2.67,2.67,3391,2.67,,
1968-03-13,2.69,2.69,2.69,2.69,8519,2.69,,
1968-03-14,2.69,2.69,2.69,2.69,10226,2.69,,
1968-03-15,2.71,2.71,2.71,2.71,6806,2.71,,
1968-03-18,2.74,2.74,2.74,2.74,281890,2.74,,
1968-03-19,2.83,2.83,2.83,2.83,17060,2.83,,
1968-03-20,2.85,2.85,2.85,2.85,1684,2.85,,
1968-03-21,2.89,2.89,2.89,2.89,6806,2.89,,
1968-03-22,2.93,2.93,2.93,2.93,10226,2.93,,
1968-03-25,2.97,2.97,2.97,2.97,8519,2.97,,
1968-03-27,3.03,3.03,3.03,3.03,8519,3.03,,
1968-03-28,3.1,3.1,3.1,3.1,13642,3.1,,
1968-03-29,3.13,3.13,3.13,3.13,5104,3.13,,
1968-04-01,3.15,3.15,3.15,3.15,5104,3.15,,
1968-04-02,3.13,3.13,3.13,3.13,42689,3.13,,
1968-04-03,3.12,3.12,3.12,3.12,5104,3.12,,
1968-04-04,3.15,3.15,3.15,3.15,5104,3.15,,
1968-04-05,3.16,3.16,3.16,3.16,5104,3.16,,
1968-04-08,3.19,3.19,3.19,3.19,8519,3.19,,
1968-04-10,3.2,3.2,3.2,3.2,5104,3.2,,
1968-04-11,3.23,3.23,3.23,3.23,1684,3.23,,
1968-04-15,3.23,3.23,3.23,3.23,6806,3.23,,
1968-04-16,3.23,3.23,3.23,3.23,10226,3.23,,
1968-04-18,3.23,3.23,3.23,3.23,8519,3.23,,
1968-04-19,3.23,3.23,3.23,3.23,1684,3.23,,
1968-04-22,3.22,3.22,3.22,3.22,30728,3.22,,
1968-04-23,3.19,3.19,3.19,3.19,10226,3.19,,
1968-04-24,3.18,3.18,3.18,3.18,40979,3.18,,
1968-04-25,3.19,3.19,3.19,3.19,11936,3.19,,
1968-04-26,3.23,3.23,3.23,3.23,10226,3.23,,
1968-04-29,3.19,3.19,3.19,3.19,3391,3.19,,
1968-04-30,3.25,3.25,3.25,3.25,6806,3.25,,
1968-05-01,3.28,3.28,3.28,3.28,6806,3.28,,
1968-05-02,3.26,3.26,3.26,3.26,13642,3.26,,
1968-05-03,3.3,3.3,3.3,3.3,6806,3.3,,
1968-05-06,3.25,3.25,3.25,3.25,17060,3.25,,
1968-05-07,3.22,3.22,3.22,3.22,25606,3.22,,
1968-05-08,3.17,3.17,3.17,3.17,5104,3.17,,
1968-05-09,3.21,3.21,3.21,3.21,18772,3.21,,
1968-05-10,3.24,3.24,3.24,3.24,3391,3.24,,
1968-05-13,3.26,3.26,3.26,3.26,3391,3.26,,
1968-05-14,3.24,3.24,3.24,3.24,1684,3.24,,
1968-05-15,3.2,3.2,3.2,3.2,8519,3.2,,
1968-05-16,3.28,3.28,3.28,3.28,52943,3.28,,
1968-05-17,3.18,3.18,3.18,3.18,8519,3.18,,
1968-05-20,3.19,3.19,3.19,3.19,5104,3.19,,
