Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1998-02-12,7.33,7.83,7.33,7.5,3903750,7.4975,0.0667,112.44377811094454
1998-02-13,7.58,7.67,7.42,7.5,504000,7.5425,0.0667,112.44377811094454
1998-02-17,7.75,7.92,7.75,7.83,132600,7.8125,0.0667,117.3913043478261
1998-02-18,7.92,8.33,7.88,8.33,140700,8.115,0.0667,124.88755622188907
1998-02-19,8.42,8.67,8.17,8.17,235050,8.3575,0.0667,122.48875562218892
1998-02-20,8.08,8.17,7.58,7.79,204750,7.905,0.0667,116.79160419790105
1998-02-23,7.83,7.92,7.63,7.92,60600,7.825,0.0667,118.74062968515743
1998-02-24,7.88,7.92,7.54,7.67,261300,7.7525,0.0667,114.99250374812594
1998-02-25,7.75,7.75,7.5,7.67,129000,7.6675,0.0667,114.99250374812594
1998-02-26,7.58,8.08,7.58,7.96,87000,7.8,0.0667,119.34032983508247
1998-02-27,7.96,8.0,7.83,7.96,29100,7.9375,0.0667,119.34032983508247
1998-03-02,7.92,8.0,7.92,7.96,151050,7.95,0.0667,119.34032983508247
1998-03-03,8.0,8.33,7.92,8.33,71850,8.145,0.0667,124.88755622188907
1998-03-04,8.25,8.33,7.92,8.17,31050,8.1675,0.0667,122.48875562218892
1998-03-05,8.08,8.08,7.83,8.04,51600,8.0075,0.0667,120.53973013493253
1998-03-06,8.04,8.08,7.92,8.08,15000,8.03,0.0667,121.13943028485758
1998-03-09,8.08,8.25,7.92,7.92,30600,8.0425,0.0667,118.74062968515743
1998-03-10,7.92,8.08,7.67,7.92,208050,7.8975,0.0667,118.74062968515743
1998-03-11,7.92,8.25,7.92,7.96,77400,8.0125,0.0667,119.34032983508247
1998-03-12,8.0,8.33,7.92,8.29,100950,8.135,0.0667,124.28785607196401
1998-03-13,8.42,8.83,8.42,8.67,163950,8.585,0.0667,129.98500749625188
1998-03-16,8.67,8.67,8.42,8.5,191700,8.565,0.0667,127.43628185907048
1998-03-17,8.42,8.42,8.17,8.17,31950,8.295,0.0667,122.48875562218892
1998-03-18,8.17,8.42,8.17,8.25,26250,8.2525,0.0667,123.68815592203899
1998-03-19,8.42,8.42,8.25,8.42,112200,8.3775,0.0667,126.2368815592204
1998-03-20,8.33,8.67,8.33,8.63,29100,8.49,0.0667,129.38530734632687
1998-03-23,9.17,10.17,9.0,10.0,497850,9.585,0.0667,149.92503748125938
1998-03-24,10.17,10.33,9.58,9.67,100050,9.9375,0.0667,144.9775112443778
1998-03-25,9.75,10.58,9.67,10.58,198750,10.145,0.0667,158.6206896551724
1998-03-26,10.67,10.67,10.17,10.67,104850,10.545,0.0667,159.97001499250376
1998-03-27,10.71,10.79,10.33,10.67,72600,10.625,0.0667,159.97001499250376
1998-03-30,10.5,10.63,10.42,10.54,62700,10.5225,0.0667,158.02098950524737
1998-03-31,10.63,11.17,10.63,11.17,124200,10.9,-0.23,-48.565217391304344
1998-04-01,11.08,11.33,11.08,11.33,226350,11.205,-0.23,-49.26086956521739
