Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1992-02-13,2.0,2.09,2.0,2.05,18506400,2.035,0.0019,1078.9473684210525
1992-02-14,2.06,2.28,2.06,2.25,3128000,2.1625,0.0019,1184.2105263157894
1992-02-18,2.22,2.28,2.06,2.06,2584800,2.155,0.0019,1084.2105263157896
1992-02-19,2.09,2.16,2.03,2.16,2454400,2.11,0.0019,1136.842105263158
1992-02-20,2.13,2.28,2.13,2.22,1304000,2.19,0.0019,1168.421052631579
1992-02-21,2.22,2.28,2.22,2.28,616800,2.25,0.0019,1200.0
1992-02-24,2.22,2.31,2.22,2.31,772800,2.265,0.0019,1215.7894736842106
1992-02-25,2.27,2.31,2.25,2.28,517600,2.2775,0.0019,1200.0
1992-02-26,2.31,2.34,2.25,2.34,851200,2.31,0.0019,1231.578947368421
1992-02-27,2.28,2.44,2.28,2.41,555200,2.3525,0.0019,1268.421052631579
1992-02-28,2.44,2.59,2.38,2.53,1108800,2.485,0.0019,1331.578947368421
1992-03-02,2.59,2.61,2.47,2.56,873600,2.5575,0.0019,1347.3684210526317
1992-03-03,2.55,2.56,2.44,2.47,512000,2.505,0.0019,1300.0
1992-03-04,2.47,2.53,2.44,2.44,163200,2.47,0.0019,1284.2105263157894
1992-03-05,2.53,2.53,2.34,2.34,707200,2.435,0.0019,1231.578947368421
1992-03-06,2.39,2.44,2.34,2.34,765600,2.3775,0.0019,1231.578947368421
1992-03-09,2.34,2.44,2.34,2.39,766400,2.3775,0.0019,1257.8947368421054
1992-03-10,2.34,2.44,2.34,2.44,93600,2.39,0.0019,1284.2105263157894
1992-03-11,2.5,2.53,2.44,2.45,222400,2.48,0.0019,1289.4736842105265
1992-03-12,2.44,2.53,2.44,2.44,89600,2.4625,0.0019,1284.2105263157894
1992-03-13,2.44,2.56,2.44,2.53,211200,2.4925,0.0019,1331.578947368421
1992-03-16,2.5,2.56,2.5,2.56,94400,2.53,0.0019,1347.3684210526317
1992-03-17,2.47,2.56,2.47,2.47,150400,2.4925,0.0019,1300.0
1992-03-18,2.47,2.47,2.47,2.47,52000,2.47,0.0019,1300.0
1992-03-19,2.56,2.56,2.44,2.44,68800,2.5,0.0019,1284.2105263157894
1992-03-20,2.44,2.53,2.44,2.53,124800,2.485,0.0019,1331.578947368421
1992-03-23,2.44,2.52,2.44,2.48,314400,2.47,0.0019,1305.2631578947369
1992-03-24,2.47,2.52,2.44,2.44,437600,2.4675,0.0019,1284.2105263157894
1992-03-25,2.53,2.53,2.44,2.47,79200,2.4925,0.0019,1300.0
1992-03-26,2.41,2.42,2.41,2.41,47200,2.4125,0.0019,1268.421052631579
1992-03-27,2.5,2.5,2.44,2.5,79200,2.485,0.0019,1315.7894736842106
1992-03-30,2.44,2.5,2.44,2.47,46400,2.4625,0.0019,1300.0
1992-03-31,2.44,2.5,2.44,2.5,107200,2.47,0.0019,1315.7894736842106
1992-04-01,2.44,2.5,2.41,2.44,356000,2.4475,0.0019,1284.2105263157894
1992-04-02,2.5,2.5,2.44,2.47,51200,2.4775,0.0019,1300.0
1992-04-03,2.44,2.5,2.44,2.47,116800,2.4625,0.0019,1300.0
1992-04-06,2.44,2.5,2.44,2.44,71200,2.455,0.0019,1284.2105263157894
1992-04-07,2.44,2.56,2.44,2.5,116000,2.485,0.0019,1315.7894736842106
1992-04-08,2.44,2.5,2.44,2.5,247200,2.47,0.0019,1315.7894736842106
1992-04-09,2.44,2.53,2.44,2.47,36000,2.47,0.0019,1300.0
1992-04-10,2.47,2.53,2.47,2.47,87200,2.485,0.0019,1300.0
1992-04-13,2.47,2.53,2.47,2.47,16000,2.485,0.0019,1300.0
1992-04-14,2.53,2.53,2.47,2.47,25600,2.5,0.0019,1300.0
1992-04-15,2.47,2.5,2.44,2.44,84800,2.4625,0.0019,1284.2105263157894
1992-04-16,2.47,2.5,2.44,2.44,62400,2.4625,0.0019,1284.2105263157894
1992-04-20,2.41,2.41,2.38,2.38,59200,2.395,0.0019,1252.6315789473683
1992-04-21,2.38,2.38,2.38,2.38,7200,2.38,0.0019,1252.6315789473683
1992-04-22,2.38,2.47,2.38,2.47,7200,2.425,0.0019,1300.0
1992-04-23,2.38,2.42,2.38,2.38,179200,2.39,0.0019,1252.6315789473683
1992-04-24,2.38,2.44,2.34,2.41,252800,2.3925,0.0019,1268.421052631579
1992-04-27,2.34,2.44,2.34,2.34,62400,2.365,0.0019,1231.578947368421
1992-04-28,2.31,2.34,2.25,2.25,99200,2.2875,0.0019,1184.2105263157894
1992-04-29,2.34,2.34,2.25,2.28,552000,2.3025,0.0019,1200.0
1992-04-30,2.34,2.34,2.25,2.25,128000,2.295,0.0006,3750.0000000000005
1992-05-01,2.31,2.31,2.31,2.31,6400,2.31,0.0006,3850.0000000000005
1992-05-04,2.25,2.31,2.25,2.31,38400,2.28,0.0006,3850.0000000000005
