Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-04-02,0.0,0.63916,0.6326,0.63752,228816,0.63643,,
1962-04-03,0.63752,0.63752,0.61949,0.62277,205934,0.62605,,
1962-04-04,0.62277,0.62769,0.60638,0.60802,320342,0.61403,,
1962-04-05,0.60802,0.6113,0.58999,0.60966,488141,0.60365,,
1962-04-06,0.60966,0.60966,0.58999,0.58999,175426,0.59546,,
1962-04-09,0.58999,0.60638,0.58999,0.58999,175426,0.59546,,
1962-04-10,0.58999,0.59655,0.58508,0.58999,228816,0.59054,,
1962-04-11,0.58999,0.60147,0.58672,0.59491,442378,0.59436,,
1962-04-12,0.59491,0.59491,0.5818,0.58999,266952,0.5889,,
1962-04-13,0.58999,0.60966,0.58999,0.60966,327970,0.6031,,
1962-04-16,0.60966,0.60966,0.59983,0.60147,282206,0.60365,,
1962-04-17,0.60147,0.60311,0.59983,0.59983,99154,0.60092,,
1962-04-18,0.59983,0.61622,0.59983,0.60802,152544,0.60966,,
1962-04-19,0.60802,0.6113,0.60311,0.6113,122035,0.60857,,
1962-04-23,0.6113,0.62605,0.60638,0.62605,358478,0.61949,,
1962-04-24,0.62605,0.63588,0.62277,0.62769,282206,0.62878,,
1962-04-25,0.62769,0.62769,0.59655,0.59983,274579,0.60638,,
1962-04-26,0.59983,0.61458,0.59983,0.60311,129662,0.60693,,
1962-04-27,0.60311,0.61294,0.59983,0.60311,198307,0.60529,,
1962-04-30,0.60311,0.60311,0.58672,0.58999,358478,0.59218,,
1962-05-01,0.58999,0.59819,0.5818,0.59819,244070,0.59273,,
1962-05-02,0.59819,0.62277,0.59819,0.61949,488141,0.61458,,
1962-05-03,0.61949,0.62277,0.60966,0.62277,228816,0.6184,,
1962-05-04,0.62277,0.62277,0.60802,0.61622,259325,0.61348,,
1962-05-07,0.61622,0.61786,0.61294,0.61294,343224,0.61458,,
1962-05-08,0.61294,0.62605,0.61294,0.62441,572040,0.62168,,
1962-05-09,0.62441,0.62441,0.6113,0.61622,419496,0.61676,,
1962-05-10,0.61622,0.61622,0.60638,0.60802,320342,0.61021,,
1962-05-11,0.60802,0.61294,0.59655,0.59655,335597,0.60201,,
1962-05-14,0.59655,0.61458,0.58672,0.61458,511022,0.60529,,
1962-05-15,0.61458,0.62933,0.61458,0.61949,480514,0.62168,,
1962-05-16,0.61949,0.62769,0.61949,0.62113,266952,0.62277,,
1962-05-17,0.62113,0.62769,0.60311,0.61786,411869,0.61622,,
1962-05-18,0.61786,0.63752,0.61786,0.63424,640685,0.62987,,
1962-05-21,0.63424,0.63916,0.62277,0.62933,228816,0.63042,,
1962-05-22,0.62933,0.62933,0.61294,0.61622,228816,0.61895,,
1962-05-23,0.61622,0.61622,0.59819,0.59983,396614,0.60474,,
1962-05-24,0.59983,0.60966,0.59819,0.59819,427123,0.60201,,
1962-05-25,0.59819,0.60966,0.59655,0.60311,480514,0.6031,,
1962-05-28,0.60311,0.60966,0.51788,0.51788,1212725,0.54848,,
1962-05-29,0.51788,0.58508,0.51297,0.56377,1426286,0.55394,,
1962-05-31,0.56377,0.60311,0.56377,0.60311,1533067,0.59764,,
1962-06-01,0.60311,0.60311,0.56705,0.59327,724584,0.58453,,
1962-06-04,0.59327,0.59327,0.57361,0.57688,564413,0.58125,,
1962-06-05,0.57688,0.57688,0.55722,0.57688,587294,0.57033,,
1962-06-06,0.57688,0.59327,0.57688,0.57688,617803,0.58235,,
1962-06-07,0.57688,0.57688,0.56705,0.56705,175426,0.56978,,
1962-06-08,0.56705,0.57197,0.56049,0.56541,213562,0.56596,,
1962-06-11,0.56541,0.56705,0.5441,0.55394,671194,0.55503,,
1962-06-12,0.55394,0.55394,0.53591,0.53591,587294,0.54137,,
1962-06-13,0.53591,0.54902,0.53427,0.53427,472886,0.53919,,
1962-06-14,0.53427,0.54902,0.53427,0.53755,480514,0.54083,,
1962-06-15,0.53755,0.54738,0.52444,0.54738,617803,0.53974,,
1962-06-18,0.54738,0.56377,0.54738,0.55722,320342,0.55776,,
1962-06-19,0.55722,0.56049,0.54574,0.55722,274579,0.55448,,
1962-06-20,0.55722,0.56377,0.53427,0.53427,251698,0.54411,,
1962-06-21,0.53427,0.53427,0.51952,0.52444,335597,0.52608,,
1962-06-22,0.52444,0.53591,0.51297,0.51297,434750,0.52061,,
1962-06-25,0.51297,0.52772,0.5015,0.51788,556786,0.5157,,
1962-06-26,0.51788,0.5441,0.51788,0.52772,343224,0.53318,,
1962-06-27,0.52772,0.53427,0.5228,0.53427,167798,0.53045,,
1962-06-28,0.53427,0.55722,0.53427,0.55722,533904,0.5523,,
1962-06-29,0.55722,0.56869,0.55722,0.56377,388987,0.56432,,
1962-07-02,0.56377,0.56869,0.55722,0.56541,221189,0.56377,,
1962-07-03,0.56541,0.57361,0.56213,0.56869,251698,0.56814,,
1962-07-05,0.56869,0.57033,0.56541,0.56869,144917,0.56814,,
1962-07-06,0.56869,0.56869,0.55066,0.5523,175426,0.55667,,
1962-07-09,0.5523,0.55886,0.54574,0.55722,106781,0.55394,,
1962-07-10,0.55722,0.58344,0.55722,0.57524,678821,0.5747,,
1962-07-11,0.57524,0.58344,0.56541,0.58344,251698,0.57743,,
1962-07-12,0.58344,0.58835,0.57361,0.57361,198307,0.57852,,
1962-07-13,0.57361,0.57852,0.56705,0.57361,244070,0.57306,,
1962-07-16,0.57361,0.57688,0.56869,0.57361,106781,0.57306,,
1962-07-17,0.57361,0.5818,0.57361,0.57688,259325,0.57852,,
1962-07-18,0.57688,0.57688,0.56377,0.56377,144917,0.56596,,
1962-07-19,0.56377,0.57033,0.56377,0.56705,68645,0.56705,,
1962-07-20,0.56705,0.57524,0.56705,0.57197,76272,0.57251,,
1962-07-23,0.57197,0.57688,0.56705,0.56869,251698,0.57087,,
1962-07-24,0.56869,0.57524,0.56705,0.56705,144917,0.56978,,
1962-07-25,0.56705,0.56705,0.56049,0.56213,91526,0.56213,,
1962-07-26,0.56213,0.56705,0.56049,0.56213,99154,0.56323,,
1962-07-27,0.56213,0.57688,0.55394,0.57033,251698,0.56705,,
1962-07-30,0.57033,0.58016,0.57033,0.57852,68645,0.57852,,
1962-07-31,0.57852,0.59327,0.57361,0.58999,282206,0.58562,,
1962-08-01,0.58999,0.58999,0.57852,0.5818,373733,0.58344,,
1962-08-02,0.5818,0.59327,0.5818,0.59327,411869,0.59054,,
1962-08-03,0.59327,0.59983,0.58835,0.59983,373733,0.596,,
1962-08-06,0.59983,0.60638,0.59983,0.60311,457632,0.6031,,
1962-08-07,0.60311,0.60638,0.59983,0.60638,282206,0.6042,,
