Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,2.19,2.19,2.19,2.19,26992,2.19,,
1968-01-03,2.22,2.22,2.22,2.22,19792,2.22,,
1968-01-04,2.19,2.19,2.19,2.19,7192,2.19,,
1968-01-05,2.18,2.18,2.18,2.18,53992,2.18,,
1968-01-08,2.18,2.18,2.18,2.18,37792,2.18,,
1968-01-09,2.2,2.2,2.2,2.2,66592,2.2,,
1968-01-10,2.17,2.17,2.17,2.17,34192,2.17,,
1968-01-11,2.2,2.2,2.2,2.2,14392,2.2,,
1968-01-12,2.21,2.21,2.21,2.21,14392,2.21,,
1968-01-15,2.23,2.23,2.23,2.23,19792,2.23,,
1968-01-16,2.23,2.23,2.23,2.23,12592,2.23,,
1968-01-17,2.2,2.2,2.2,2.2,21592,2.2,,
1968-01-18,2.19,2.19,2.19,2.19,26992,2.19,,
1968-01-19,2.19,2.19,2.19,2.19,17992,2.19,,
1968-01-22,2.19,2.19,2.19,2.19,41392,2.19,,
1968-01-23,2.15,2.15,2.15,2.15,12592,2.15,,
1968-01-24,2.08,2.08,2.08,2.08,16192,2.08,,
1968-01-25,2.01,2.01,2.01,2.01,14392,2.01,,
1968-01-26,2.04,2.04,2.04,2.04,10792,2.04,,
1968-01-29,2.06,2.06,2.06,2.06,25192,2.06,,
1968-01-30,2.03,2.03,2.03,2.03,23392,2.03,,
1968-01-31,2.03,2.03,2.03,2.03,8992,2.03,,
1968-02-01,2.03,2.03,2.03,2.03,26992,2.03,,
1968-02-02,2.05,2.05,2.05,2.05,3592,2.05,,
1968-02-05,2.02,2.02,2.02,2.02,10792,2.02,,
1968-02-06,2.03,2.03,2.03,2.03,34192,2.03,,
1968-02-07,2.03,2.03,2.03,2.03,14392,2.03,,
1968-02-08,2.03,2.03,2.03,2.03,30592,2.03,,
1968-02-09,2.03,2.03,2.03,2.03,1792,2.03,,
1968-02-13,2.01,2.01,2.01,2.01,37792,2.01,,
1968-02-14,2.01,2.01,2.01,2.01,17992,2.01,,
1968-02-15,2.03,2.03,2.03,2.03,34192,2.03,,
1968-02-16,2.02,2.02,2.02,2.02,30592,2.02,,
1968-02-20,2.0,2.0,2.0,2.0,7192,2.0,,
1968-02-21,2.01,2.01,2.01,2.01,17992,2.01,,
1968-02-23,2.01,2.01,2.01,2.01,17992,2.01,,
1968-02-26,2.01,2.01,2.01,2.01,30592,2.01,,
