Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1968-01-02,6.67,6.67,6.67,6.67,101600,6.67,,
1968-01-03,6.61,6.61,6.61,6.61,131200,6.61,,
1968-01-04,6.69,6.69,6.69,6.69,152800,6.69,,
1968-01-05,6.64,6.64,6.64,6.64,81600,6.64,,
1968-01-08,6.5,6.5,6.5,6.5,153600,6.5,,
1968-01-09,6.13,6.13,6.13,6.13,198400,6.13,,
1968-01-10,6.13,6.13,6.13,6.13,164800,6.13,,
1968-01-11,6.11,6.11,6.11,6.11,80000,6.11,,
1968-01-12,6.08,6.08,6.08,6.08,75200,6.08,,
1968-01-15,6.19,6.19,6.19,6.19,147200,6.19,,
1968-01-16,6.14,6.14,6.14,6.14,106400,6.14,,
1968-01-17,6.23,6.23,6.23,6.23,96000,6.23,,
1968-01-18,6.27,6.27,6.27,6.27,145600,6.27,,
1968-01-19,6.25,6.25,6.25,6.25,55200,6.25,,
1968-01-22,6.08,6.08,6.08,6.08,139200,6.08,,
1968-01-23,5.86,5.86,5.86,5.86,88800,5.86,,
1968-01-24,6.08,6.08,6.08,6.08,154400,6.08,,
1968-01-25,5.88,5.88,5.88,5.88,103200,5.88,,
1968-01-26,5.89,5.89,5.89,5.89,116000,5.89,,
1968-01-29,5.67,5.67,5.67,5.67,59200,5.67,,
1968-01-30,5.5,5.5,5.5,5.5,230400,5.5,,
1968-01-31,5.38,5.38,5.38,5.38,137600,5.38,,
1968-02-01,5.25,5.25,5.25,5.25,140000,5.25,,
1968-02-02,5.28,5.28,5.28,5.28,104800,5.28,,
1968-02-05,5.25,5.25,5.25,5.25,118400,5.25,,
1968-02-06,5.44,5.44,5.44,5.44,212000,5.44,,
1968-02-07,5.63,5.63,5.63,5.63,109600,5.63,,
1968-02-08,5.56,5.56,5.56,5.56,116800,5.56,,
1968-02-09,5.47,5.47,5.47,5.47,126400,5.47,,
1968-02-13,5.34,5.34,5.34,5.34,158400,5.34,,
1968-02-14,5.55,5.55,5.55,5.55,115200,5.55,,
1968-02-15,5.58,5.58,5.58,5.58,80000,5.58,,
1968-02-16,5.58,5.58,5.58,5.58,57600,5.58,,
1968-02-19,5.64,5.64,5.64,5.64,75200,5.64,,
1968-02-20,5.69,5.69,5.69,5.69,141600,5.69,,
1968-02-21,5.72,5.72,5.72,5.72,84000,5.72,,
1968-02-23,5.69,5.69,5.69,5.69,46400,5.69,,
1968-02-26,5.56,5.56,5.56,5.56,71200,5.56,,
