Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1969-01-02,0.96658,0.96658,0.96658,0.96658,261748,0.96658,,
1969-01-06,0.98233,0.98233,0.98233,0.98233,228432,0.98233,,
1969-01-07,0.99021,0.99021,0.99021,0.99021,285544,0.99021,,
1969-01-08,0.98233,0.98233,0.98233,0.98233,399760,0.98233,,
1969-01-09,0.9692,0.9692,0.9692,0.9692,423556,0.9692,,
1969-01-13,0.91404,0.91404,0.91404,0.91404,223676,0.91404,,
1969-07-25,0.90616,0.90616,0.90616,0.90616,599640,0.90616,,
1969-07-28,0.90091,0.90091,0.90091,0.90091,157048,0.90091,,
1969-07-29,0.89303,0.89303,0.89303,0.89303,285544,0.89303,,
1969-07-30,0.88515,0.88515,0.88515,0.88515,399760,0.88515,,
1969-07-31,0.90879,0.90879,0.90879,0.90879,590124,0.90879,,
1969-08-01,0.90354,0.90354,0.90354,0.90354,418796,0.90354,,
1969-08-04,0.90879,0.90879,0.90879,0.90879,380724,0.90879,,
1969-08-05,0.89828,0.89828,0.89828,0.89828,204640,0.89828,,
1969-08-06,0.92192,0.92192,0.92192,0.92192,618676,0.92192,,
1969-08-07,0.91142,0.91142,0.91142,0.91142,623436,0.91142,,
1969-08-08,0.92718,0.92718,0.92718,0.92718,575844,0.92718,,
1969-08-11,0.91142,0.91142,0.91142,0.91142,180844,0.91142,,
1969-08-12,0.91142,0.91142,0.91142,0.91142,395000,0.91142,,
1969-08-13,0.90616,0.90616,0.90616,0.90616,199880,0.90616,,
1969-08-14,0.90616,0.90616,0.90616,0.90616,223676,0.90616,,
1969-08-15,0.92192,0.92192,0.92192,0.92192,513976,0.92192,,
1969-08-18,0.94031,0.94031,0.94031,0.94031,571088,0.94031,,
1969-08-19,0.95607,0.95607,0.95607,0.95607,466388,0.95607,,
1969-08-20,0.97971,0.97971,0.97971,0.97971,604400,0.97971,,
1969-08-21,0.97446,0.97446,0.97446,0.97446,185600,0.97446,,
1969-08-22,0.9692,0.9692,0.9692,0.9692,1265912,0.9692,,
1969-08-25,0.9587,0.9587,0.9587,0.9587,618676,0.9587,,
1969-08-26,0.96658,0.96658,0.96658,0.96658,518736,0.96658,,
1969-08-27,0.96395,0.96395,0.96395,0.96395,656748,0.96395,,
1969-08-28,1.01,1.01,1.01,1.01,3345624,1.01,,
1969-08-29,1.05,1.05,1.05,1.05,1180248,1.05,,
1969-09-02,1.04,1.04,1.04,1.04,385484,1.04,,
1969-09-03,1.03,1.03,1.03,1.03,418796,1.03,,
1969-09-08,0.97183,0.97183,0.97183,0.97183,690064,0.97183,,
1969-09-09,0.98759,0.98759,0.98759,0.98759,1161212,0.98759,,
1969-09-10,0.98759,0.98759,0.98759,0.98759,866148,0.98759,,
1969-09-11,0.98759,0.98759,0.98759,0.98759,604400,0.98759,,
1969-09-12,1.0,1.0,1.0,1.0,442592,1.0,,
1969-09-15,1.04,1.04,1.04,1.04,956572,1.04,,
