Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1999-11-10,65.0,70.31,64.5,68.13,80793700,66.985,0.53,128.54716981132074
1999-11-11,68.75,76.94,68.75,74.88,28309000,72.33,0.53,141.2830188679245
1999-11-12,76.0,76.63,69.25,70.13,14768100,73.0025,0.53,132.32075471698113
1999-11-15,70.5,70.88,67.31,69.0,8675102,69.4225,0.53,130.18867924528303
1999-11-16,67.88,68.0,65.0,66.0,6978600,66.72,0.53,124.52830188679245
1999-11-17,65.56,68.19,65.13,67.69,5806900,66.6425,0.53,127.71698113207546
1999-11-18,67.94,68.94,66.13,66.31,4718700,67.33,0.53,125.11320754716981
1999-11-19,66.31,66.31,64.25,65.0,5091100,65.4675,0.53,122.64150943396226
1999-11-22,64.06,64.25,61.0,63.13,4785400,63.11,0.53,119.11320754716981
1999-11-23,63.38,67.0,63.25,66.19,2832200,64.955,0.53,124.88679245283018
1999-11-24,66.0,68.19,65.94,67.69,2179400,66.955,0.53,127.71698113207546
1999-11-26,68.44,69.44,68.19,69.13,1322500,68.8,0.53,130.43396226415092
1999-11-29,70.0,70.25,67.0,68.13,1987000,68.845,0.53,128.54716981132074
1999-11-30,67.38,67.63,66.06,66.06,1686100,66.7825,0.53,124.64150943396226
1999-12-01,66.25,67.38,65.63,65.88,1405700,66.285,0.53,124.30188679245282
1999-12-02,66.0,67.06,65.88,67.06,1391000,66.5,0.53,126.52830188679245
1999-12-03,67.44,67.69,66.31,66.63,1753500,67.0175,0.53,125.71698113207546
1999-12-06,66.5,66.5,65.38,66.25,1398900,66.1575,0.53,125.0
1999-12-07,65.94,68.0,65.88,68.0,1793100,66.955,0.53,128.30188679245282
1999-12-08,68.0,68.38,66.75,68.38,1774000,67.8775,0.53,129.01886792452828
1999-12-09,68.38,68.75,66.63,67.5,1713600,67.815,0.53,127.35849056603773
1999-12-10,66.38,67.0,65.38,66.13,1251600,66.2225,0.53,124.77358490566036
1999-12-13,66.38,66.94,64.88,66.0,1417800,66.05,0.53,124.52830188679245
1999-12-14,66.0,66.0,64.75,66.0,1886600,65.6875,0.53,124.52830188679245
1999-12-15,65.0,65.06,63.69,63.75,1602800,64.375,0.53,120.28301886792453
1999-12-16,63.75,64.06,63.25,64.0,1364600,63.765,0.53,120.75471698113206
1999-12-17,64.75,67.63,64.69,66.63,1980800,65.925,0.53,125.71698113207546
1999-12-20,67.69,68.38,66.94,68.0,1501300,67.7525,0.53,128.30188679245282
1999-12-21,68.25,69.0,67.5,69.0,1265200,68.4375,0.53,130.18867924528303
1999-12-22,68.94,68.94,66.06,67.0,1264700,67.735,0.53,126.41509433962264
1999-12-23,66.5,67.88,65.63,67.75,1180600,66.94,0.53,127.83018867924528
1999-12-27,68.5,69.69,67.5,69.69,1478900,68.845,0.53,131.49056603773585
1999-12-28,69.5,69.69,68.06,69.0,1051400,69.0625,0.53,130.18867924528303
1999-12-29,69.0,69.38,67.56,69.38,904700,68.83,0.53,130.9056603773585
1999-12-30,69.25,69.5,68.0,69.25,926700,69.0,0.53,130.66037735849056
1999-12-31,68.88,69.5,68.38,69.0,649300,68.94,0.53,130.18867924528303
2000-01-03,69.69,69.75,67.0,67.06,1273200,68.375,0.53,126.52830188679245
2000-01-04,67.0,67.0,64.63,64.94,1385800,65.8925,0.53,122.52830188679245
2000-01-05,64.88,66.5,64.75,66.0,1401700,65.5325,0.53,124.52830188679245
2000-01-06,65.88,68.13,65.0,68.0,1959100,66.7525,0.53,128.30188679245282
2000-01-07,67.63,67.63,65.75,66.38,996000,66.8475,0.53,125.24528301886791
2000-01-10,66.88,67.44,66.44,67.06,1191700,66.955,0.53,126.52830188679245
2000-01-11,67.13,67.44,66.31,66.38,1020100,66.815,0.53,125.24528301886791
2000-01-12,66.13,67.5,65.44,67.38,1097700,66.6125,0.53,127.1320754716981
2000-01-13,67.63,68.5,67.38,68.31,1071200,67.955,0.53,128.88679245283018
