Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1997-12-18,14.5,16.13,14.38,15.0,1905200,15.0025,,
1997-12-19,15.0,15.63,14.69,15.5,275200,15.205,,
1997-12-22,15.5,15.88,15.0,15.0,88300,15.345,,
1997-12-23,15.0,15.81,15.0,15.5,74500,15.3275,,
1997-12-24,16.0,16.25,16.0,16.25,45400,16.125,,
1997-12-26,16.31,17.0,16.25,17.0,45400,16.64,,
1997-12-29,16.75,17.88,16.75,17.81,107100,17.2975,,
1997-12-30,17.81,18.06,17.56,17.94,49600,17.8425,,
1997-12-31,18.0,19.31,17.81,19.31,50800,18.6075,0.0,inf
1998-01-02,20.25,20.25,19.06,20.06,209500,19.905,0.0,inf
1998-01-05,20.5,20.75,18.25,18.81,384300,19.5775,0.0,inf
1998-01-06,19.38,19.88,18.63,19.38,195600,19.3175,0.0,inf
1998-01-07,19.44,19.44,18.38,18.88,97700,19.035,0.0,inf
1998-01-08,19.0,19.19,18.44,18.44,61300,18.7675,0.0,inf
1998-01-09,18.69,18.69,17.5,18.25,101700,18.2825,0.0,inf
1998-01-12,18.25,18.25,17.25,17.81,138500,17.89,0.0,inf
1998-01-13,19.38,20.0,19.0,19.88,297400,19.565,0.0,inf
1998-01-14,20.31,20.75,20.0,20.63,135600,20.4225,0.0,inf
1998-01-15,20.75,22.5,20.75,21.13,219900,21.2825,0.0,inf
1998-01-16,21.38,21.56,21.13,21.38,47300,21.3625,0.0,inf
1998-01-20,21.81,22.5,21.81,21.94,60600,22.015,0.0,inf
1998-01-21,21.94,23.38,21.94,22.25,89700,22.3775,0.0,inf
1998-01-22,22.38,22.75,22.0,22.06,29500,22.2975,0.0,inf
1998-01-23,22.25,22.25,21.13,21.75,48100,21.845,0.0,inf
1998-01-26,22.25,22.44,21.5,21.88,40000,22.0175,0.0,inf
1998-01-27,22.0,22.38,21.81,22.19,106600,22.095,0.0,inf
1998-01-28,22.38,23.25,22.38,23.0,44300,22.7525,0.0,inf
1998-01-29,23.13,23.88,23.0,23.63,22200,23.41,0.0,inf
1998-01-30,23.5,24.0,23.25,23.88,24000,23.6575,0.0,inf
1998-02-02,25.0,25.0,23.69,24.5,63000,24.5475,0.0,inf
1998-02-03,24.63,24.63,24.19,24.31,34900,24.44,0.0,inf
1998-02-04,24.5,25.63,24.38,25.5,71900,25.0025,0.0,inf
1998-02-05,24.75,25.25,24.38,24.94,130700,24.83,0.0,inf
1998-02-06,25.25,25.75,25.25,25.63,32000,25.47,0.0,inf
1998-02-09,26.25,26.56,25.94,26.0,62100,26.1875,0.0,inf
1998-02-10,26.0,26.63,25.75,26.5,80100,26.22,0.0,inf
1998-02-11,26.63,27.38,26.5,27.13,41700,26.91,0.0,inf
1998-02-12,27.13,27.13,26.5,26.5,28400,26.815,0.0,inf
1998-02-13,26.5,26.88,26.0,26.06,58500,26.36,0.0,inf
1998-02-17,26.19,26.88,26.19,26.88,18000,26.535,0.0,inf
1998-02-18,26.75,26.88,25.81,25.81,26100,26.3125,0.0,inf
1998-02-19,25.75,25.75,23.75,24.56,76300,24.9525,0.0,inf
1998-02-20,24.5,25.44,24.5,24.63,30600,24.7675,0.0,inf
1998-02-23,24.88,25.5,24.88,25.31,29200,25.1425,0.0,inf
1998-02-24,25.44,25.5,25.19,25.19,6400,25.33,0.0,inf
1998-02-25,25.44,25.44,25.06,25.44,9800,25.345,0.0,inf
1998-02-26,25.19,25.25,25.13,25.13,2900,25.175,0.0,inf
1998-02-27,25.25,25.44,24.69,24.69,31400,25.0175,0.0,inf
1998-03-02,24.81,25.25,24.5,24.94,45100,24.875,0.0,inf
1998-03-03,25.06,25.63,25.06,25.5,23700,25.3125,0.0,inf
1998-03-04,25.56,26.38,25.56,26.38,62700,25.97,0.0,inf
1998-03-05,26.25,26.38,25.56,25.56,74700,25.9375,0.0,inf
1998-03-06,26.25,26.69,25.56,25.56,2289400,26.015,0.0,inf
1998-03-09,25.56,26.13,25.38,25.56,463200,25.6575,0.0,inf
1998-03-10,25.63,25.75,25.13,25.13,284100,25.41,0.0,inf
1998-03-11,25.19,25.31,24.0,25.13,253100,24.9075,0.0,inf
1998-03-12,25.31,25.63,25.25,25.38,242400,25.3925,0.0,inf
1998-03-13,25.5,25.63,25.0,25.5,107500,25.4075,0.0,inf
1998-03-16,25.38,25.38,25.0,25.06,64800,25.205,0.0,inf
1998-03-17,25.19,25.63,25.06,25.63,266100,25.3775,0.0,inf
1998-03-18,25.38,25.38,24.25,24.25,402500,24.815,0.0,inf
1998-03-19,24.38,25.0,24.38,24.5,318000,24.565,0.0,inf
1998-03-20,24.25,24.25,23.5,23.5,273500,23.875,0.0,inf
1998-03-23,23.5,23.75,21.5,21.94,486500,22.6725,0.0,inf
1998-03-24,22.75,24.38,22.63,24.38,391600,23.535,0.0,inf
1998-03-25,24.5,25.25,24.06,24.88,256600,24.6725,0.0,inf
1998-03-26,24.5,24.63,24.19,24.25,57200,24.3925,0.0,inf
1998-03-27,24.25,25.38,24.25,25.25,80500,24.7825,0.0,inf
1998-03-30,25.0,25.0,24.25,24.56,201700,24.7025,0.0,inf
1998-03-31,24.5,26.0,24.5,26.0,146300,25.25,0.11,236.36363636363637
1998-04-01,26.0,26.0,25.0,25.31,60500,25.5775,0.11,230.09090909090907
1998-04-02,25.25,25.38,25.0,25.31,79900,25.235,0.11,230.09090909090907
1998-04-03,25.31,26.38,25.31,25.75,173400,25.6875,0.11,234.0909090909091
1998-04-06,25.94,25.94,25.25,25.31,51600,25.61,0.11,230.09090909090907
1998-04-07,25.44,25.44,24.13,24.38,86400,24.8475,0.11,221.63636363636363
1998-04-08,24.25,24.81,24.25,24.75,81900,24.515,0.11,225.0
1998-04-09,25.0,25.25,24.88,25.13,63300,25.065,0.11,228.45454545454544
1998-04-13,25.25,26.06,25.0,25.88,84300,25.5475,0.11,235.27272727272725
1998-04-14,28.75,29.88,27.88,29.88,561700,29.0975,0.11,271.6363636363636
1998-04-15,29.75,30.25,28.75,30.13,212200,29.72,0.11,273.9090909090909
1998-04-16,30.13,31.63,30.13,31.38,154300,30.8175,0.11,285.27272727272725
1998-04-17,31.13,31.88,31.06,31.5,94200,31.3925,0.11,286.3636363636364
1998-04-20,31.31,31.63,30.0,30.25,79700,30.7975,0.11,275.0
1998-04-21,30.5,31.38,30.25,31.0,47200,30.7825,0.11,281.8181818181818
1998-04-22,31.13,31.75,31.0,31.63,42000,31.3775,0.11,287.54545454545456
1998-04-23,31.75,31.75,30.13,30.5,62100,31.0325,0.11,277.27272727272725
1998-04-24,30.44,30.5,29.38,30.5,112600,30.205,0.11,277.27272727272725
1998-04-27,29.75,30.5,29.19,30.5,65700,29.985,0.11,277.27272727272725
1998-04-28,33.75,34.13,33.25,34.06,321000,33.7975,0.11,309.6363636363637
1998-04-29,34.5,35.31,34.25,34.5,215300,34.64,0.11,313.6363636363636
1998-04-30,34.63,35.94,34.44,34.44,108700,34.8625,0.11,313.09090909090907
1998-05-01,34.44,34.81,34.44,34.5,36400,34.5475,0.11,313.6363636363636
1998-05-04,34.63,35.19,34.5,34.63,314200,34.7375,0.11,314.8181818181818
1998-05-05,34.63,35.38,34.5,35.13,57000,34.91,0.11,319.3636363636364
1998-05-06,35.13,35.5,35.0,35.5,464800,35.2825,0.11,322.72727272727275
1998-05-07,35.38,35.75,34.88,34.88,30900,35.2225,0.11,317.0909090909091
1998-05-08,35.0,35.5,34.94,35.5,38200,35.235,0.11,322.72727272727275
1998-05-11,35.75,37.25,35.75,36.56,103000,36.3275,0.11,332.3636363636364
1998-05-12,36.75,36.94,36.5,36.56,39000,36.6875,0.11,332.3636363636364
1998-05-13,36.5,37.25,36.5,37.0,281400,36.8125,0.11,336.3636363636364
1998-05-14,37.0,37.0,36.0,36.25,88100,36.5625,0.11,329.54545454545456
1998-05-15,36.25,36.31,36.13,36.13,87200,36.205,0.11,328.4545454545455
1998-05-18,35.88,35.88,33.75,33.75,220400,34.815,0.11,306.8181818181818
1998-05-19,34.0,34.5,33.0,33.75,135400,33.8125,0.11,306.8181818181818
1998-05-20,33.88,34.0,33.5,33.94,120600,33.83,0.11,308.5454545454545
1998-05-21,34.0,34.0,33.69,33.94,31400,33.9075,0.11,308.5454545454545
1998-05-22,34.0,34.0,33.88,33.94,23100,33.955,0.11,308.5454545454545
1998-05-26,34.0,35.63,34.0,35.25,140300,34.72,0.11,320.45454545454544
1998-05-27,35.25,35.38,34.47,34.5,51700,34.9,0.11,313.6363636363636
1998-05-28,34.5,34.63,34.13,34.13,54900,34.3475,0.11,310.2727272727273
1998-05-29,34.13,34.63,34.13,34.5,29200,34.3475,0.11,313.6363636363636
1998-06-01,34.5,34.94,34.44,34.94,17400,34.705,0.11,317.6363636363636
1998-06-02,35.0,35.25,34.69,35.0,18400,34.985,0.11,318.1818181818182
1998-06-03,35.0,36.0,35.0,36.0,95300,35.5,0.11,327.27272727272725
1998-06-04,35.88,36.0,35.88,36.0,149600,35.94,0.11,327.27272727272725
1998-06-05,36.19,36.44,35.38,35.44,56000,35.8625,0.11,322.1818181818182
