Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2023-09-27,77.25,83.9,77.25,80.6,850237,79.75,0.85,94.8235294117647
2023-09-28,81.5,87.5,81.01,84.65,926153,83.665,0.85,99.58823529411765
2023-09-29,85.94,86.99,84.5,84.56,991246,85.4975,0.85,99.48235294117647
2023-10-02,83.11,89.0,81.53,85.12,23045074,84.69,0.83,102.55421686746989
2023-10-03,82.65,83.25,76.01,77.05,12671218,79.74,0.83,92.83132530120481
2023-10-04,76.67,80.62,76.35,77.8,8358300,77.86,0.83,93.73493975903615
2023-10-05,76.3,76.99,72.65,74.45,15351915,75.0975,0.83,89.6987951807229
2023-10-06,73.04,78.47,73.04,77.98,7781111,75.6325,0.83,93.95180722891567
2023-10-09,76.75,78.0,73.73,74.61,7000973,75.7725,0.83,89.89156626506025
2023-10-10,73.96,75.51,72.5,75.0,5385623,74.2425,0.83,90.36144578313254
2023-10-11,74.44,76.56,73.61,74.47,4602585,74.77,0.83,89.72289156626506
2023-10-12,73.75,75.3,72.75,74.23,4668757,74.0075,0.83,89.43373493975905
2023-10-13,73.63,73.99,70.47,71.85,5286581,72.485,0.83,86.56626506024097
2023-10-16,71.62,74.84,71.62,74.21,4555029,73.0725,0.83,89.40963855421687
2023-10-17,73.13,75.13,73.01,74.48,2584906,73.9375,0.83,89.73493975903615
2023-10-18,73.5,73.93,72.27,72.45,2959800,73.0375,0.83,87.28915662650603
2023-10-19,71.82,72.74,69.95,70.29,2867400,71.2,0.83,84.68674698795182
2023-10-20,70.4,70.78,68.9,69.93,3151500,70.0025,0.83,84.25301204819279
2023-10-23,69.3,72.47,67.65,71.9,4089800,70.33,0.83,86.6265060240964
2023-10-24,72.29,73.71,71.79,72.01,3432200,72.45,0.83,86.75903614457832
2023-10-25,71.3,72.33,69.78,70.79,3298234,71.05,0.83,85.28915662650604
2023-10-26,66.33,72.23,65.51,70.0,3537100,68.5175,0.83,84.33734939759036
2023-10-27,68.64,69.44,67.75,67.99,3412000,68.455,0.83,81.91566265060241
2023-10-30,68.48,69.33,67.42,68.36,3393797,68.3975,0.83,82.36144578313254
2023-10-31,68.92,69.73,67.65,69.0,3370700,68.825,0.83,83.13253012048193
2023-11-01,68.16,69.19,67.47,67.51,2503527,68.0825,0.83,81.33734939759037
2023-11-02,68.0,70.54,66.69,70.28,2848740,68.8775,0.83,84.67469879518073
2023-11-03,70.47,71.09,69.06,70.8,2225964,70.355,0.83,85.3012048192771
2023-11-06,70.05,70.07,68.08,68.26,2855000,69.115,0.83,82.2409638554217
2023-11-07,67.75,70.25,67.36,70.07,2133633,68.8575,0.83,84.42168674698794
2023-11-08,69.8,70.32,69.55,69.8,2053800,69.8675,0.83,84.09638554216868
2023-11-09,69.09,70.32,69.09,69.63,2020509,69.5325,0.83,83.89156626506023
2023-11-10,69.31,70.78,69.14,70.55,1645300,69.945,0.83,85.0
2023-11-13,70.28,73.2,70.18,72.98,2964323,71.66,0.83,87.9277108433735
2023-11-14,73.85,74.1,73.01,73.63,2814594,73.6475,0.83,88.71084337349397
2023-11-15,73.47,74.64,73.01,73.91,3437210,73.7575,0.83,89.04819277108433
2023-11-16,72.74,73.06,70.58,70.88,2446603,71.815,0.83,85.39759036144578
2023-11-17,70.9,71.37,70.06,70.99,1500407,70.83,0.83,85.53012048192771
2023-11-20,71.0,71.35,70.58,70.76,1814335,70.9225,0.83,85.25301204819279
2023-11-21,70.8,72.8,70.47,72.31,1767834,71.595,0.83,87.12048192771086
2023-11-22,72.8,73.83,72.34,72.94,1906300,72.9775,0.83,87.87951807228916
2023-11-24,72.66,74.13,72.23,74.01,823414,73.2575,0.83,89.16867469879519
2023-11-27,73.82,73.99,73.0,73.5,1649900,73.5775,0.83,88.55421686746989
2023-11-28,72.93,74.54,72.85,73.32,2062140,73.41,0.83,88.33734939759036
2023-11-29,73.4,75.25,73.24,74.22,2519236,74.0275,0.83,89.42168674698796
2023-11-30,74.7,77.62,74.7,77.25,8454137,76.0675,0.83,93.07228915662651
2023-12-01,77.17,77.17,75.97,76.51,2039400,76.705,0.83,92.18072289156628
