Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2009-10-07,27.0,28.97,26.41,27.22,63747344,27.4,0.27,100.81481481481481
2009-10-08,27.33,27.44,26.5,26.6,6906758,26.9675,0.27,98.51851851851852
2009-10-09,26.83,27.49,26.38,26.4,3361424,26.775,0.27,97.77777777777777
2009-10-12,27.29,27.9,26.1,26.25,7177000,26.885,0.27,97.22222222222221
2009-10-13,26.67,27.26,26.54,27.19,3296000,26.915,0.27,100.7037037037037
2009-10-14,27.25,28.24,27.0,27.99,3222458,27.62,0.27,103.66666666666666
2009-10-15,28.28,28.8,27.75,28.31,3181482,28.285,0.27,104.85185185185183
2009-10-16,28.45,28.6,27.55,28.57,3974745,28.2925,0.27,105.81481481481481
2009-10-19,28.52,28.89,27.5,27.5,1894903,28.1025,0.27,101.85185185185185
2009-10-20,27.5,28.1,27.35,28.06,3387523,27.7525,0.27,103.92592592592591
2009-10-21,28.0,28.35,27.86,28.0,1079000,28.0525,0.27,103.7037037037037
2009-10-22,27.76,28.48,27.32,27.89,1172500,27.8625,0.27,103.29629629629629
2009-10-23,28.0,28.39,27.51,28.37,2386137,28.0675,0.27,105.07407407407408
2009-10-26,27.83,28.6,27.76,28.45,834400,28.16,0.27,105.37037037037037
2009-10-27,28.54,29.25,27.93,28.56,1579023,28.57,0.27,105.77777777777777
2009-10-28,28.21,28.55,27.56,27.69,1153500,28.0025,0.27,102.55555555555556
2009-10-29,27.88,28.0,27.75,27.89,563500,27.88,0.27,103.29629629629629
2009-10-30,28.0,28.07,27.3,27.43,819600,27.7,0.27,101.59259259259258
2009-11-02,27.38,27.65,26.6,27.37,978000,27.25,0.27,101.37037037037037
2009-11-03,27.43,27.49,26.85,27.36,696703,27.2825,0.27,101.33333333333333
2009-11-04,27.33,27.48,26.95,26.96,461200,27.18,0.27,99.85185185185185
2009-11-05,27.02,27.6,26.97,27.3,470579,27.2225,0.27,101.1111111111111
2009-11-06,27.15,27.34,26.95,27.1,310800,27.135,0.27,100.37037037037037
2009-11-09,27.25,27.69,27.05,27.58,615789,27.3925,0.27,102.14814814814814
2009-11-10,27.25,28.26,27.25,27.67,287300,27.6075,0.27,102.48148148148148
2009-11-11,27.93,29.12,27.63,28.98,1174600,28.415,0.27,107.33333333333333
2009-11-12,28.78,30.0,28.43,28.9,1211600,29.0275,0.27,107.03703703703702
2009-11-13,28.78,29.08,28.51,28.9,414900,28.8175,0.27,107.03703703703702
2009-11-16,28.75,29.01,28.25,28.85,1424300,28.715,0.24,120.20833333333334
2009-11-17,28.55,28.96,27.4,27.85,2496000,28.19,0.24,116.04166666666667
2009-11-18,28.39,29.0,28.16,28.5,730900,28.5125,0.24,118.75
2009-11-19,28.81,28.89,27.94,28.54,1223600,28.545,0.24,118.91666666666667
2009-11-20,28.5,28.64,28.42,28.55,875700,28.5275,0.24,118.95833333333334
2009-11-23,28.68,28.68,27.67,28.4,447600,28.3575,0.24,118.33333333333333
2009-11-24,28.18,28.18,27.65,27.78,685400,27.9475,0.24,115.75000000000001
2009-11-25,27.72,27.81,27.17,27.3,892800,27.5,0.24,113.75000000000001
2009-11-27,26.96,27.18,26.66,26.99,264600,26.9475,0.24,112.45833333333333
2009-11-30,27.34,27.4,26.73,26.91,888700,27.095,0.24,112.125
2009-12-01,26.91,28.05,26.91,27.78,617200,27.4125,0.24,115.75000000000001
2009-12-02,27.76,27.81,27.35,27.51,820900,27.6075,0.24,114.62500000000001
2009-12-03,27.81,27.94,27.5,27.72,491800,27.7425,0.24,115.5
2009-12-04,27.85,28.44,27.85,28.43,535500,28.1425,0.24,118.45833333333334
2009-12-07,28.2,28.98,27.94,28.74,361500,28.465,0.24,119.75
2009-12-08,28.41,28.92,27.9,28.61,398200,28.46,0.24,119.20833333333333
2009-12-09,28.33,28.7,28.18,28.65,449600,28.465,0.24,119.375
2009-12-10,28.57,28.7,28.13,28.4,435200,28.45,0.24,118.33333333333333
2009-12-11,28.02,28.81,28.0,28.66,590700,28.3725,0.24,119.41666666666667
2009-12-14,28.56,29.04,28.56,28.99,502300,28.7875,0.24,120.79166666666667
2009-12-15,28.93,29.47,28.77,29.3,891900,29.1175,0.24,122.08333333333334
2009-12-16,29.27,30.97,29.15,30.39,1572400,29.945,0.24,126.625
2009-12-17,30.25,30.64,30.0,30.4,929200,30.3225,0.24,126.66666666666667
2009-12-18,30.38,31.0,29.73,30.56,8298500,30.4175,0.24,127.33333333333333
2009-12-21,30.78,30.78,29.89,30.5,885900,30.4875,0.24,127.08333333333334
2009-12-22,30.34,30.85,30.1,30.58,420900,30.4675,0.24,127.41666666666666
2009-12-23,30.68,30.94,30.21,30.68,845700,30.6275,0.24,127.83333333333334
2009-12-24,30.79,31.18,30.68,30.8,170800,30.8625,0.24,128.33333333333334
2009-12-28,30.89,31.12,30.62,30.96,250100,30.8975,0.24,129.0
2009-12-29,30.92,31.14,30.7,31.0,283400,30.94,0.24,129.16666666666669
2009-12-30,30.91,31.0,30.45,31.0,175200,30.84,0.24,129.16666666666669
2009-12-31,30.86,31.0,30.21,30.28,154600,30.5875,0.24,126.16666666666667
2010-01-04,30.41,30.5,29.67,29.85,390000,30.1075,0.24,124.37500000000001
2010-01-05,29.85,30.07,29.49,30.05,430000,29.865,0.24,125.20833333333334
2010-01-06,30.0,30.87,30.0,30.44,848900,30.3275,0.24,126.83333333333334
2010-01-07,30.36,30.68,29.8,30.39,426600,30.3075,0.24,126.625
2010-01-08,30.21,30.27,29.98,30.0,253200,30.115,0.24,125.0
2010-01-11,30.03,30.11,29.75,29.93,676500,29.955,0.24,124.70833333333334
2010-01-12,29.99,30.38,29.84,30.16,742000,30.0925,0.24,125.66666666666667
2010-01-13,30.1,30.29,30.1,30.15,394400,30.16,0.24,125.625
2010-01-14,30.09,30.1,29.89,29.91,301100,29.9975,0.24,124.625
2010-01-15,29.77,29.92,28.66,28.95,766000,29.325,0.24,120.625
2010-01-19,28.84,28.84,27.81,27.95,1531700,28.36,0.24,116.45833333333333
2010-01-20,27.81,28.1,27.69,27.99,957600,27.8975,0.24,116.625
2010-01-21,27.99,28.4,27.91,28.04,681800,28.085,0.24,116.83333333333333
2010-01-22,28.2,28.37,27.93,28.01,595600,28.1275,0.24,116.70833333333334
2010-01-25,27.98,28.24,27.91,27.95,256500,28.02,0.24,116.45833333333333
2010-01-26,27.83,28.75,27.83,28.35,302600,28.19,0.24,118.12500000000001
2010-01-27,28.23,29.24,28.01,28.9,475200,28.595,0.24,120.41666666666667
2010-01-28,28.75,29.02,28.57,28.77,495200,28.7775,0.24,119.875
2010-01-29,28.83,28.9,28.0,28.12,389800,28.4625,0.24,117.16666666666667
2010-02-01,28.21,28.46,28.2,28.41,401270,28.32,0.24,118.375
2010-02-02,28.39,28.59,27.9,27.96,536200,28.21,0.24,116.50000000000001
2010-02-03,27.96,28.13,27.9,27.99,309300,27.995,0.24,116.625
2010-02-04,27.93,27.94,27.71,27.75,617700,27.8325,0.24,115.625
2010-02-05,27.75,27.82,26.65,27.7,645500,27.48,0.24,115.41666666666667
2010-02-08,27.73,27.91,27.38,27.63,632500,27.6625,0.24,115.125
2010-02-09,27.58,28.1,27.58,27.84,1451000,27.775,0.24,116.0
2010-02-10,27.96,28.09,27.51,27.84,496600,27.85,0.24,116.0
2010-02-11,27.7,28.18,27.7,28.02,346900,27.9,0.24,116.75
2010-02-12,27.71,28.39,27.53,28.31,875600,27.985,0.24,117.95833333333333
2010-02-16,28.1,28.41,27.95,28.25,213500,28.1775,0.24,117.70833333333334
2010-02-17,28.07,28.3,27.85,27.94,456100,28.04,0.24,116.41666666666667
2010-02-18,27.77,28.1,27.66,28.0,613800,27.8825,0.24,116.66666666666667
