Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1995-06-16,7.5,7.75,7.44,7.5,6212400,7.5475,0.2,37.5
1995-06-19,7.56,7.63,7.06,7.19,1528200,7.36,0.2,35.95
1995-06-20,7.25,7.31,7.19,7.19,863000,7.235,0.2,35.95
1995-06-21,7.25,7.25,7.0,7.06,629000,7.14,0.2,35.3
1995-06-22,7.06,7.56,7.0,7.31,546200,7.2325,0.2,36.55
1995-06-23,7.38,7.44,7.25,7.31,365000,7.345,0.2,36.55
1995-06-26,7.31,7.38,7.0,7.06,515400,7.1875,0.2,35.3
1995-06-27,7.13,7.13,7.0,7.0,270800,7.065,0.2,35.0
1995-06-28,7.06,7.06,7.0,7.0,500400,7.03,0.2,35.0
1995-06-29,7.0,7.13,7.0,7.0,309200,7.0325,0.2,35.0
1995-06-30,7.06,7.19,7.06,7.13,95000,7.11,0.19,37.526315789473685
1995-07-03,7.06,7.13,7.06,7.06,9200,7.0775,0.19,37.1578947368421
1995-07-05,7.13,7.13,7.06,7.06,75600,7.095,0.19,37.1578947368421
1995-07-06,7.06,7.13,7.06,7.06,81400,7.0775,0.19,37.1578947368421
1995-07-07,7.06,7.63,7.06,7.56,475000,7.3275,0.19,39.78947368421052
1995-07-10,7.5,7.75,7.5,7.75,241400,7.625,0.19,40.78947368421053
1995-07-11,7.75,8.56,7.63,8.5,538600,8.11,0.19,44.73684210526316
1995-07-12,8.5,9.06,8.38,9.0,496200,8.735,0.19,47.368421052631575
1995-07-13,9.0,9.0,8.81,8.94,384000,8.9375,0.19,47.05263157894736
1995-07-14,8.94,8.94,8.75,8.94,102200,8.8925,0.19,47.05263157894736
1995-07-17,9.06,9.5,9.06,9.44,480200,9.265,0.19,49.68421052631579
1995-07-18,9.44,9.44,9.0,9.06,359200,9.235,0.19,47.684210526315795
1995-07-19,9.0,9.0,8.81,8.88,101600,8.9225,0.19,46.736842105263165
1995-07-20,8.75,8.75,8.44,8.69,119600,8.6575,0.19,45.73684210526316
1995-07-21,8.75,8.75,8.69,8.69,13000,8.72,0.19,45.73684210526316
1995-07-24,8.69,8.81,8.56,8.56,112000,8.655,0.19,45.05263157894737
1995-07-25,8.56,8.81,8.56,8.75,201000,8.67,0.19,46.05263157894737
1995-07-26,8.88,9.19,8.88,9.13,287800,9.02,0.19,48.05263157894737
1995-07-27,9.19,9.38,9.19,9.31,101600,9.2675,0.19,49.0
1995-07-28,9.38,9.44,9.31,9.31,100400,9.36,0.19,49.0
1995-07-31,9.38,9.38,9.06,9.25,60800,9.2675,0.19,48.68421052631579
1995-08-01,9.19,9.19,9.0,9.06,57600,9.11,0.19,47.684210526315795
1995-08-02,9.0,9.0,8.88,8.88,41000,8.94,0.19,46.736842105263165
1995-08-03,8.81,8.81,8.75,8.75,12600,8.78,0.19,46.05263157894737
1995-08-04,8.63,8.69,8.56,8.63,9000,8.6275,0.19,45.42105263157895
1995-08-07,8.56,8.75,8.56,8.69,12200,8.64,0.19,45.73684210526316
1995-08-08,8.63,8.69,8.56,8.56,3200,8.61,0.19,45.05263157894737
1995-08-09,8.44,8.44,8.19,8.19,24000,8.315,0.19,43.10526315789473
1995-08-10,8.25,8.25,8.13,8.13,6800,8.19,0.19,42.78947368421053
1995-08-11,8.13,8.13,8.13,8.13,10000,8.13,0.19,42.78947368421053
