Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2011-10-13,23.5,24.27,23.0,24.25,396841,23.755,0.39,62.179487179487175
2011-10-14,24.36,25.49,24.36,25.35,402629,24.89,0.39,65.0
2011-10-17,25.5,25.8,25.16,25.16,583402,25.405,0.39,64.51282051282051
2011-10-18,25.06,25.36,24.9,25.24,423500,25.14,0.39,64.71794871794872
2011-10-19,25.25,25.35,24.75,24.75,722232,25.025,0.39,63.46153846153846
2011-10-20,24.8,25.03,24.33,24.75,549716,24.7275,0.39,63.46153846153846
2011-10-21,25.0,25.75,24.95,25.54,1764512,25.31,0.39,65.48717948717949
2011-10-24,25.5,25.85,25.5,25.77,371300,25.655,0.39,66.07692307692308
2011-10-25,25.88,26.08,25.0,25.75,546812,25.6775,0.39,66.02564102564102
2011-10-26,26.09,26.09,24.86,25.02,657324,25.515,0.39,64.15384615384615
2011-10-27,25.25,25.95,25.25,25.62,405421,25.5175,0.39,65.6923076923077
2011-10-28,25.5,25.82,25.25,25.82,584700,25.5975,0.39,66.2051282051282
2011-10-31,26.25,26.74,25.25,26.74,15106000,26.245,0.39,68.56410256410255
2011-11-01,25.6,28.28,25.15,27.31,6095520,26.585,0.39,70.02564102564102
2011-11-02,27.4,27.4,25.79,26.62,2476700,26.8025,0.39,68.25641025641026
2011-11-03,26.94,27.07,26.38,26.39,1615000,26.695,0.39,67.66666666666667
2011-11-04,26.17,26.59,24.88,25.19,1923300,25.7075,0.39,64.58974358974359
2011-11-07,24.91,25.48,24.37,24.6,2703500,24.84,0.39,63.07692307692308
2011-11-08,25.1,25.35,24.76,24.94,2024426,25.0375,0.39,63.94871794871795
2011-11-09,24.35,25.0,23.84,23.89,1570900,24.27,0.39,61.256410256410255
2011-11-10,24.48,24.71,23.52,23.65,1166000,24.09,0.39,60.641025641025635
2011-11-11,23.88,24.09,23.63,23.79,1266200,23.8475,0.39,60.99999999999999
2011-11-14,23.58,24.1,23.49,23.93,1339000,23.775,0.39,61.35897435897436
2011-11-15,23.94,24.37,23.82,23.99,1657700,24.03,0.39,61.512820512820504
2011-11-16,23.95,24.6,23.78,24.12,1804600,24.1125,0.39,61.84615384615385
2011-11-17,24.0,24.19,23.66,23.85,1279200,23.925,0.39,61.15384615384615
2011-11-18,23.88,24.14,23.72,23.93,1426202,23.9175,0.39,61.35897435897436
2011-11-21,23.7,23.81,23.34,23.62,1282100,23.6175,0.42,56.23809523809524
2011-11-22,25.02,26.14,22.67,23.63,2126400,24.365,0.42,56.26190476190476
2011-11-23,23.27,23.75,22.88,23.68,1009700,23.395,0.42,56.38095238095238
2011-11-25,23.45,23.45,22.88,23.0,991100,23.195,0.42,54.761904761904766
2011-11-28,23.66,24.18,23.14,23.49,1567300,23.6175,0.42,55.92857142857142
2011-11-29,23.51,23.6,23.17,23.27,1222452,23.3875,0.42,55.404761904761905
2011-11-30,24.06,24.2,23.33,23.9,2320800,23.8725,0.42,56.904761904761905
2011-12-01,23.81,24.36,23.65,24.27,1046700,24.0225,0.42,57.785714285714285
2011-12-02,25.48,25.48,24.22,24.25,1208900,24.8575,0.42,57.73809523809524
2011-12-05,24.57,25.15,24.41,25.09,930900,24.805,0.42,59.73809523809524
2011-12-06,25.02,25.07,24.51,24.83,662800,24.8575,0.42,59.11904761904762
2011-12-07,24.72,24.83,23.86,24.57,951200,24.495,0.42,58.5
2011-12-08,24.45,24.55,23.8,23.88,938700,24.17,0.42,56.857142857142854
