Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1994-03-11,20.88,20.88,20.63,20.88,2359000,20.8175,,
1994-03-14,20.75,20.75,20.63,20.63,536500,20.69,,
1994-03-15,20.63,20.75,20.63,20.63,215700,20.66,,
1994-03-16,20.63,21.38,20.63,21.38,338600,21.005,,
1994-03-17,21.13,21.38,20.88,21.13,195900,21.13,,
1994-03-18,20.88,21.13,20.75,21.0,285700,20.94,,
1994-03-21,20.88,21.0,20.88,20.88,38900,20.91,,
1994-03-22,20.88,20.88,20.75,20.75,78400,20.815,,
1994-03-23,20.75,21.5,20.75,21.25,209200,21.0625,,
1994-03-24,21.0,21.13,21.0,21.0,155000,21.0325,,
1994-03-25,21.0,21.13,21.0,21.0,91500,21.0325,,
1994-03-28,21.13,21.13,20.88,21.13,111200,21.0675,,
1994-03-29,21.13,21.13,20.63,20.63,101200,20.88,,
1994-03-30,20.63,20.75,20.38,20.5,105000,20.565,0.03,683.3333333333334
1994-03-31,20.5,20.63,20.5,20.63,108300,20.565,0.03,687.6666666666666
1994-04-04,20.38,20.38,20.0,20.13,42300,20.2225,0.03,671.0
1994-04-05,20.25,20.88,20.25,20.75,55600,20.5325,0.03,691.6666666666667
1994-04-06,20.88,20.88,20.75,20.88,31800,20.8475,0.03,696.0
1994-04-07,20.88,21.0,20.75,20.75,52000,20.845,0.03,691.6666666666667
1994-04-08,20.75,20.75,20.5,20.5,24000,20.625,0.03,683.3333333333334
1994-04-11,20.5,20.63,20.38,20.38,44400,20.4725,0.03,679.3333333333334
1994-04-12,20.5,20.5,20.25,20.5,15100,20.4375,0.03,683.3333333333334
1994-04-13,20.5,20.5,20.38,20.38,30500,20.44,0.03,679.3333333333334
1994-04-14,20.5,20.5,20.38,20.38,38800,20.44,0.03,679.3333333333334
1994-04-15,20.5,20.5,20.13,20.13,12200,20.315,0.03,671.0
1994-04-18,20.13,20.38,20.13,20.13,39800,20.1925,0.03,671.0
1994-04-19,20.38,20.38,20.25,20.25,24500,20.315,0.03,675.0
1994-04-20,20.25,20.25,20.13,20.25,72000,20.22,0.03,675.0
1994-04-21,20.38,20.38,20.25,20.25,15000,20.315,0.03,675.0
1994-04-22,20.38,20.5,20.13,20.5,20700,20.3775,0.03,683.3333333333334
1994-04-25,20.38,20.5,20.25,20.25,27300,20.345,0.03,675.0
1994-04-26,20.38,20.5,20.38,20.5,64000,20.44,0.03,683.3333333333334
1994-04-28,20.63,20.75,20.5,20.63,27100,20.6275,0.03,687.6666666666666
1994-04-29,20.5,20.63,20.5,20.5,5500,20.5325,0.03,683.3333333333334
1994-05-02,20.63,20.63,20.5,20.63,11700,20.5975,0.03,687.6666666666666
1994-05-03,20.63,20.63,20.38,20.5,29000,20.535,0.03,683.3333333333334
1994-05-04,20.38,20.5,20.25,20.25,39600,20.345,0.03,675.0
1994-05-05,20.38,20.38,20.13,20.38,7600,20.3175,0.03,679.3333333333334
1994-05-06,20.38,20.38,20.0,20.13,13600,20.2225,0.03,671.0
1994-05-09,20.25,20.25,20.13,20.25,3700,20.22,0.03,675.0
1994-05-10,20.13,20.25,20.13,20.25,75100,20.19,0.03,675.0
1994-05-11,20.38,20.38,20.13,20.25,81400,20.285,0.03,675.0
1994-05-12,20.25,20.38,20.25,20.25,7100,20.2825,0.03,675.0
1994-05-13,20.38,20.38,20.25,20.25,14500,20.315,0.03,675.0
1994-05-16,20.13,20.38,20.13,20.25,12600,20.2225,0.03,675.0
1994-05-17,20.38,20.38,20.13,20.13,13400,20.255,0.03,671.0
1994-05-18,20.13,20.38,20.13,20.38,6700,20.255,0.03,679.3333333333334
1994-05-19,20.5,20.5,20.38,20.5,36500,20.47,0.03,683.3333333333334
1994-05-20,20.5,20.75,20.5,20.5,26800,20.5625,0.03,683.3333333333334
1994-05-23,20.63,21.0,20.63,21.0,36200,20.815,0.03,700.0
1994-05-24,21.0,21.38,20.88,21.38,116200,21.16,0.03,712.6666666666666
1994-05-25,21.75,21.88,21.63,21.75,283300,21.7525,0.03,725.0
1994-05-26,21.63,21.63,21.5,21.5,50200,21.565,0.03,716.6666666666667
1994-05-27,21.5,21.63,21.38,21.38,10000,21.4725,0.03,712.6666666666666
1994-05-31,21.38,21.5,21.38,21.5,41400,21.44,0.03,716.6666666666667
1994-06-01,21.5,21.88,21.5,21.75,166300,21.6575,0.03,725.0
1994-06-02,21.88,21.88,21.75,21.75,243600,21.815,0.03,725.0
1994-06-03,21.75,21.88,21.75,21.75,42400,21.7825,0.03,725.0
1994-06-06,21.88,22.75,21.88,22.63,87200,22.285,0.03,754.3333333333334
1994-06-07,22.5,22.63,21.88,21.88,19700,22.2225,0.03,729.3333333333334
1994-06-08,22.0,22.13,21.75,21.88,16100,21.94,0.03,729.3333333333334
1994-06-09,21.88,22.0,21.88,22.0,25000,21.94,0.03,733.3333333333334
1994-06-10,22.0,22.13,22.0,22.0,23900,22.0325,0.03,733.3333333333334
1994-06-13,22.0,22.0,21.88,22.0,72800,21.97,0.03,733.3333333333334
1994-06-14,22.0,22.25,22.0,22.13,38700,22.095,0.03,737.6666666666666
1994-06-15,22.25,22.25,21.75,22.0,74700,22.0625,0.03,733.3333333333334
1994-06-16,22.0,22.0,21.75,21.88,15200,21.9075,0.03,729.3333333333334
1994-06-17,21.88,21.88,21.38,21.38,12700,21.63,0.03,712.6666666666666
1994-06-20,21.38,21.38,20.75,21.0,31300,21.1275,0.03,700.0
1994-06-21,21.0,21.0,20.75,21.0,9800,20.9375,0.03,700.0
1994-06-22,21.0,21.25,21.0,21.25,13200,21.125,0.03,708.3333333333334
1994-06-23,21.25,21.25,20.75,20.75,35400,21.0,0.03,691.6666666666667
1994-06-24,20.75,21.38,20.75,21.38,19400,21.065,0.03,712.6666666666666
1994-06-27,21.25,21.25,20.75,20.75,58300,21.0,0.03,691.6666666666667
1994-06-28,20.88,21.0,20.5,20.63,14500,20.7525,0.03,687.6666666666666
1994-06-29,20.63,20.75,20.38,20.5,37700,20.565,0.03,683.3333333333334
1994-06-30,20.25,20.5,20.25,20.5,103200,20.375,0.21,97.61904761904762
1994-07-01,20.5,21.5,20.5,21.25,36800,20.9375,0.21,101.19047619047619
1994-07-05,21.5,22.0,21.38,21.63,66800,21.6275,0.21,103.0
1994-07-06,21.63,21.88,21.5,21.75,26500,21.69,0.21,103.57142857142857
1994-07-07,21.5,21.63,21.38,21.5,53900,21.5025,0.21,102.38095238095238
1994-07-08,21.5,21.63,21.5,21.63,13200,21.565,0.21,103.0
1994-07-11,21.63,22.13,21.63,21.75,84800,21.785,0.21,103.57142857142857
1994-07-12,22.0,22.0,21.13,21.25,22700,21.595,0.21,101.19047619047619
1994-07-13,21.25,21.5,21.25,21.38,32700,21.345,0.21,101.80952380952381
1994-07-14,21.25,21.75,21.25,21.63,32400,21.47,0.21,103.0
1994-07-15,21.63,21.63,21.5,21.63,27200,21.5975,0.21,103.0
1994-07-18,21.63,21.63,21.5,21.5,3200,21.565,0.21,102.38095238095238
1994-07-19,21.5,21.5,21.25,21.25,35000,21.375,0.21,101.19047619047619
1994-07-20,21.5,21.63,21.5,21.63,42900,21.565,0.21,103.0
1994-07-21,21.63,21.88,21.5,21.88,24800,21.7225,0.21,104.19047619047619
1994-07-22,21.88,21.88,21.13,21.13,42000,21.505,0.21,100.61904761904762
1994-07-25,21.25,21.25,20.5,20.5,11200,20.875,0.21,97.61904761904762
1994-07-26,20.5,20.5,20.13,20.5,49300,20.4075,0.21,97.61904761904762
1994-07-27,20.5,20.75,20.38,20.5,9100,20.5325,0.21,97.61904761904762
1994-07-28,20.75,20.75,20.38,20.5,7200,20.595,0.21,97.61904761904762
1994-07-29,20.5,20.5,20.38,20.5,25200,20.47,0.21,97.61904761904762
1994-08-01,20.5,20.75,20.5,20.75,9000,20.625,0.21,98.80952380952381
1994-08-02,21.0,21.5,21.0,21.5,4700,21.25,0.21,102.38095238095238
1994-08-03,21.5,21.88,21.5,21.88,10600,21.69,0.21,104.19047619047619
1994-08-04,22.0,22.0,21.5,21.5,12600,21.75,0.21,102.38095238095238
1994-08-05,21.25,21.25,21.13,21.13,47100,21.19,0.21,100.61904761904762
1994-08-08,21.25,21.25,21.0,21.0,9100,21.125,0.21,100.0
1994-08-09,21.25,21.25,21.0,21.0,7300,21.125,0.21,100.0
1994-08-10,21.13,21.25,21.13,21.13,16300,21.16,0.21,100.61904761904762
1994-08-11,21.13,21.25,20.88,21.13,21500,21.0975,0.21,100.61904761904762
1994-08-12,21.38,21.38,21.0,21.25,4200,21.2525,0.21,101.19047619047619
1994-08-15,21.25,21.25,21.0,21.0,11600,21.125,0.21,100.0
1994-08-16,21.0,21.0,20.63,20.63,29100,20.815,0.21,98.23809523809524
1994-08-17,20.75,20.75,20.5,20.5,33500,20.625,0.21,97.61904761904762
1994-08-18,20.5,20.63,20.13,20.25,9500,20.3775,0.21,96.42857142857143
1994-08-19,20.5,20.63,20.38,20.63,22200,20.535,0.21,98.23809523809524
1994-08-22,20.63,20.63,20.5,20.5,5600,20.565,0.21,97.61904761904762
1994-08-23,20.63,20.63,20.25,20.25,107800,20.44,0.21,96.42857142857143
1994-08-24,20.38,20.38,20.0,20.0,50500,20.19,0.21,95.23809523809524
1994-08-25,20.13,20.13,19.75,19.88,59300,19.9725,0.21,94.66666666666667
1994-08-26,19.88,20.13,19.88,20.0,135800,19.9725,0.21,95.23809523809524
1994-08-29,20.13,20.38,20.13,20.13,29100,20.1925,0.21,95.85714285714286
1994-08-30,20.25,20.38,20.25,20.38,4400,20.315,0.21,97.04761904761905
1994-08-31,20.25,20.38,20.13,20.38,11800,20.285,0.21,97.04761904761905
1994-09-01,20.38,20.75,20.25,20.75,23300,20.5325,0.21,98.80952380952381
1994-09-02,21.0,21.25,20.88,21.0,8600,21.0325,0.21,100.0
1994-09-06,21.0,21.0,20.75,21.0,3000,20.9375,0.21,100.0
1994-09-07,20.75,20.88,20.75,20.88,8000,20.815,0.21,99.42857142857143
1994-09-08,20.75,20.88,20.75,20.88,5200,20.815,0.21,99.42857142857143
1994-09-09,20.88,21.0,20.75,20.75,23800,20.845,0.21,98.80952380952381
1994-09-12,20.75,20.75,20.75,20.75,1000,20.75,0.21,98.80952380952381
1994-09-13,21.13,21.25,20.75,20.88,62600,21.0025,0.21,99.42857142857143
1994-09-14,20.63,20.88,20.63,20.63,2900,20.6925,0.21,98.23809523809524
1994-09-15,20.63,21.25,20.63,21.25,4600,20.94,0.21,101.19047619047619
1994-09-16,21.25,21.25,20.88,20.88,16500,21.065,0.21,99.42857142857143
1994-09-19,21.0,21.38,21.0,21.25,24700,21.1575,0.21,101.19047619047619
1994-09-20,21.25,21.25,21.13,21.13,33500,21.19,0.21,100.61904761904762
1994-09-21,21.13,21.13,21.0,21.0,32200,21.065,0.21,100.0
1994-09-22,21.0,21.0,20.75,20.88,52900,20.9075,0.21,99.42857142857143
1994-09-23,20.88,20.88,20.25,20.25,46100,20.565,0.21,96.42857142857143
1994-09-26,20.38,20.5,20.38,20.38,30900,20.41,0.21,97.04761904761905
1994-09-27,20.38,21.0,20.38,20.5,57100,20.565,0.21,97.61904761904762
1994-09-28,20.63,20.75,20.5,20.63,34700,20.6275,0.21,98.23809523809524
1994-09-29,20.75,21.25,20.75,21.25,20200,21.0,0.21,101.19047619047619
1994-09-30,21.25,21.25,21.0,21.25,38800,21.1875,0.2,106.25
1994-10-03,20.88,21.13,20.88,21.0,5800,20.9725,0.2,105.0
1994-10-04,21.0,21.13,20.75,20.88,19000,20.94,0.2,104.39999999999999
1994-10-05,20.88,20.88,20.63,20.75,61100,20.785,0.2,103.75
1994-10-06,20.75,20.75,20.63,20.63,5100,20.69,0.2,103.14999999999999
1994-10-07,20.75,21.13,20.75,21.0,9300,20.9075,0.2,105.0
1994-10-10,21.0,21.0,20.75,20.75,16300,20.875,0.2,103.75
1994-10-11,21.0,21.0,20.75,20.88,9300,20.9075,0.2,104.39999999999999
1994-10-12,20.88,20.88,20.75,20.88,5300,20.8475,0.2,104.39999999999999
1994-10-13,20.88,21.0,20.75,20.75,113500,20.845,0.2,103.75
1994-10-14,20.63,20.75,20.25,20.25,21100,20.47,0.2,101.25
1994-10-17,20.38,20.38,20.0,20.38,96600,20.285,0.2,101.89999999999999
1994-10-18,20.38,20.38,20.25,20.38,9400,20.3475,0.2,101.89999999999999
1994-10-19,20.25,20.38,20.25,20.38,61200,20.315,0.2,101.89999999999999
1994-10-20,20.38,20.38,20.13,20.25,36600,20.285,0.2,101.25
1994-10-21,20.13,20.25,20.13,20.25,3300,20.19,0.2,101.25
1994-10-24,20.38,20.38,20.0,20.0,21500,20.19,0.2,100.0
1994-10-25,20.25,20.38,20.0,20.38,40100,20.2525,0.2,101.89999999999999
1994-10-26,20.38,20.38,20.25,20.25,29800,20.315,0.2,101.25
1994-10-27,20.25,20.25,20.13,20.13,900,20.19,0.2,100.64999999999999
1994-10-28,20.25,20.25,19.88,19.88,1000,20.065,0.2,99.39999999999999
1994-10-31,19.88,19.88,19.5,19.5,129000,19.69,0.2,97.5
1994-11-01,19.5,19.5,19.38,19.38,4900,19.44,0.2,96.89999999999999
1994-11-02,19.38,19.38,18.75,18.75,14200,19.065,0.2,93.75
1994-11-03,18.75,18.75,18.25,18.25,20800,18.5,0.2,91.25
1994-11-04,18.25,18.38,18.0,18.38,46900,18.2525,0.2,91.89999999999999
1994-11-07,18.63,18.88,18.63,18.63,29900,18.6925,0.2,93.14999999999999
1994-11-08,18.63,18.75,18.38,18.38,26400,18.535,0.2,91.89999999999999
1994-11-09,18.5,18.5,18.38,18.38,3500,18.44,0.2,91.89999999999999
1994-11-10,18.38,18.5,18.38,18.38,4700,18.41,0.2,91.89999999999999
1994-11-11,18.38,18.5,18.38,18.5,7900,18.44,0.2,92.5
1994-11-14,18.5,18.5,18.5,18.5,500,18.5,0.2,92.5
1994-11-15,18.5,18.5,18.25,18.38,16200,18.4075,0.2,91.89999999999999
1994-11-16,18.25,18.38,18.25,18.38,15800,18.315,0.2,91.89999999999999
1994-11-17,18.38,18.38,18.38,18.38,500,18.38,0.2,91.89999999999999
1994-11-18,18.25,18.38,18.25,18.25,3400,18.2825,0.2,91.25
1994-11-21,18.38,18.5,18.25,18.25,12500,18.345,0.2,91.25
1994-11-22,18.25,18.25,18.0,18.0,46700,18.125,0.2,90.0
1994-11-23,18.0,18.0,18.0,18.0,5500,18.0,0.2,90.0
1994-11-25,18.0,18.13,18.0,18.13,400,18.065,0.2,90.64999999999999
1994-11-28,18.13,18.13,18.0,18.0,10600,18.065,0.2,90.0
1994-11-29,18.0,18.0,17.75,17.75,26200,17.875,0.2,88.75
1994-11-30,18.0,18.0,18.0,18.0,6900,18.0,0.2,90.0
1994-12-01,18.0,18.13,18.0,18.13,27200,18.065,0.2,90.64999999999999
1994-12-02,18.13,18.25,18.0,18.0,76000,18.095,0.2,90.0
1994-12-05,18.0,18.38,17.88,18.0,67100,18.065,0.2,90.0
1994-12-06,18.0,18.0,17.75,17.75,111500,17.875,0.2,88.75
1994-12-07,17.75,18.0,17.75,17.88,11000,17.845,0.2,89.39999999999999
1994-12-08,18.0,18.0,17.88,18.0,17800,17.97,0.2,90.0
1994-12-09,17.88,18.0,17.75,17.75,12600,17.845,0.2,88.75
1994-12-12,17.75,18.13,17.75,18.13,26600,17.94,0.2,90.64999999999999
1994-12-13,18.13,18.25,18.0,18.25,10400,18.1575,0.2,91.25
1994-12-14,18.25,18.75,18.13,18.75,9000,18.47,0.2,93.75
1994-12-15,18.88,18.88,18.63,18.88,34500,18.8175,0.2,94.39999999999999
1994-12-16,19.13,20.0,19.13,20.0,53100,19.565,0.2,100.0
1994-12-19,20.0,21.0,20.0,21.0,16100,20.5,0.2,105.0
1994-12-20,21.0,21.0,20.5,20.75,47900,20.8125,0.2,103.75
1994-12-21,20.88,20.88,20.75,20.75,5300,20.815,0.2,103.75
1994-12-22,20.63,20.63,20.13,20.13,11500,20.38,0.2,100.64999999999999
1994-12-23,20.13,20.13,20.13,20.13,2900,20.13,0.2,100.64999999999999
1994-12-27,20.25,20.38,20.0,20.0,6000,20.1575,0.2,100.0
1994-12-28,20.13,20.13,20.13,20.13,500,20.13,0.2,100.64999999999999
1994-12-29,20.13,20.13,20.0,20.13,1200,20.0975,0.2,100.64999999999999
1994-12-30,20.0,20.13,20.0,20.13,8300,20.065,0.21,95.85714285714286
1995-01-03,20.13,20.13,20.0,20.0,17900,20.065,0.21,95.23809523809524
1995-01-04,20.13,20.13,20.0,20.13,2700,20.0975,0.21,95.85714285714286
1995-01-05,20.0,20.63,20.0,20.63,25000,20.315,0.21,98.23809523809524
1995-01-06,20.5,20.5,20.25,20.25,2900,20.375,0.21,96.42857142857143
1995-01-09,20.25,20.5,20.25,20.5,17700,20.375,0.21,97.61904761904762
1995-01-10,20.5,20.63,20.5,20.5,11800,20.5325,0.21,97.61904761904762
1995-01-11,20.75,20.88,20.38,20.38,38500,20.5975,0.21,97.04761904761905
1995-01-12,20.38,20.38,20.38,20.38,5700,20.38,0.21,97.04761904761905
1995-01-13,20.38,20.38,20.25,20.25,10200,20.315,0.21,96.42857142857143
1995-01-16,20.25,20.38,20.25,20.38,15200,20.315,0.21,97.04761904761905
1995-01-17,20.38,20.38,20.13,20.13,33100,20.255,0.21,95.85714285714286
1995-01-18,20.13,20.13,19.63,19.88,25300,19.9425,0.21,94.66666666666667
1995-01-19,20.0,20.13,20.0,20.13,13400,20.065,0.21,95.85714285714286
1995-01-20,20.0,20.0,20.0,20.0,600,20.0,0.21,95.23809523809524
1995-01-23,19.75,19.75,19.75,19.75,1800,19.75,0.21,94.04761904761905
1995-01-24,19.75,19.88,19.63,19.63,8500,19.7225,0.21,93.47619047619048
1995-01-25,19.63,19.63,19.13,19.63,9500,19.505,0.21,93.47619047619048
1995-01-26,19.5,19.63,19.5,19.5,14000,19.5325,0.21,92.85714285714286
1995-01-27,19.63,19.63,19.38,19.38,2400,19.505,0.21,92.28571428571428
1995-01-30,19.5,19.75,19.5,19.75,6700,19.625,0.21,94.04761904761905
1995-01-31,19.88,19.88,19.88,19.88,15300,19.88,0.21,94.66666666666667
1995-02-01,19.88,20.0,19.88,20.0,3500,19.94,0.21,95.23809523809524
1995-02-02,20.0,20.13,20.0,20.0,2900,20.0325,0.21,95.23809523809524
1995-02-03,19.88,20.0,19.75,19.75,55700,19.845,0.21,94.04761904761905
1995-02-06,19.75,19.88,19.75,19.88,600,19.815,0.21,94.66666666666667
1995-02-07,19.75,19.88,19.75,19.75,800,19.7825,0.21,94.04761904761905
1995-02-08,19.63,19.63,19.5,19.63,95200,19.5975,0.21,93.47619047619048
1995-02-09,19.75,19.88,19.5,19.5,2000,19.6575,0.21,92.85714285714286
1995-02-10,19.75,19.75,19.75,19.75,400,19.75,0.21,94.04761904761905
