Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-07-22,22.75,23.0,22.63,23.0,3159100,22.845,0.1,230.0
1993-07-23,23.0,23.63,23.0,23.25,609900,23.22,0.1,232.5
1993-07-26,23.25,23.25,22.75,22.75,218400,23.0,0.1,227.5
1993-07-27,22.88,22.88,22.75,22.75,183800,22.815,0.1,227.5
1993-07-28,22.75,23.13,22.75,23.0,192900,22.9075,0.1,230.0
1993-07-29,23.0,23.13,22.88,22.88,114100,22.9725,0.1,228.79999999999998
1993-07-30,22.88,22.88,22.75,22.88,57200,22.8475,0.1,228.79999999999998
1993-08-02,22.88,23.0,22.75,22.75,79800,22.845,0.1,227.5
1993-08-03,22.88,23.0,22.75,23.0,155100,22.9075,0.1,230.0
1993-08-04,23.0,23.13,22.88,23.13,81000,23.035,0.1,231.29999999999998
1993-08-05,23.0,23.13,22.88,22.88,94500,22.9725,0.1,228.79999999999998
1993-08-06,22.88,23.0,22.88,23.0,137000,22.94,0.1,230.0
1993-08-09,22.88,23.0,22.88,22.88,119200,22.91,0.1,228.79999999999998
1993-08-10,22.88,22.88,22.5,22.5,75700,22.69,0.1,225.0
1993-08-11,22.63,22.63,22.25,22.38,37100,22.4725,0.1,223.79999999999998
1993-08-12,22.38,22.38,22.25,22.25,21400,22.315,0.1,222.5
1993-08-13,22.13,22.5,22.0,22.38,49500,22.2525,0.1,223.79999999999998
1993-08-16,22.38,22.38,22.38,22.38,9800,22.38,0.1,223.79999999999998
1993-08-17,22.38,22.5,22.25,22.5,29900,22.4075,0.1,225.0
1993-08-18,22.38,22.38,22.13,22.13,61500,22.255,0.1,221.29999999999998
1993-08-19,22.13,22.5,22.13,22.38,56300,22.285,0.1,223.79999999999998
1993-08-20,22.25,22.25,22.13,22.25,37100,22.22,0.1,222.5
1993-08-23,22.5,22.75,22.5,22.75,51700,22.625,0.1,227.5
1993-08-24,23.0,23.5,23.0,23.5,87400,23.25,0.1,235.0
1993-08-25,23.5,23.63,23.25,23.5,42200,23.47,0.1,235.0
1993-08-26,23.5,23.5,23.25,23.38,25100,23.4075,0.1,233.79999999999998
1993-08-27,23.38,23.5,23.25,23.5,22000,23.4075,0.1,235.0
1993-08-30,23.5,23.63,23.38,23.5,38600,23.5025,0.1,235.0
1993-08-31,23.63,24.13,23.63,24.0,79300,23.8475,0.1,240.0
1993-09-01,24.13,24.75,24.13,24.5,69200,24.3775,0.1,245.0
1993-09-02,24.63,24.63,24.13,24.25,46800,24.41,0.1,242.5
1993-09-03,24.38,24.5,24.13,24.5,27800,24.3775,0.1,245.0
1993-09-07,24.5,24.63,24.38,24.5,23900,24.5025,0.1,245.0
1993-09-08,24.5,24.5,24.25,24.5,36800,24.4375,0.1,245.0
1993-09-09,24.38,24.63,24.38,24.5,20800,24.4725,0.1,245.0
1993-09-10,24.63,24.75,24.5,24.75,10700,24.6575,0.1,247.5
1993-09-13,24.75,25.25,24.63,25.0,24600,24.9075,0.1,250.0
1993-09-14,24.88,25.25,24.75,25.0,25500,24.97,0.1,250.0
1993-09-15,25.0,26.0,24.88,25.63,51700,25.3775,0.1,256.29999999999995
1993-09-16,25.63,25.63,25.38,25.63,16600,25.5675,0.1,256.29999999999995
1993-09-17,25.5,25.88,25.38,25.88,38100,25.66,0.1,258.79999999999995
1993-09-20,25.75,25.88,25.63,25.63,28200,25.7225,0.1,256.29999999999995
1993-09-21,25.63,25.63,25.13,25.5,53200,25.4725,0.1,255.0
1993-09-22,25.5,25.75,25.38,25.5,26100,25.5325,0.1,255.0
1993-09-23,25.38,25.63,25.38,25.5,20700,25.4725,0.1,255.0
1993-09-24,25.25,25.38,25.25,25.38,23000,25.315,0.1,253.79999999999998
1993-09-27,25.5,25.63,25.5,25.63,35400,25.565,0.1,256.29999999999995
1993-09-28,25.88,26.5,25.75,26.5,235900,26.1575,0.1,265.0
1993-09-29,26.5,26.88,26.5,26.75,36300,26.6575,0.1,267.5
1993-09-30,26.88,27.5,26.5,27.38,66100,27.065,0.1,273.79999999999995
