Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2000-08-11,408.0,448.0,384.0,420.0,792528,415.0,-83.64,-5.0215208034433285
2000-08-14,419.0,420.0,384.0,384.0,80228,401.75,-83.64,-4.591104734576757
2000-08-15,389.0,396.0,384.0,388.0,48422,389.25,-83.64,-4.6389287422285985
2000-08-16,386.0,418.0,386.0,396.0,42166,396.5,-83.64,-4.734576757532281
2000-08-17,392.0,400.0,382.0,384.0,47247,389.5,-83.64,-4.591104734576757
2000-08-18,401.0,460.0,396.0,458.0,60440,428.75,-83.64,-5.47584887613582
2000-08-21,482.0,520.0,446.0,486.0,66581,483.5,-83.64,-5.810616929698709
2000-08-22,492.0,502.0,432.0,432.0,33884,464.5,-83.64,-5.164992826398852
2000-08-23,434.0,440.0,408.0,416.0,17925,424.5,-83.64,-4.973696795791487
2000-08-24,414.0,418.0,386.0,386.0,18441,401.0,-83.64,-4.615016738402678
2000-08-25,402.0,414.0,388.0,412.0,20113,404.0,-83.64,-4.925872788139646
2000-08-28,429.0,433.5,400.0,420.0,19491,420.625,-83.64,-5.0215208034433285
2000-08-29,430.0,432.0,404.0,428.0,22728,423.5,-83.64,-5.117168818747011
2000-08-30,427.0,470.0,424.0,454.0,19891,443.75,-83.64,-5.428024868483979
2000-08-31,482.0,528.0,476.0,518.0,87397,501.0,-83.64,-6.193208990913439
2000-09-01,516.0,520.0,480.0,504.0,27738,505.0,-83.64,-6.025824964131994
2000-09-05,506.0,520.0,496.0,498.0,23025,505.0,-83.64,-5.954088952654232
2000-09-06,516.0,520.0,488.0,496.0,20559,505.0,-83.64,-5.930176948828311
2000-09-07,512.0,512.0,428.0,460.0,23959,478.0,-83.64,-5.499760879961741
2000-09-08,456.5,464.0,440.0,448.0,15956,452.125,-83.64,-5.356288857006217
2000-09-11,442.0,448.0,432.0,444.0,34547,441.5,-83.64,-5.308464849354376
2000-09-12,435.0,442.0,412.0,416.0,33853,426.25,-83.64,-4.973696795791487
2000-09-13,408.0,420.0,396.0,400.0,10363,406.0,-83.64,-4.782400765184122
2000-09-14,444.0,444.0,400.0,406.0,8109,423.5,-83.64,-4.854136776661885
2000-09-15,402.0,416.0,400.0,402.0,3600,405.0,-83.64,-4.806312769010043
2000-09-18,420.0,424.0,382.0,386.0,18659,403.0,-83.64,-4.615016738402678
2000-09-19,419.0,420.0,344.0,360.0,48190,385.75,-83.64,-4.30416068866571
2000-09-20,368.0,370.0,312.0,332.0,24103,345.5,-83.64,-3.9693926351028215
2000-09-21,330.0,344.0,326.0,340.0,25250,335.0,-83.64,-4.065040650406504
2000-09-22,307.0,346.0,302.0,338.0,8456,323.25,-83.64,-4.041128646580583
2000-09-25,340.0,346.0,300.0,302.0,21066,322.0,-83.64,-3.6107125777140125
2000-09-26,316.0,318.0,288.0,296.0,19634,304.5,-83.64,-3.5389765662362507
2000-09-27,301.0,302.0,276.0,299.0,16756,294.5,-83.64,-3.5748445719751314
2000-09-28,296.0,344.0,292.0,320.0,22041,313.0,-83.64,-3.8259206121472977
2000-09-29,323.0,324.0,279.0,284.0,19137,302.5,-83.64,-3.395504543280727
2000-10-02,300.0,302.0,268.0,272.0,6888,285.5,-83.64,-3.252032520325203
2000-10-03,275.0,284.0,248.0,254.0,10128,265.25,-83.64,-3.0368244858919176
2000-10-04,256.0,258.0,216.0,228.0,14600,239.5,-83.64,-2.72596843615495
2000-10-05,222.0,260.0,208.0,210.0,15178,225.0,-83.64,-2.5107604017216643
2000-10-06,222.5,224.0,190.0,195.0,11413,207.875,-83.64,-2.33142037302726
2000-10-09,210.0,214.0,185.0,198.0,10650,201.75,-83.64,-2.3672883787661405
2000-10-10,202.0,204.0,176.0,182.0,13321,191.0,-83.64,-2.1759923481587755
2000-10-11,168.0,184.0,130.0,132.0,42500,153.5,-83.64,-1.5781922525107603
2000-10-12,163.0,168.0,144.0,166.0,37328,160.25,-83.64,-1.9846963175514107
2000-10-13,182.0,252.0,177.0,242.0,42863,213.25,-83.64,-2.8933524629363943
2000-10-16,260.0,262.0,236.0,260.0,38531,254.5,-83.64,-3.1085604973696794
2000-10-17,272.0,274.0,244.0,250.0,11047,260.0,-83.64,-2.9890004782400763
2000-10-18,248.0,268.0,190.0,258.0,19303,241.0,-83.64,-3.084648493543759
2000-10-19,272.0,298.0,216.0,221.0,25997,251.75,-83.64,-2.6422764227642275
2000-10-20,240.0,240.0,224.0,234.0,21797,234.5,-83.64,-2.7977044476327118
2000-10-23,236.0,269.0,228.0,264.0,17800,249.25,-83.64,-3.1563845050215207
2000-10-24,265.5,272.0,260.0,270.0,19788,266.875,-83.64,-3.2281205164992826
2000-10-25,267.5,272.0,252.0,272.0,13225,265.875,-83.64,-3.252032520325203
2000-10-26,271.0,308.0,270.0,290.0,8788,284.75,-83.64,-3.467240554758489
2000-10-27,291.5,292.0,276.0,288.0,3381,286.875,-83.64,-3.443328550932568
2000-10-30,286.0,300.0,276.0,286.0,7650,287.0,-83.64,-3.4194165471066476
2000-10-31,292.0,328.0,280.0,312.0,10488,303.0,-83.64,-3.7302725968436157
2000-11-01,311.5,336.0,306.0,312.0,11591,316.375,-83.64,-3.7302725968436157
2000-11-02,311.5,316.0,284.0,296.0,7863,301.875,-83.64,-3.5389765662362507
2000-11-03,287.0,302.0,287.0,292.0,7700,292.0,-83.64,-3.4911525585844094
2000-11-06,296.0,300.0,278.0,284.0,9731,289.5,-83.64,-3.395504543280727
2000-11-07,288.0,288.0,280.0,284.0,6675,285.0,-83.64,-3.395504543280727
2000-11-08,284.0,284.0,241.0,258.0,20909,266.75,-83.64,-3.084648493543759
2000-11-09,240.0,256.0,240.0,253.0,12606,247.25,-22.51,-11.239449133718347
2000-11-10,244.5,248.0,238.0,238.0,18113,242.125,-22.51,-10.573078631719236
2000-11-13,222.0,226.0,218.0,226.0,13725,223.0,-22.51,-10.039982230119946
2000-11-14,225.0,234.0,208.0,212.0,15722,219.75,-22.51,-9.418036428254108
2000-11-15,220.0,222.0,202.0,202.0,20422,211.5,-22.51,-8.973789426921368
2000-11-16,208.5,212.0,200.0,203.0,3903,205.875,-22.51,-9.018214127054641
