Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-08-12,13.88,14.5,13.69,14.31,13086602,14.095,0.0,inf
1993-08-13,14.25,14.25,13.88,13.88,1277800,14.065,0.0,inf
1993-08-16,13.88,14.0,13.81,14.0,559000,13.9225,0.0,inf
1993-08-17,14.0,14.13,13.94,14.06,545600,14.0325,0.0,inf
1993-08-18,14.06,14.06,14.06,14.06,469200,14.06,0.0,inf
1993-08-19,14.06,14.06,13.81,13.81,409400,13.935,0.0,inf
1993-08-20,13.88,14.06,13.88,13.94,540800,13.94,0.0,inf
1993-08-23,13.94,14.06,13.88,14.0,335600,13.97,0.0,inf
1993-08-24,14.0,14.19,14.0,14.19,234400,14.095,0.0,inf
1993-08-25,14.06,14.06,14.0,14.0,102600,14.03,0.0,inf
1993-08-26,14.0,14.31,14.0,14.31,180400,14.155,0.0,inf
1993-08-27,14.31,14.31,14.06,14.13,119600,14.2025,0.0,inf
1993-08-30,14.06,14.25,14.06,14.13,71400,14.125,0.0,inf
1993-08-31,14.13,14.44,14.13,14.38,147000,14.27,0.0,inf
1993-09-01,14.44,14.5,14.31,14.31,141600,14.39,0.0,inf
1993-09-02,14.5,14.5,14.38,14.5,217600,14.47,0.0,inf
1993-09-03,14.44,14.81,14.44,14.63,178800,14.58,0.0,inf
1993-09-07,14.56,14.81,14.56,14.69,167600,14.655,0.0,inf
1993-09-08,14.81,14.88,14.5,14.5,276200,14.6725,0.0,inf
1993-09-09,14.5,14.88,14.5,14.63,74400,14.6275,0.0,inf
1993-09-10,14.56,15.25,14.56,15.13,245000,14.875,0.0,inf
1993-09-13,14.94,15.0,14.88,15.0,251200,14.955,0.0,inf
1993-09-14,14.75,14.81,14.56,14.75,127000,14.7175,0.0,inf
1993-09-15,14.75,14.75,14.56,14.75,162400,14.7025,0.0,inf
1993-09-16,14.88,14.88,14.69,14.88,88800,14.8325,0.0,inf
1993-09-17,14.81,15.06,14.75,15.06,113000,14.92,0.0,inf
1993-09-20,14.81,14.94,14.75,14.75,15400,14.8125,0.0,inf
1993-09-21,14.88,14.88,14.69,14.81,286000,14.815,0.0,inf
1993-09-22,14.75,14.94,14.69,14.94,54800,14.83,0.0,inf
1993-09-23,14.88,14.88,14.69,14.81,51000,14.815,0.0,inf
1993-09-24,14.75,15.06,14.75,15.06,265000,14.905,0.0,inf
1993-09-27,15.06,15.75,15.06,15.69,675400,15.39,0.0,inf
1993-09-28,15.63,15.81,15.5,15.75,360800,15.6725,0.0,inf
1993-09-29,15.75,16.13,15.75,15.75,823200,15.845,0.0,inf
1993-09-30,15.69,15.75,15.5,15.56,138000,15.625,0.075,207.46666666666667
1993-10-01,15.56,15.75,15.56,15.56,31600,15.6075,0.075,207.46666666666667
1993-10-04,15.5,15.5,15.13,15.25,27600,15.345,0.075,203.33333333333334
1993-10-05,15.25,15.44,15.19,15.25,87600,15.2825,0.075,203.33333333333334
1993-10-06,15.13,15.56,15.13,15.5,327600,15.33,0.075,206.66666666666669
1993-10-07,15.38,15.75,15.38,15.56,40400,15.5175,0.075,207.46666666666667
1993-10-08,15.69,17.5,15.69,17.13,1242600,16.5025,0.075,228.4
1993-10-11,17.0,17.25,17.0,17.0,885200,17.0625,0.075,226.66666666666669
1993-10-12,17.0,18.25,17.0,18.0,708200,17.5625,0.075,240.0
1993-10-13,18.13,18.13,17.75,17.75,55600,17.94,0.075,236.66666666666669
1993-10-14,17.75,17.75,17.75,17.75,55000,17.75,0.075,236.66666666666669
1993-10-15,17.75,18.38,17.75,18.13,200600,18.0025,0.075,241.73333333333332
1993-10-18,18.06,18.31,17.75,18.06,47200,18.045,0.075,240.79999999999998
1993-10-19,17.94,17.94,17.5,17.5,173400,17.72,0.075,233.33333333333334
1993-10-20,17.5,17.56,17.06,17.44,141600,17.39,0.075,232.53333333333336
1993-10-21,17.31,17.31,17.19,17.25,32200,17.265,0.075,230.0
1993-10-22,17.19,17.75,17.19,17.5,161000,17.4075,0.075,233.33333333333334
1993-10-25,17.44,17.63,17.13,17.38,48000,17.395,0.075,231.73333333333332
1993-10-26,17.13,17.13,16.94,16.94,27000,17.035,0.075,225.8666666666667
1993-10-27,16.75,16.81,16.69,16.75,122400,16.75,0.075,223.33333333333334
1993-10-28,16.75,17.0,16.5,17.0,75400,16.8125,0.075,226.66666666666669
1993-10-29,17.13,17.31,17.0,17.31,224400,17.1875,0.075,230.79999999999998
1993-11-01,17.25,17.38,17.19,17.38,24400,17.3,0.075,231.73333333333332
1993-11-02,17.25,17.38,17.19,17.31,68800,17.2825,0.075,230.79999999999998
1993-11-03,17.31,17.5,17.25,17.5,233600,17.39,0.075,233.33333333333334
1993-11-04,17.44,17.44,16.88,16.88,267400,17.16,0.075,225.06666666666666
1993-11-05,16.88,17.5,16.88,17.38,333200,17.16,0.075,231.73333333333332
1993-11-08,17.5,17.94,17.38,17.94,164600,17.69,0.075,239.20000000000002
1993-11-09,18.13,18.25,17.94,17.94,192800,18.065,0.075,239.20000000000002
1993-11-10,17.81,17.81,17.63,17.63,6800,17.72,0.075,235.06666666666666
1993-11-11,17.5,17.5,17.19,17.38,95800,17.3925,0.075,231.73333333333332
1993-11-12,17.5,17.5,17.38,17.44,70400,17.455,0.075,232.53333333333336
1993-11-15,17.31,17.31,16.75,17.25,138000,17.155,0.075,230.0
1993-11-16,17.19,17.19,16.88,16.94,12200,17.05,0.075,225.8666666666667
1993-11-17,16.81,16.88,16.31,16.44,190800,16.61,0.075,219.20000000000002
1993-11-18,16.25,16.31,15.56,15.75,310600,15.9675,0.075,210.0
1993-11-19,15.75,15.81,15.56,15.75,180200,15.7175,0.075,210.0
1993-11-22,15.69,15.69,15.63,15.69,52200,15.675,0.075,209.2
1993-11-23,15.69,15.75,15.5,15.56,163200,15.625,0.075,207.46666666666667
1993-11-24,15.44,15.69,15.38,15.56,289200,15.5175,0.075,207.46666666666667
1993-11-26,15.56,15.56,15.5,15.5,19000,15.53,0.075,206.66666666666669
1993-11-29,15.63,15.75,15.44,15.5,96400,15.58,0.075,206.66666666666669
1993-11-30,15.44,16.25,15.44,16.25,162600,15.845,0.075,216.66666666666669
