Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1994-06-07,19.38,19.63,19.13,19.38,1595400,19.38,,
1994-06-08,19.25,19.38,19.13,19.25,162400,19.2525,,
1994-06-09,19.25,19.25,19.13,19.25,76200,19.22,,
1994-06-10,19.13,19.25,19.0,19.13,110500,19.1275,,
1994-06-13,19.0,19.13,19.0,19.13,51200,19.065,,
1994-06-14,19.13,19.25,19.13,19.25,28100,19.19,,
1994-06-15,19.25,19.5,19.13,19.25,96700,19.2825,,
1994-06-16,19.25,19.25,19.13,19.13,19800,19.19,,
1994-06-17,19.25,19.25,19.0,19.0,56000,19.125,,
1994-06-20,19.13,19.13,19.0,19.13,43500,19.0975,,
1994-06-21,19.13,19.13,19.0,19.0,34700,19.065,,
1994-06-22,19.0,19.13,19.0,19.0,29500,19.0325,,
1994-06-23,19.0,19.13,18.75,18.75,67900,18.9075,,
1994-06-24,18.63,18.63,18.13,18.38,72500,18.4425,,
1994-06-27,18.38,18.38,17.25,17.88,70100,17.9725,,
1994-06-28,18.0,18.13,17.5,17.63,64700,17.815,,
1994-06-29,17.75,18.13,17.75,17.88,25100,17.8775,,
1994-06-30,18.0,18.0,17.63,17.63,26100,17.815,0.05,352.59999999999997
1994-07-01,17.75,17.75,17.38,17.75,25500,17.6575,0.05,355.0
1994-07-05,17.75,17.88,17.75,17.88,2900,17.815,0.05,357.59999999999997
1994-07-06,17.88,17.88,17.5,17.63,33600,17.7225,0.05,352.59999999999997
1994-07-07,17.75,17.88,17.63,17.63,30500,17.7225,0.05,352.59999999999997
1994-07-08,17.75,17.88,17.63,17.63,30200,17.7225,0.05,352.59999999999997
1994-07-11,17.5,17.88,17.5,17.75,29300,17.6575,0.05,355.0
1994-07-12,17.88,17.88,17.63,17.75,11700,17.785,0.05,355.0
1994-07-13,17.75,17.88,17.63,17.75,37800,17.7525,0.05,355.0
1994-07-14,17.63,17.88,17.63,17.88,24600,17.755,0.05,357.59999999999997
1994-07-15,17.88,18.0,17.88,18.0,15000,17.94,0.05,360.0
1994-07-18,18.0,18.0,17.88,18.0,22900,17.97,0.05,360.0
1994-07-19,18.0,18.5,18.0,18.5,25700,18.25,0.05,370.0
1994-07-20,18.5,18.5,18.13,18.25,15900,18.345,0.05,365.0
