Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2017-02-01,20.1,20.42,19.8,20.0,30833000,20.08,-0.0727,-275.1031636863824
2017-02-02,20.04,20.41,20.04,20.23,4901231,20.18,-0.0727,-278.2668500687758
2017-02-03,20.35,20.8,20.3,20.63,2631545,20.52,-0.0727,-283.7689133425034
2017-02-06,21.14,21.14,20.55,20.73,1836800,20.89,-0.0727,-285.1444291609354
2017-02-07,20.75,20.86,20.62,20.8,3521570,20.7575,-0.0727,-286.1072902338377
2017-02-08,20.8,20.92,20.73,20.84,973618,20.8225,-0.0727,-286.65749656121045
2017-02-09,20.89,20.97,20.83,20.88,1798600,20.8925,-0.0727,-287.2077028885832
2017-02-10,20.92,21.87,20.78,21.02,1560824,21.1475,-0.0727,-289.13342503438787
2017-02-13,21.14,21.19,20.96,21.0,896041,21.0725,-0.0727,-288.8583218707015
2017-02-14,20.89,21.05,20.75,21.03,1143100,20.93,-0.0727,-289.2709766162311
2017-02-15,21.16,21.16,20.86,20.91,1065700,21.0225,-0.0727,-287.6203576341128
2017-02-16,20.8,21.05,20.78,20.96,740500,20.8975,-0.0727,-288.30811554332877
2017-02-17,20.93,21.22,20.76,21.15,664029,21.015,-0.0727,-290.92159559834937
2017-02-21,21.3,21.5,21.28,21.47,793309,21.3875,-0.0727,-295.3232462173315
2017-02-22,21.45,21.65,21.4,21.57,675100,21.5175,-0.0727,-296.6987620357634
2017-02-23,21.68,21.81,21.37,21.58,641434,21.61,-0.0727,-296.83631361760655
2017-02-24,21.52,21.71,21.5,21.6,763716,21.5825,-0.0727,-297.111416781293
2017-02-27,21.58,21.99,21.55,21.81,1159300,21.7325,-0.0727,-300.0
2017-02-28,21.91,22.15,21.77,21.79,1583632,21.905,-0.0727,-299.7248968363136
2017-03-01,22.14,22.15,21.17,21.53,1415061,21.7475,-0.0727,-296.14855570839063
2017-03-02,21.6,21.78,21.33,21.72,1123500,21.6075,-0.0727,-298.76203576341123
2017-03-03,21.56,21.95,21.26,21.81,1077800,21.645,-0.0727,-300.0
2017-03-06,21.78,22.0,21.62,21.92,1333200,21.83,-0.0727,-301.51306740027513
2017-03-07,21.8,21.98,21.5,21.81,709011,21.7725,-0.0727,-300.0
2017-03-08,21.78,21.82,21.52,21.55,797640,21.6675,-0.0727,-296.42365887207706
2017-03-09,21.6,21.74,21.04,21.24,1303100,21.405,-0.0727,-292.1595598349381
2017-03-10,21.28,21.54,21.28,21.4,1193724,21.375,-0.0727,-294.36038514442913
