Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1996-02-01,2.97,2.97,2.92,2.94,13718164,2.95,,
1996-02-02,2.94,2.97,2.92,2.97,3828860,2.95,,
1996-02-05,2.97,2.97,2.92,2.92,908190,2.94,,
1996-02-06,2.92,2.97,2.92,2.92,509419,2.93,,
1996-02-07,2.92,2.97,2.92,2.92,366453,2.93,,
1996-02-08,2.92,2.97,2.92,2.92,794803,2.93,,
1996-02-09,2.92,2.97,2.92,2.92,515992,2.93,,
1996-02-12,2.92,2.97,2.92,2.92,351664,2.93,,
1996-02-13,2.92,2.97,2.92,2.92,216914,2.93,,
1996-02-14,2.92,2.97,2.92,2.92,460121,2.93,,
1996-02-15,2.92,2.92,2.92,2.92,250875,2.92,,
1996-02-16,2.92,2.97,2.88,2.88,491891,2.91,,
1996-02-20,2.88,2.92,2.65,2.65,769606,2.77,,
1996-02-21,2.65,2.74,2.65,2.65,581176,2.67,,
1996-02-22,2.65,2.74,2.65,2.65,251971,2.67,,
1996-02-23,2.65,2.74,2.65,2.69,486413,2.68,,
1996-02-26,2.74,2.83,2.69,2.78,218557,2.76,,
1996-02-27,2.78,2.88,2.78,2.88,1286146,2.83,,
1996-02-28,2.83,2.88,2.78,2.83,219105,2.83,,
1996-02-29,2.88,2.92,2.83,2.9,289219,2.88,,
1996-03-01,2.88,2.92,2.88,2.92,528591,2.9,,
1996-03-04,2.88,2.92,2.88,2.88,477649,2.89,,
1996-03-05,2.88,2.92,2.88,2.88,175284,2.89,,
1996-03-06,2.88,2.88,2.74,2.74,1273548,2.81,,
1996-03-07,2.74,2.83,2.74,2.76,612946,2.77,,
1996-03-08,2.74,2.78,2.6,2.6,657315,2.68,,
1996-03-11,2.69,2.69,2.6,2.65,346186,2.66,,
1996-03-12,2.65,2.74,2.65,2.74,297435,2.69,,
1996-03-13,2.65,2.74,2.65,2.74,135845,2.69,,
1996-03-14,2.72,2.74,2.65,2.65,405892,2.69,,
1996-03-15,2.65,2.69,2.65,2.65,58063,2.66,,
1996-03-18,2.65,2.78,2.65,2.65,278263,2.68,,
1996-03-19,2.65,2.78,2.65,2.78,21911,2.72,,
1996-03-20,2.78,2.78,2.6,2.65,1378170,2.7,,
1996-03-21,2.6,2.69,2.6,2.69,24102,2.65,,
1996-03-22,2.6,2.67,2.6,2.6,72305,2.62,,
1996-03-25,2.69,2.69,2.51,2.51,204315,2.6,,
1996-03-26,2.51,2.6,2.51,2.51,1286146,2.53,,
1996-03-27,2.6,2.6,2.51,2.6,119960,2.58,,
1996-03-28,2.56,2.74,2.56,2.65,1144824,2.62,,
1996-03-29,2.74,2.78,2.65,2.78,53133,2.74,,
1996-04-01,2.78,2.92,2.78,2.83,124342,2.83,,
1996-04-02,2.83,2.88,2.83,2.83,59706,2.84,,
1996-04-03,2.83,2.88,2.83,2.83,78330,2.84,,
1996-04-04,2.83,2.88,2.83,2.83,46012,2.84,,
1996-04-08,2.78,2.83,2.78,2.78,61897,2.8,,
1996-04-09,2.83,2.83,2.65,2.72,72305,2.76,,
1996-04-10,2.65,2.74,2.65,2.65,33414,2.67,,
1996-04-11,2.67,2.74,2.65,2.74,182405,2.7,,
1996-04-12,2.74,2.74,2.65,2.69,69566,2.7,,
1996-04-15,2.65,2.69,2.65,2.67,343447,2.66,,
1996-04-16,2.65,2.74,2.65,2.74,85451,2.69,,
1996-04-17,2.74,2.74,2.65,2.65,110648,2.69,,
1996-04-18,2.65,2.72,2.65,2.65,409179,2.66,,
1996-04-19,2.65,2.74,2.65,2.72,162685,2.69,,
1996-04-22,2.65,2.74,2.65,2.74,122699,2.69,,
1996-04-23,2.74,2.74,2.65,2.65,28484,2.69,,
1996-04-24,2.65,2.74,2.65,2.74,81069,2.69,,
1996-04-25,2.65,2.74,2.65,2.74,30675,2.69,,
1996-04-26,2.74,2.74,2.65,2.65,20267,2.69,,
1996-04-29,2.65,2.78,2.65,2.69,53681,2.69,,
1996-04-30,2.74,3.06,2.74,3.06,417943,2.9,,
1996-05-01,3.01,3.06,2.92,2.92,419586,2.98,,
1996-05-02,3.06,3.06,2.92,2.92,469980,2.99,,
1996-05-03,2.92,3.06,2.92,3.01,251423,2.98,,
1996-05-06,3.06,3.06,2.92,3.06,188978,3.02,,
1996-05-07,3.01,3.06,2.92,2.92,357689,2.98,,
1996-05-08,2.92,3.06,2.92,3.06,278811,2.99,,
1996-05-09,2.97,3.06,2.97,2.97,149539,2.99,,
1996-05-10,2.97,3.15,2.97,3.1,569673,3.05,,
1996-05-13,3.15,3.15,3.01,3.15,175284,3.11,,
1996-05-14,3.15,3.15,3.01,3.06,336326,3.09,,
1996-05-15,3.19,3.24,3.1,3.19,507776,3.18,,
1996-05-16,3.1,3.1,3.01,3.1,69018,3.08,,
1996-05-17,3.01,3.1,3.01,3.08,88738,3.05,,
1996-05-20,3.01,3.24,3.01,3.15,169806,3.1,,
1996-05-21,3.1,3.24,3.1,3.15,277716,3.15,,
1996-05-22,3.19,3.19,3.1,3.19,173641,3.17,,
1996-05-23,3.19,3.29,3.1,3.19,473267,3.19,,
1996-05-24,3.33,3.51,3.29,3.4,467789,3.38,,
1996-05-28,3.42,3.47,3.33,3.33,350020,3.39,,
1996-05-29,3.42,3.47,3.38,3.42,249232,3.42,,
1996-05-30,3.42,3.47,3.38,3.38,483674,3.41,,
1996-05-31,3.47,3.47,3.38,3.42,213627,3.43,,
1996-06-03,3.47,3.47,3.38,3.38,411917,3.42,,
1996-06-04,3.42,3.42,3.42,3.42,188430,3.42,,
1996-06-05,3.47,3.47,3.38,3.38,163781,3.42,,
1996-06-06,3.47,3.47,3.38,3.42,256901,3.43,,
1996-06-07,3.38,3.38,3.38,3.38,26840,3.38,,
1996-06-10,3.47,3.47,3.4,3.47,333040,3.45,,
1996-06-11,3.47,3.47,3.38,3.47,19719,3.45,,
1996-06-12,3.47,3.47,3.38,3.47,247589,3.45,,
1996-06-13,3.47,3.47,3.38,3.38,589392,3.42,,
1996-06-14,3.38,3.47,3.38,3.42,33414,3.41,,
1996-06-17,3.38,3.47,3.38,3.47,107909,3.42,,
1996-06-18,3.38,3.51,3.38,3.38,433828,3.41,,
1996-06-19,3.45,3.51,3.38,3.38,257996,3.43,,
1996-06-20,3.38,3.51,3.38,3.51,346734,3.45,,
1996-06-21,3.47,3.65,3.47,3.65,64088,3.56,,
1996-06-24,3.56,3.65,3.56,3.56,643073,3.58,,
1996-06-25,3.56,3.61,3.56,3.61,47108,3.58,,
1996-06-26,3.61,3.65,3.51,3.51,197195,3.57,,
1996-06-27,3.51,3.65,3.51,3.65,300174,3.58,,
1996-06-28,3.61,3.83,3.61,3.83,108457,3.72,,
1996-07-01,3.74,3.93,3.74,3.93,89285,3.83,,
1996-07-02,3.97,4.06,3.97,3.97,288123,3.99,,
1996-07-03,4.06,4.34,4.02,4.31,697849,4.18,,
1996-07-05,4.2,4.24,4.2,4.2,257996,4.21,,
1996-07-08,4.29,4.29,4.2,4.29,2161471,4.27,,
1996-07-09,4.24,4.56,4.24,4.52,388364,4.39,,
1996-07-10,4.43,4.52,4.43,4.43,518183,4.45,,
1996-07-11,4.43,4.52,4.38,4.45,2221725,4.44,,
1996-07-12,4.52,4.52,4.38,4.38,57515,4.45,,
1996-07-15,4.38,4.52,4.34,4.36,300722,4.4,,
1996-07-16,4.36,4.38,4.24,4.38,548310,4.34,,
1996-07-17,4.24,4.38,4.24,4.24,8764,4.28,,
1996-07-18,4.31,4.38,4.29,4.38,98049,4.34,,
1996-07-19,4.38,4.38,4.29,4.38,149539,4.36,,
1996-07-22,4.29,4.38,4.29,4.31,2146133,4.32,,
1996-07-23,4.29,4.38,4.29,4.38,257448,4.34,,
1996-07-24,4.24,4.29,4.15,4.16,185691,4.21,,
1996-07-25,4.2,4.24,4.15,4.24,114482,4.21,,
1996-07-26,4.15,4.24,4.15,4.24,188430,4.2,,
1996-07-29,4.13,4.24,4.13,4.24,50942,4.19,,
1996-07-30,4.18,4.24,4.11,4.24,548858,4.19,,
1996-07-31,4.15,4.24,4.15,4.24,58611,4.2,,
1996-08-01,4.15,4.24,4.15,4.15,75043,4.18,,
1996-08-02,4.24,4.24,4.15,4.24,44917,4.22,,
1996-08-05,4.24,4.24,4.15,4.15,30127,4.2,,
1996-08-06,4.15,4.24,4.15,4.15,2191,4.18,,
1996-08-07,4.15,4.24,4.15,4.24,267856,4.2,,
1996-08-08,4.24,4.29,4.22,4.29,201577,4.26,,
1996-08-09,4.2,4.29,4.2,4.2,124890,4.22,,
1996-08-12,4.24,4.29,4.22,4.22,105170,4.24,,
1996-08-13,4.2,4.29,4.2,4.2,42725,4.22,,
1996-08-14,4.29,4.29,4.2,4.29,70114,4.27,,
1996-08-15,4.24,4.29,4.24,4.24,6025,4.26,,
1996-08-16,4.29,4.29,4.29,4.29,41082,4.29,,
1996-08-19,4.29,4.38,4.29,4.38,16433,4.34,,
1996-08-20,4.43,4.43,4.34,4.36,426159,4.39,,
1996-08-21,4.29,4.29,4.29,4.29,37248,4.29,,
1996-08-22,4.43,4.43,4.29,4.29,163781,4.36,,
1996-08-23,4.43,4.43,4.34,4.36,197742,4.39,,
1996-08-26,4.43,4.43,4.29,4.29,1643,4.36,,
1996-08-27,4.38,4.43,4.29,4.29,23554,4.35,,
1996-08-28,4.43,4.43,4.43,4.43,11503,4.43,,
1996-08-29,4.36,4.43,4.29,4.34,27388,4.35,,
1996-08-30,4.29,4.43,4.29,4.43,1643,4.36,,
1996-09-03,4.29,4.43,4.29,4.29,9312,4.32,,
1996-09-04,4.29,4.38,4.29,4.38,241016,4.34,,
1996-09-05,4.34,4.38,4.34,4.38,8764,4.36,,
1996-09-06,4.47,4.47,4.38,4.43,94215,4.44,,
1996-09-09,4.56,4.56,4.43,4.56,12051,4.53,,
1996-09-10,4.47,4.63,4.47,4.59,67923,4.54,,
1996-09-11,4.66,4.84,4.56,4.79,483674,4.71,,
1996-09-12,4.79,4.84,4.75,4.84,566386,4.8,,
1996-09-13,4.84,4.84,4.75,4.75,17528,4.79,,
1996-09-16,4.88,4.88,4.75,4.75,3287,4.82,,
1996-09-17,4.75,4.88,4.75,4.75,32866,4.78,,
1996-09-18,4.88,5.02,4.88,5.02,58063,4.95,,
1996-09-19,5.02,5.07,4.93,4.93,75043,4.99,,
1996-09-20,4.93,5.02,4.93,5.0,278263,4.97,,
1996-09-23,4.97,5.07,4.97,5.07,1096,5.02,,
1996-09-24,5.07,5.07,4.93,5.04,253066,5.03,,
1996-09-25,5.11,5.39,5.11,5.36,181309,5.24,,
1996-09-26,5.39,5.57,5.34,5.48,74496,5.44,,
1996-09-27,5.48,5.57,5.43,5.48,31222,5.49,,
1996-09-30,5.43,5.48,5.39,5.39,209245,5.42,,
1996-10-01,5.43,5.48,5.34,5.39,325919,5.41,,
1996-10-02,5.39,5.39,5.25,5.25,103527,5.32,,
1996-10-03,5.34,5.34,5.25,5.34,134750,5.32,,
1996-10-04,5.34,5.34,5.25,5.25,70661,5.29,,
1996-10-07,5.34,5.34,5.25,5.34,165424,5.32,,
1996-10-08,5.25,5.34,5.25,5.29,61349,5.28,,
1996-10-09,5.34,5.34,5.25,5.25,148991,5.29,,
1996-10-10,5.25,5.34,5.25,5.25,42178,5.27,,
1996-10-11,5.34,5.34,5.2,5.34,133106,5.31,,
