Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-11-22,4.44,4.47,4.42,4.44,6522750,4.4425,-0.0834,-53.23741007194245
1991-11-25,4.44,4.44,4.42,4.44,868950,4.435,-0.0834,-53.23741007194245
1991-11-26,4.44,4.44,4.44,4.44,165150,4.44,-0.0834,-53.23741007194245
1991-11-27,4.44,4.44,4.42,4.44,93600,4.435,-0.0834,-53.23741007194245
1991-11-29,4.44,4.44,4.42,4.44,151650,4.435,-0.0834,-53.23741007194245
1991-12-02,4.44,4.44,4.39,4.42,420300,4.4225,-0.0834,-52.99760191846523
1991-12-03,4.42,4.44,4.39,4.42,154800,4.4175,-0.0834,-52.99760191846523
1991-12-04,4.44,4.44,4.42,4.42,189450,4.43,-0.0834,-52.99760191846523
1991-12-05,4.42,4.42,4.42,4.42,173700,4.42,-0.0834,-52.99760191846523
1991-12-06,4.42,4.42,4.39,4.39,270450,4.405,-0.0834,-52.637889688249395
1991-12-09,4.39,4.42,4.39,4.39,54450,4.3975,-0.0834,-52.637889688249395
1991-12-10,4.39,4.42,4.39,4.39,177750,4.3975,-0.0834,-52.637889688249395
1991-12-11,4.33,4.39,4.28,4.39,302850,4.3475,-0.0834,-52.637889688249395
1991-12-12,4.39,4.39,4.36,4.39,72900,4.3825,-0.0834,-52.637889688249395
1991-12-13,4.39,4.42,4.39,4.39,157950,4.3975,-0.0834,-52.637889688249395
1991-12-16,4.42,4.42,4.39,4.39,49500,4.405,-0.0834,-52.637889688249395
1991-12-17,4.42,4.42,4.39,4.42,63450,4.4125,-0.0834,-52.99760191846523
1991-12-18,4.42,4.42,4.39,4.42,24300,4.4125,-0.0834,-52.99760191846523
1991-12-19,4.39,4.44,4.39,4.44,62100,4.415,-0.0834,-53.23741007194245
1991-12-20,4.44,4.47,4.44,4.44,137700,4.4475,-0.0834,-53.23741007194245
1991-12-23,4.44,4.56,4.44,4.56,158850,4.5,-0.0834,-54.67625899280575
1991-12-24,4.56,4.56,4.5,4.53,62550,4.5375,-0.0834,-54.31654676258993
1991-12-26,4.56,4.64,4.56,4.61,83700,4.5925,-0.0834,-55.275779376498804
1991-12-27,4.61,4.61,4.56,4.58,183150,4.59,-0.0834,-54.91606714628297
1991-12-30,4.61,4.61,4.58,4.58,101700,4.595,-0.0834,-54.91606714628297
1991-12-31,4.61,4.78,4.61,4.78,126000,4.695,-0.0834,-57.31414868105516
1992-01-02,4.75,4.83,4.69,4.78,173250,4.7625,-0.0834,-57.31414868105516
1992-01-03,4.78,4.86,4.78,4.81,215100,4.8075,-0.0834,-57.67386091127098
1992-01-06,4.83,5.0,4.83,4.92,198000,4.895,-0.0834,-58.99280575539568
1992-01-07,4.92,5.03,4.92,4.94,434250,4.9525,-0.0834,-59.23261390887291
1992-01-08,4.94,4.97,4.92,4.94,131850,4.9425,-0.0834,-59.23261390887291
1992-01-09,4.94,4.94,4.92,4.92,149400,4.93,-0.0834,-58.99280575539568
1992-01-10,4.92,5.0,4.92,5.0,184500,4.96,-0.0834,-59.95203836930455
1992-01-13,4.97,5.03,4.97,5.0,92700,4.9925,-0.0834,-59.95203836930455
1992-01-14,5.0,5.08,5.0,5.08,153000,5.04,-0.0834,-60.91127098321343
1992-01-15,5.06,5.14,5.06,5.14,106200,5.1,-0.0834,-61.63069544364508
1992-01-16,5.19,5.22,5.14,5.14,73350,5.1725,-0.0834,-61.63069544364508
