Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-10-29,19.25,19.38,19.25,19.25,1381000,19.2825,,
1993-11-01,19.25,19.38,19.25,19.38,136800,19.315,,
1993-11-02,19.25,19.38,18.63,18.75,182600,19.0025,,
1993-11-03,18.5,19.0,18.38,18.88,146300,18.69,,
1993-11-04,18.75,18.88,18.75,18.75,48300,18.7825,,
1993-11-05,18.75,18.88,18.75,18.75,13900,18.7825,,
1993-11-08,18.75,18.88,18.75,18.88,22800,18.815,,
1993-11-09,18.88,19.0,18.75,18.75,10600,18.845,,
1993-11-10,18.88,19.0,18.88,18.88,143900,18.91,,
1993-11-11,18.88,18.88,18.88,18.88,29800,18.88,,
1993-11-12,18.88,19.0,18.88,19.0,10500,18.94,,
1993-11-15,18.75,18.75,18.38,18.5,181600,18.595,,
1993-11-16,18.38,18.5,18.38,18.38,33400,18.41,,
1993-11-17,18.5,18.5,18.25,18.25,73900,18.375,,
1993-11-18,18.25,18.25,17.63,17.63,75900,17.94,,
1993-11-19,17.0,17.13,16.38,16.88,126700,16.8475,,
1993-11-22,16.63,16.88,16.5,16.88,32100,16.7225,,
1993-11-23,16.75,17.13,16.75,17.13,20300,16.94,,
1993-11-24,16.88,17.13,16.88,16.88,9800,16.9425,,
1993-11-26,17.0,17.0,17.0,17.0,2500,17.0,,
1993-11-29,17.13,17.13,16.88,17.13,48100,17.0675,,
1993-11-30,17.13,17.25,16.88,17.13,38500,17.0975,,
1993-12-01,17.13,17.13,17.0,17.0,12700,17.065,,
1993-12-02,17.0,17.13,16.88,17.13,14800,17.035,,
1993-12-03,17.13,17.63,17.13,17.5,19600,17.3475,,
1993-12-06,17.5,17.5,17.25,17.5,6000,17.4375,,
1993-12-07,17.5,17.5,17.0,17.25,25100,17.3125,,
1993-12-08,17.25,17.25,16.88,17.13,8500,17.1275,,
1993-12-09,17.25,17.25,16.63,16.88,10600,17.0025,,
1993-12-10,16.88,16.88,16.75,16.88,9500,16.8475,,
1993-12-13,16.63,16.63,16.38,16.5,69000,16.535,,
1993-12-14,16.63,17.0,16.5,16.75,18000,16.72,,
1993-12-15,16.63,16.88,16.5,16.63,36100,16.66,,
1993-12-16,16.63,16.63,16.5,16.5,7900,16.565,,
1993-12-17,16.5,16.63,16.38,16.5,9600,16.5025,,
1993-12-20,16.5,16.5,15.75,16.0,58500,16.1875,,
1993-12-21,15.75,16.25,15.75,16.13,54400,15.97,,
1993-12-22,16.25,16.5,16.25,16.5,21800,16.375,,
1993-12-23,16.75,16.75,16.5,16.63,12200,16.6575,,
1993-12-27,16.75,16.88,16.75,16.75,35500,16.7825,,
1993-12-28,16.88,16.88,16.75,16.75,49500,16.815,,
1993-12-29,16.75,16.88,16.63,16.63,23600,16.7225,,
1993-12-30,16.63,16.88,16.5,16.75,66700,16.69,,
1993-12-31,16.88,16.88,16.5,16.63,41100,16.7225,,
1994-01-03,16.75,16.88,16.75,16.88,1900,16.815,,
1994-01-04,17.0,17.0,16.88,16.88,10100,16.94,,
1994-01-05,16.88,17.0,16.75,16.88,18500,16.8775,,
1994-01-06,16.75,16.75,16.63,16.75,15100,16.72,,
1994-01-07,16.63,17.0,16.63,16.88,18000,16.785,,
1994-01-10,17.0,17.63,17.0,17.63,18600,17.315,,
1994-01-11,17.63,17.75,17.5,17.75,6300,17.6575,,
1994-01-12,17.75,18.0,17.75,17.88,17700,17.845,,
1994-01-13,17.88,17.88,17.63,17.75,6000,17.785,,
1994-01-14,17.75,17.75,17.5,17.5,5600,17.625,,
1994-01-17,17.38,17.5,17.38,17.5,12600,17.44,,
1994-01-18,17.25,17.38,17.25,17.38,6300,17.315,,
1994-01-19,17.5,18.0,17.5,17.88,9900,17.72,,
1994-01-20,18.0,18.0,17.5,17.5,13000,17.75,,
1994-01-21,17.75,17.88,17.5,17.88,7200,17.7525,,
1994-01-24,17.88,17.88,17.5,17.63,4900,17.7225,,
1994-01-25,17.63,17.88,17.63,17.75,18900,17.7225,,
1994-01-26,17.75,17.75,17.5,17.63,1300,17.6575,,
1994-01-27,17.75,17.75,17.63,17.75,2800,17.72,,
1994-01-28,17.63,17.75,17.63,17.75,13000,17.69,,
1994-01-31,17.75,17.88,17.75,17.88,26300,17.815,,
1994-02-01,17.88,17.88,17.75,17.88,20400,17.8475,,
1994-02-02,17.88,17.88,17.63,17.88,18400,17.8175,,
1994-02-03,17.88,18.0,17.88,18.0,11000,17.94,,
1994-02-04,18.0,18.0,17.63,17.63,8500,17.815,,
1994-02-07,17.5,17.88,17.5,17.88,6800,17.69,,
1994-02-08,17.75,17.88,17.63,17.75,6400,17.7525,,
1994-02-09,17.75,18.38,17.75,18.13,11700,18.0025,,
1994-02-10,18.0,18.13,18.0,18.0,8200,18.0325,,
1994-02-11,18.13,18.13,17.88,18.0,41900,18.035,,
1994-02-14,18.0,18.13,18.0,18.13,23300,18.065,,
1994-02-15,18.0,18.25,18.0,18.25,117300,18.125,,
1994-02-16,18.13,18.88,18.13,18.63,48000,18.4425,,
