Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-12-14,20.88,20.88,20.65,20.88,7717345,20.83,0.2,104.39999999999999
1993-12-15,21.15,21.15,20.92,21.15,1833877,21.0925,0.2,105.74999999999999
1993-12-16,21.15,21.27,21.04,21.15,624688,21.1525,0.2,105.74999999999999
1993-12-17,21.15,21.15,21.04,21.04,490765,21.095,0.2,105.19999999999999
1993-12-20,21.04,21.15,21.04,21.15,546144,21.095,0.2,105.74999999999999
1993-12-21,21.04,21.15,20.92,21.04,311482,21.0375,0.2,105.19999999999999
1993-12-22,21.04,21.15,21.04,21.15,274958,21.095,0.2,105.74999999999999
1993-12-23,21.15,21.15,21.04,21.15,147391,21.1225,0.2,105.74999999999999
1993-12-27,21.15,21.15,21.04,21.04,164307,21.095,0.2,105.19999999999999
1993-12-28,21.04,21.15,21.04,21.15,283577,21.095,0.2,105.74999999999999
1993-12-29,21.15,21.27,21.04,21.15,256534,21.1525,0.2,105.74999999999999
1993-12-30,21.27,21.27,21.15,21.15,153856,21.21,0.2,105.74999999999999
1993-12-31,21.15,21.27,21.04,21.27,200939,21.1825,0.46,46.2391304347826
1994-01-03,21.15,21.27,21.15,21.15,312236,21.18,0.46,45.97826086956521
1994-01-04,21.27,21.27,21.15,21.27,236494,21.24,0.46,46.2391304347826
1994-01-05,21.15,21.39,21.15,21.15,240157,21.21,0.46,45.97826086956521
1994-01-06,21.15,21.27,21.15,21.15,150623,21.18,0.46,45.97826086956521
1994-01-07,21.27,21.39,21.15,21.39,312775,21.3,0.46,46.5
1994-01-10,21.39,21.74,21.27,21.62,436247,21.505,0.46,47.0
1994-01-11,21.51,22.09,21.51,21.86,514684,21.7425,0.46,47.52173913043478
1994-01-12,21.98,21.98,21.86,21.86,364276,21.92,0.46,47.52173913043478
1994-01-13,21.86,22.21,21.86,22.21,420517,22.035,0.46,48.28260869565217
1994-01-14,22.21,22.33,21.86,22.09,417177,22.1225,0.46,48.02173913043478
1994-01-17,22.21,22.21,21.98,22.09,165707,22.1225,0.46,48.02173913043478
1994-01-18,21.98,22.21,21.98,22.21,343482,22.095,0.46,48.28260869565217
1994-01-19,22.09,22.09,21.98,22.09,256426,22.0625,0.46,48.02173913043478
1994-01-20,22.09,22.21,21.98,22.21,220548,22.1225,0.46,48.28260869565217
1994-01-21,22.09,22.33,21.98,22.21,252871,22.1525,0.46,48.28260869565217
1994-01-24,22.09,22.21,21.98,21.98,362875,22.065,0.46,47.78260869565217
1994-01-25,21.86,22.21,21.86,22.21,267416,22.035,0.46,48.28260869565217
1994-01-26,22.33,22.8,22.33,22.56,852886,22.505,0.46,49.04347826086956
