Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1989-09-19,1.62,1.74,1.62,1.62,3930921,1.65,,
1989-09-20,1.62,1.66,1.57,1.59,1606173,1.61,,
1989-09-21,1.59,1.62,1.57,1.62,421330,1.6,,
1989-09-22,1.59,1.59,1.52,1.54,1189438,1.56,,
1989-09-25,1.54,1.54,1.47,1.47,408561,1.505,,
1989-09-26,1.47,1.52,1.47,1.52,306932,1.495,,
1989-09-27,1.52,1.52,1.47,1.49,207340,1.5,,
1989-09-28,1.49,1.54,1.47,1.49,389666,1.4975,,
1989-09-29,1.49,1.54,1.49,1.49,365152,1.5025,,
1989-10-02,1.49,1.57,1.49,1.54,83749,1.5225,,
1989-10-03,1.54,1.59,1.54,1.54,120520,1.5525,,
1989-10-04,1.54,1.57,1.54,1.57,131247,1.555,,
1989-10-05,1.57,1.57,1.54,1.57,69961,1.5625,,
1989-10-06,1.57,1.66,1.54,1.62,999963,1.5975,,
1989-10-09,1.62,1.64,1.59,1.64,46469,1.6225,,
1989-10-10,1.64,1.64,1.59,1.64,180785,1.6275,,
1989-10-11,1.64,1.66,1.59,1.66,67918,1.6375,,
1989-10-12,1.66,1.66,1.62,1.62,222152,1.64,,
1989-10-13,1.62,1.66,1.62,1.66,85283,1.64,,
1989-10-16,1.62,1.62,1.52,1.54,239518,1.575,,
1989-10-17,1.54,1.59,1.52,1.52,74047,1.5425,,
1989-10-18,1.52,1.57,1.52,1.57,21442,1.545,,
1989-10-19,1.57,1.57,1.52,1.52,43404,1.545,,
1989-10-20,1.52,1.57,1.52,1.52,96006,1.5325,,
1989-10-23,1.52,1.57,1.52,1.52,21955,1.5325,,
1989-10-24,1.52,1.57,1.52,1.52,68940,1.5325,,
1989-10-25,1.52,1.57,1.52,1.52,48000,1.5325,,
1989-10-26,1.52,1.57,1.52,1.52,193041,1.5325,,
1989-10-27,1.52,1.57,1.52,1.57,33190,1.545,,
1989-10-30,1.57,1.57,1.52,1.57,18378,1.5575,,
1989-10-31,1.57,1.57,1.52,1.57,20932,1.5575,,
1989-11-01,1.57,1.57,1.52,1.52,36763,1.545,,
1989-11-02,1.52,1.57,1.52,1.52,3057,1.5325,,
1989-11-03,1.52,1.57,1.52,1.57,283438,1.545,,
1989-11-06,1.57,1.57,1.52,1.57,123075,1.5575,,
1989-11-07,1.57,1.57,1.52,1.52,25528,1.545,,
1989-11-08,1.52,1.57,1.52,1.57,6633,1.545,,
1989-11-09,1.57,1.57,1.49,1.57,47489,1.55,,
1989-11-10,1.54,1.54,1.52,1.52,15826,1.53,,
1989-11-13,1.52,1.57,1.49,1.49,38806,1.5175,,
1989-11-14,1.49,1.57,1.49,1.57,8675,1.53,,
1989-11-15,1.57,1.57,1.49,1.49,2547,1.53,,
1989-11-16,1.49,1.57,1.49,1.49,8163,1.51,,
1989-11-17,1.52,1.57,1.52,1.57,2547,1.545,,
1989-11-20,1.49,1.49,1.49,1.49,2547,1.49,,
1989-11-21,1.49,1.49,1.49,1.49,15314,1.49,,
1989-11-22,1.52,1.57,1.52,1.52,15826,1.5325,,
1989-11-24,1.52,1.52,1.52,1.52,3057,1.52,,
1989-11-27,1.57,1.57,1.57,1.57,26041,1.57,,
1989-11-28,1.49,1.49,1.49,1.49,2547,1.49,,
1989-11-29,1.49,1.49,1.49,1.49,1526,1.49,,
1989-11-30,1.49,1.57,1.44,1.47,412646,1.4925,,
1989-12-01,1.47,1.52,1.37,1.37,124098,1.4325,,
1989-12-04,1.37,1.47,1.37,1.37,16846,1.395,,
1989-12-05,1.37,1.47,1.37,1.37,7143,1.395,,
1989-12-06,1.37,1.42,1.32,1.37,70472,1.37,,
1989-12-07,1.37,1.54,1.32,1.52,447375,1.4375,,
1989-12-08,1.52,1.57,1.47,1.57,48511,1.5325,,
1989-12-11,1.57,1.62,1.52,1.62,34212,1.5825,,
1989-12-12,1.62,1.62,1.52,1.52,82728,1.57,,
1989-12-13,1.62,1.62,1.62,1.62,8163,1.62,,
1989-12-14,1.62,1.62,1.49,1.57,141461,1.575,,
1989-12-15,1.57,1.62,1.52,1.62,11229,1.5825,,
1989-12-18,1.62,1.62,1.52,1.62,63833,1.595,,
1989-12-19,1.57,1.57,1.52,1.57,25528,1.5575,,
1989-12-20,1.57,1.57,1.47,1.47,303867,1.52,,
1989-12-21,1.52,1.62,1.52,1.57,29103,1.5575,,
1989-12-22,1.57,1.62,1.57,1.57,92432,1.5825,,
1989-12-26,1.57,1.62,1.57,1.57,87835,1.5825,,
1989-12-27,1.62,1.62,1.62,1.62,504,1.62,,
1989-12-28,1.59,1.59,1.52,1.59,28083,1.5725,,
1989-12-29,1.59,1.62,1.59,1.62,7655,1.605,,
1990-01-02,1.62,1.62,1.57,1.62,3569,1.6075,,
1990-01-03,1.62,1.62,1.52,1.52,22463,1.57,,
1990-01-04,1.54,1.57,1.54,1.54,17357,1.5475,,
1990-01-05,1.54,1.62,1.52,1.52,13271,1.55,,
1990-01-08,1.52,1.62,1.52,1.62,18378,1.57,,
1990-01-09,1.62,1.62,1.52,1.57,32677,1.5825,,
1990-01-10,1.57,1.62,1.52,1.52,116435,1.5575,,
