Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1978-02-21,6.67,6.67,6.67,6.67,17999,6.67,,
1978-02-28,6.67,6.67,6.67,6.67,749,6.67,,
1978-03-02,6.67,6.67,6.67,6.67,1799,6.67,,
1978-03-10,7.0,7.0,7.0,7.0,299,7.0,,
1978-03-13,7.0,7.0,7.0,7.0,149,7.0,,
1978-03-15,7.0,7.0,7.0,7.0,149,7.0,,
1978-03-16,7.0,7.0,7.0,7.0,1799,7.0,,
1978-03-22,7.17,7.17,7.17,7.17,599,7.17,,
1978-03-28,7.33,7.33,7.33,7.33,149,7.33,,
1978-04-04,7.33,7.33,7.33,7.33,749,7.33,,
1978-04-07,7.33,7.33,7.33,7.33,599,7.33,,
1978-04-14,7.33,7.33,7.33,7.33,1349,7.33,,
1978-04-20,7.33,7.33,7.33,7.33,149,7.33,,
1978-04-27,7.33,7.33,7.33,7.33,3599,7.33,,
1978-04-28,7.33,7.33,7.33,7.33,2999,7.33,,
1978-05-01,7.33,7.33,7.33,7.33,2999,7.33,,
1978-05-02,7.0,7.0,7.0,7.0,2099,7.0,,
1978-05-03,7.0,7.0,7.0,7.0,449,7.0,,
1978-05-04,7.0,7.0,7.0,7.0,2999,7.0,,
1978-05-05,7.0,7.0,7.0,7.0,299,7.0,,
1978-05-08,7.17,7.17,7.17,7.17,599,7.17,,
1978-05-09,7.17,7.17,7.17,7.17,449,7.17,,
1978-05-11,7.17,7.17,7.17,7.17,149,7.17,,
1978-05-15,7.33,7.33,7.33,7.33,149,7.33,,
1978-05-18,7.33,7.33,7.33,7.33,749,7.33,,
1978-05-23,7.33,7.33,7.33,7.33,1049,7.33,,
1978-05-31,7.17,7.17,7.17,7.17,449,7.17,,
1978-06-01,7.17,7.17,7.17,7.17,299,7.17,,
1978-06-08,6.83,6.83,6.83,6.83,1499,6.83,,
1978-06-12,7.0,7.0,7.0,7.0,299,7.0,,
1978-06-13,6.83,6.83,6.83,6.83,749,6.83,,
1978-06-14,6.83,6.83,6.83,6.83,1349,6.83,,
1978-06-16,6.67,6.67,6.67,6.67,599,6.67,,
1978-06-21,6.83,6.83,6.83,6.83,1499,6.83,,
1978-06-23,6.83,6.83,6.83,6.83,1799,6.83,,
1978-06-26,7.0,7.0,7.0,7.0,299,7.0,,
1978-06-29,7.17,7.17,7.17,7.17,4199,7.17,,
1978-07-06,7.17,7.17,7.17,7.17,449,7.17,,
1978-07-10,7.17,7.17,7.17,7.17,2999,7.17,,
1978-07-14,7.17,7.17,7.17,7.17,2999,7.17,,
1978-07-18,7.17,7.17,7.17,7.17,149,7.17,,
1978-07-24,7.33,7.33,7.33,7.33,299,7.33,,
1978-08-02,7.0,7.0,7.0,7.0,1199,7.0,,
1978-08-03,6.83,6.83,6.83,6.83,1499,6.83,,
