Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1973-05-03,18.83,19.33,18.46,19.08,116700,18.93,,
1973-05-04,19.58,19.96,19.58,19.67,256800,19.7,,
1973-05-07,19.67,19.71,19.54,19.58,55800,19.63,,
1973-05-08,19.58,19.58,19.42,19.58,80100,19.54,,
1973-05-09,19.58,19.79,19.54,19.67,66900,19.65,,
1973-05-10,19.67,19.67,19.42,19.42,61800,19.54,,
1973-05-11,19.42,19.42,18.92,19.17,76500,19.23,,
1973-05-14,18.92,18.92,18.67,18.88,46200,18.84,,
1973-05-15,18.88,19.08,18.67,19.08,90300,18.93,,
1973-05-16,19.08,19.29,19.08,19.29,39900,19.19,,
1973-05-17,19.29,19.33,19.04,19.29,56100,19.24,,
1973-05-18,19.25,19.25,18.88,19.17,85200,19.14,,
1973-05-21,19.08,19.08,18.79,18.83,138300,18.95,,
1973-05-22,18.88,19.08,18.88,18.88,51300,18.93,,
1973-05-23,18.92,19.21,18.92,19.17,91500,19.05,,
1973-05-24,19.17,19.63,19.17,19.63,45300,19.4,,
1973-05-25,19.67,20.08,19.67,19.96,82800,19.84,,
1973-05-29,19.83,19.83,19.33,19.33,25500,19.58,,
1973-05-30,19.33,19.33,19.21,19.29,16800,19.29,,
1973-05-31,19.17,19.17,18.83,18.83,82800,19.0,,
1973-06-01,18.83,19.17,18.71,18.96,70800,18.92,,
1973-06-04,18.96,19.0,18.83,18.83,31800,18.91,,
1973-06-05,18.83,19.17,18.71,18.92,85500,18.91,,
1973-06-06,18.92,19.08,18.83,18.83,27000,18.92,,
1973-06-07,18.88,19.17,18.88,19.0,47100,18.98,,
1973-06-08,19.08,19.54,19.08,19.54,83400,19.31,,
1973-06-11,19.67,19.92,19.67,19.83,39600,19.77,,
1973-06-12,19.83,20.08,19.71,20.08,144600,19.93,,
1973-06-13,20.08,20.29,19.63,19.83,80400,19.96,,
1973-06-14,19.79,19.79,19.67,19.79,138900,19.76,,
1973-06-15,19.71,19.71,19.58,19.67,26400,19.67,,
1973-06-18,19.67,19.67,19.17,19.25,131400,19.44,,
1973-06-19,19.25,19.46,18.96,19.29,88800,19.24,,
1973-06-20,19.29,19.33,19.08,19.33,91200,19.26,,
1973-06-21,19.33,19.33,19.17,19.25,118200,19.27,,
1973-06-22,19.25,19.67,19.17,19.17,43500,19.31,,
1973-06-25,19.17,19.29,19.08,19.08,16800,19.16,,
1973-06-26,19.08,19.25,19.0,19.25,18900,19.15,,
1973-06-27,19.25,19.29,19.0,19.25,86400,19.2,,
1973-06-28,19.33,19.58,19.33,19.58,21900,19.46,,
1973-06-29,19.58,19.63,19.42,19.58,75300,19.55,,
1973-07-02,19.58,19.67,19.46,19.63,39300,19.58,,
1973-07-03,19.63,20.04,19.63,20.0,63000,19.82,,
1973-07-05,20.0,20.25,19.79,20.17,60900,20.05,,
1973-07-06,20.17,20.29,20.17,20.29,32400,20.23,,
1973-07-09,20.29,20.67,20.29,20.58,39600,20.46,,
1973-07-10,20.96,21.46,20.96,21.0,81600,21.09,,
1973-07-11,21.33,21.58,21.33,21.46,169200,21.43,,
1973-07-12,21.46,21.5,21.17,21.33,142800,21.36,,
1973-07-13,21.33,21.33,20.83,20.96,64500,21.11,,
1973-07-16,20.96,21.25,20.92,21.08,46500,21.05,,
1973-07-17,21.17,21.33,21.17,21.17,144000,21.21,,
1973-07-18,21.17,21.25,21.04,21.04,51000,21.13,,
1973-07-19,21.04,21.33,20.88,21.17,135000,21.1,,
1973-07-20,21.17,21.46,21.17,21.46,95100,21.31,,
1973-07-23,21.46,21.67,21.46,21.54,102600,21.53,,
1973-07-24,21.54,21.71,21.5,21.63,126600,21.59,,
1973-07-25,21.63,22.54,21.63,22.54,235200,22.08,,
1973-07-26,22.54,22.83,22.5,22.5,183600,22.59,,
1973-07-27,22.42,22.42,21.92,22.0,70500,22.19,,
1973-07-30,21.92,21.92,21.5,21.71,125700,21.76,,
1973-07-31,21.67,21.67,21.42,21.46,128400,21.55,,
1973-08-01,21.46,21.79,21.42,21.67,77400,21.58,,
1973-08-02,21.67,21.71,21.58,21.67,112500,21.66,,
1973-08-03,21.67,22.0,21.67,21.96,75300,21.82,,
1973-08-06,22.0,22.5,22.0,22.46,159000,22.24,,
1973-08-07,22.54,22.83,22.54,22.83,71700,22.69,,
1973-08-08,23.0,23.33,23.0,23.17,193500,23.13,,
1973-08-09,23.25,23.46,23.25,23.46,252300,23.35,,
1973-08-10,23.46,23.67,23.33,23.67,169800,23.53,,
1973-08-13,23.67,23.67,23.5,23.5,116100,23.58,,
1973-08-14,23.42,23.42,22.67,22.71,97500,23.05,,
1973-08-15,22.71,23.08,22.67,23.0,81600,22.86,,
1973-08-16,23.0,23.21,22.88,22.92,48600,23.0,,
1973-08-17,22.83,22.83,22.67,22.71,75000,22.76,,
1973-08-20,22.67,22.67,22.42,22.5,83700,22.56,,
1973-08-21,22.54,22.71,22.54,22.54,45900,22.58,,
1973-08-22,22.54,22.63,22.5,22.54,50700,22.55,,
1973-08-23,22.63,23.33,22.63,23.33,109200,22.98,,
1973-08-24,23.29,23.29,22.88,23.25,189000,23.18,,
1973-08-27,23.17,23.17,23.04,23.17,66000,23.14,,
1973-08-28,23.17,23.33,23.04,23.08,122400,23.16,,
1973-08-29,23.08,23.29,23.04,23.08,73500,23.13,,
1973-08-30,23.08,23.25,22.71,23.08,60000,23.03,,
1973-08-31,23.0,23.0,22.71,22.83,28800,22.89,,
1973-09-04,22.79,22.79,22.17,22.5,104100,22.56,,
1973-09-05,22.54,22.79,22.54,22.63,129000,22.63,,
1973-09-06,22.63,22.83,22.63,22.79,61200,22.72,,
1973-09-07,22.71,22.71,22.63,22.71,87600,22.69,,
1973-09-10,22.71,22.71,22.54,22.63,120900,22.65,,
1973-09-11,22.54,22.54,22.04,22.33,135000,22.36,,
1973-09-12,22.29,22.29,21.63,21.71,141600,21.98,,
1973-09-13,21.71,22.08,21.71,21.79,126900,21.82,,
1973-09-14,21.79,22.08,21.71,22.08,74400,21.92,,
1973-09-17,22.17,22.5,22.17,22.33,114300,22.29,,
1973-09-18,22.33,22.33,22.08,22.25,152700,22.25,,
