Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-12-12,0.12835,0.12835,0.12835,0.12835,469034068,0.12835,,
1980-12-15,0.12165,0.12165,0.12165,0.12165,175884971,0.12165,,
1980-12-16,0.11272,0.11272,0.11272,0.11272,105728103,0.11272,,
1980-12-17,0.11551,0.11551,0.11551,0.11551,86441684,0.11551,,
1980-12-18,0.11886,0.11886,0.11886,0.11886,73449671,0.11886,,
1980-12-19,0.12612,0.12612,0.12612,0.12612,48630447,0.12612,,
1980-12-22,0.13225,0.13225,0.13225,0.13225,37363236,0.13225,,
1980-12-23,0.13784,0.13784,0.13784,0.13784,46950444,0.13784,,
1980-12-24,0.14509,0.14509,0.14509,0.14509,48003248,0.14509,,
1980-12-26,0.15848,0.15848,0.15848,0.15848,55574451,0.15848,,
1980-12-29,0.16071,0.16071,0.16071,0.16071,93161691,0.16071,,
1980-12-30,0.15681,0.15681,0.15681,0.15681,68880068,0.15681,,
1980-12-31,0.15234,0.15234,0.15234,0.15234,35750432,0.15234,,
1981-01-02,0.15402,0.15402,0.15402,0.15402,21660820,0.15402,,
1981-01-05,0.15067,0.15067,0.15067,0.15067,35728032,0.15067,,
1981-01-06,0.14397,0.14397,0.14397,0.14397,45158443,0.14397,,
1981-01-07,0.13784,0.13784,0.13784,0.13784,55686452,0.13784,,
1981-01-08,0.13505,0.13505,0.13505,0.13505,39827236,0.13505,,
1981-01-09,0.1423,0.1423,0.1423,0.1423,21504020,0.1423,,
1981-01-12,0.14118,0.14118,0.14118,0.14118,23699220,0.14118,,
1981-01-13,0.13616,0.13616,0.13616,0.13616,23049620,0.13616,,
1981-01-14,0.13672,0.13672,0.13672,0.13672,14291212,0.13672,,
1981-01-15,0.13951,0.13951,0.13951,0.13951,14067212,0.13951,,
1981-01-16,0.13839,0.13839,0.13839,0.13839,13395212,0.13839,,
1981-01-19,0.14676,0.14676,0.14676,0.14676,41574440,0.14676,,
1981-01-20,0.1423,0.1423,0.1423,0.1423,30083228,0.1423,,
1981-01-21,0.14509,0.14509,0.14509,0.14509,15904012,0.14509,,
1981-01-22,0.14676,0.14676,0.14676,0.14676,35548832,0.14676,,
1981-01-23,0.14621,0.14621,0.14621,0.14621,11222408,0.14621,,
1981-01-26,0.14397,0.14397,0.14397,0.14397,24640024,0.14397,,
1981-01-27,0.14286,0.14286,0.14286,0.14286,23699220,0.14286,,
1981-01-28,0.13839,0.13839,0.13839,0.13839,28156828,0.13839,,
1981-01-29,0.13337,0.13337,0.13337,0.13337,43904040,0.13337,,
1981-01-30,0.12612,0.12612,0.12612,0.12612,46188844,0.12612,,
1981-02-02,0.11886,0.11886,0.11886,0.11886,23766420,0.11886,,
1981-02-03,0.12333,0.12333,0.12333,0.12333,19152016,0.12333,,
1981-02-04,0.12779,0.12779,0.12779,0.12779,27865624,0.12779,,
1981-02-05,0.12779,0.12779,0.12779,0.12779,7929604,0.12779,,
1981-02-06,0.12835,0.12835,0.12835,0.12835,13865612,0.12835,,
1981-02-09,0.12165,0.12165,0.12165,0.12165,16755216,0.12165,,
1981-02-10,0.12165,0.12165,0.12165,0.12165,18345616,0.12165,,
1981-02-11,0.11775,0.11775,0.11775,0.11775,13843212,0.11775,,
