Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2001-07-19,15.1,15.29,15.0,15.17,34994304,15.14,,
2001-07-20,15.05,15.05,14.8,15.01,9238500,14.9775,,
2001-07-23,15.0,15.01,14.55,15.0,7501000,14.89,,
2001-07-24,14.95,14.97,14.7,14.86,3537300,14.87,,
2001-07-25,14.7,14.95,14.65,14.95,4208199,14.8125,,
2001-07-26,14.95,14.99,14.5,14.5,6335301,14.735,,
2001-07-27,14.51,14.59,14.5,14.51,3524000,14.5275,,
2001-07-30,14.5,14.78,14.5,14.7,3654300,14.62,,
2001-07-31,14.71,15.01,14.6,14.96,1429000,14.82,,
2001-08-01,15.0,15.5,14.9,15.5,2087900,15.225,,
2001-08-02,15.4,15.5,15.1,15.4,1717400,15.35,,
2001-08-03,15.4,15.4,14.98,15.15,983600,15.2325,,
2001-08-06,15.15,15.22,15.02,15.1,777600,15.1225,,
2001-08-07,15.1,15.55,15.1,15.5,788900,15.3125,,
2001-08-08,15.4,15.6,15.0,15.0,2190300,15.25,,
2001-08-09,15.05,15.5,15.0,15.5,928000,15.2625,,
2001-08-10,15.4,15.4,15.12,15.19,703300,15.2775,,
2001-08-13,15.15,15.34,14.9,15.01,1770400,15.1,,
2001-08-14,15.05,15.06,14.65,14.7,1000800,14.865,,
2001-08-15,14.75,14.9,14.7,14.79,530900,14.785,,
2001-08-16,14.78,14.78,14.05,14.05,1522700,14.415,,
2001-08-17,14.06,14.8,13.9,14.52,2342400,14.32,,
2001-08-20,14.6,15.35,14.49,15.35,1434900,14.9475,,
2001-08-21,15.25,15.6,15.01,15.46,1038200,15.33,,
2001-08-22,15.32,15.39,14.78,15.34,829000,15.2075,,
2001-08-23,15.45,15.45,15.25,15.25,470000,15.35,,
2001-08-24,15.25,15.48,15.0,15.4,689000,15.2825,,
2001-08-27,15.48,15.65,15.4,15.48,827700,15.5025,,
2001-08-28,15.42,15.58,15.25,15.36,736900,15.4025,,
2001-08-29,15.29,15.31,15.0,15.01,397400,15.1525,,
2001-08-30,14.85,15.04,14.85,14.95,640100,14.9225,,
2001-08-31,15.0,15.1,14.9,14.9,3337900,14.975,,
2001-09-04,15.0,15.65,15.0,15.38,1068600,15.2575,,
2001-09-05,15.38,15.38,14.9,14.91,1053200,15.1425,,
2001-09-06,14.75,15.01,14.4,14.5,1384500,14.665,,
2001-09-07,14.45,14.64,14.35,14.52,1408500,14.49,,
2001-09-10,14.58,15.16,14.55,15.15,622100,14.86,,
2001-09-17,15.14,15.14,14.47,14.6,1934300,14.8375,,
2001-09-18,14.6,15.0,14.35,14.55,902800,14.625,,
2001-09-19,14.6,14.69,13.72,13.95,2415400,14.24,,
2001-09-20,13.9,13.9,12.84,12.95,3498900,13.3975,,
2001-09-21,12.85,13.0,12.16,12.75,2051800,12.69,,
2001-09-24,13.0,13.28,12.95,13.2,1964200,13.1075,,
2001-09-25,13.2,13.2,12.7,12.8,1827300,12.975,,
2001-09-26,12.8,12.96,12.2,12.2,3327200,12.54,,
2001-09-27,12.26,12.26,11.61,11.85,2347500,11.995,,
2001-09-28,12.1,13.45,12.1,12.75,2844000,12.6,,
2001-10-01,12.65,13.0,12.65,12.7,878800,12.75,,
2001-10-02,12.55,12.7,12.12,12.58,1900400,12.4875,,
2001-10-03,12.62,13.06,12.6,12.95,2539400,12.8075,,
2001-10-04,12.97,13.8,12.97,13.49,3108500,13.3075,,
2001-10-05,13.5,13.74,13.32,13.55,2172300,13.5275,,
2001-10-08,13.6,13.69,13.23,13.23,576100,13.4375,,
2001-10-09,13.48,13.8,13.38,13.4,1601100,13.515,,
2001-10-10,13.35,13.75,13.3,13.67,1700400,13.5175,,
2001-10-11,15.5,15.5,14.7,15.16,4415602,15.215,,
2001-10-12,15.26,16.55,12.75,16.55,5193500,15.2775,,
2001-10-15,16.51,17.95,16.51,17.5,3277900,17.1175,,
2001-10-16,17.65,18.05,16.9,17.45,1996000,17.5125,,
2001-10-17,17.65,17.74,16.85,16.98,1877100,17.305,,
2001-10-18,16.98,16.98,16.61,16.7,942000,16.8175,,
2001-10-19,16.7,16.85,16.54,16.85,2062500,16.735,,
2001-10-22,17.0,17.57,16.97,17.5,469600,17.26,,
2001-10-23,17.5,17.73,17.27,17.62,915400,17.53,,
2001-10-24,17.68,17.76,17.57,17.74,472600,17.6875,,
2001-10-25,17.74,17.75,17.13,17.74,265100,17.59,,
2001-10-26,17.7,17.78,17.5,17.62,566500,17.65,,
2001-10-29,17.72,17.73,17.4,17.55,616200,17.6,,
2001-10-30,17.45,17.46,17.15,17.35,574700,17.3525,,
2001-10-31,17.42,17.6,17.1,17.57,718600,17.4225,,
2001-11-01,17.52,18.59,17.52,18.31,1089900,17.985,,
2001-11-02,18.5,19.1,18.1,18.25,2372800,18.4875,,
2001-11-05,18.25,18.27,17.77,18.1,1552700,18.0975,,
2001-11-06,17.98,17.98,17.35,17.97,562600,17.82,,
2001-11-07,17.98,18.9,17.96,18.9,1987000,18.435,,
2001-11-08,18.7,19.97,18.7,19.95,1747200,19.33,,
2001-11-09,19.75,19.95,19.65,19.95,1325400,19.825,,
2001-11-12,19.75,19.75,19.0,19.49,2398300,19.4975,,
2001-11-13,19.7,21.24,19.66,20.8,1463000,20.35,,
2001-11-14,21.0,21.4,19.97,20.21,1391400,20.645,,
2001-11-15,20.05,20.45,20.05,20.25,628200,20.2,,
2001-11-16,20.25,21.25,20.2,21.04,639100,20.685,,
2001-11-19,21.1,22.25,21.1,22.0,1430200,21.6125,,
2001-11-20,21.96,21.96,21.15,21.25,1017400,21.58,,
2001-11-21,21.2,21.21,19.8,20.35,1442600,20.64,,
2001-11-23,20.34,20.62,20.26,20.55,286500,20.4425,,
2001-11-26,20.68,21.6,20.27,21.5,1064900,21.0125,,
2001-11-27,21.6,22.75,21.5,22.5,1210000,22.0875,,
2001-11-28,22.0,22.1,20.86,21.85,1415900,21.7025,,
2001-11-29,21.83,22.24,21.01,21.43,1326400,21.6275,0.2,107.14999999999999
2001-11-30,21.46,22.66,21.41,22.6,2075400,22.0325,0.2,113.0
2001-12-03,22.75,24.0,22.5,22.9,1244400,23.0375,0.2,114.49999999999999
2001-12-04,22.75,24.5,22.65,24.2,2087000,23.525,0.2,120.99999999999999
2001-12-05,24.4,26.8,24.34,26.65,3386200,25.5475,0.2,133.24999999999997
2001-12-06,26.65,27.17,25.9,26.25,3190200,26.4925,0.2,131.25
2001-12-07,25.9,25.95,24.8,24.86,1115400,25.3775,0.2,124.3
2001-12-10,25.0,26.2,24.5,24.6,1732100,25.075,0.2,123.0
2001-12-11,24.55,24.88,24.5,24.76,1713200,24.6725,0.2,123.8
2001-12-12,24.75,25.3,24.54,25.17,2044100,24.94,0.2,125.85000000000001
2001-12-13,25.12,25.13,23.2,23.3,1446600,24.1875,0.2,116.5
2001-12-14,23.35,23.85,22.64,23.65,1156200,23.3725,0.2,118.24999999999999
2001-12-17,23.8,25.5,23.71,25.46,1430400,24.6175,0.2,127.3
2001-12-18,25.75,26.1,25.51,25.95,2640200,25.8275,0.2,129.75
2001-12-19,25.9,26.38,25.45,26.03,1160100,25.94,0.2,130.15
2001-12-20,27.6,28.0,25.61,27.05,2425100,27.065,0.2,135.25
2001-12-21,26.65,27.25,26.12,26.15,1900500,26.5425,0.2,130.74999999999997
2001-12-24,26.15,26.15,25.95,26.01,181100,26.065,0.2,130.05
2001-12-26,26.11,26.24,26.01,26.24,667000,26.15,0.2,131.2
2001-12-27,26.23,26.3,26.0,26.29,702000,26.205,0.2,131.45
2001-12-28,26.29,26.59,26.0,26.55,1174700,26.3575,0.2,132.75
2001-12-31,26.56,26.93,26.1,26.92,920700,26.6275,0.2,134.6
2002-01-02,26.9,26.91,25.95,26.21,900500,26.4925,0.2,131.04999999999998
2002-01-03,26.23,26.27,25.3,25.39,698200,25.7975,0.2,126.95
2002-01-04,25.39,28.2,25.24,27.7,2708500,26.6325,0.2,138.5
2002-01-07,27.77,27.8,26.45,26.45,1113600,27.1175,0.2,132.25
2002-01-08,26.46,27.3,24.12,27.28,1746900,26.29,0.2,136.4
2002-01-09,27.0,28.34,26.26,27.57,3008600,27.2925,0.2,137.85
2002-01-10,27.98,28.15,27.26,27.82,2384900,27.8025,0.2,139.1
2002-01-11,27.6,27.75,26.01,26.47,3910300,26.9575,0.2,132.35
2002-01-14,25.6,25.65,24.81,24.94,4285500,25.25,0.2,124.7
2002-01-15,25.0,26.0,25.0,25.39,3987000,25.3475,0.2,126.95
2002-01-16,25.42,26.67,24.9,26.0,3153700,25.7475,0.2,130.0
2002-01-17,26.0,26.25,25.84,26.0,1226800,26.0225,0.2,130.0
2002-01-18,25.95,25.99,25.59,25.76,758100,25.8225,0.2,128.8
2002-01-22,25.68,25.68,24.9,24.96,1914100,25.305,0.2,124.8
2002-01-23,24.9,25.0,24.31,24.55,2515200,24.69,0.2,122.75
2002-01-24,25.25,26.24,25.25,25.7,1689200,25.61,0.2,128.5
2002-01-25,25.65,25.75,25.2,25.2,1057900,25.45,0.2,125.99999999999999
2002-01-28,25.23,25.23,23.13,24.0,3010300,24.3975,0.2,120.0
2002-01-29,24.35,24.42,23.78,23.88,2563400,24.1075,0.2,119.39999999999999
2002-01-30,23.74,24.99,23.3,24.95,1677500,24.245,0.2,124.74999999999999
2002-01-31,25.5,26.15,25.5,25.78,1785300,25.7325,0.2,128.9
2002-02-01,25.9,28.3,25.8,28.0,2698000,27.0,0.2,140.0
2002-02-04,27.9,27.95,27.01,27.31,1659800,27.5425,0.2,136.54999999999998
2002-02-05,26.95,27.41,26.81,27.2,1007200,27.0925,0.2,136.0
2002-02-06,27.2,27.22,26.88,27.02,825700,27.08,0.2,135.1
2002-02-07,27.0,27.65,26.69,27.5,3080600,27.21,0.2,137.5
2002-02-08,27.0,27.75,26.7,27.72,1346400,27.2925,0.2,138.6
2002-02-11,27.4,28.05,26.6,26.8,1225300,27.2125,0.2,134.0
2002-02-12,25.8,26.2,25.7,25.98,1278100,25.92,0.2,129.9
2002-02-13,26.0,26.15,25.65,25.8,1198100,25.9,0.2,129.0
2002-02-14,26.0,27.0,25.6,27.0,1449900,26.4,0.2,135.0
2002-02-15,26.85,27.5,26.35,27.45,964900,27.0375,0.2,137.25
2002-02-19,27.45,27.45,26.85,26.95,814300,27.175,0.2,134.75
2002-02-20,26.9,27.36,26.85,27.1,1156200,27.0525,0.2,135.5
2002-02-21,26.9,26.9,24.95,26.0,1514200,26.1875,0.2,130.0
2002-02-22,25.8,25.8,24.7,25.63,2449100,25.4825,0.2,128.14999999999998
2002-02-25,25.96,26.24,24.75,25.2,2103500,25.5375,0.2,125.99999999999999
2002-02-26,25.3,25.85,25.03,25.68,787100,25.465,0.2,128.39999999999998
2002-02-27,27.0,27.24,25.5,25.74,1830800,26.37,0.03,858.0
2002-02-28,25.94,26.4,25.8,26.19,1782900,26.0825,0.03,873.0000000000001
2002-03-01,26.3,26.3,26.05,26.2,560300,26.2125,0.03,873.3333333333334
2002-03-04,26.2,27.19,26.2,26.8,1758700,26.5975,0.03,893.3333333333334
2002-03-05,27.0,27.84,27.0,27.75,2029800,27.3975,0.03,925.0
2002-03-06,27.5,28.05,27.44,27.54,770000,27.6325,0.03,918.0
2002-03-07,27.56,27.85,26.8,27.14,1056000,27.3375,0.03,904.6666666666667
2002-03-08,27.75,30.5,27.75,29.89,2507500,28.9725,0.03,996.3333333333334
2002-03-11,30.2,30.37,29.5,29.9,1379200,29.9925,0.03,996.6666666666666
2002-03-12,29.7,30.23,29.09,29.81,1616000,29.7075,0.03,993.6666666666666
2002-03-13,29.75,29.78,28.93,29.15,702500,29.4025,0.03,971.6666666666666
2002-03-14,29.0,29.03,28.33,28.67,1106700,28.7575,0.03,955.6666666666667
2002-03-15,28.52,28.99,28.25,28.99,892800,28.6875,0.03,966.3333333333334
2002-03-18,29.0,29.7,29.0,29.42,839200,29.28,0.03,980.6666666666667
2002-03-19,28.0,28.15,25.0,26.0,8931801,26.7875,0.03,866.6666666666667
2002-03-20,26.0,27.2,25.26,26.55,3732200,26.2525,0.03,885.0
2002-03-21,26.75,27.45,26.5,27.39,1668100,27.0225,0.03,913.0
2002-03-22,27.55,28.25,27.26,27.63,1225100,27.6725,0.03,921.0
2002-03-25,27.63,27.63,26.65,27.05,917300,27.24,0.03,901.6666666666667
2002-03-26,26.95,27.38,26.4,26.71,426800,26.86,0.03,890.3333333333334
