Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1972-12-15,0.055339,0.055339,0.055339,0.055339,767872,0.055339,,
1972-12-18,0.055339,0.055339,0.055339,0.055339,57472,0.055339,,
1972-12-19,0.054688,0.054688,0.054688,0.054688,537472,0.054688,,
1972-12-20,0.054688,0.054688,0.054688,0.054688,76672,0.054688,,
1972-12-21,0.054688,0.054688,0.054688,0.054688,268672,0.054688,,
1972-12-22,0.055339,0.055339,0.055339,0.055339,1459072,0.055339,,
1972-12-26,0.059896,0.059896,0.059896,0.059896,1209472,0.059896,,
1972-12-27,0.065104,0.065104,0.065104,0.065104,2035072,0.065104,,
1972-12-29,0.067709,0.067709,0.067709,0.067709,1727872,0.067709,,
1973-01-02,0.067709,0.067709,0.067709,0.067709,652672,0.067709,,
1973-01-03,0.069011,0.069011,0.069011,0.069011,614272,0.069011,,
1973-01-04,0.069011,0.069011,0.069011,0.069011,1363072,0.069011,,
1973-01-05,0.069662,0.069662,0.069662,0.069662,1919872,0.069662,,
1973-01-08,0.065104,0.065104,0.065104,0.065104,3091072,0.065104,,
1973-01-09,0.066407,0.066407,0.066407,0.066407,556672,0.066407,,
1973-01-10,0.065104,0.065104,0.065104,0.065104,806272,0.065104,,
1973-01-11,0.065104,0.065104,0.065104,0.065104,902272,0.065104,,
1973-01-12,0.0625,0.0625,0.0625,0.0625,249472,0.0625,,
1973-01-15,0.0625,0.0625,0.0625,0.0625,652672,0.0625,,
1973-01-16,0.054688,0.054688,0.054688,0.054688,729472,0.054688,,
1973-01-17,0.057292,0.057292,0.057292,0.057292,652672,0.057292,,
1973-01-18,0.058594,0.058594,0.058594,0.058594,921472,0.058594,,
1973-01-19,0.058594,0.058594,0.058594,0.058594,268672,0.058594,,
1973-01-22,0.057292,0.057292,0.057292,0.057292,268672,0.057292,,
1973-01-23,0.056641,0.056641,0.056641,0.056641,287872,0.056641,,
1973-01-24,0.052735,0.052735,0.052735,0.052735,326272,0.052735,,
1973-01-26,0.053386,0.053386,0.053386,0.053386,172672,0.053386,,
1973-01-29,0.052084,0.052084,0.052084,0.052084,422272,0.052084,,
1973-01-30,0.051433,0.051433,0.051433,0.051433,364672,0.051433,,
1973-01-31,0.052084,0.052084,0.052084,0.052084,153472,0.052084,,
1973-02-01,0.050782,0.050782,0.050782,0.050782,691072,0.050782,,
1973-02-02,0.050782,0.050782,0.050782,0.050782,115072,0.050782,,
1973-02-05,0.050782,0.050782,0.050782,0.050782,230272,0.050782,,
1973-02-06,0.050782,0.050782,0.050782,0.050782,575872,0.050782,,
1973-02-07,0.051433,0.051433,0.051433,0.051433,172672,0.051433,,
1973-02-08,0.050782,0.050782,0.050782,0.050782,172672,0.050782,,
1973-02-09,0.054037,0.054037,0.054037,0.054037,345472,0.054037,,
1973-02-12,0.056641,0.056641,0.056641,0.056641,691072,0.056641,,
1973-02-13,0.060547,0.060547,0.060547,0.060547,748672,0.060547,,
1973-02-14,0.059896,0.059896,0.059896,0.059896,249472,0.059896,,
1973-02-15,0.058594,0.058594,0.058594,0.058594,403072,0.058594,,
1973-02-16,0.05599,0.05599,0.05599,0.05599,230272,0.05599,,
1973-02-20,0.057292,0.057292,0.057292,0.057292,38272,0.057292,,
1973-02-21,0.05599,0.05599,0.05599,0.05599,95872,0.05599,,
1973-02-22,0.056641,0.056641,0.056641,0.056641,153472,0.056641,,
1973-02-23,0.057292,0.057292,0.057292,0.057292,287872,0.057292,,
1973-02-26,0.056641,0.056641,0.056641,0.056641,249472,0.056641,,
1973-02-27,0.056641,0.056641,0.056641,0.056641,287872,0.056641,,
1973-02-28,0.055339,0.055339,0.055339,0.055339,307072,0.055339,,
1973-03-01,0.05599,0.05599,0.05599,0.05599,1247872,0.05599,,
1973-03-02,0.055339,0.055339,0.055339,0.055339,364672,0.055339,,
1973-03-05,0.055339,0.055339,0.055339,0.055339,134272,0.055339,,
1973-03-06,0.054688,0.054688,0.054688,0.054688,307072,0.054688,,
1973-03-07,0.054688,0.054688,0.054688,0.054688,979072,0.054688,,
1973-03-08,0.054037,0.054037,0.054037,0.054037,191872,0.054037,,
1973-03-09,0.053386,0.053386,0.053386,0.053386,633472,0.053386,,
1973-03-12,0.053386,0.053386,0.053386,0.053386,671872,0.053386,,
1973-03-13,0.055339,0.055339,0.055339,0.055339,2380672,0.055339,,
1973-03-14,0.057292,0.057292,0.057292,0.057292,230272,0.057292,,
1973-03-15,0.057943,0.057943,0.057943,0.057943,115072,0.057943,,
1973-03-16,0.055339,0.055339,0.055339,0.055339,307072,0.055339,,
1973-03-19,0.055339,0.055339,0.055339,0.055339,191872,0.055339,,
1973-03-20,0.055339,0.055339,0.055339,0.055339,441472,0.055339,,
1973-03-21,0.055339,0.055339,0.055339,0.055339,19072,0.055339,,
1973-03-22,0.053386,0.053386,0.053386,0.053386,748672,0.053386,,
1973-03-23,0.054037,0.054037,0.054037,0.054037,460672,0.054037,,
1973-03-26,0.054037,0.054037,0.054037,0.054037,191872,0.054037,,
1973-03-27,0.054037,0.054037,0.054037,0.054037,38272,0.054037,,
1973-03-28,0.053386,0.053386,0.053386,0.053386,38272,0.053386,,
1973-03-29,0.052084,0.052084,0.052084,0.052084,249472,0.052084,,
1973-03-30,0.051433,0.051433,0.051433,0.051433,499072,0.051433,,
1973-04-02,0.050782,0.050782,0.050782,0.050782,230272,0.050782,,
1973-04-04,0.048828,0.048828,0.048828,0.048828,364672,0.048828,,
1973-04-05,0.045573,0.045573,0.045573,0.045573,403072,0.045573,,
1973-04-06,0.046875,0.046875,0.046875,0.046875,575872,0.046875,,
1973-04-09,0.048177,0.048177,0.048177,0.048177,575872,0.048177,,
1973-04-10,0.046224,0.046224,0.046224,0.046224,921472,0.046224,,
1973-04-11,0.046224,0.046224,0.046224,0.046224,959872,0.046224,,
1973-04-12,0.046224,0.046224,0.046224,0.046224,76672,0.046224,,
1973-04-13,0.046224,0.046224,0.046224,0.046224,115072,0.046224,,
1973-04-16,0.046224,0.046224,0.046224,0.046224,287872,0.046224,,
1973-04-17,0.046224,0.046224,0.046224,0.046224,134272,0.046224,,
1973-04-18,0.046224,0.046224,0.046224,0.046224,326272,0.046224,,
1973-04-19,0.046224,0.046224,0.046224,0.046224,153472,0.046224,,
1973-04-23,0.045573,0.045573,0.045573,0.045573,134272,0.045573,,
1973-04-24,0.045573,0.045573,0.045573,0.045573,499072,0.045573,,
1973-04-25,0.045573,0.045573,0.045573,0.045573,153472,0.045573,,
1973-04-26,0.044922,0.044922,0.044922,0.044922,441472,0.044922,,
1973-04-27,0.044922,0.044922,0.044922,0.044922,268672,0.044922,,
1973-04-30,0.045573,0.045573,0.045573,0.045573,287872,0.045573,,
1973-05-01,0.045573,0.045573,0.045573,0.045573,38272,0.045573,,
1973-05-02,0.048177,0.048177,0.048177,0.048177,345472,0.048177,,
1973-05-03,0.052084,0.052084,0.052084,0.052084,364672,0.052084,,
1973-05-04,0.052084,0.052084,0.052084,0.052084,57472,0.052084,,
1973-05-07,0.052084,0.052084,0.052084,0.052084,57472,0.052084,,
1973-05-08,0.052735,0.052735,0.052735,0.052735,76672,0.052735,,
1973-05-09,0.052735,0.052735,0.052735,0.052735,825472,0.052735,,
1973-05-11,0.052084,0.052084,0.052084,0.052084,76672,0.052084,,
1973-05-14,0.051433,0.051433,0.051433,0.051433,38272,0.051433,,
1973-05-15,0.05013,0.05013,0.05013,0.05013,115072,0.05013,,
1973-05-16,0.05013,0.05013,0.05013,0.05013,19072,0.05013,,
1973-05-17,0.05013,0.05013,0.05013,0.05013,19072,0.05013,,
1973-05-18,0.045573,0.045573,0.045573,0.045573,748672,0.045573,,
1973-05-21,0.039063,0.039063,0.039063,0.039063,403072,0.039063,,
1973-05-22,0.041667,0.041667,0.041667,0.041667,38272,0.041667,,
1973-05-23,0.040365,0.040365,0.040365,0.040365,115072,0.040365,,
1973-05-24,0.039063,0.039063,0.039063,0.039063,95872,0.039063,,
1973-05-25,0.039063,0.039063,0.039063,0.039063,1190272,0.039063,,
1973-05-29,0.039063,0.039063,0.039063,0.039063,115072,0.039063,,
1973-05-30,0.036459,0.036459,0.036459,0.036459,268672,0.036459,,
1973-05-31,0.035156,0.035156,0.035156,0.035156,115072,0.035156,,
1973-06-01,0.035156,0.035156,0.035156,0.035156,38272,0.035156,,
1973-06-04,0.033854,0.033854,0.033854,0.033854,95872,0.033854,,
1973-06-05,0.035156,0.035156,0.035156,0.035156,307072,0.035156,,
1973-06-06,0.033854,0.033854,0.033854,0.033854,326272,0.033854,,
1973-06-07,0.033854,0.033854,0.033854,0.033854,844672,0.033854,,
1973-06-08,0.041667,0.041667,0.041667,0.041667,2745472,0.041667,,
1973-06-11,0.040365,0.040365,0.040365,0.040365,172672,0.040365,,
