Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2014-06-06,3.45,3.75,3.44,3.44,116081376,3.52,0.0063,546.031746031746
2014-06-09,3.52,3.56,3.44,3.45,11469376,3.4925,0.0063,547.6190476190476
2014-06-10,3.45,3.75,3.45,3.75,15787376,3.6,0.0063,595.2380952380952
2014-06-11,3.75,3.97,3.67,3.97,10584832,3.84,0.0063,630.1587301587302
2014-06-12,3.98,4.24,3.94,4.13,11808864,4.0725,0.0063,655.5555555555555
2014-06-13,4.28,4.5,4.19,4.35,17061152,4.33,0.0063,690.4761904761904
2014-06-16,4.45,4.47,4.23,4.47,6673824,4.405,0.0063,709.5238095238095
2014-06-17,4.49,4.54,4.31,4.36,4475472,4.425,0.0063,692.0634920634922
2014-06-18,4.38,4.44,4.24,4.31,3340352,4.3425,0.0063,684.1269841269841
2014-06-19,4.25,4.3,4.03,4.1,10448320,4.17,0.0063,650.7936507936507
2014-06-20,4.07,4.28,4.03,4.07,4707632,4.1125,0.0063,646.031746031746
2014-06-23,4.06,4.22,4.06,4.11,1864288,4.1125,0.0063,652.3809523809524
2014-06-24,4.15,4.17,3.99,4.02,3084464,4.0825,0.0063,638.0952380952381
2014-06-25,3.99,4.08,3.88,4.03,2978784,3.995,0.0063,639.6825396825398
2014-06-26,4.05,4.05,3.91,3.99,1553824,4.0,0.0063,633.3333333333334
2014-06-27,3.99,3.99,3.89,3.91,3915840,3.945,0.0063,620.6349206349206
2014-06-30,3.88,4.08,3.88,3.9,3711488,3.935,0.0063,619.047619047619
2014-07-01,4.19,4.8,4.13,4.75,26563600,4.4675,0.0063,753.968253968254
2014-07-02,4.92,5.03,4.58,4.71,18024544,4.81,0.0063,747.6190476190476
2014-07-03,4.78,4.85,4.63,4.78,3902144,4.76,0.0063,758.7301587301588
2014-07-07,4.7,4.83,4.5,4.51,5067168,4.635,0.0063,715.8730158730158
2014-07-08,4.5,4.5,3.95,4.34,18859184,4.3225,0.0063,688.8888888888889
2014-07-09,4.33,4.56,4.13,4.49,5958880,4.3775,0.0063,712.6984126984128
2014-07-10,4.22,4.38,4.2,4.23,4749520,4.2575,0.0063,671.4285714285714
2014-07-11,4.3,4.41,4.27,4.35,3067696,4.3325,0.0063,690.4761904761904
2014-07-14,4.46,4.5,4.28,4.31,2095392,4.3875,0.0063,684.1269841269841
2014-07-15,4.34,4.41,4.13,4.17,3617488,4.2625,0.0063,661.9047619047619
2014-07-16,4.19,4.25,3.98,4.03,3962880,4.1125,0.0063,639.6825396825398
2014-07-17,3.99,4.1,3.94,3.99,2083536,4.005,0.0063,633.3333333333334
2014-07-18,4.0,4.06,3.96,4.0,1980144,4.005,0.0063,634.9206349206349
2014-07-21,4.01,4.05,3.94,3.95,2299232,3.9875,0.0063,626.984126984127
2014-07-22,3.99,4.18,3.97,4.09,3774176,4.0575,0.0063,649.2063492063492
2014-07-23,4.12,4.17,4.03,4.05,2366656,4.0925,0.0063,642.8571428571428
2014-07-24,4.07,4.14,3.99,4.02,2922320,4.055,0.0063,638.0952380952381
2014-07-25,4.01,4.05,3.91,3.98,1849024,3.9875,0.0063,631.7460317460317
2014-07-28,4.03,4.03,3.94,3.96,1145536,3.99,0.0063,628.5714285714286
2014-07-29,3.97,4.0,3.95,3.99,1702208,3.9775,0.0063,633.3333333333334
2014-07-30,4.03,4.24,4.0,4.24,9729440,4.1275,0.0063,673.015873015873
2014-07-31,4.15,4.19,4.07,4.13,4123424,4.135,0.0063,655.5555555555555
2014-08-01,4.11,4.22,4.08,4.1,3098832,4.1275,0.0063,650.7936507936507
2014-08-04,4.12,4.34,4.11,4.33,4089424,4.225,0.0063,687.3015873015873
2014-08-05,4.3,4.56,4.25,4.51,6439056,4.405,0.0063,715.8730158730158
2014-08-06,4.46,4.53,4.35,4.43,3610144,4.4425,0.0063,703.1746031746031
2014-08-07,4.49,4.54,4.45,4.51,6676240,4.4975,0.0063,715.8730158730158
2014-08-08,4.95,4.99,4.47,4.5,22834176,4.7275,0.0231,194.80519480519482
2014-08-11,4.54,4.59,4.21,4.37,11848352,4.4275,0.0231,189.17748917748918
2014-08-12,4.34,4.48,4.34,4.44,3567696,4.4,0.0231,192.20779220779224
2014-08-13,4.45,4.5,4.33,4.37,4376000,4.4125,0.0231,189.17748917748918
2014-08-14,4.36,4.48,4.3,4.43,4266064,4.3925,0.0231,191.77489177489178
2014-08-15,4.46,4.46,4.34,4.36,2265216,4.405,0.0231,188.74458874458875
2014-08-18,4.43,4.46,4.33,4.41,2814160,4.4075,0.0231,190.90909090909093
2014-08-19,4.42,4.7,4.39,4.69,7650048,4.55,0.0231,203.03030303030306
2014-08-20,4.65,4.83,4.56,4.78,6337536,4.705,0.0231,206.92640692640694
2014-08-21,4.74,4.9,4.71,4.83,6964368,4.795,0.0231,209.0909090909091
2014-08-22,4.78,4.81,4.7,4.73,2841984,4.755,0.0231,204.7619047619048
2014-08-25,4.75,4.84,4.68,4.72,2838352,4.7475,0.0231,204.32900432900433
2014-08-26,4.72,4.8,4.67,4.76,2603392,4.7375,0.0231,206.06060606060606
2014-08-27,4.75,5.22,4.75,5.2,11587248,4.98,0.0231,225.10822510822513
2014-08-28,5.19,5.24,5.1,5.22,5493264,5.1875,0.0231,225.97402597402598
2014-08-29,5.31,5.36,5.17,5.24,5288336,5.27,0.0231,226.83982683982686
