Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1991-11-08,0.14453,0.14453,0.14453,0.14453,176057600,0.14453,-0.0006,-240.88333333333335
1991-11-11,0.14453,0.14453,0.14453,0.14453,23718400,0.14453,-0.0006,-240.88333333333335
1991-11-12,0.14453,0.14453,0.14453,0.14453,26195200,0.14453,-0.0006,-240.88333333333335
1991-11-13,0.14453,0.14453,0.14063,0.14063,38118400,0.14258,-0.0006,-234.38333333333335
1991-11-14,0.13672,0.13672,0.13086,0.13672,41670400,0.13526,-0.0006,-227.8666666666667
1991-11-15,0.13672,0.13672,0.12891,0.12891,43494400,0.13282,-0.0006,-214.85000000000002
1991-11-18,0.12891,0.12891,0.11914,0.12109,17747200,0.12451,-0.0006,-201.8166666666667
1991-11-19,0.12109,0.125,0.11719,0.12109,19916800,0.12109,-0.0006,-201.8166666666667
1991-11-20,0.12109,0.12305,0.12109,0.12305,1945600,0.12207,-0.0006,-205.08333333333337
1991-11-21,0.12109,0.12109,0.11719,0.11719,3366400,0.11914,-0.0006,-195.3166666666667
1991-11-22,0.11719,0.11719,0.10938,0.11133,5222400,0.11377,-0.0006,-185.55
1991-11-25,0.11133,0.12109,0.10938,0.11523,11315200,0.11426,-0.0006,-192.05
1991-11-26,0.11523,0.11914,0.11523,0.11523,6585600,0.11621,-0.0006,-192.05
1991-11-27,0.11719,0.11914,0.11719,0.11914,6758400,0.11817,-0.0006,-198.5666666666667
1991-11-29,0.11914,0.12109,0.11719,0.12109,1971200,0.11963,-0.0006,-201.8166666666667
1991-12-02,0.11914,0.12891,0.11914,0.12305,4070400,0.12256,-0.0006,-205.08333333333337
1991-12-03,0.125,0.12695,0.12305,0.12695,4454400,0.12549,-0.0006,-211.58333333333337
1991-12-04,0.12891,0.14063,0.12891,0.13086,19648000,0.13233,-0.0006,-218.10000000000002
1991-12-05,0.12891,0.13672,0.12695,0.13477,10099200,0.13184,-0.0006,-224.61666666666667
1991-12-06,0.13477,0.13477,0.13281,0.13477,2899200,0.13428,-0.0006,-224.61666666666667
1991-12-09,0.13477,0.13477,0.13281,0.13281,4716800,0.13379,-0.0006,-221.35000000000005
1991-12-10,0.13086,0.13086,0.12695,0.12695,4748800,0.12891,-0.0006,-211.58333333333337
1991-12-11,0.12695,0.12891,0.12305,0.12305,3961600,0.12549,-0.0006,-205.08333333333337
1991-12-12,0.125,0.12891,0.12109,0.12695,3955200,0.12549,-0.0006,-211.58333333333337
1991-12-13,0.12891,0.13281,0.12891,0.13086,3014400,0.13037,-0.0006,-218.10000000000002
1991-12-16,0.13281,0.13281,0.12891,0.13086,5510400,0.13135,-0.0006,-218.10000000000002
1991-12-17,0.12891,0.12891,0.12695,0.12695,2195200,0.12793,-0.0006,-211.58333333333337
1991-12-18,0.12695,0.12695,0.12109,0.12305,3974400,0.12451,-0.0006,-205.08333333333337
1991-12-19,0.12109,0.12109,0.11719,0.12109,3161600,0.12012,-0.0006,-201.8166666666667
1991-12-20,0.12305,0.12305,0.11328,0.12109,4115200,0.12012,-0.0006,-201.8166666666667
1991-12-23,0.11914,0.12695,0.11719,0.12695,3833600,0.12256,-0.0006,-211.58333333333337
1991-12-24,0.125,0.13477,0.125,0.13477,4857600,0.12989,-0.0006,-224.61666666666667
1991-12-26,0.13477,0.14063,0.13477,0.14063,4288000,0.1377,-0.0006,-234.38333333333335
1991-12-27,0.13867,0.14063,0.13281,0.14063,6726400,0.13819,-0.0006,-234.38333333333335
1991-12-30,0.14063,0.14063,0.13672,0.13867,5260800,0.13916,0.0025,55.467999999999996
1991-12-31,0.13867,0.14063,0.13672,0.14063,12588800,0.13916,0.0025,56.252
1992-01-02,0.13867,0.13867,0.13477,0.13867,2912000,0.13769,0.0025,55.467999999999996
1992-01-03,0.13867,0.14258,0.13867,0.14063,12038400,0.14014,0.0025,56.252
1992-01-06,0.14258,0.1543,0.14063,0.14453,39193600,0.14551,0.0025,57.812
1992-01-07,0.14453,0.15039,0.14258,0.14844,23987200,0.14649,0.0025,59.376
1992-01-08,0.14844,0.1582,0.14844,0.1543,73504000,0.15235,0.0025,61.72
1992-01-09,0.15625,0.15625,0.15039,0.15039,18982400,0.15332,0.0025,60.156
1992-01-10,0.15234,0.15234,0.15039,0.15039,8966400,0.15137,0.0025,60.156
1992-01-13,0.15039,0.1543,0.15039,0.15234,5862400,0.15186,0.0025,60.936
1992-01-14,0.15039,0.1543,0.15039,0.15234,9676800,0.15186,0.0025,60.936
1992-01-15,0.15234,0.1543,0.15039,0.15234,5811200,0.15234,0.0025,60.936
1992-01-16,0.15234,0.1582,0.15039,0.1582,61600000,0.15478,0.0025,63.28
1992-01-17,0.1582,0.16602,0.15625,0.1582,18380800,0.15967,0.0025,63.28
1992-01-20,0.1582,0.1582,0.15234,0.15234,8256000,0.15527,0.0025,60.936
1992-01-21,0.15234,0.1543,0.14844,0.15039,8211200,0.15137,0.0025,60.156
1992-01-22,0.15039,0.15039,0.14648,0.14648,4595200,0.14843,0.0025,58.592
1992-01-23,0.14844,0.14844,0.14453,0.14648,4697600,0.14697,0.0025,58.592
1992-01-24,0.14453,0.14648,0.14453,0.14648,4256000,0.14551,0.0025,58.592
1992-01-27,0.14453,0.14648,0.14258,0.14648,6899200,0.14502,0.0025,58.592
1992-01-28,0.14453,0.14648,0.14453,0.14453,2246400,0.14502,0.0025,57.812
1992-01-29,0.14453,0.15039,0.14258,0.14258,10880000,0.14502,0.0025,57.032000000000004
1992-01-30,0.14063,0.1543,0.13281,0.14648,15308800,0.14355,0.0025,58.592
1992-01-31,0.14258,0.14453,0.14258,0.14258,2342400,0.14307,0.0025,57.032000000000004
1992-02-03,0.14063,0.14648,0.14063,0.14648,1139200,0.14355,0.0025,58.592
1992-02-04,0.13477,0.13672,0.125,0.13477,37568000,0.13282,0.0025,53.908
1992-02-05,0.13477,0.13867,0.13086,0.13086,11372800,0.13379,0.0025,52.344
1992-02-06,0.13086,0.13477,0.13086,0.13086,3987200,0.13184,0.0025,52.344
1992-02-07,0.13281,0.13672,0.13281,0.13477,5395200,0.13428,0.0025,53.908
1992-02-10,0.13281,0.13477,0.13281,0.13281,4736000,0.1333,0.0025,53.124
1992-02-11,0.13281,0.13477,0.13086,0.13086,8588800,0.13233,0.0025,52.344
1992-02-12,0.13281,0.13281,0.13086,0.13281,6086400,0.13232,0.0025,53.124
1992-02-13,0.13672,0.13672,0.13281,0.13281,2137600,0.13477,0.0025,53.124
1992-02-14,0.13281,0.13477,0.12891,0.12891,3059200,0.13135,0.0025,51.564
1992-02-18,0.13086,0.13086,0.12891,0.12891,2214400,0.12989,0.0025,51.564
1992-02-19,0.12891,0.12891,0.125,0.125,4729600,0.12695,0.0025,50.0
1992-02-20,0.125,0.12695,0.12109,0.125,2323200,0.12451,0.0025,50.0
1992-02-21,0.12695,0.12891,0.125,0.12695,7046400,0.12695,0.0025,50.78
1992-02-24,0.12695,0.12695,0.12305,0.12305,2406400,0.125,0.0025,49.22
1992-02-25,0.125,0.125,0.12305,0.12305,2438400,0.12403,0.0025,49.22
1992-02-26,0.125,0.13086,0.12305,0.12891,6105600,0.12696,0.0025,51.564
1992-02-27,0.13086,0.13086,0.12695,0.12695,2048000,0.12891,0.0025,50.78
1992-02-28,0.12891,0.12891,0.125,0.12891,1683200,0.12793,0.0025,51.564
1992-03-02,0.12695,0.12695,0.125,0.12695,1548800,0.12646,0.0025,50.78
1992-03-03,0.12695,0.12891,0.12305,0.12695,9497600,0.12647,0.0025,50.78
1992-03-04,0.12891,0.13477,0.12891,0.13281,6470400,0.13135,0.0025,53.124
1992-03-05,0.13672,0.13672,0.13086,0.13086,3564800,0.13379,0.0025,52.344
1992-03-06,0.13281,0.13281,0.12695,0.12891,2182400,0.13037,0.0025,51.564
1992-03-09,0.12891,0.12891,0.12695,0.12695,2630400,0.12793,0.0025,50.78
1992-03-10,0.12891,0.13086,0.12695,0.12695,5049600,0.12842,0.0025,50.78
1992-03-11,0.125,0.12695,0.12109,0.12305,2297600,0.12402,0.0025,49.22
1992-03-12,0.12109,0.12305,0.12109,0.12109,2105600,0.12158,0.0025,48.436
1992-03-13,0.12109,0.125,0.12109,0.12305,4083200,0.12256,0.0025,49.22
1992-03-16,0.12305,0.12305,0.12109,0.12109,409600,0.12207,0.0025,48.436
1992-03-17,0.12305,0.12305,0.11914,0.12109,3276800,0.12158,0.0025,48.436
1992-03-18,0.12109,0.12305,0.12109,0.12305,2022400,0.12207,0.0025,49.22
1992-03-19,0.12109,0.12305,0.11914,0.11914,1222400,0.12061,0.0025,47.656
1992-03-20,0.12109,0.125,0.12109,0.12305,1830400,0.12256,0.0025,49.22
1992-03-23,0.12305,0.125,0.11914,0.125,1772800,0.12305,0.0025,50.0
1992-03-24,0.125,0.13672,0.125,0.13281,14534400,0.12988,0.0025,53.124
1992-03-25,0.13281,0.13281,0.12891,0.12891,2252800,0.13086,0.0025,51.564
1992-03-26,0.12891,0.12891,0.12305,0.125,8064000,0.12647,0.0025,50.0
1992-03-27,0.12695,0.12891,0.12695,0.12891,1996800,0.12793,0.0025,51.564
1992-03-30,0.12891,0.12891,0.12305,0.125,2553600,0.12647,0.0025,50.0
1992-03-31,0.12305,0.12695,0.12305,0.12695,5772800,0.125,0.0016,79.34375
1992-04-01,0.125,0.12891,0.125,0.12891,1036800,0.12695,0.0016,80.56875
1992-04-02,0.12695,0.12891,0.12695,0.12695,1113600,0.12744,0.0016,79.34375
1992-04-03,0.12695,0.12695,0.12695,0.12695,441600,0.12695,0.0016,79.34375
1992-04-06,0.12695,0.12695,0.125,0.12695,864000,0.12646,0.0016,79.34375
1992-04-07,0.12695,0.12695,0.12305,0.12305,2246400,0.125,0.0016,76.90625
1992-04-08,0.12305,0.12305,0.11914,0.12305,2438400,0.12207,0.0016,76.90625
1992-04-09,0.12305,0.12695,0.12305,0.12695,1324800,0.125,0.0016,79.34375
1992-04-10,0.12891,0.12891,0.125,0.12695,8870400,0.12744,0.0016,79.34375
1992-04-13,0.12695,0.13086,0.12695,0.12891,684800,0.12842,0.0016,80.56875
1992-04-14,0.12891,0.12891,0.12695,0.12695,998400,0.12793,0.0016,79.34375
1992-04-15,0.125,0.12695,0.11523,0.11719,2617600,0.12109,0.0016,73.24374999999999
1992-04-16,0.11914,0.11914,0.11719,0.11719,1619200,0.11817,0.0016,73.24374999999999
1992-04-20,0.11914,0.11914,0.11328,0.11328,3648000,0.11621,0.0016,70.8
1992-04-21,0.11523,0.11523,0.11328,0.11523,1638400,0.11474,0.0016,72.01875
1992-04-22,0.11328,0.11523,0.11133,0.11328,2790400,0.11328,0.0016,70.8
1992-04-23,0.11328,0.11914,0.11133,0.11719,2656000,0.11524,0.0016,73.24374999999999
1992-04-24,0.11523,0.11523,0.10938,0.11523,2118400,0.11377,0.0016,72.01875
1992-04-27,0.11523,0.12109,0.11523,0.12109,1785600,0.11816,0.0016,75.68124999999999
1992-04-28,0.12109,0.12109,0.11719,0.11914,755200,0.11963,0.0016,74.46249999999999
1992-04-29,0.11914,0.11914,0.11719,0.11914,256000,0.11865,0.0016,74.46249999999999
