Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2009-08-06,1.65,1.69,1.56,1.62,241984160,1.63,0.001,1620.0
2009-08-07,1.61,1.68,1.6,1.64,24543000,1.6325,0.001,1639.9999999999998
2009-08-10,1.66,1.66,1.56,1.6,24210000,1.62,0.001,1600.0
2009-08-11,1.6,1.6,1.55,1.57,23054000,1.58,0.001,1570.0
2009-08-12,1.61,1.62,1.57,1.6,14513000,1.6,0.001,1600.0
2009-08-13,1.6,1.67,1.6,1.66,11506000,1.6325,0.001,1659.9999999999998
2009-08-14,1.65,1.7,1.63,1.66,6378000,1.66,0.001,1659.9999999999998
2009-08-17,1.63,1.64,1.62,1.62,2544000,1.6275,0.001,1620.0
2009-08-18,1.65,1.72,1.64,1.71,14467000,1.68,0.001,1710.0
2009-08-19,1.68,1.79,1.68,1.79,20708000,1.735,0.001,1790.0
2009-08-20,1.8,1.8,1.73,1.78,18821000,1.7775,0.001,1780.0
2009-08-21,1.78,1.8,1.76,1.78,8636000,1.78,0.001,1780.0
2009-08-24,1.75,1.79,1.73,1.75,10216000,1.755,0.001,1750.0
2009-08-25,1.76,1.79,1.76,1.79,5308000,1.775,0.001,1790.0
2009-08-26,1.77,1.79,1.71,1.79,7086000,1.765,0.001,1790.0
2009-08-27,1.79,1.82,1.76,1.82,11611000,1.7975,0.001,1820.0
2009-08-28,1.81,1.9,1.8,1.85,12950000,1.84,0.001,1850.0
2009-08-31,1.84,1.84,1.78,1.82,10048000,1.82,0.001,1820.0
2009-09-01,1.83,1.84,1.69,1.79,13835000,1.7875,0.001,1790.0
2009-09-02,1.78,1.83,1.75,1.77,12934000,1.7825,0.001,1770.0
2009-09-03,1.8,1.8,1.7,1.75,36577000,1.7625,0.001,1750.0
2009-09-04,1.78,1.8,1.75,1.78,11586000,1.7775,0.001,1780.0
2009-09-08,1.78,1.79,1.75,1.77,5749000,1.7725,0.001,1770.0
2009-09-09,1.79,1.79,1.72,1.73,5512000,1.7575,0.001,1730.0
2009-09-10,1.7,1.75,1.7,1.71,4152000,1.715,0.001,1710.0
2009-09-11,1.7,1.73,1.65,1.69,6203000,1.6925,0.001,1690.0
2009-09-14,1.66,1.69,1.63,1.66,16145000,1.66,0.001,1659.9999999999998
2009-09-15,1.73,1.74,1.66,1.72,19871870,1.7125,0.001,1720.0
2009-09-16,1.74,1.78,1.71,1.76,20223690,1.7475,0.001,1760.0
2009-09-17,1.77,1.79,1.65,1.66,14464000,1.7175,0.001,1659.9999999999998
2009-09-18,1.66,1.7,1.62,1.62,8999000,1.65,0.001,1620.0
2009-09-21,1.63,1.66,1.59,1.66,5530000,1.635,0.001,1659.9999999999998
2009-09-22,1.7,1.74,1.68,1.73,11141000,1.7125,0.001,1730.0
2009-09-23,1.76,1.78,1.73,1.74,5303000,1.7525,0.001,1740.0
2009-09-24,1.73,1.78,1.68,1.75,7788000,1.735,0.001,1750.0
2009-09-25,1.75,1.75,1.71,1.71,4685000,1.73,0.001,1710.0
2009-09-28,1.73,1.79,1.7,1.76,2336000,1.745,0.001,1760.0
2009-09-29,1.76,1.78,1.7,1.7,3567000,1.735,0.001,1700.0
2009-09-30,1.7,1.73,1.7,1.71,5126000,1.71,0.001,1710.0
2009-10-01,1.7,1.71,1.62,1.63,6605000,1.665,0.001,1629.9999999999998
2009-10-02,1.62,1.64,1.59,1.61,6296000,1.615,0.001,1610.0
2009-10-05,1.61,1.65,1.6,1.65,1889000,1.6275,0.001,1649.9999999999998
2009-10-06,1.67,1.72,1.64,1.65,4694000,1.67,0.001,1649.9999999999998
2009-10-07,1.66,1.66,1.59,1.61,2917000,1.63,0.001,1610.0
2009-10-08,1.61,1.62,1.59,1.6,5573000,1.605,0.001,1600.0
2009-10-09,1.6,1.65,1.59,1.63,8705000,1.6175,0.001,1629.9999999999998
2009-10-12,1.62,1.65,1.6,1.63,12888000,1.625,0.001,1629.9999999999998
2009-10-13,1.62,1.67,1.61,1.65,5573000,1.6375,0.001,1649.9999999999998
2009-10-14,1.68,1.7,1.65,1.69,6988870,1.68,0.001,1690.0
2009-10-15,1.74,1.8,1.71,1.72,20920000,1.7425,0.001,1720.0
2009-10-16,1.72,1.72,1.62,1.64,12638000,1.675,0.001,1639.9999999999998
2009-10-19,1.65,1.66,1.61,1.62,21429000,1.635,0.001,1620.0
2009-10-20,1.63,1.67,1.63,1.65,4890000,1.645,0.001,1649.9999999999998
2009-10-21,1.64,1.69,1.61,1.65,2338000,1.6475,0.001,1649.9999999999998
2009-10-22,1.63,1.63,1.56,1.63,9834000,1.6125,0.001,1629.9999999999998
2009-10-23,1.61,1.64,1.59,1.61,11341000,1.6125,0.001,1610.0
2009-10-26,1.59,1.61,1.58,1.58,1624000,1.59,0.001,1580.0
2009-10-27,1.6,1.6,1.53,1.55,3288000,1.57,0.001,1550.0
