Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2013-06-27,17.64,18.75,17.38,18.37,8286730,18.035,0.19,96.6842105263158
2013-06-28,18.4,19.17,18.38,18.62,717400,18.6425,0.19,98.0
2013-07-01,18.65,18.9,18.34,18.34,394200,18.5575,0.19,96.52631578947368
2013-07-02,18.34,19.64,18.26,19.22,223800,18.865,0.19,101.1578947368421
2013-07-03,18.99,19.2,18.67,19.08,103700,18.985,0.19,100.42105263157893
2013-07-05,18.8,19.36,18.55,19.22,111800,18.9825,0.19,101.1578947368421
2013-07-08,19.05,19.48,18.86,19.23,110500,19.155,0.19,101.21052631578948
2013-07-09,19.13,19.92,19.06,19.5,206401,19.4025,0.19,102.63157894736842
2013-07-10,19.47,19.95,19.05,19.1,334900,19.3925,0.19,100.52631578947368
2013-07-11,19.05,19.65,19.05,19.58,108800,19.3325,0.19,103.05263157894736
2013-07-12,19.23,19.54,19.21,19.51,114600,19.3725,0.19,102.6842105263158
2013-07-15,19.36,19.75,19.22,19.56,177300,19.4725,0.19,102.94736842105263
2013-07-16,19.04,20.65,19.04,20.1,239300,19.7075,0.19,105.78947368421053
2013-07-17,20.01,20.47,19.72,20.37,139200,20.1425,0.19,107.21052631578948
2013-07-18,20.5,21.0,20.06,20.83,162000,20.5975,0.19,109.63157894736841
2013-07-19,21.0,21.39,20.77,20.84,631400,21.0,0.19,109.68421052631578
2013-07-22,20.6,20.7,20.22,20.34,492900,20.465,0.19,107.05263157894737
2013-07-23,20.29,20.69,20.0,20.22,41500,20.3,0.19,106.42105263157895
2013-07-24,20.23,20.69,20.05,20.57,43600,20.385,0.19,108.26315789473684
2013-07-25,20.34,21.98,20.0,21.98,232400,21.075,0.19,115.6842105263158
2013-07-26,22.12,22.14,21.05,21.59,141300,21.725,0.19,113.63157894736842
2013-07-29,21.5,22.0,21.06,21.7,85200,21.565,0.19,114.21052631578947
2013-07-30,21.71,21.8,20.8,21.6,94624,21.4775,0.19,113.6842105263158
2013-07-31,21.79,21.79,21.19,21.5,52504,21.5675,0.19,113.15789473684211
2013-08-01,21.45,21.8,21.16,21.66,181600,21.5175,0.19,114.0
2013-08-02,21.67,22.5,21.17,22.43,225597,21.9425,0.19,118.05263157894737
2013-08-05,22.43,23.0,22.26,22.79,104800,22.62,0.19,119.94736842105263
2013-08-06,22.83,23.1,22.59,22.81,419637,22.8325,0.19,120.05263157894736
2013-08-07,22.8,22.99,22.64,22.95,82839,22.845,0.19,120.78947368421052
2013-08-08,23.0,23.1,22.8,23.07,74100,22.9925,0.19,121.42105263157895
2013-08-09,22.85,23.12,22.85,23.05,67400,22.9675,0.19,121.31578947368422
2013-08-12,22.85,23.2,22.85,23.16,116200,23.015,0.32,72.375
2013-08-13,23.14,23.55,22.85,23.4,102402,23.235,0.32,73.125
2013-08-14,23.3,23.4,23.15,23.36,72100,23.3025,0.32,73.0
2013-08-15,23.4,23.4,22.8,23.0,280100,23.15,0.32,71.875
2013-08-16,22.98,23.09,22.8,23.05,82200,22.98,0.32,72.03125
2013-08-19,23.0,23.14,22.7,23.09,196100,22.9825,0.32,72.15625
2013-08-20,23.07,23.75,22.87,23.11,138000,23.2,0.32,72.21875
2013-08-21,23.07,23.3,22.8,23.03,89014,23.05,0.32,71.96875
2013-08-22,23.05,23.3,22.85,23.01,52627,23.0525,0.32,71.90625
2013-08-23,22.96,23.31,22.87,23.27,38913,23.1025,0.32,72.71875
2013-08-26,23.27,23.27,22.96,22.98,126500,23.12,0.32,71.8125
2013-08-27,22.87,22.91,22.0,22.22,280735,22.5,0.32,69.4375
2013-08-28,22.21,22.44,21.9,21.98,78300,22.1325,0.32,68.6875
2013-08-29,21.86,22.14,21.27,22.08,171539,21.8375,0.32,69.0
2013-08-30,22.01,22.16,21.85,21.93,110900,21.9875,0.32,68.53125
2013-09-03,22.16,23.17,21.78,22.53,94026,22.41,0.32,70.40625
2013-09-04,22.46,23.01,22.02,23.01,117900,22.625,0.32,71.90625
2013-09-05,22.91,23.75,22.8,23.32,84418,23.195,0.32,72.875
2013-09-06,23.31,23.75,22.99,23.24,103000,23.3225,0.32,72.625
2013-09-09,23.27,23.52,22.66,22.96,123700,23.1025,0.32,71.75
2013-09-10,23.0,23.24,22.59,23.03,125620,22.965,0.32,71.96875
2013-09-11,22.9,23.52,22.51,23.42,124726,23.0875,0.32,73.1875
2013-09-12,23.4,23.54,23.02,23.09,672200,23.2625,0.32,72.15625
2013-09-13,23.02,23.52,22.9,23.5,213804,23.235,0.32,73.4375
2013-09-16,23.65,23.97,23.25,23.87,187000,23.685,0.32,74.59375
2013-09-17,23.82,23.98,23.09,23.23,315500,23.53,0.32,72.59375
2013-09-18,23.08,23.99,22.96,23.79,273644,23.455,0.32,74.34375
2013-09-19,23.6,23.9,23.16,23.46,336900,23.53,0.32,73.3125
2013-09-20,23.36,23.53,22.68,22.89,1170900,23.115,0.32,71.53125
2013-09-23,22.9,23.95,22.74,23.86,442400,23.3625,0.32,74.5625
2013-09-24,23.87,24.39,23.85,24.3,393995,24.1025,0.32,75.9375
2013-09-25,24.3,24.43,24.0,24.13,263200,24.215,0.32,75.40625
2013-09-26,24.26,24.51,23.83,23.99,473409,24.1475,0.32,74.96875
2013-09-27,23.96,24.4,23.79,23.98,156900,24.0325,0.32,74.9375
2013-09-30,23.82,24.09,22.78,22.83,1433124,23.38,0.32,71.34375
2013-10-01,22.7,23.2,22.63,23.2,118728,22.9325,0.32,72.5
2013-10-02,23.13,23.15,22.27,22.78,177421,22.8325,0.32,71.1875
2013-10-03,22.72,23.32,22.64,23.32,91043,23.0,0.32,72.875
2013-10-04,23.34,23.37,23.16,23.35,110308,23.305,0.32,72.96875
2013-10-07,23.19,23.32,22.97,23.05,56700,23.1325,0.32,72.03125
2013-10-08,23.0,23.29,22.81,23.12,127023,23.055,0.32,72.25
2013-10-09,23.18,23.33,22.51,22.68,64900,22.925,0.32,70.875
2013-10-10,22.81,23.32,22.74,23.05,108700,22.98,0.32,72.03125
2013-10-11,23.06,23.27,22.87,22.99,71400,23.0475,0.32,71.84375
2013-10-14,22.94,22.95,22.52,22.78,91149,22.7975,0.32,71.1875
2013-10-15,22.79,22.91,22.51,22.65,77631,22.715,0.32,70.78125
2013-10-16,22.7,22.91,22.36,22.67,74400,22.66,0.32,70.84375
2013-10-17,22.56,23.07,22.14,22.78,100741,22.6375,0.32,71.1875
2013-10-18,22.8,23.15,22.57,22.99,94000,22.8775,0.32,71.84375
2013-10-21,22.99,23.13,22.5,22.56,40700,22.795,0.32,70.5
2013-10-22,22.58,22.91,22.02,22.8,46800,22.5775,0.32,71.25
2013-10-23,22.72,23.1,21.71,22.72,126400,22.5625,0.32,71.0
2013-10-24,22.7,22.7,21.2,22.01,237200,22.1525,0.32,68.78125
2013-10-25,22.0,22.65,21.49,22.15,163810,22.0725,0.32,69.21875
2013-10-28,22.26,22.47,21.84,22.05,121850,22.155,0.32,68.90625
2013-10-29,22.17,22.36,21.76,21.95,68245,22.06,0.32,68.59375
2013-10-30,21.92,22.18,21.08,22.1,170238,21.82,0.32,69.0625
2013-10-31,22.0,22.24,21.31,21.99,150000,21.885,0.32,68.71875
2013-11-01,23.0,23.56,21.9,22.05,304905,22.6275,0.32,68.90625
2013-11-04,21.8,23.04,21.7,22.94,216006,22.37,0.32,71.6875
2013-11-05,22.76,23.35,22.63,23.0,173642,22.935,0.32,71.875
2013-11-06,23.0,23.25,22.8,22.99,113100,23.01,0.32,71.84375
2013-11-07,22.96,23.24,22.62,22.98,301400,22.95,-0.0132,-1740.909090909091
2013-11-08,22.96,23.06,22.54,22.95,554446,22.8775,0.2,114.74999999999999
2013-11-11,22.39,22.39,21.61,21.72,172345,22.0275,0.2,108.6
2013-11-12,21.59,21.65,20.7,21.09,478611,21.2575,0.2,105.44999999999999
2013-11-13,20.72,21.23,20.55,20.79,932312,20.8225,0.2,103.94999999999999
2013-11-14,21.02,21.46,20.61,20.66,6959280,20.9375,0.2,103.3
2013-11-15,20.65,21.7,20.5,21.58,718701,21.1075,0.2,107.89999999999999
2013-11-18,21.52,21.9,21.0,21.32,546600,21.435,0.2,106.6
2013-11-19,21.24,21.49,21.1,21.26,327296,21.2725,0.2,106.3
2013-11-20,21.22,21.95,21.11,21.73,388610,21.5025,0.2,108.64999999999999
2013-11-21,21.68,22.37,21.41,21.99,432839,21.8625,0.2,109.94999999999999
2013-11-22,22.01,22.43,21.85,22.17,405015,22.115,0.2,110.85000000000001
2013-11-25,22.54,22.98,22.26,22.3,542400,22.52,0.2,111.5
2013-11-26,22.32,22.48,22.04,22.21,336400,22.2625,0.2,111.05
2013-11-27,22.19,22.47,21.78,22.2,244700,22.16,0.2,110.99999999999999
2013-11-29,22.25,22.34,22.01,22.3,216000,22.225,0.2,111.5
2013-12-02,22.22,22.59,22.06,22.46,445700,22.3325,0.2,112.3
2013-12-03,22.3,22.56,22.23,22.46,194428,22.3875,0.2,112.3
2013-12-04,22.35,23.0,22.15,22.9,618246,22.6,0.2,114.49999999999999
2013-12-05,22.78,22.92,22.21,22.51,369246,22.605,0.2,112.55
2013-12-06,22.63,22.75,22.36,22.59,415118,22.5825,0.2,112.94999999999999
2013-12-09,22.56,22.65,22.47,22.62,262000,22.575,0.2,113.1
2013-12-10,22.48,22.58,22.25,22.49,324241,22.45,0.2,112.44999999999999
2013-12-11,22.52,22.55,22.05,22.35,488302,22.3675,0.2,111.75
2013-12-12,22.25,22.76,22.21,22.55,816921,22.4425,0.2,112.75
2013-12-13,22.48,22.83,22.02,22.25,504600,22.395,0.2,111.25
2013-12-16,22.26,22.6,21.92,22.45,314639,22.3075,0.2,112.24999999999999
2013-12-17,22.35,22.44,22.04,22.15,604103,22.245,0.2,110.74999999999999
2013-12-18,22.13,22.45,21.96,22.39,826900,22.2325,0.2,111.95
2013-12-19,22.33,22.43,22.04,22.06,355200,22.215,0.2,110.29999999999998
2013-12-20,22.01,22.44,21.99,22.37,1035000,22.2025,0.2,111.85
2013-12-23,22.44,22.54,22.04,22.29,620736,22.3275,0.2,111.44999999999999
2013-12-24,22.38,22.76,22.3,22.62,453100,22.515,0.2,113.1
2013-12-26,22.64,23.09,22.61,22.9,359500,22.81,0.2,114.49999999999999
2013-12-27,22.98,23.2,22.66,23.0,465800,22.96,0.2,115.0
2013-12-30,22.91,23.34,22.85,23.22,543837,23.08,0.2,116.1
2013-12-31,23.35,23.56,22.94,23.36,379118,23.3025,0.2,116.8
2014-01-02,23.36,23.7,23.14,23.38,538900,23.395,0.2,116.89999999999999
2014-01-03,23.48,23.62,23.2,23.37,485044,23.4175,0.2,116.85
2014-01-06,23.49,23.96,22.81,23.75,666600,23.5025,0.2,118.75
2014-01-07,23.76,24.2,23.62,23.98,419032,23.89,0.2,119.89999999999999
2014-01-08,23.9,24.22,23.86,23.98,582532,23.99,0.2,119.89999999999999
2014-01-09,24.1,24.5,24.02,24.5,453400,24.28,0.2,122.5
2014-01-10,24.4,25.01,24.4,24.88,569418,24.6725,0.2,124.39999999999999
2014-01-13,24.77,25.58,24.63,24.69,569628,24.9175,0.2,123.45
2014-01-14,24.75,24.97,24.41,24.48,581029,24.6525,0.2,122.39999999999999
2014-01-15,24.43,24.53,24.27,24.46,403111,24.4225,0.2,122.3
2014-01-16,24.44,24.55,24.25,24.47,361004,24.4275,0.2,122.35
2014-01-17,24.34,24.51,24.16,24.44,252620,24.3625,0.2,122.2
2014-01-21,24.62,24.91,24.29,24.8,319704,24.655,0.2,124.0
2014-01-22,24.86,25.16,24.41,24.5,391400,24.7325,0.2,122.5
2014-01-23,24.49,24.54,24.17,24.35,382500,24.3875,0.2,121.75
2014-01-24,24.23,24.23,23.55,23.62,173209,23.9075,0.2,118.1
2014-01-27,23.65,24.44,23.22,23.3,237730,23.6525,0.2,116.5
2014-01-28,23.43,23.76,23.14,23.7,207212,23.5075,0.2,118.49999999999999
2014-01-29,23.39,23.54,22.83,22.98,509528,23.185,0.2,114.89999999999999
2014-01-30,23.07,23.59,23.07,23.57,117346,23.325,0.2,117.85
2014-01-31,23.36,24.04,23.29,23.67,141337,23.59,0.2,118.35000000000001
2014-02-03,23.67,23.77,22.72,23.08,298911,23.31,0.2,115.39999999999999
2014-02-04,23.2,23.58,22.95,23.37,230800,23.275,0.2,116.85
2014-02-05,23.32,23.42,23.09,23.3,207019,23.2825,0.2,116.5
2014-02-06,23.31,23.67,23.11,23.4,362700,23.3725,0.2,116.99999999999999
2014-02-07,23.42,23.68,23.23,23.55,193895,23.47,0.2,117.75
2014-02-10,23.56,23.62,23.13,23.14,220418,23.3625,0.2,115.7
2014-02-11,23.13,23.46,22.94,23.08,285900,23.1525,0.2,115.39999999999999
2014-02-12,23.15,23.94,22.82,23.67,395700,23.395,0.2,118.35000000000001
2014-02-13,23.85,24.86,23.11,24.84,406235,24.165,0.2,124.19999999999999
2014-02-14,23.15,24.93,23.01,24.31,475400,23.85,0.2,121.54999999999998
2014-02-18,24.24,24.95,24.0,24.66,313700,24.4625,0.2,123.3
2014-02-19,24.56,25.14,24.56,24.7,278733,24.74,0.2,123.49999999999999
2014-02-20,24.64,24.96,24.6,24.76,257722,24.74,0.2,123.8
2014-02-21,24.64,24.72,24.52,24.65,162500,24.6325,0.2,123.24999999999999
2014-02-24,24.61,25.06,24.56,24.64,120626,24.7175,0.2,123.2
2014-02-25,24.54,24.75,24.14,24.29,139100,24.43,0.2,121.44999999999999
2014-02-26,24.41,24.9,24.1,24.73,214011,24.535,0.2,123.64999999999999
2014-02-27,24.71,25.63,24.71,25.54,226800,25.1475,0.2,127.69999999999999
2014-02-28,25.49,26.43,25.49,26.17,805300,25.895,0.2,130.85
2014-03-03,25.91,26.16,25.54,25.93,195349,25.885,0.2,129.64999999999998
2014-03-04,26.16,26.3,25.9,26.14,180347,26.125,0.2,130.7
2014-03-05,26.25,26.79,25.91,26.7,314300,26.4125,0.35,76.28571428571429
2014-03-06,26.64,26.96,26.48,26.8,199007,26.72,0.35,76.57142857142858
2014-03-07,26.01,26.11,25.54,25.75,3791000,25.8525,0.35,73.57142857142857
2014-03-10,25.77,26.3,25.51,25.68,497235,25.815,0.35,73.37142857142858
2014-03-11,26.25,26.31,25.47,25.59,624800,25.905,0.35,73.11428571428571
2014-03-12,25.62,25.66,25.3,25.39,608700,25.4925,0.35,72.54285714285714
2014-03-13,25.46,25.81,24.76,24.85,424600,25.22,0.35,71.00000000000001
2014-03-14,24.77,25.31,24.24,24.79,660503,24.7775,0.35,70.82857142857144
2014-03-17,24.9,25.52,24.9,25.47,496537,25.1975,0.35,72.77142857142857
2014-03-18,25.41,25.75,25.19,25.44,354300,25.4475,0.35,72.6857142857143
2014-03-19,25.34,25.74,25.34,25.5,490631,25.48,0.35,72.85714285714286
2014-03-20,25.34,25.82,25.16,25.39,441032,25.4275,0.35,72.54285714285714
2014-03-21,25.42,25.74,25.12,25.32,1162038,25.4,0.35,72.34285714285714
2014-03-24,25.3,25.5,25.15,25.29,750800,25.31,0.35,72.25714285714285
2014-03-25,25.37,26.25,25.05,26.25,378800,25.73,0.35,75.0
2014-03-26,26.27,26.5,25.95,26.32,326800,26.26,0.35,75.2
2014-03-27,26.24,26.5,26.01,26.36,381500,26.2775,0.35,75.31428571428572
2014-03-28,26.55,26.98,26.42,26.71,871000,26.665,0.35,76.31428571428572
