Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2010-12-15,25.0,28.75,24.5,27.25,8926100,26.83,,
2010-12-16,26.84,28.47,26.84,27.35,464600,27.55,,
2010-12-17,27.17,28.14,27.17,28.07,37200,27.79,,
2010-12-20,28.74,29.18,28.16,28.53,450800,28.62,,
2010-12-21,29.0,30.0,28.98,29.75,696600,29.58,,
2010-12-22,29.63,30.2,28.96,29.08,123400,29.41,,
2010-12-23,28.91,30.81,28.91,30.81,127800,30.18,,
2010-12-27,30.83,31.43,30.5,30.99,153600,30.97,,
2010-12-28,30.83,31.42,30.06,31.06,74500,30.85,,
2010-12-29,31.0,31.43,30.58,31.0,155000,31.0,,
2010-12-30,30.71,30.99,30.53,30.8,58000,30.77,,
2010-12-31,30.57,30.98,30.34,30.92,18500,30.75,,
2011-01-03,31.25,31.25,30.1,30.47,219000,30.61,,
2011-01-04,30.0,30.23,28.75,29.98,460800,29.65,,
2011-01-05,30.11,30.5,30.0,30.4,167100,30.3,,
2011-01-06,30.73,30.73,30.03,30.03,56900,30.26,,
2011-01-07,30.24,30.47,29.61,29.99,92900,30.02,,
2011-01-10,30.0,30.15,29.95,30.0,121600,30.03,,
2011-01-11,30.05,31.23,30.0,31.14,53600,30.79,,
2011-01-12,31.36,31.5,30.9,30.94,62800,31.11,,
2011-01-13,30.9,30.9,29.56,30.2,464200,30.22,,
2011-01-14,30.07,30.42,30.0,30.25,174900,30.22,,
2011-01-18,29.86,30.48,29.23,30.23,36200,29.98,,
2011-01-19,30.02,30.46,29.95,30.19,234300,30.2,,
2011-01-20,30.02,30.4,29.89,30.05,141400,30.11,,
2011-01-21,30.16,30.84,30.16,30.5,403500,30.5,,
2011-01-24,30.01,31.63,29.89,31.57,162500,31.03,,
2011-01-25,31.4,32.97,30.98,31.05,213000,31.67,,
2011-01-26,31.07,32.17,30.0,31.3,235700,31.16,,
2011-01-27,31.19,31.33,30.11,30.2,54500,30.55,,
2011-01-28,30.03,30.28,29.7,29.98,192300,29.99,,
2011-01-31,29.95,30.31,29.72,30.0,63500,30.01,,
2011-02-01,30.05,30.47,29.91,30.04,106000,30.14,,
2011-02-02,29.82,30.09,29.81,30.0,36500,29.97,,
2011-02-03,29.96,30.02,29.5,30.0,137800,29.84,,
2011-02-04,30.0,30.12,29.75,29.99,86600,29.95,,
2011-02-07,29.94,31.54,29.92,30.51,111100,30.66,,
2011-02-08,30.62,31.36,30.53,31.16,80400,31.02,,
2011-02-09,30.99,31.35,30.93,31.28,46200,31.19,,
2011-02-10,31.08,31.46,30.9,31.27,93200,31.21,,
2011-02-11,31.08,31.51,30.82,31.51,38900,31.28,,
2011-02-14,31.37,31.37,30.87,31.0,96000,31.08,,
2011-02-15,30.84,31.17,30.75,31.0,65700,30.97,,
2011-02-16,31.17,31.49,31.0,31.48,54500,31.32,,
2011-02-17,31.4,35.13,31.17,32.5,135300,32.93,,
2011-02-18,32.7,33.79,32.29,33.51,120200,33.2,,
2011-02-22,33.15,33.58,31.68,31.96,147300,32.41,,
2011-02-23,31.95,32.36,31.77,32.0,134900,32.04,,
2011-02-24,32.62,33.36,32.33,32.49,148100,32.73,,
2011-02-25,32.6,32.81,31.8,32.06,145900,32.22,,
2011-02-28,32.15,32.32,31.68,31.99,160800,32.0,,
2011-03-01,31.95,32.5,30.43,30.7,76700,31.21,,
2011-03-02,30.61,30.61,29.79,30.07,164700,30.16,,
2011-03-03,30.25,30.76,30.16,30.7,109700,30.54,,
2011-03-04,30.71,30.89,30.07,30.75,65300,30.57,,
2011-03-07,30.76,30.93,30.08,30.36,43600,30.46,,
2011-03-08,30.45,30.84,30.3,30.44,46200,30.53,,
2011-03-09,30.36,30.48,29.81,30.17,37200,30.15,,
2011-03-10,29.9,30.51,29.61,30.25,53300,30.12,,
2011-03-11,30.23,30.98,29.89,30.51,42000,30.46,,
2011-03-14,30.32,31.36,30.14,31.33,52100,30.94,,
2011-03-15,30.81,31.6,30.17,31.55,67000,31.11,,
2011-03-16,31.45,31.86,31.11,31.43,64800,31.47,,
2011-03-17,31.81,31.93,30.83,31.35,94200,31.37,,
2011-03-18,31.73,31.82,31.21,31.58,166500,31.54,,
2011-03-21,31.92,33.58,31.71,33.15,74800,32.81,,
2011-03-22,33.07,33.07,32.72,32.73,92800,32.84,,
2011-03-23,32.75,33.43,31.9,33.31,87900,32.88,,
2011-03-24,33.42,34.1,32.97,33.17,63200,33.41,,
2011-03-25,33.18,33.55,32.76,33.09,69600,33.13,,
2011-03-28,33.09,34.91,32.9,34.4,89200,34.07,,
2011-03-29,34.28,34.31,32.39,32.7,129100,33.13,,
2011-03-30,32.8,33.0,32.05,32.47,244100,32.51,,
2011-03-31,32.39,33.01,31.52,32.66,713600,32.4,,
2011-04-01,32.7,34.3,32.56,34.08,142100,33.65,,
2011-04-04,34.06,34.13,33.66,34.0,76000,33.93,,
2011-04-05,34.03,34.04,33.65,33.82,33300,33.84,,
2011-04-06,33.85,33.9,32.41,32.79,101300,33.03,,
2011-04-07,32.81,33.39,32.08,33.33,50000,32.93,,
2011-04-08,33.34,33.42,32.66,33.09,59400,33.06,,
2011-04-11,33.0,33.52,32.8,33.37,55400,33.23,,
2011-04-12,33.19,33.42,32.86,33.29,52800,33.19,,
2011-04-13,33.42,33.54,33.06,33.49,49900,33.36,,
2011-04-14,33.3,33.75,33.3,33.67,31500,33.57,,
2011-04-15,33.65,34.26,33.56,34.26,47600,34.03,,
2011-04-18,33.97,34.29,33.43,33.76,65800,33.83,,
2011-04-19,33.84,34.3,33.84,34.22,20100,34.12,,
2011-04-20,34.52,34.94,34.48,34.82,28400,34.75,,
2011-04-21,34.95,35.3,34.33,34.64,46900,34.76,,
2011-04-25,34.49,34.49,33.86,34.29,20800,34.21,,
2011-04-26,34.4,34.75,34.02,34.63,42500,34.47,,
2011-04-27,34.69,34.83,34.49,34.81,21400,34.71,,
2011-04-28,34.79,36.87,34.69,36.79,41500,36.12,,
2011-04-29,36.69,38.0,36.69,37.51,50000,37.4,,
2011-05-02,37.76,37.88,35.96,36.13,35000,36.66,,
2011-05-03,36.11,36.16,33.95,34.12,68000,34.74,,
2011-05-04,34.04,34.18,33.04,34.09,39000,33.77,,
2011-05-05,34.0,34.92,33.53,34.72,47900,34.39,,
2011-05-06,34.83,34.99,32.91,33.18,38700,33.69,,
2011-05-09,33.1,33.51,31.95,33.12,52000,32.86,,
2011-05-10,33.11,34.22,32.99,33.78,101800,33.66,,
2011-05-11,33.63,33.72,32.69,33.39,82300,33.27,,
2011-05-12,33.41,33.75,33.15,33.61,36000,33.5,,
2011-05-13,33.66,35.41,33.41,35.38,98600,34.73,,
2011-05-16,35.21,36.17,34.99,35.15,42200,35.44,,
2011-05-17,35.14,37.77,33.75,34.07,390100,35.2,,
2011-05-18,34.01,35.02,33.89,35.0,71700,34.64,,
2011-05-19,35.0,36.08,34.9,36.0,67800,35.66,,
2011-05-20,35.82,36.21,35.27,35.5,78200,35.66,,
2011-05-23,35.15,35.26,34.33,34.87,85300,34.82,,
2011-05-24,35.07,35.07,34.22,34.34,56700,34.54,,
2011-05-25,34.32,34.54,33.52,33.72,47800,33.93,,
2011-05-26,33.5,34.01,33.05,33.69,60600,33.58,,
2011-05-27,33.9,33.9,32.6,33.37,106900,33.29,,
2011-05-31,33.77,34.03,32.87,33.74,916100,33.55,,
2011-06-01,33.63,33.66,32.98,33.0,239000,33.21,,
2011-06-02,32.84,33.14,32.55,32.91,74100,32.87,,
2011-06-03,32.7,32.7,31.67,31.79,54500,32.05,,
