Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2019-06-12,63.5,67.0,56.0,58.0,19449162,60.98,-0.18,-322.22222222222223
2019-06-13,63.86,69.67,61.6,67.56,10923944,65.58,-0.18,-375.33333333333337
2019-06-14,69.78,70.79,63.0201,64.16,6264212,66.97,-0.18,-356.44444444444446
2019-06-17,64.75,70.01,62.0,70.01,3247471,66.64,-0.18,-388.9444444444445
2019-06-18,73.0,78.7,71.5,76.5,6612626,75.68,-0.18,-425.0
2019-06-19,78.75,79.79,73.555,77.22,3319070,76.61,-0.18,-429.0
2019-06-20,78.0,78.22,70.69,74.85,3429610,73.72,-0.18,-415.8333333333333
2019-06-21,72.46,73.9278,68.3,72.23,2657468,70.98,-0.18,-401.2777777777778
2019-06-24,71.05,72.39,65.08,67.97,2448037,67.67,-0.18,-377.61111111111114
2019-06-25,67.1,68.99,61.17,61.52,2482213,64.25,-0.18,-341.7777777777778
2019-06-26,63.3,64.92,62.005,62.65,1625502,63.53,-0.18,-348.05555555555554
2019-06-27,63.39,64.995,62.571,63.28,914612,63.89,-0.18,-351.5555555555556
2019-06-28,64.36,68.38,63.3,68.29,1474303,66.2,-0.18,-379.3888888888889
2019-07-01,69.1,69.729,61.81,63.2,2675367,64.0,-0.18,-351.11111111111114
2019-07-02,63.3,65.03,61.7211,64.52,1738845,63.56,-0.18,-358.44444444444446
2019-07-03,64.68,67.48,64.52,67.24,1564108,66.39,-0.18,-373.55555555555554
2019-07-05,67.15,67.25,64.84,67.21,805222,66.55,-0.18,-373.38888888888886
2019-07-08,68.26,71.7146,66.9,66.91,4567154,69.34,-0.18,-371.72222222222223
2019-07-09,67.42,69.2,66.88,68.45,1782694,68.32,-0.18,-380.2777777777778
2019-07-10,70.0,74.5,69.5,74.34,2719347,72.0,-0.18,-413.00000000000006
2019-07-11,74.5,74.98,70.5,70.88,2351834,72.39,-0.18,-393.77777777777777
2019-07-12,71.6,75.2,70.5,73.5,1838306,73.19,-0.18,-408.33333333333337
2019-07-15,74.0,74.295,71.4,71.6,1325082,72.5,-0.18,-397.77777777777777
2019-07-16,71.93,73.0873,69.0,69.54,1582319,70.74,-0.18,-386.33333333333337
2019-07-17,70.0,71.56,69.59,71.0,1037007,70.52,-0.18,-394.44444444444446
2019-07-18,71.0,74.19,70.15,72.75,3389964,72.02,-0.18,-404.1666666666667
2019-07-19,85.16,85.85,80.75,83.52,13669036,83.55,-0.13,-642.4615384615385
2019-07-22,82.27,88.5,82.08,87.68,5357744,86.62,-0.13,-674.4615384615385
2019-07-23,88.32,89.44,84.49,86.74,2529779,86.78,-0.13,-667.2307692307692
2019-07-24,86.79,87.85,85.5,87.46,1250712,86.92,-0.13,-672.7692307692307
2019-07-25,87.5,93.339,87.0,92.28,3270376,91.09,-0.13,-709.8461538461538
