Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2018-04-26,28.9,31.75,28.65,31.21,13590200,30.54,0.69,45.23188405797102
2018-04-27,30.95,31.5,29.68,30.52,1744900,30.57,0.69,44.231884057971016
2018-04-30,30.76,32.0,30.21,31.58,638900,31.26,0.69,45.768115942028984
2018-05-01,31.42,32.4,31.26,31.48,858600,31.71,0.69,45.62318840579711
2018-05-02,31.48,33.65,31.48,32.75,845500,32.63,0.69,47.46376811594203
2018-05-03,32.63,34.43,32.53,33.79,1807900,33.58,0.69,48.971014492753625
2018-05-04,33.88,34.89,33.8,34.09,679600,34.26,0.69,49.40579710144928
2018-05-07,34.09,34.7,33.9,33.99,325600,34.2,0.69,49.2608695652174
2018-05-08,34.48,34.77,32.46,32.95,413900,33.39,0.69,47.753623188405804
2018-05-09,33.13,34.25,33.04,33.47,466700,33.59,0.69,48.507246376811594
2018-05-10,33.59,33.87,32.83,33.13,731600,33.28,0.69,48.014492753623195
2018-05-11,33.32,34.63,33.17,34.38,241900,34.06,0.69,49.82608695652175
2018-05-14,34.5,37.13,33.36,36.48,868300,35.66,0.69,52.869565217391305
2018-05-15,36.61,37.31,36.46,36.95,565800,36.91,0.69,53.55072463768117
2018-05-16,37.41,37.41,35.74,37.2,219200,36.78,0.69,53.913043478260875
2018-05-17,37.2,38.41,36.66,38.33,826700,37.8,0.69,55.550724637681164
2018-05-18,38.44,38.87,36.52,36.82,615800,37.4,0.69,53.36231884057972
2018-05-21,36.43,36.62,34.8,35.16,909300,35.53,0.69,50.95652173913044
2018-05-22,35.08,35.92,33.2,34.32,335500,34.48,0.69,49.739130434782616
2018-05-23,34.14,34.5,33.76,33.97,405300,34.08,0.69,49.231884057971016
2018-05-24,34.11,34.31,33.53,33.71,397100,33.85,-0.0156,-2160.897435897436
2018-05-25,33.57,33.87,33.22,33.6,256900,33.56,-0.0156,-2153.846153846154
2018-05-29,33.4,34.34,33.0,34.24,218100,33.86,-0.0156,-2194.871794871795
2018-05-30,34.23,34.75,33.79,34.67,546100,34.4,-0.0156,-2222.4358974358975
2018-05-31,34.63,35.0,34.28,34.52,361000,34.6,-0.0156,-2212.820512820513
2018-06-01,35.01,35.01,34.01,34.53,414400,34.52,-0.0156,-2213.4615384615386
2018-06-04,34.44,36.26,34.39,35.96,521200,35.54,-0.0156,-2305.128205128205
2018-06-05,35.97,36.68,35.95,36.35,319400,36.33,-0.0156,-2330.1282051282055
2018-06-06,36.56,38.64,36.56,38.16,307200,37.79,-0.0156,-2446.153846153846
2018-06-07,38.27,38.85,36.68,37.11,782500,37.55,-0.0156,-2378.846153846154
2018-06-08,36.47,37.65,35.95,37.4,666200,37.0,-0.0156,-2397.4358974358975
2018-06-11,37.83,38.23,36.27,36.49,408500,37.0,-0.0156,-2339.1025641025644
2018-06-12,36.48,37.82,36.39,37.62,508300,37.28,-0.0156,-2411.5384615384614
2018-06-13,37.53,37.83,37.23,37.66,641200,37.57,-0.0156,-2414.102564102564
2018-06-14,37.46,41.02,35.4,38.19,1771500,38.2,-0.0156,-2448.076923076923
2018-06-15,38.15,38.86,37.26,38.45,1402700,38.19,-0.0156,-2464.74358974359
2018-06-18,38.36,42.46,38.34,39.78,1646100,40.19,-0.0156,-2550.0
2018-06-19,39.26,39.62,37.0,37.2,602300,37.94,-0.0156,-2384.6153846153848
2018-06-20,37.32,38.24,36.99,37.01,409400,37.41,-0.0156,-2372.4358974358975
2018-06-21,36.85,37.48,36.4,36.55,549900,36.81,-0.0156,-2342.948717948718
2018-06-22,36.51,36.7,35.7,35.75,1833800,36.05,-0.0156,-2291.666666666667
2018-06-25,35.67,35.67,34.7,34.82,458800,35.06,-0.0156,-2232.051282051282
2018-06-26,34.99,35.47,34.74,35.03,405700,35.08,-0.0156,-2245.512820512821
2018-06-27,35.0,35.0,34.27,34.33,678100,34.53,-0.0156,-2200.6410256410254
2018-06-28,34.21,34.26,33.61,34.04,378000,33.97,-0.0156,-2182.051282051282
2018-06-29,33.87,34.12,33.14,33.19,459100,33.48,-0.0156,-2127.5641025641025
2018-07-02,33.18,33.28,32.03,32.82,507900,32.71,-0.0156,-2103.846153846154
2018-07-03,32.83,33.49,32.4,33.38,384500,33.09,-0.0156,-2139.74358974359
2018-07-05,34.32,34.5,32.9,33.93,583500,33.78,-0.0156,-2175.0
2018-07-06,34.11,34.45,33.67,33.85,350600,33.99,-0.0156,-2169.871794871795
2018-07-09,33.84,34.18,32.87,32.92,290700,33.32,-0.0156,-2110.2564102564106
2018-07-10,32.73,33.24,32.24,33.12,822000,32.87,-0.0156,-2123.076923076923
2018-07-11,33.02,33.2,32.47,32.58,300000,32.75,-0.0156,-2088.4615384615386
2018-07-12,32.7,34.55,32.34,34.48,368300,33.79,-0.0156,-2210.25641025641
2018-07-13,34.4,35.5,34.19,34.66,293000,34.78,-0.0156,-2221.7948717948716
2018-07-16,34.52,35.33,34.52,35.12,166200,34.99,-0.0156,-2251.2820512820513
2018-07-17,34.88,35.56,34.75,34.89,141400,35.07,-0.0156,-2236.538461538462
2018-07-18,34.81,34.96,34.51,34.9,206400,34.79,-0.0156,-2237.1794871794873
2018-07-19,34.9,35.27,34.57,34.84,128800,34.89,-0.0156,-2233.3333333333335
2018-07-20,34.8,35.75,34.66,35.03,171800,35.15,-0.0156,-2245.512820512821
2018-07-23,34.87,35.4,34.58,35.06,122700,35.01,-0.0156,-2247.4358974358975
2018-07-24,35.34,35.72,34.1,34.96,315600,34.93,-0.0156,-2241.025641025641
2018-07-25,34.9,35.22,34.58,34.72,131200,34.84,-0.0156,-2225.641025641026
2018-07-26,34.56,34.99,34.08,34.92,67000,34.66,-0.0156,-2238.4615384615386
2018-07-27,35.09,35.13,33.78,34.02,306400,34.31,-0.0156,-2180.769230769231
2018-07-30,33.79,34.09,31.52,32.08,373400,32.56,-0.0156,-2056.4102564102564
2018-07-31,32.28,33.22,31.64,32.76,196500,32.54,-0.0156,-2100.0
2018-08-01,33.0,34.27,33.0,33.57,295300,33.61,-0.0156,-2151.923076923077
2018-08-02,33.44,34.89,33.13,34.81,198800,34.28,-0.0156,-2231.410256410257
2018-08-03,34.83,35.58,34.52,35.5,197900,35.2,-0.0156,-2275.641025641026
2018-08-06,35.81,37.33,35.61,37.23,250100,36.72,-0.0156,-2386.5384615384614
