Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-02-08,13.75,15.05,13.25,14.0,3336443,14.21,0.36,38.88888888888889
2012-02-09,14.17,14.22,13.75,13.91,581336,13.97,0.36,38.63888888888889
2012-02-10,14.0,14.03,13.77,13.96,336571,13.95,0.36,38.77777777777778
2012-02-13,13.91,14.42,13.63,13.65,176407,13.83,0.36,37.91666666666667
2012-02-14,13.6,13.79,13.3,13.44,122407,13.46,0.36,37.333333333333336
2012-02-15,13.5,14.07,13.3,13.4,175737,13.75,0.36,37.22222222222222
2012-02-16,13.4,13.7,13.4,13.54,71342,13.52,0.36,37.61111111111111
2012-02-17,13.61,13.99,13.5,13.58,142912,13.71,0.36,37.72222222222222
2012-02-21,13.61,14.34,13.56,13.71,248831,13.95,0.36,38.083333333333336
2012-02-22,13.99,14.22,13.75,13.96,275943,13.98,0.36,38.77777777777778
2012-02-23,13.97,14.0,13.843,13.94,82539,13.92,0.36,38.72222222222222
2012-02-24,13.93,13.93,13.55,13.71,120006,13.66,0.36,38.083333333333336
2012-02-27,13.65,13.84,13.63,13.66,235425,13.74,0.36,37.94444444444444
2012-02-28,13.75,13.84,13.75,13.83,68421,13.78,0.36,38.41666666666667
2012-02-29,13.88,14.15,13.85,14.13,68294,13.98,0.36,39.25000000000001
2012-03-01,14.15,15.3494,14.1,15.0,610375,14.85,0.36,41.66666666666667
2012-03-02,15.07,15.7,14.97,15.14,237840,15.21,0.36,42.05555555555556
2012-03-05,15.07,15.15,14.78,15.09,185718,15.05,0.36,41.916666666666664
2012-03-06,14.98,15.27,14.84,15.0,130712,15.07,0.36,41.66666666666667
2012-03-07,15.04,15.34,15.04,15.23,110204,15.23,0.36,42.30555555555556
2012-03-08,14.54,15.53,14.45,15.23,120790,15.26,0.36,42.30555555555556
2012-03-09,15.18,15.59,15.08,15.32,166376,15.31,0.36,42.55555555555556
2012-03-12,14.95,15.4,14.95,15.14,91517,15.15,0.36,42.05555555555556
2012-03-13,15.14,16.48,15.07,15.78,316817,15.84,0.36,43.833333333333336
2012-03-14,15.67,16.35,15.67,16.2,160483,16.16,0.36,45.0
2012-03-15,16.18,17.13,16.18,17.0,228938,16.92,0.36,47.22222222222222
2012-03-16,16.91,17.26,16.2,16.8,326122,16.79,0.36,46.66666666666667
2012-03-19,17.12,17.92,16.9,17.41,297909,17.33,0.36,48.361111111111114
2012-03-20,17.44,17.5,16.9,17.41,97443,17.24,0.36,48.361111111111114
2012-03-21,17.5,17.75,17.24,17.38,211193,17.47,0.36,48.27777777777778
2012-03-22,17.18,17.32,16.44,16.6,99840,16.81,0.36,46.111111111111114
2012-03-23,16.56,17.35,16.56,17.1,227773,17.03,0.36,47.50000000000001
2012-03-26,17.31,17.3786,16.75,16.98,144301,17.05,0.36,47.16666666666667
2012-03-27,17.75,21.25,17.58,21.11,1375243,19.22,0.36,58.63888888888889
2012-03-28,21.0,21.05,18.99,20.0,851567,19.87,0.36,55.55555555555556
2012-03-29,19.73,20.8,19.0,20.1,545093,19.76,0.36,55.83333333333334
2012-03-30,20.29,20.7,19.75,20.52,408690,20.43,0.72,28.5
2012-04-02,20.39,21.99,20.39,21.71,441039,21.5,0.72,30.15277777777778
2012-04-03,21.52,22.23,21.11,22.2,212377,21.69,0.72,30.833333333333332
2012-04-04,21.79,21.865,20.56,21.15,193558,21.05,0.72,29.375
2012-04-05,21.03,21.4,20.61,20.96,102354,20.97,0.72,29.111111111111114
2012-04-09,20.58,21.43,19.761,21.27,97516,20.55,0.72,29.541666666666668
2012-04-10,21.14,22.0699,21.061,21.8,204587,21.7,0.72,30.27777777777778
2012-04-11,21.93,23.6148,21.78,22.59,199996,23.03,0.72,31.375
2012-04-12,22.67,23.53,22.3453,23.25,93715,22.91,0.72,32.29166666666667
2012-04-13,23.12,23.12,22.45,22.65,100031,22.66,0.72,31.458333333333332
2012-04-16,22.87,23.21,20.91,21.2,146540,22.02,0.72,29.444444444444443
2012-04-17,21.28,21.28,19.97,20.26,135276,20.4,0.72,28.138888888888893
2012-04-18,20.14,21.11,19.8001,20.18,139078,20.36,0.72,28.02777777777778
2012-04-19,20.25,20.705,19.77,20.39,78431,20.34,0.72,28.319444444444446
2012-04-20,20.56,20.92,20.01,20.04,107654,20.35,0.72,27.833333333333332
2012-04-23,19.63,20.6,19.08,20.17,136496,19.86,0.72,28.013888888888893
2012-04-24,20.24,21.2708,19.38,19.78,194630,20.32,0.72,27.472222222222225
2012-04-25,20.0,20.18,19.38,19.84,76744,19.79,0.72,27.555555555555557
2012-04-26,19.88,20.24,19.76,20.05,124820,20.02,0.72,27.847222222222225
2012-04-27,20.1,20.82,19.851,20.09,162290,20.32,0.72,27.90277777777778
2012-04-30,20.01,21.23,19.93,20.64,188776,20.46,0.72,28.666666666666668
2012-05-01,20.61,21.185,20.35,20.73,97845,20.84,0.72,28.791666666666668
2012-05-02,20.66,22.1,20.4,21.9,239654,21.19,0.72,30.416666666666664
2012-05-03,21.76,21.76,20.64,21.05,171181,21.03,0.72,29.236111111111114
2012-05-04,20.98,20.98,20.1,20.46,114195,20.46,0.72,28.416666666666668
2012-05-07,20.38,20.86,20.0,20.12,202764,20.46,0.72,27.944444444444446
2012-05-08,19.88,19.88,17.6,18.08,351300,18.28,0.72,25.11111111111111
2012-05-09,17.92,18.0,17.28,17.75,167688,17.78,0.3,59.16666666666667
2012-05-10,17.93,17.93,17.43,17.62,147068,17.62,0.3,58.73333333333334
2012-05-11,17.49,17.72,17.13,17.36,35873,17.38,0.3,57.86666666666667
2012-05-14,17.13,17.15,15.5,16.02,175902,16.12,0.3,53.4
2012-05-15,15.96,15.96,14.93,15.31,209012,15.38,0.3,51.03333333333334
2012-05-16,15.87,16.6375,15.6,15.65,239849,16.2,0.3,52.16666666666667
2012-05-17,15.72,15.739,15.05,15.06,105475,15.34,0.3,50.2
2012-05-18,15.2,15.75,14.84,14.97,177393,15.23,0.3,49.900000000000006
2012-05-21,15.06,16.268,14.72,15.67,174730,15.81,0.3,52.233333333333334
2012-05-22,15.64,15.8,15.14,15.69,192048,15.48,0.3,52.3
2012-05-23,15.58,16.67,15.57,16.6,168514,16.18,0.3,55.33333333333334
2012-05-24,16.65,16.982,16.25,16.95,98053,16.63,0.3,56.5
2012-05-25,16.93,17.16,16.77,16.99,115434,17.0,0.3,56.63333333333333
2012-05-29,17.13,17.23,17.0,17.2,168286,17.11,0.3,57.333333333333336
2012-05-30,16.97,17.33,16.89,17.3,78904,17.16,0.3,57.66666666666667
2012-05-31,17.28,17.58,17.23,17.5,100336,17.43,0.3,58.333333333333336
2012-06-01,17.16,17.16,16.38,16.52,75611,16.65,0.3,55.06666666666667
2012-06-04,16.59,16.59,16.28,16.42,33594,16.42,0.3,54.73333333333334
2012-06-05,16.37,16.98,16.32,16.75,155649,16.74,0.3,55.833333333333336
2012-06-06,16.86,17.43,16.59,16.6,433574,16.87,0.3,55.33333333333334
2012-06-07,16.88,16.88,16.38,16.51,35087,16.53,0.3,55.03333333333334
2012-06-08,16.44,16.86,16.21,16.78,11787,16.62,0.3,55.93333333333334
2012-06-11,16.89,17.415,16.83,16.88,61464,17.1,0.3,56.266666666666666
2012-06-12,16.94,17.44,16.8,17.37,50696,17.17,0.3,57.900000000000006
2012-06-13,17.41,18.14,17.2,17.97,82517,17.89,0.3,59.9
2012-06-14,17.88,18.06,17.74,17.79,40719,17.84,0.3,59.3
2012-06-15,17.84,17.86,17.57,17.61,76104,17.68,0.3,58.7
2012-06-18,17.67,17.95,17.61,17.62,35138,17.75,0.3,58.73333333333334
2012-06-19,17.76,17.76,17.55,17.56,40919,17.62,0.3,58.53333333333333
2012-06-20,17.6,17.89,17.38,17.88,139580,17.63,0.3,59.6
2012-06-21,18.13,18.27,17.79,17.87,68150,17.97,0.3,59.56666666666667
2012-06-22,17.98,18.2589,17.8,17.99,171395,17.99,0.3,59.96666666666666
2012-06-25,17.8,17.85,17.27,17.37,44938,17.52,0.3,57.900000000000006
2012-06-26,17.36,17.5,16.65,16.93,47816,16.96,0.3,56.43333333333334
2012-06-27,17.01,17.15,16.85,17.0,108175,17.01,0.3,56.66666666666667
2012-06-28,16.94,16.955,16.36,16.6,41784,16.77,0.3,55.33333333333334
2012-06-29,17.02,17.14,16.73,16.99,76811,16.92,0.3,56.63333333333333
2012-07-02,16.99,17.38,16.94,17.2,64795,17.13,0.3,57.333333333333336
2012-07-03,17.26,17.29,16.94,17.06,10262,17.09,0.3,56.86666666666667
2012-07-05,17.02,17.14,16.93,16.99,51825,17.01,0.3,56.63333333333333
2012-07-06,16.86,16.86,15.96,16.12,11709,16.19,0.3,53.73333333333334
2012-07-09,16.16,16.16,15.43,15.69,19241,15.65,0.3,52.3
2012-07-10,15.71,16.06,15.41,15.45,28307,15.74,0.3,51.5
2012-07-11,15.47,15.62,15.08,15.24,23793,15.36,0.3,50.800000000000004
2012-07-12,15.08,15.08,13.94,14.4,158051,14.25,0.3,48.0
2012-07-13,14.47,15.59,14.47,15.41,67536,15.14,0.3,51.36666666666667
2012-07-16,15.31,16.22,15.2701,16.17,35860,15.74,0.3,53.900000000000006
2012-07-17,16.08,16.085,15.555,15.78,33605,15.83,0.3,52.6
2012-07-18,15.58,16.099,15.58,15.88,18436,15.9,0.3,52.93333333333334
2012-07-19,15.89,15.89,15.54,15.63,14710,15.65,0.3,52.1
2012-07-20,15.47,15.47,15.0505,15.26,17803,15.31,0.3,50.86666666666667
2012-07-23,14.9,14.92,14.2,14.75,45560,14.58,0.3,49.16666666666667
2012-07-24,14.86,14.86,14.1,14.12,50996,14.47,0.3,47.06666666666666
2012-07-25,14.26,14.37,14.1,14.12,18915,14.19,0.3,47.06666666666666
2012-07-26,14.32,14.5,13.95,14.47,63801,14.26,0.3,48.233333333333334
2012-07-27,14.54,15.68,14.54,15.32,121495,15.1,0.3,51.06666666666667
2012-07-30,15.25,16.37,15.18,16.17,130589,15.95,0.3,53.900000000000006
2012-07-31,16.07,16.08,15.58,16.04,86586,15.86,0.3,53.46666666666667
2012-08-01,16.1,16.1,15.68,15.71,17117,15.85,0.3,52.366666666666674
2012-08-02,15.56,16.4,15.3201,15.7,66727,15.72,0.3,52.333333333333336
2012-08-03,15.99,16.55,15.44,16.0,88462,16.08,0.3,53.333333333333336
2012-08-06,16.11,16.91,16.01,16.62,41036,16.48,0.3,55.400000000000006
2012-08-07,16.65,17.27,16.44,16.82,103088,16.72,0.3,56.06666666666667
2012-08-08,16.78,17.1,16.6,16.85,18317,16.87,0.3,56.16666666666667
2012-08-09,16.74,16.97,16.09,16.74,123058,16.38,0.31,53.99999999999999
2012-08-10,16.7,18.5,16.7,17.59,96937,17.86,0.31,56.74193548387097
2012-08-13,17.54,17.74,17.345,17.69,193448,17.6,0.31,57.06451612903226
2012-08-14,17.68,17.71,17.13,17.48,206449,17.48,0.31,56.38709677419355
2012-08-15,17.5,17.88,17.48,17.81,130579,17.78,0.31,57.4516129032258
2012-08-16,17.86,17.93,17.05,17.51,158542,17.52,0.31,56.48387096774194
2012-08-17,17.48,17.7589,17.42,17.5,158111,17.49,0.31,56.45161290322581
2012-08-20,17.4,17.41,16.51,16.62,487496,16.9,0.31,53.612903225806456
2012-08-21,16.27,17.565,16.04,16.86,328450,16.8,0.31,54.387096774193544
2012-08-22,16.85,17.805,16.85,17.71,187650,17.5,0.31,57.12903225806452
2012-08-23,17.73,18.0,17.29,17.97,269808,17.83,0.31,57.967741935483865
2012-08-24,17.95,18.79,17.45,18.01,271525,18.11,0.31,58.09677419354839
2012-08-27,18.1,18.1,17.67,17.99,104297,17.89,0.31,58.03225806451612
2012-08-28,17.99,18.46,17.67,17.97,1515787,17.82,0.31,57.967741935483865
2012-08-29,17.9,18.13,17.8,17.97,1531088,17.82,0.31,57.967741935483865
2012-08-30,17.93,18.12,17.8,17.88,151185,17.95,0.31,57.677419354838705
2012-08-31,17.95,17.95,17.44,17.5,106784,17.53,0.31,56.45161290322581
2012-09-04,17.62,17.83,17.33,17.78,79722,17.64,0.31,57.35483870967742
2012-09-05,17.7,17.73,17.49,17.6,55346,17.59,0.31,56.7741935483871
2012-09-06,17.74,17.76,17.475,17.61,84387,17.58,0.31,56.806451612903224
2012-09-07,17.7,17.7,17.5,17.57,67841,17.56,0.31,56.67741935483871
2012-09-10,17.5,17.69,17.42,17.56,97681,17.56,0.31,56.64516129032258
2012-09-11,17.6,17.6,17.27,17.51,152748,17.5,0.31,56.48387096774194
2012-09-12,17.5,17.935,17.48,17.91,217243,17.69,0.31,57.774193548387096
2012-09-13,17.76,17.97,17.49,17.9,163843,17.81,0.31,57.74193548387096
2012-09-14,17.88,19.03,17.86,18.95,515264,18.46,0.31,61.12903225806451
2012-09-17,18.97,18.97,18.56,18.75,98782,18.73,0.31,60.483870967741936
2012-09-18,18.83,18.94,17.95,18.67,185281,18.39,0.31,60.22580645161291
2012-09-19,18.74,19.12,18.59,18.89,158521,18.94,0.31,60.935483870967744
2012-09-20,18.72,18.99,18.48,18.9,113139,18.83,0.31,60.967741935483865
2012-09-21,19.12,19.24,18.8,18.92,228604,18.96,0.31,61.032258064516135
2012-09-24,18.67,18.98,18.64,18.87,173974,18.83,0.31,60.87096774193549
2012-09-25,19.0,19.64,18.7,18.85,559626,19.09,0.31,60.80645161290323
2012-09-26,18.65,18.76,18.29,18.48,173052,18.52,0.31,59.612903225806456
2012-09-27,18.48,18.94,18.4,18.64,190571,18.64,0.31,60.12903225806452
2012-09-28,18.54,19.05,18.53,18.94,159018,18.92,0.31,61.09677419354839
2012-10-01,18.95,19.0,18.2,18.61,174695,18.53,0.31,60.03225806451613
2012-10-02,18.65,18.95,18.44,18.93,81928,18.75,0.31,61.064516129032256
2012-10-03,18.98,19.08,18.64,19.0,167793,18.9,0.31,61.29032258064516
2012-10-04,19.12,19.25,18.77,19.05,122532,19.01,0.31,61.45161290322581
2012-10-05,19.12,19.58,19.03,19.31,50747,19.36,0.31,62.29032258064516
2012-10-08,19.31,19.42,18.905,19.4,165884,19.3,0.31,62.58064516129032
2012-10-09,19.42,19.58,19.24,19.5,125971,19.41,0.31,62.903225806451616
2012-10-10,19.56,19.61,19.32,19.47,64475,19.47,0.31,62.806451612903224
2012-10-11,19.55,19.63,19.27,19.49,42167,19.44,0.31,62.87096774193548
2012-10-12,19.46,19.5,19.18,19.31,13242,19.34,0.31,62.29032258064516
2012-10-15,19.31,19.5,18.841,19.02,70199,19.1,0.31,61.354838709677416
2012-10-16,19.05,19.1145,18.7,18.81,74669,18.88,0.31,60.677419354838705
2012-10-17,18.79,19.01,17.94,18.15,98256,18.4,0.31,58.54838709677419
2012-10-18,18.25,18.25,17.7,17.93,68689,17.97,0.31,57.83870967741935
2012-10-19,17.86,17.86,17.32,17.61,59863,17.52,0.31,56.806451612903224
2012-10-22,17.51,17.75,17.5,17.64,76962,17.63,0.31,56.903225806451616
2012-10-23,17.49,17.81,17.39,17.76,57417,17.55,0.31,57.29032258064517
2012-10-24,17.82,17.82,17.63,17.82,18213,17.75,0.31,57.483870967741936
2012-10-25,17.9,17.94,17.65,17.81,43745,17.78,0.31,57.4516129032258
2012-10-26,17.84,18.07,17.75,17.96,25106,17.88,0.31,57.935483870967744
2012-10-31,17.99,18.09,17.72,17.98,32745,17.85,0.31,58.0
2012-11-01,18.02,18.2,17.76,18.0,96975,17.89,0.31,58.064516129032256
2012-11-02,18.09,18.1199,17.71,17.8,115307,17.81,0.31,57.41935483870968
2012-11-05,17.85,18.29,17.72,18.12,171052,17.87,0.31,58.45161290322581
2012-11-06,18.19,18.67,18.01,18.49,81836,18.38,0.31,59.64516129032258
2012-11-07,18.35,18.36,17.79,18.0,67947,17.95,0.31,58.064516129032256
2012-11-08,17.95,18.13,17.7,17.79,160136,17.82,0.31,57.387096774193544
2012-11-09,19.01,19.48,18.51,19.45,566151,19.08,0.31,62.74193548387097
2012-11-12,19.4,19.78,18.83,19.65,477142,19.54,0.31,63.387096774193544
2012-11-13,19.65,19.88,18.3,19.87,225129,19.33,0.33,60.21212121212121
2012-11-14,19.88,19.97,19.29,19.46,145979,19.71,0.33,58.96969696969697
2012-11-15,19.49,19.83,18.91,19.43,164884,19.31,0.33,58.878787878787875
2012-11-16,19.41,19.5,19.08,19.46,81279,19.32,0.33,58.96969696969697
2012-11-19,19.5,20.3,19.23,20.08,467298,19.96,0.33,60.84848484848484
2012-11-20,20.01,20.12,19.59,19.86,167402,19.85,0.33,60.18181818181818
2012-11-21,19.84,20.08,19.65,19.99,198504,19.94,0.33,60.57575757575757
2012-11-23,20.0,20.02,19.87,20.0,56169,19.96,0.33,60.6060606060606
2012-11-26,19.98,20.05,19.62,20.01,210664,19.93,0.33,60.63636363636364
2012-11-27,20.01,20.18,19.87,19.92,205239,20.02,0.33,60.36363636363637
2012-11-28,19.89,20.2,19.77,20.11,139488,20.04,0.33,60.93939393939394
2012-11-29,20.14,20.95,20.14,20.5,183122,20.59,0.33,62.12121212121212
2012-11-30,20.6,20.76,20.2,20.57,809355,20.54,0.33,62.33333333333333
2012-12-03,20.57,20.84,20.08,20.72,157348,20.51,0.33,62.78787878787878
2012-12-04,20.49,20.8699,20.49,20.71,99665,20.68,0.33,62.75757575757576
2012-12-05,20.77,20.79,20.53,20.6,67849,20.64,0.33,62.42424242424242
2012-12-06,20.16,20.83,20.06,20.74,110026,20.66,0.33,62.848484848484844
2012-12-07,20.74,20.83,20.36,20.7,193021,20.66,0.33,62.72727272727272
2012-12-10,20.62,20.7,20.13,20.38,240231,20.42,0.33,61.75757575757575
2012-12-11,20.34,20.74,20.29,20.43,138856,20.49,0.33,61.90909090909091
2012-12-12,20.53,20.75,20.33,20.45,125311,20.52,0.33,61.96969696969696
2012-12-13,20.5,20.52,20.24,20.28,63269,20.39,0.33,61.45454545454545
2012-12-14,20.16,20.8,20.0,20.7,519313,20.18,0.33,62.72727272727272
2012-12-17,20.72,20.83,20.301,20.8,186014,20.69,0.33,63.03030303030303
2012-12-18,20.79,20.99,20.65,20.7,398296,20.84,0.33,62.72727272727272
2012-12-19,20.76,20.84,20.09,20.09,163645,20.51,0.33,60.878787878787875
2012-12-20,20.14,20.14,19.8,19.95,142010,19.93,0.33,60.454545454545446
2012-12-21,19.84,20.06,19.281,19.82,251252,19.83,0.33,60.060606060606055
2012-12-24,19.77,19.865,19.46,19.84,45091,19.71,0.33,60.12121212121212
2012-12-26,19.87,19.93,19.04,19.31,98554,19.5,0.33,58.51515151515151
2012-12-27,19.25,19.25,18.51,18.93,140375,18.89,0.33,57.36363636363636
2012-12-28,18.87,19.27,18.62,18.94,93228,18.99,0.33,57.3939393939394
2012-12-31,19.0,19.11,18.1,18.1,143266,18.46,0.33,54.84848484848485
2013-01-02,18.52,19.07,18.44,18.98,204845,18.86,0.33,57.515151515151516
2013-01-03,19.0,19.09,18.77,18.99,168944,18.98,0.33,57.54545454545454
2013-01-04,19.04,19.585,18.94,19.19,125840,19.21,0.33,58.151515151515156
2013-01-07,19.09,19.09,18.65,19.02,67057,18.91,0.33,57.63636363636363
2013-01-08,18.92,19.16,18.83,19.16,37589,19.05,0.33,58.060606060606055
2013-01-09,19.32,19.8,19.27,19.6,73470,19.53,0.33,59.3939393939394
2013-01-10,19.59,19.93,19.41,19.79,132517,19.76,0.33,59.96969696969696
2013-01-11,19.7,20.3,19.6,20.19,305437,20.03,0.33,61.18181818181818
2013-01-14,20.07,20.14,19.77,20.12,108543,20.02,0.33,60.96969696969697
2013-01-15,19.96,20.25,19.88,20.22,52394,20.11,0.33,61.272727272727266
2013-01-16,20.12,20.302,20.02,20.22,75466,20.18,0.33,61.272727272727266
2013-01-17,20.37,20.37,19.94,20.18,57701,20.13,0.33,61.15151515151515
2013-01-18,20.3,20.38,20.15,20.26,72517,20.26,0.33,61.3939393939394
2013-01-22,20.27,20.44,19.98,20.37,222487,20.21,0.33,61.72727272727273
2013-01-23,20.46,20.54,20.168,20.41,66198,20.37,0.33,61.848484848484844
2013-01-24,20.56,21.05,20.47,20.9,248421,20.91,0.33,63.33333333333333
2013-01-25,20.93,21.06,20.74,20.92,99802,20.97,0.33,63.3939393939394
2013-01-28,20.97,21.1,20.66,20.98,123549,20.94,0.33,63.57575757575757
2013-01-29,21.01,21.09,20.86,20.95,109640,20.98,0.33,63.48484848484848
2013-01-30,20.99,21.05,20.85,20.97,145855,20.98,0.33,63.54545454545454
2013-01-31,20.99,20.99,20.61,20.72,105861,20.74,0.33,62.78787878787878
2013-02-01,20.71,21.9,20.71,21.83,291697,21.35,0.33,66.15151515151514
2013-02-04,21.82,22.2,21.11,21.6,358640,21.58,0.33,65.45454545454545
2013-02-05,21.72,21.91,21.67,21.79,63736,21.77,0.33,66.03030303030303
2013-02-06,21.68,21.86,21.31,21.47,84970,21.54,0.33,65.06060606060605
2013-02-07,21.55,21.59,21.1301,21.52,39715,21.45,0.33,65.2121212121212
2013-02-08,21.6,21.75,21.36,21.49,172418,21.51,0.33,65.12121212121211
2013-02-11,21.5,21.5,19.86,19.93,155169,20.26,0.33,60.39393939393939
2013-02-12,19.91,20.3,19.62,20.3,114039,20.13,0.33,61.515151515151516
2013-02-13,20.24,20.42,20.08,20.3,51024,20.26,0.33,61.515151515151516
2013-02-14,20.34,20.6,20.12,20.52,105923,20.37,0.33,62.18181818181818
2013-02-15,20.47,21.05,20.39,21.05,145173,20.89,0.33,63.78787878787879
2013-02-19,21.13,21.13,20.7,20.94,69401,20.86,0.33,63.45454545454545
2013-02-20,20.99,21.102,20.65,20.8,74046,20.9,0.33,63.03030303030303
2013-02-21,20.76,21.0,20.7,20.85,88421,20.82,0.33,63.18181818181818
2013-02-22,20.9,21.18,20.73,21.06,102071,21.0,0.33,63.81818181818181
2013-02-25,21.06,21.06,20.61,20.62,95040,20.88,0.33,62.484848484848484
2013-02-26,20.75,20.91,20.33,20.63,50508,20.57,0.33,62.51515151515151
2013-02-27,20.58,21.765,20.55,21.51,171297,21.35,0.33,65.18181818181819
2013-02-28,21.93,22.22,20.59,20.98,341148,21.42,0.33,63.57575757575757
2013-03-01,20.85,22.49,20.81,22.45,378652,21.97,0.33,68.03030303030303
2013-03-04,22.45,22.45,20.94,22.1,311052,21.91,0.33,66.96969696969697
2013-03-05,22.16,23.65,22.135,22.98,411646,23.0,0.33,69.63636363636364
2013-03-06,23.14,23.74,23.04,23.52,389045,23.42,0.33,71.27272727272727
2013-03-07,23.5,23.5,23.08,23.41,61620,23.33,0.33,70.93939393939394
2013-03-08,23.43,23.75,23.0425,23.68,109399,23.57,0.33,71.75757575757575
2013-03-11,23.8,23.8,22.871,23.39,224433,23.37,0.35,66.82857142857144
2013-03-12,23.44,23.44,22.92,23.14,120784,23.07,0.35,66.11428571428571
2013-03-13,22.9,23.53,22.9,23.49,166439,23.38,0.35,67.11428571428571
2013-03-14,23.2,23.75,23.0,23.03,216722,23.31,0.35,65.80000000000001
2013-03-15,23.02,23.1794,22.77,22.89,131517,22.96,0.35,65.4
2013-03-18,22.65,22.86,22.5,22.73,27444,22.75,0.35,64.94285714285715
2013-03-19,22.63,22.86,22.39,22.82,37093,22.68,0.35,65.2
2013-03-20,22.87,22.87,22.45,22.83,214198,22.67,0.35,65.22857142857143
2013-03-21,22.62,22.85,22.47,22.67,91833,22.69,0.35,64.77142857142859
2013-03-22,22.8,22.99,22.5257,22.72,51528,22.77,0.35,64.91428571428571
2013-03-25,22.88,22.88,22.35,22.51,70003,22.51,0.35,64.31428571428572
2013-03-26,22.54,23.16,22.52,22.89,703552,22.84,0.35,65.4
