Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2016-07-05,41.34,45.47,40.5,40.67,7445687,41.99,0.53,76.73584905660377
2016-07-06,39.39,40.67,38.74,39.96,8014268,39.69,0.53,75.39622641509433
2016-07-07,39.85,40.17,39.62,39.95,6556726,39.9,0.53,75.37735849056604
2016-07-08,40.13,42.35,39.77,42.01,5070983,41.07,0.53,79.26415094339622
2016-07-11,41.18,42.87,40.99,42.78,7220549,41.95,0.53,80.71698113207547
2016-07-12,42.68,42.73,42.06,42.32,6635716,42.45,0.53,79.84905660377358
2016-07-13,42.32,42.76,41.7,42.36,5813317,42.28,0.53,79.92452830188678
2016-07-14,42.12,43.3,41.8,43.15,4160512,42.59,0.53,81.41509433962264
2016-07-15,43.33,43.44,42.35,42.87,4409311,43.0,0.53,80.88679245283018
2016-07-18,42.49,43.16,42.27,42.92,1861213,42.71,0.53,80.98113207547169
2016-07-19,42.71,43.15,42.21,43.14,2335867,42.8,0.53,81.39622641509433
2016-07-20,43.38,43.45,41.85,42.13,4005282,42.7,0.53,79.49056603773585
2016-07-21,42.18,42.36,41.83,42.04,3620731,42.1,0.53,79.32075471698113
2016-07-22,41.84,42.08,41.25,41.34,2928467,41.63,0.53,78.0
2016-07-25,41.19,41.38,40.05,40.99,3638536,40.9,0.53,77.33962264150944
2016-07-26,40.64,41.36,40.4,41.24,1877823,40.91,0.53,77.81132075471699
2016-07-27,41.07,41.42,40.77,40.94,1946177,41.05,0.53,77.24528301886792
2016-07-28,40.79,41.08,40.46,40.71,3493105,40.76,0.53,76.81132075471697
2016-07-29,40.55,40.84,40.18,40.34,5358500,40.48,0.53,76.11320754716981
2016-08-01,40.26,40.59,39.82,40.0,3562295,40.17,0.53,75.47169811320754
2016-08-02,39.75,40.18,39.48,39.75,3904424,39.79,0.69,57.608695652173914
2016-08-03,39.75,41.41,39.62,41.24,5628331,40.5,0.69,59.76811594202899
2016-08-04,41.5,41.93,41.41,41.87,3640926,41.68,0.69,60.68115942028986
2016-08-05,42.06,42.66,42.06,42.33,3185751,42.28,0.69,61.34782608695652
2016-08-08,42.37,42.57,41.79,41.88,2529218,42.15,0.69,60.695652173913054
2016-08-09,40.78,42.28,40.52,42.23,1288091,41.45,0.69,61.20289855072464
2016-08-10,42.23,42.51,41.92,42.22,1412968,42.22,0.69,61.18840579710145
2016-08-11,42.45,44.11,42.43,43.97,2381277,43.24,0.69,63.72463768115942
2016-08-12,43.51,44.24,43.35,44.11,1538921,43.8,0.69,63.92753623188406
2016-08-15,44.31,45.0,44.23,44.9,1742191,44.61,0.69,65.07246376811594
2016-08-16,44.84,45.15,44.58,44.81,1197749,44.84,0.69,64.94202898550725
2016-08-17,44.91,44.96,44.64,44.69,1233360,44.8,0.69,64.76811594202898
2016-08-18,44.54,44.79,44.29,44.49,1045267,44.53,0.69,64.47826086956522
2016-08-19,44.31,44.31,43.27,43.45,1429340,43.83,0.69,62.97101449275363
2016-08-22,43.45,43.55,42.74,42.9,1292632,43.16,0.69,62.173913043478265
2016-08-23,42.98,43.6,42.79,43.43,3003752,43.2,0.69,62.94202898550725
2016-08-24,42.9,43.33,42.35,42.99,827896,42.89,0.69,62.30434782608697
2016-08-25,42.83,43.42,42.66,43.2,1654956,43.03,0.69,62.60869565217392
2016-08-26,43.21,43.8,43.12,43.41,1120432,43.38,0.69,62.91304347826087
2016-08-29,43.33,44.18,43.15,43.86,1248536,43.63,0.69,63.56521739130435
