Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2015-03-31,20.0,20.0,20.0,20.0,0,20.0,-0.21,-95.23809523809524
2015-04-01,26.15,26.84,25.49,26.15,23177684,26.17,-0.21,-124.52380952380952
2015-04-02,26.72,27.27,25.83,26.5,5166689,26.53,-0.21,-126.19047619047619
2015-04-06,26.72,26.7999,25.35,25.8,2091596,25.89,-0.21,-122.85714285714286
2015-04-07,25.84,25.85,25.16,25.24,939746,25.54,-0.21,-120.19047619047619
2015-04-08,25.35,25.48,25.0,25.15,921725,25.12,-0.21,-119.76190476190476
2015-04-09,25.1,26.47,25.05,26.32,752043,25.76,-0.21,-125.33333333333334
2015-04-10,26.34,26.8,25.0,25.29,966480,25.75,-0.21,-120.42857142857143
2015-04-13,25.24,25.59,25.12,25.37,347293,25.36,-0.21,-120.80952380952382
2015-04-14,25.25,25.9,25.25,25.8,275032,25.59,-0.21,-122.85714285714286
2015-04-15,25.88,26.05,25.03,25.12,355399,25.49,-0.21,-119.61904761904763
2015-04-16,25.04,25.25,24.55,24.78,1111202,24.87,-0.21,-118.00000000000001
2015-04-17,24.55,25.6,24.5,25.16,493477,25.02,-0.21,-119.80952380952381
2015-04-20,25.19,25.49,25.04,25.14,322700,25.21,-0.21,-119.71428571428572
2015-04-21,25.18,25.24,24.64,24.78,533650,24.94,-0.21,-118.00000000000001
2015-04-22,24.76,24.88,24.73,24.77,190206,24.78,-0.21,-117.95238095238095
2015-04-23,24.75,25.08,24.75,25.05,227674,24.93,-0.21,-119.28571428571429
2015-04-24,24.9,25.66,24.9,25.63,370260,25.31,-0.21,-122.04761904761905
2015-04-27,25.75,26.4,25.73,26.16,716210,26.1,-0.21,-124.57142857142858
2015-04-28,26.22,26.22,24.87,25.15,476222,25.46,-0.21,-119.76190476190476
2015-04-29,24.86,25.25,24.79,24.88,251729,24.94,-0.21,-118.47619047619048
2015-04-30,24.9,25.42,24.9,25.07,149457,25.18,-0.21,-119.3809523809524
2015-05-01,25.19,26.05,24.91,25.96,483446,25.5,-0.21,-123.61904761904763
2015-05-04,26.0,26.25,25.6809,25.98,207579,26.04,-0.21,-123.71428571428572
2015-05-05,25.96,26.1,25.29,25.42,185286,25.6,-0.21,-121.04761904761907
2015-05-06,25.45,25.55,24.15,24.54,718277,24.58,-0.21,-116.85714285714286
2015-05-07,24.69,25.49,24.525,24.81,363954,25.03,-0.21,-118.14285714285714
2015-05-08,25.28,25.4,24.53,24.88,525921,24.89,-0.21,-118.47619047619048
2015-05-11,26.25,26.29,25.57,25.68,1214212,25.77,-0.21,-122.28571428571429
2015-05-12,26.1,27.73,25.75,26.77,2300041,26.82,-0.21,-127.47619047619048
2015-05-13,26.69,27.5,26.4,26.5,1450166,26.98,-0.7,-37.85714285714286
2015-05-14,26.64,27.1,26.12,26.23,445642,26.59,-0.7,-37.471428571428575
2015-05-15,26.23,26.8899,26.05,26.51,424139,26.41,-0.7,-37.871428571428574
2015-05-18,26.5,26.99,26.22,26.23,394373,26.54,-0.7,-37.471428571428575
2015-05-19,26.31,26.5,25.5121,25.94,418464,25.99,-0.7,-37.057142857142864
2015-05-20,25.89,26.8,25.89,26.38,315364,26.42,-0.7,-37.68571428571428
2015-05-21,26.62,26.68,25.49,25.6,587812,25.82,-0.7,-36.57142857142858
2015-05-22,25.75,26.65,25.75,26.1,519344,26.17,-0.7,-37.28571428571429
2015-05-26,26.03,26.75,25.56,26.42,333074,26.31,-0.7,-37.74285714285715
2015-05-27,26.5,27.21,26.39,26.98,348813,26.92,-0.7,-38.542857142857144
2015-05-28,26.87,27.2,26.63,26.66,257687,26.94,-0.7,-38.08571428571429
2015-05-29,26.62,27.07,26.335,26.93,277036,26.75,-0.7,-38.471428571428575
2015-06-01,27.13,27.48,26.86,27.09,281449,27.14,-0.7,-38.7
2015-06-02,27.09,28.15,27.0591,27.63,429189,27.73,-0.7,-39.471428571428575
2015-06-03,27.85,29.06,27.805,28.91,493754,28.49,-0.7,-41.300000000000004
2015-06-04,29.0,29.43,28.2,28.92,576517,28.82,-0.7,-41.31428571428572
2015-06-05,28.88,29.1165,28.31,28.69,387098,28.71,-0.7,-40.98571428571429
2015-06-08,28.67,29.7799,28.63,29.1,708910,29.31,-0.7,-41.57142857142858
2015-06-09,29.18,29.63,28.64,29.5,551027,29.22,-0.7,-42.142857142857146
2015-06-10,29.52,30.25,29.18,30.16,469404,29.92,-0.7,-43.08571428571429
2015-06-11,30.18,30.86,29.65,29.69,488738,29.94,-0.7,-42.41428571428572
2015-06-12,29.94,29.94,28.73,29.28,389024,29.14,-0.7,-41.828571428571436
2015-06-15,29.14,29.85,29.0,29.41,379249,29.35,-0.7,-42.01428571428572
2015-06-16,29.32,30.71,29.19,30.46,635483,30.16,-0.7,-43.51428571428572
2015-06-17,30.59,30.64,30.2,30.54,645596,30.41,-0.7,-43.62857142857143
2015-06-18,30.69,31.75,30.68,31.35,890892,31.31,-0.7,-44.78571428571429
2015-06-19,31.37,33.0,31.189,31.8,2050321,31.94,-0.7,-45.42857142857143
2015-06-22,32.1,32.1,30.79,31.36,502355,31.39,-0.7,-44.800000000000004
2015-06-23,31.34,32.03,31.25,31.82,471299,31.79,-0.7,-45.45714285714286
2015-06-24,31.84,32.06,31.25,31.46,423997,31.52,-0.7,-44.94285714285715
2015-06-25,31.56,31.78,30.67,31.01,432656,31.18,-0.7,-44.300000000000004
2015-06-26,30.96,30.96,29.37,29.54,1697689,29.69,-0.7,-42.2
2015-06-29,29.28,29.5,27.92,28.18,824211,28.58,-0.7,-40.25714285714286
2015-06-30,28.26,28.92,27.65,28.19,666067,28.14,-0.7,-40.27142857142858
2015-07-01,28.49,28.9,28.17,28.29,1241951,28.47,-0.7,-40.41428571428572
2015-07-02,28.29,28.29,26.89,27.14,1284395,27.37,-0.7,-38.77142857142857
2015-07-06,26.85,27.8,26.39,27.27,1010270,27.23,-0.7,-38.957142857142856
2015-07-07,27.14,27.4699,26.72,26.83,1233137,26.95,-0.7,-38.32857142857143
2015-07-08,26.69,26.755,25.73,26.08,1291834,26.12,-0.7,-37.25714285714286
2015-07-09,26.21,26.82,26.18,26.61,636471,26.48,-0.7,-38.01428571428571
2015-07-10,27.07,27.2,26.7,26.98,540060,26.96,-0.7,-38.542857142857144
2015-07-13,27.25,27.51,26.26,26.65,387379,26.72,-0.7,-38.07142857142857
2015-07-14,26.51,27.0,26.44,26.95,355121,26.87,-0.7,-38.5
2015-07-15,26.81,26.965,26.11,26.43,320161,26.44,-0.7,-37.75714285714286
2015-07-16,26.45,26.88,26.45,26.69,299348,26.73,-0.7,-38.12857142857143
2015-07-17,26.74,26.96,26.05,26.29,617248,26.3,-0.7,-37.55714285714286
2015-07-20,26.24,26.69,25.702,26.6,649371,26.33,-0.7,-38.00000000000001
2015-07-21,26.48,26.89,26.23,26.65,236968,26.58,-0.7,-38.07142857142857
2015-07-22,26.45,27.02,26.45,26.98,337992,26.85,-0.7,-38.542857142857144
2015-07-23,26.91,27.2,26.6,26.91,326396,26.88,-0.7,-38.44285714285714
2015-07-24,27.03,27.13,26.42,26.54,278865,26.66,-0.7,-37.91428571428572
2015-07-27,26.4,26.4,25.73,26.04,300531,26.06,-0.7,-37.2
2015-07-28,26.2,27.32,26.2,27.12,930436,26.73,-0.7,-38.74285714285715
