Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1962-01-02,7.37,7.37,7.29,7.29,407940,7.32,,
1962-01-03,7.29,7.36,7.29,7.36,305955,7.33,,
1962-01-04,7.36,7.36,7.28,7.28,274575,7.31,,
1962-01-05,7.27,7.27,7.13,7.14,384405,7.18,,
1962-01-08,7.13,7.13,6.95,7.0,572685,7.03,,
1962-01-09,7.04,7.18,7.04,7.09,517770,7.1,,
1962-01-10,7.1,7.13,7.1,7.1,313800,7.11,,
1962-01-11,7.12,7.18,7.12,7.18,337335,7.16,,
1962-01-12,7.19,7.24,7.19,7.19,462855,7.21,,
1962-01-15,7.21,7.24,7.21,7.22,266730,7.22,,
1962-01-16,7.21,7.21,7.14,7.14,266730,7.17,,
1962-01-17,7.11,7.11,7.01,7.03,439320,7.05,,
1962-01-18,7.05,7.12,7.05,7.05,392250,7.07,,
1962-01-19,7.05,7.07,6.97,7.06,423630,7.03,,
1962-01-22,7.06,7.13,7.04,7.04,290265,7.07,,
1962-01-23,7.04,7.05,6.96,6.97,392250,6.99,,
1962-01-24,6.97,7.01,6.94,7.01,431475,6.99,,
1962-01-25,7.01,7.07,6.92,6.93,337335,6.97,,
1962-01-26,6.93,6.96,6.9,6.9,258885,6.92,,
1962-01-29,6.9,6.95,6.78,6.78,611910,6.84,,
1962-01-30,6.78,6.82,6.7,6.7,776655,6.74,,
1962-01-31,6.76,6.91,6.76,6.91,800190,6.86,,
1962-02-01,6.98,7.09,6.98,7.07,674670,7.04,,
1962-02-02,7.07,7.11,7.04,7.11,533460,7.09,,
1962-02-05,7.11,7.11,6.99,7.02,329490,7.04,,
1962-02-06,7.02,7.04,7.0,7.03,274575,7.02,,
1962-02-07,7.04,7.07,7.04,7.04,266730,7.05,,
1962-02-08,7.04,7.07,7.04,7.04,23535,7.05,,
1962-02-09,7.04,7.09,7.01,7.09,455010,7.07,,
1962-02-12,7.09,7.15,7.09,7.1,298110,7.11,,
1962-02-13,7.1,7.11,6.99,6.99,274575,7.03,,
1962-02-14,6.99,7.01,6.96,6.97,219660,6.98,,
1962-02-15,6.97,6.97,6.94,6.95,243195,6.95,,
1962-02-16,6.95,6.97,6.94,6.94,235350,6.95,,
1962-02-19,6.94,6.97,6.86,6.87,298110,6.9,,
1962-02-20,6.87,6.91,6.87,6.87,305955,6.89,,
1962-02-21,6.87,6.92,6.82,6.82,384405,6.86,,
1962-02-23,6.83,6.86,6.83,6.85,305955,6.85,,
1962-02-26,6.85,6.85,6.81,6.82,313800,6.83,,
1962-02-27,6.82,6.88,6.78,6.83,368715,6.83,,
1962-02-28,6.83,6.85,6.79,6.85,282420,6.83,,
1962-03-01,6.87,6.93,6.87,6.93,298110,6.91,,
1962-03-02,6.99,7.02,6.99,6.99,258885,7.0,,
1962-03-05,6.99,6.99,6.93,6.96,376560,6.96,,
1962-03-06,6.96,6.99,6.95,6.97,196125,6.97,,
1962-03-07,6.97,6.99,6.95,6.99,133365,6.97,,
1962-03-08,6.99,7.0,6.95,7.0,196125,6.99,,
1962-03-09,7.01,7.05,7.01,7.05,305955,7.04,,
1962-03-12,7.05,7.07,7.02,7.04,298110,7.04,,
1962-03-13,7.04,7.04,7.01,7.04,133365,7.03,,
1962-03-14,7.04,7.06,7.01,7.02,211815,7.03,,
1962-03-15,7.02,7.06,7.01,7.01,258885,7.03,,
1962-03-16,7.01,7.04,7.01,7.04,172590,7.03,,
1962-03-19,7.06,7.09,7.06,7.06,392250,7.07,,
1962-03-20,7.05,7.05,7.02,7.02,172590,7.03,,
1962-03-21,7.02,7.04,7.0,7.02,274575,7.02,,
1962-03-22,7.0,7.0,6.95,6.95,251040,6.96,,
1962-03-23,6.95,6.99,6.95,6.97,196125,6.97,,
1962-03-26,6.97,7.0,6.96,6.97,141210,6.98,,
1962-03-27,6.95,6.95,6.83,6.84,368715,6.87,,
1962-03-28,6.85,6.9,6.85,6.88,345180,6.87,,
1962-03-29,6.88,6.91,6.86,6.86,243195,6.87,,
1962-03-30,6.85,6.85,6.76,6.79,462855,6.8,,
1962-04-02,6.79,6.79,6.7,6.7,392250,6.73,,
1962-04-03,6.69,6.69,6.46,6.53,957090,6.56,,
1962-04-04,6.53,6.59,6.5,6.5,682515,6.53,,
1962-04-05,6.54,6.64,6.54,6.64,957090,6.61,,
1962-04-06,6.64,6.69,6.59,6.63,455010,6.64,,
1962-04-09,6.63,6.67,6.59,6.64,23535,6.63,,
1962-04-10,6.64,6.67,6.6,6.67,274575,6.65,,
1962-04-11,6.67,6.72,6.58,6.58,556995,6.62,,
1962-04-12,6.58,6.59,6.51,6.51,423630,6.53,,
1962-04-13,6.51,6.6,6.5,6.6,658980,6.57,,
1962-04-16,6.6,6.65,6.53,6.6,533460,6.59,,
1962-04-17,6.6,6.63,6.56,6.63,313800,6.61,,
1962-04-18,6.63,6.69,6.61,6.62,447165,6.64,,
1962-04-19,6.62,6.64,6.59,6.62,407940,6.62,,
1962-04-23,6.62,6.62,6.58,6.61,329490,6.61,,
1962-04-24,6.61,6.65,6.6,6.6,478545,6.62,,
1962-04-25,6.6,6.63,6.53,6.53,486390,6.56,,
1962-04-26,6.53,6.53,6.37,6.37,972780,6.42,,
1962-04-27,6.37,6.44,6.12,6.19,1710210,6.25,,
1962-04-30,6.19,6.25,5.74,5.79,2455485,5.92,,
1962-05-01,5.79,5.92,5.48,5.89,5562105,5.76,,
1962-05-02,5.99,6.17,5.99,6.02,2675145,6.06,,
1962-05-03,6.02,6.17,5.98,6.15,1427790,6.1,,
1962-05-04,6.15,6.2,6.09,6.2,815880,6.16,,
1962-05-07,6.2,6.24,6.06,6.06,870795,6.12,,
1962-05-08,6.05,6.05,5.86,5.86,1082610,5.92,,
1962-05-09,5.86,5.91,5.74,5.75,1678830,5.8,,
1962-05-10,5.75,5.86,5.72,5.77,2000475,5.79,,
1962-05-11,5.77,5.86,5.66,5.69,1984785,5.74,,
1962-05-14,5.69,5.79,5.59,5.79,2855580,5.72,,
1962-05-15,5.79,5.9,5.76,5.76,1765125,5.81,,
1962-05-16,5.76,5.86,5.76,5.83,925710,5.81,,
1962-05-17,5.83,5.83,5.7,5.72,1019850,5.75,,
1962-05-18,5.72,5.76,5.68,5.76,768810,5.73,,
1962-05-21,5.76,5.76,5.69,5.74,415785,5.73,,
1962-05-22,5.73,5.73,5.54,5.54,1051230,5.61,,
1962-05-23,5.54,5.58,5.29,5.29,3028170,5.39,,
1962-05-24,5.29,5.43,5.07,5.07,4346130,5.19,,
1962-05-25,5.07,5.19,4.95,5.08,4503030,5.07,,
1962-05-28,5.06,5.06,4.53,4.6,4518720,4.73,,
1962-05-29,4.66,4.93,4.66,4.88,4040175,4.82,,
1962-05-31,4.97,5.1,4.97,5.0,4322595,5.02,,
1962-06-01,4.98,4.98,4.88,4.91,2526090,4.92,,
1962-06-04,4.84,4.84,4.59,4.59,1898490,4.67,,
1962-06-05,4.59,4.77,4.5,4.64,3310590,4.64,,
1962-06-06,4.64,4.79,4.61,4.66,3012480,4.69,,
1962-06-07,4.69,4.77,4.69,4.72,1286580,4.72,,
1962-06-08,4.72,4.79,4.72,4.73,1223820,4.75,,
1962-06-11,4.73,4.74,4.57,4.58,1247355,4.63,,
1962-06-12,4.53,4.53,4.27,4.27,3483180,4.36,,
1962-06-13,4.27,4.37,4.11,4.11,4589325,4.2,,
1962-06-14,4.11,4.23,3.82,3.9,6989895,3.98,,
1962-06-15,3.9,4.26,3.83,4.25,6621180,4.12,,
1962-06-18,4.25,4.33,4.05,4.2,4989420,4.19,,
1962-06-19,4.2,4.28,4.16,4.28,2204445,4.24,,
1962-06-20,4.28,4.37,4.18,4.18,3200760,4.24,,
1962-06-21,4.13,4.13,4.02,4.02,3883275,4.06,,
1962-06-22,4.02,4.1,3.96,4.08,3530250,4.05,,
1962-06-25,4.08,4.28,4.02,4.24,3969570,4.18,,
1962-06-26,4.24,4.32,4.08,4.08,3381195,4.16,,
1962-06-27,4.09,4.24,4.09,4.24,3098775,4.19,,
1962-06-28,4.27,4.44,4.27,4.38,4275525,4.37,,
1962-06-29,4.38,4.43,4.31,4.32,2957565,4.36,,
1962-07-02,4.32,4.46,4.31,4.46,1459170,4.41,,
1962-07-03,4.46,4.51,4.44,4.48,2706525,4.48,,
1962-07-05,4.48,4.5,4.45,4.46,2110305,4.47,,
1962-07-06,4.41,4.41,4.36,4.4,1702365,4.39,,
1962-07-09,4.4,4.47,4.35,4.46,1976940,4.43,,
1962-07-10,4.54,4.61,4.54,4.57,3192915,4.58,,
1962-07-11,4.57,4.77,4.55,4.77,3467490,4.7,,
1962-07-12,4.78,4.97,4.78,4.83,3451800,4.86,,
1962-07-13,4.83,4.86,4.75,4.8,2204445,4.8,,
1962-07-16,4.8,4.88,4.75,4.88,1733745,4.83,,
1962-07-17,4.88,4.9,4.72,4.72,1788660,4.78,,
1962-07-18,4.72,4.74,4.61,4.66,2549625,4.67,,
1962-07-19,4.68,4.79,4.68,4.68,2298585,4.72,,
1962-07-20,4.7,4.77,4.7,4.74,713895,4.74,,
1962-07-23,4.74,4.81,4.74,4.75,878640,4.77,,
1962-07-24,4.73,4.73,4.63,4.63,933555,4.66,,
1962-07-25,4.63,4.7,4.57,4.68,1969095,4.65,,
1962-07-26,4.71,4.75,4.71,4.71,996315,4.72,,
1962-07-27,4.71,4.79,4.71,4.79,996315,4.76,,
1962-07-30,4.82,4.94,4.82,4.94,2981100,4.9,,
1962-07-31,4.94,5.02,4.93,4.93,2902650,4.96,,
1962-08-01,4.92,4.92,4.8,4.8,1278735,4.84,,
1962-08-02,4.8,4.92,4.8,4.92,1561155,4.88,,
1962-08-03,4.92,4.94,4.87,4.91,996315,4.91,,
