Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-10-05,3.1875,3.28125,3.125,3.21875,25536800,3.21,,
1993-10-06,3.25,3.25,3.15625,3.1875,4008000,3.2,,
1993-10-07,3.15625,3.21875,3.15625,3.1875,1502400,3.19,,
1993-10-08,3.1875,3.21875,3.125,3.1875,1222400,3.18,,
1993-10-11,3.125,3.1875,3.09375,3.125,1073600,3.14,,
1993-10-12,3.09375,3.15625,3.09375,3.09375,765600,3.11,,
1993-10-13,3.09375,3.15625,3.09375,3.125,960000,3.13,,
1993-10-14,3.125,3.1875,3.125,3.125,1547200,3.15,,
1993-10-15,3.15625,3.21875,3.15625,3.15625,524800,3.18,,
1993-10-18,3.15625,3.34375,3.15625,3.28125,1245600,3.26,,
1993-10-19,3.28125,3.4375,3.28125,3.390625,1716800,3.37,,
1993-10-20,3.4375,3.4375,3.28125,3.28125,1695200,3.33,,
1993-10-21,3.28125,3.3125,3.28125,3.28125,719200,3.29,,
1993-10-22,3.28125,3.3125,3.28125,3.28125,396000,3.29,,
1993-10-25,3.3125,3.3125,3.28125,3.3125,292000,3.3,,
1993-10-26,3.28125,3.34375,3.28125,3.28125,436000,3.3,,
1993-10-27,3.28125,3.40625,3.28125,3.34375,317600,3.34,,
1993-10-28,3.34375,3.40625,3.34375,3.34375,440800,3.36,,
1993-10-29,3.34375,3.40625,3.28125,3.28125,1345600,3.32,,
1993-11-01,3.375,3.53125,3.375,3.4375,1580800,3.45,,
1993-11-02,3.46875,3.46875,3.3125,3.390625,1986400,3.39,,
1993-11-03,3.40625,3.59375,3.34375,3.53125,2524000,3.49,,
1993-11-04,3.59375,3.65625,3.53125,3.5625,1926400,3.58,,
1993-11-05,3.59375,3.59375,3.53125,3.5625,652800,3.56,,
1993-11-08,3.5625,3.59375,3.53125,3.59375,293600,3.57,,
1993-11-09,3.53125,3.6875,3.5,3.5,534400,3.56,,
1993-11-10,3.5625,3.59375,3.53125,3.578125,264800,3.57,,
1993-11-11,3.59375,3.875,3.53125,3.84375,1232800,3.75,,
1993-11-12,3.78125,4.03125,3.78125,3.953125,1564800,3.92,,
1993-11-15,4.0,4.0,3.9375,3.9375,452800,3.96,,
1993-11-16,3.9375,4.09375,3.9375,4.078125,1070400,4.04,,
1993-11-17,4.125,4.125,4.0625,4.125,164000,4.1,,
1993-11-18,4.125,4.125,3.96875,3.96875,1188000,4.02,,
1993-11-19,3.9375,3.9375,3.8125,3.8125,419200,3.85,,
1993-11-22,3.8125,3.8125,3.71875,3.71875,602400,3.75,,
1993-11-23,3.71875,3.78125,3.71875,3.734375,466400,3.74,,
1993-11-24,3.71875,3.75,3.71875,3.71875,36000,3.73,,
1993-11-26,3.71875,3.78125,3.71875,3.78125,10400,3.76,,
1993-11-29,3.75,3.78125,3.75,3.78125,70400,3.77,,
1993-11-30,3.78125,3.84375,3.65625,3.84375,734400,3.78,,
1993-12-01,3.875,3.90625,3.84375,3.875,154400,3.88,,
1993-12-02,3.84375,3.90625,3.84375,3.84375,114400,3.86,,
