Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2014-10-20,27.9,33.0,27.32,28.25,1333559,29.52,0.64,44.140625
2014-10-21,28.49,29.49,28.3,28.31,697668,28.7,0.64,44.234375
2014-10-22,28.47,28.91,28.0,28.75,768836,28.55,0.64,44.921875
2014-10-23,28.75,29.89,28.6,29.25,1270749,29.25,0.64,45.703125
2014-10-24,29.11,30.09,29.11,29.75,1540721,29.65,0.64,46.484375
2014-10-27,29.85,30.29,29.37,30.1,766723,29.92,0.64,47.03125
2014-10-28,30.3,31.29,29.94,30.65,536173,30.63,0.64,47.890625
2014-10-29,30.65,31.0,29.94,30.0,596335,30.31,0.64,46.875
2014-10-30,30.15,30.69,29.75,30.25,415576,30.23,0.64,47.265625
2014-10-31,30.25,31.98,30.25,31.5,29854340,31.24,0.64,49.21875
2014-11-03,30.61,31.89,30.38,31.15,9244781,31.08,0.64,48.671875
2014-11-04,30.75,30.83,30.08,30.16,6483948,30.4,0.64,47.125
2014-11-05,30.67,31.0,30.0,30.18,3959553,30.27,0.64,47.15625
2014-11-06,30.2,30.459,29.88,30.05,2991764,30.09,0.64,46.953125
2014-11-07,29.49,30.39,29.01,29.72,9563598,29.58,0.64,46.4375
2014-11-10,29.03,30.23,28.56,29.78,5115409,29.65,0.64,46.53125
2014-11-11,29.42,30.73,29.06,30.04,4536399,30.03,0.64,46.9375
2014-11-12,30.4,31.23,30.0,30.83,4852525,30.54,0.64,48.17187499999999
2014-11-13,30.74,31.3,30.03,30.41,2432910,30.31,0.64,47.515625
2014-11-14,30.29,30.91,30.22,30.7,1481671,30.63,0.64,47.96875
2014-11-17,30.7,31.42,30.55,31.05,2389146,31.09,0.64,48.515625
2014-11-18,30.59,31.135,30.21,31.0,3007885,30.83,0.64,48.4375
2014-11-19,30.72,31.14,30.59,30.97,3013216,30.91,0.64,48.390625
2014-11-20,30.77,31.5,30.65,31.41,2157734,31.06,0.64,49.078125
2014-11-21,31.65,32.5,31.45,32.3,4703793,32.12,0.64,50.46874999999999
2014-11-24,32.88,33.04,32.34,33.0,2404154,32.72,0.64,51.5625
2014-11-25,32.97,33.11,32.58,32.85,1798706,32.9,0.64,51.328125
2014-11-26,33.0,34.98,33.0,34.2,1583574,34.13,0.64,53.4375
2014-11-28,33.94,35.38,33.88,35.2,425527,34.75,0.64,55.0
2014-12-01,35.01,35.18,34.76,34.9,1484516,34.93,0.64,54.53125
2014-12-02,34.73,34.935,34.3,34.78,1789067,34.65,0.64,54.34375
2014-12-03,34.51,34.65,34.25,34.31,1151205,34.44,0.64,53.609375
2014-12-04,33.89,34.3,33.71,34.14,1352622,34.06,0.64,53.34375
2014-12-05,34.24,34.48,34.0,34.1,762081,34.19,0.64,53.28125
2014-12-08,34.1,34.34,34.0,34.19,956919,34.13,0.64,53.42187499999999
2014-12-09,33.2,34.24,33.2,33.75,988998,33.89,0.64,52.734375
2014-12-10,33.87,33.98,33.4,33.47,1442794,33.61,0.64,52.296875
2014-12-11,33.5,33.89,33.45,33.49,599072,33.64,0.64,52.328125
2014-12-12,33.48,33.6,32.5801,32.86,1175480,32.88,0.64,51.34375
2014-12-15,32.91,33.37,32.74,32.88,969232,32.97,0.64,51.375
2014-12-16,32.52,33.33,32.5,32.89,1882837,32.88,0.64,51.390625
2014-12-17,32.82,34.21,32.39,33.83,1027841,33.59,0.64,52.85937499999999
2014-12-18,34.0,34.47,33.42,34.11,880824,34.01,0.64,53.296875
2014-12-19,34.11,34.57,33.58,33.98,1860298,34.03,0.64,53.09374999999999
2014-12-22,33.9,34.19,33.825,33.94,741346,33.97,0.61,55.63934426229508
2014-12-23,33.93,34.2,33.54,33.63,735040,33.84,0.61,55.13114754098361
2014-12-24,33.65,34.38,33.51,33.8,1505893,33.77,0.61,55.409836065573764
2014-12-26,33.94,34.0,33.55,33.73,460549,33.72,0.61,55.29508196721311
2014-12-29,33.57,34.05,32.74,33.91,474498,33.75,0.61,55.59016393442622
2014-12-30,33.8,34.29,33.6818,33.88,384021,33.92,0.61,55.54098360655738
2014-12-31,33.87,34.17,33.64,33.77,330059,33.84,0.61,55.360655737704924
2015-01-02,33.81,34.09,33.1305,33.42,813250,33.41,0.61,54.786885245901644
2015-01-05,33.05,33.6,33.05,33.54,732365,33.49,0.61,54.98360655737705
2015-01-06,33.65,33.855,33.5003,33.61,1496168,33.68,0.61,55.09836065573771
2015-01-07,33.67,34.43,33.67,33.88,2022259,33.94,0.61,55.54098360655738
2015-01-08,34.0,34.39,33.82,34.12,1429735,34.05,0.61,55.93442622950819
2015-01-09,34.04,34.24,33.77,33.96,712992,34.01,0.61,55.67213114754099
2015-01-12,33.9,34.58,33.9,34.46,902000,34.21,0.61,56.49180327868853
2015-01-13,34.44,34.9,34.11,34.69,817635,34.52,0.61,56.86885245901639
2015-01-14,34.29,34.94,34.1701,34.93,500039,34.69,0.61,57.26229508196722
2015-01-15,34.92,34.99,34.2,34.47,954484,34.44,0.61,56.50819672131148
2015-01-16,34.26,35.0,34.2167,34.96,1271575,34.64,0.61,57.31147540983607
2015-01-20,34.68,35.2,34.45,34.92,1031329,34.84,0.61,57.24590163934427
2015-01-21,34.66,35.9,34.52,35.74,1616485,35.27,0.61,58.590163934426236
2015-01-22,35.67,36.33,35.38,35.78,1527505,35.9,0.61,58.65573770491804
2015-01-23,35.73,35.78,34.58,34.87,1305936,35.14,0.61,57.1639344262295
2015-01-26,34.76,34.91,34.02,34.33,1292606,34.28,0.61,56.278688524590166
2015-01-27,34.08,34.23,33.65,33.73,781844,33.98,0.61,55.29508196721311
2015-01-28,33.76,34.0,33.25,33.34,969660,33.55,0.61,54.65573770491804
2015-01-29,33.48,33.73,33.25,33.68,801034,33.4,0.61,55.21311475409836
2015-01-30,33.4,33.5878,33.12,33.39,765987,33.37,0.61,54.73770491803279
2015-02-02,33.44,34.38,33.37,34.33,619397,33.85,0.61,56.278688524590166
2015-02-03,34.32,34.74,33.95,34.05,694945,34.15,0.61,55.819672131147534
2015-02-04,34.05,34.29,33.72,34.21,712460,34.1,0.61,56.08196721311476
2015-02-05,34.19,34.78,33.9529,34.61,286318,34.56,0.61,56.73770491803279
2015-02-06,34.57,35.08,34.3601,35.08,768882,34.99,0.61,57.50819672131147
2015-02-09,35.0,35.5,34.81,34.97,1708957,34.99,0.61,57.32786885245901
2015-02-10,35.07,35.8,34.922,35.76,745044,35.55,0.61,58.62295081967213
2015-02-11,35.75,35.79,35.34,35.57,739007,35.52,0.61,58.31147540983607
2015-02-12,35.8,36.3,35.574,36.22,679838,36.09,0.61,59.377049180327866
2015-02-13,36.15,36.61,36.14,36.49,437452,36.49,0.61,59.81967213114755
2015-02-17,36.5,36.76,36.33,36.52,976551,36.53,0.61,59.8688524590164
2015-02-18,36.36,36.59,35.92,36.5,862043,36.43,0.61,59.83606557377049
2015-02-19,36.38,37.41,35.85,37.31,716752,36.96,0.61,61.16393442622951
2015-02-20,37.09,37.6,35.78,37.3,1032611,37.01,0.61,61.147540983606554
2015-02-23,37.16,37.16,36.4,36.69,1614354,36.73,0.61,60.147540983606554
2015-02-24,36.67,37.93,36.644,37.59,485811,37.44,0.61,61.62295081967214
2015-02-25,37.64,37.65,37.08,37.3,279365,37.32,0.61,61.147540983606554
2015-02-26,37.26,37.69,37.05,37.44,245625,37.43,0.61,61.377049180327866
2015-02-27,37.33,37.69,37.0631,37.54,549345,37.43,0.61,61.540983606557376
2015-03-02,37.08,38.1,36.89,37.88,470469,37.66,0.61,62.09836065573771
2015-03-03,37.75,37.9588,37.41,37.53,465375,37.56,0.61,61.52459016393443
2015-03-04,37.38,37.76,37.0,37.68,617772,37.51,0.61,61.77049180327869
2015-03-05,37.59,37.69,37.27,37.34,420212,37.38,0.42,88.90476190476191
2015-03-06,37.19,37.77,36.98,37.13,447619,37.2,0.42,88.40476190476191
2015-03-09,37.17,37.58,37.035,37.39,443929,37.33,0.42,89.02380952380953
2015-03-10,37.09,37.416,36.75,36.77,788196,36.98,0.42,87.54761904761907
2015-03-11,36.73,37.33,36.5701,37.24,564186,37.04,0.42,88.66666666666667
2015-03-12,37.22,37.44,37.02,37.33,360857,37.23,0.42,88.88095238095238
2015-03-13,37.18,37.444,36.78,37.25,235570,37.08,0.42,88.69047619047619
2015-03-16,37.33,37.98,37.2101,37.94,447195,37.8,0.42,90.33333333333333
2015-03-17,37.77,38.27,37.62,38.19,509178,38.02,0.42,90.92857142857143
2015-03-18,38.03,38.98,38.0,38.72,493236,38.55,0.42,92.19047619047619
2015-03-19,38.43,38.8,38.26,38.72,281985,38.65,0.42,92.19047619047619
2015-03-20,38.75,38.99,38.3701,38.74,1337884,38.75,0.42,92.23809523809524
2015-03-23,38.67,38.99,38.5,38.89,470834,38.77,0.42,92.5952380952381
2015-03-24,38.94,38.99,38.3,38.68,569647,38.63,0.42,92.0952380952381
2015-03-25,38.63,38.78,37.21,37.26,442040,37.58,0.42,88.71428571428571
2015-03-26,37.09,37.25,36.6,36.72,479707,36.79,0.42,87.42857142857143
2015-03-27,36.73,36.73,36.22,36.27,413628,36.31,0.42,86.35714285714286
2015-03-30,36.36,36.7,36.05,36.12,630900,36.38,0.42,86.0
2015-03-31,36.09,37.32,35.94,37.15,809302,36.67,0.42,88.45238095238095
2015-04-01,37.18,37.48,36.43,36.61,593901,36.68,0.42,87.16666666666667
2015-04-02,36.73,37.47,36.62,36.79,395503,36.9,0.42,87.5952380952381
2015-04-06,36.7,36.89,36.45,36.73,933612,36.67,0.42,87.45238095238095
2015-04-07,36.68,36.88,36.29,36.38,556671,36.43,0.42,86.61904761904763
2015-04-08,36.52,36.72,36.34,36.49,498050,36.55,0.42,86.8809523809524
2015-04-09,36.4,37.24,36.4,37.18,336842,36.95,0.42,88.52380952380953
2015-04-10,37.17,37.39,36.75,37.05,505249,37.1,0.42,88.21428571428571
2015-04-13,36.98,37.45,36.58,36.59,228458,36.81,0.42,87.11904761904763
2015-04-14,36.46,36.76,36.0505,36.15,351371,36.16,0.42,86.07142857142857
2015-04-15,36.25,36.54,36.11,36.19,371338,36.33,0.42,86.16666666666667
2015-04-16,36.31,36.31,36.0,36.07,390073,36.12,0.42,85.88095238095238
2015-04-17,35.93,36.12,35.28,35.36,616456,35.45,0.42,84.19047619047619
2015-04-20,35.47,36.31,35.47,36.13,594725,36.06,0.42,86.02380952380953
