Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1980-10-08,1.16,1.16,1.16,1.16,2889600,1.16,,
1980-10-09,1.17,1.17,1.17,1.17,1176000,1.17,,
1980-10-10,1.27,1.27,1.27,1.27,1824000,1.27,,
1980-10-13,1.36,1.36,1.36,1.36,679200,1.36,,
1980-10-14,1.28,1.28,1.28,1.28,640800,1.28,,
1980-10-15,1.32,1.32,1.32,1.32,408000,1.32,,
1980-10-16,1.29,1.29,1.29,1.29,554400,1.29,,
1980-10-17,1.3,1.3,1.3,1.3,456000,1.3,,
1980-10-20,1.34,1.34,1.34,1.34,213600,1.34,,
1980-10-21,1.28,1.28,1.28,1.28,405600,1.28,,
1980-10-22,1.3,1.3,1.3,1.3,141600,1.3,,
1980-10-23,1.28,1.28,1.28,1.28,180000,1.28,,
1980-10-24,1.31,1.31,1.31,1.31,115200,1.31,,
1980-10-27,1.29,1.29,1.29,1.29,136800,1.29,,
1980-10-28,1.27,1.27,1.27,1.27,168000,1.27,,
1980-10-29,1.28,1.28,1.28,1.28,144000,1.28,,
1980-10-30,1.23,1.23,1.23,1.23,163200,1.23,,
1980-10-31,1.24,1.24,1.24,1.24,124800,1.24,,
1980-11-03,1.25,1.25,1.25,1.25,74400,1.25,,
1980-11-05,1.26,1.26,1.26,1.26,105600,1.26,,
1980-11-06,1.21,1.21,1.21,1.21,72000,1.21,,
1980-11-07,1.18,1.18,1.18,1.18,139200,1.18,,
1980-11-10,1.23,1.23,1.23,1.23,105600,1.23,,
1980-11-11,1.33,1.33,1.33,1.33,134400,1.33,,
1980-11-12,1.39,1.39,1.39,1.39,84000,1.39,,
1980-11-13,1.4,1.4,1.4,1.4,88800,1.4,,
1980-11-14,1.44,1.44,1.44,1.44,172800,1.44,,
1980-11-17,1.52,1.52,1.52,1.52,112800,1.52,,
1980-11-18,1.56,1.56,1.56,1.56,206400,1.56,,
1980-11-19,1.57,1.57,1.57,1.57,55200,1.57,,
1980-11-20,1.5,1.5,1.5,1.5,132000,1.5,,
1980-11-21,1.5,1.5,1.5,1.5,64800,1.5,,
1980-11-24,1.49,1.49,1.49,1.49,57600,1.49,,
1980-11-25,1.6,1.6,1.6,1.6,50400,1.6,,
1980-11-26,1.59,1.59,1.59,1.59,50400,1.59,,
1980-11-28,1.59,1.59,1.59,1.59,64800,1.59,,
1980-12-01,1.56,1.56,1.56,1.56,88800,1.56,,
1980-12-02,1.55,1.55,1.55,1.55,67200,1.55,,
1980-12-03,1.55,1.55,1.55,1.55,93600,1.55,,
1980-12-04,1.55,1.55,1.55,1.55,72000,1.55,,
1980-12-05,1.53,1.53,1.53,1.53,81600,1.53,,
1980-12-08,1.35,1.35,1.35,1.35,105600,1.35,,
