Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1984-05-04,0.22222,0.22222,0.22222,0.22222,25789600,0.22222,,
1984-05-07,0.21944,0.21944,0.21944,0.21944,1026000,0.21944,,
1984-05-08,0.21944,0.21944,0.21944,0.21944,1372500,0.21944,,
1984-05-09,0.21944,0.21944,0.21944,0.21944,7416010,0.21944,,
1984-05-10,0.21389,0.21389,0.21389,0.21389,3037500,0.21389,,
1984-05-11,0.21111,0.21111,0.21111,0.21111,2281500,0.21111,,
1984-05-14,0.21111,0.21111,0.21111,0.21111,499500,0.21111,,
1984-05-15,0.21667,0.21667,0.21667,0.21667,436500,0.21667,,
1984-05-16,0.21667,0.21667,0.21667,0.21667,351000,0.21667,,
1984-05-17,0.21667,0.21667,0.21667,0.21667,652500,0.21667,,
1984-05-18,0.18889,0.18889,0.18889,0.18889,3847500,0.18889,,
1984-05-21,0.18889,0.18889,0.18889,0.18889,2254500,0.18889,,
1984-05-22,0.18889,0.18889,0.18889,0.18889,121500,0.18889,,
1984-05-23,0.19167,0.19167,0.19167,0.19167,148500,0.19167,,
1984-05-24,0.19167,0.19167,0.19167,0.19167,234000,0.19167,,
1984-05-25,0.19167,0.19167,0.19167,0.19167,1584000,0.19167,,
1984-05-29,0.19167,0.19167,0.19167,0.19167,193500,0.19167,,
1984-05-30,0.19167,0.19167,0.19167,0.19167,333000,0.19167,,
1984-05-31,0.19167,0.19167,0.19167,0.19167,4500,0.19167,,
1984-06-01,0.19722,0.19722,0.19722,0.19722,1030500,0.19722,,
1984-06-04,0.2,0.2,0.2,0.2,72000,0.2,,
1984-06-05,0.20278,0.20278,0.20278,0.20278,1035000,0.20278,,
1984-06-06,0.20278,0.20278,0.20278,0.20278,1489500,0.20278,,
1984-06-07,0.20833,0.20833,0.20833,0.20833,414000,0.20833,,
1984-06-08,0.20833,0.20833,0.20833,0.20833,1174500,0.20833,,
1984-06-11,0.20833,0.20833,0.20833,0.20833,1201500,0.20833,,
1984-06-12,0.21111,0.21111,0.21111,0.21111,1264500,0.21111,,
1984-06-13,0.21111,0.21111,0.21111,0.21111,729000,0.21111,,
1984-06-14,0.21111,0.21111,0.21111,0.21111,103500,0.21111,,
1984-06-15,0.21111,0.21111,0.21111,0.21111,13500,0.21111,,
1984-06-18,0.21111,0.21111,0.21111,0.21111,45000,0.21111,,
1984-06-19,0.21389,0.21389,0.21389,0.21389,58500,0.21389,,
1984-06-20,0.21389,0.21389,0.21389,0.21389,207000,0.21389,,
1984-06-21,0.21389,0.21389,0.21389,0.21389,108000,0.21389,,
1984-06-22,0.21389,0.21389,0.21389,0.21389,148500,0.21389,,
1984-06-25,0.21111,0.21111,0.21111,0.21111,108000,0.21111,,
1984-06-26,0.20555,0.20555,0.20555,0.20555,153000,0.20555,,
1984-06-27,0.20555,0.20555,0.20555,0.20555,27000,0.20555,,
1984-06-28,0.2,0.2,0.2,0.2,603000,0.2,,
1984-06-29,0.2,0.2,0.2,0.2,36000,0.2,,
1984-07-02,0.2,0.2,0.2,0.2,36000,0.2,,
1984-07-03,0.18889,0.18889,0.18889,0.18889,90000,0.18889,,
1984-07-05,0.18889,0.18889,0.18889,0.18889,40500,0.18889,,
1984-07-06,0.18889,0.18889,0.18889,0.18889,45000,0.18889,,
1984-07-09,0.18333,0.18333,0.18333,0.18333,67500,0.18333,,
1984-07-10,0.18333,0.18333,0.18333,0.18333,9000,0.18333,,
1984-07-11,0.18611,0.18611,0.18611,0.18611,481500,0.18611,,
1984-07-12,0.18611,0.18611,0.18611,0.18611,3829500,0.18611,,
1984-07-13,0.18611,0.18611,0.18611,0.18611,450000,0.18611,,
1984-07-16,0.18611,0.18611,0.18611,0.18611,445500,0.18611,,
1984-07-17,0.18611,0.18611,0.18611,0.18611,13500,0.18611,,
1984-07-18,0.18889,0.18889,0.18889,0.18889,27000,0.18889,,
1984-07-19,0.19167,0.19167,0.19167,0.19167,747000,0.19167,,
1984-07-20,0.19167,0.19167,0.19167,0.19167,135000,0.19167,,
1984-07-23,0.19167,0.19167,0.19167,0.19167,117000,0.19167,,
1984-07-24,0.19167,0.19167,0.19167,0.19167,49500,0.19167,,
1984-07-25,0.19167,0.19167,0.19167,0.19167,90000,0.19167,,
1984-07-26,0.19167,0.19167,0.19167,0.19167,13500,0.19167,,
1984-07-27,0.19167,0.19167,0.19167,0.19167,130500,0.19167,,
1984-07-30,0.18889,0.18889,0.18889,0.18889,261000,0.18889,,
1984-07-31,0.18889,0.18889,0.18889,0.18889,22500,0.18889,,
1984-08-01,0.18889,0.18889,0.18889,0.18889,135000,0.18889,,
1984-08-02,0.19167,0.19167,0.19167,0.19167,1129500,0.19167,,
1984-08-03,0.20278,0.20278,0.20278,0.20278,1777500,0.20278,,
1984-08-06,0.21389,0.21389,0.21389,0.21389,562500,0.21389,,
1984-08-07,0.21111,0.21111,0.21111,0.21111,387000,0.21111,,
1984-08-08,0.21111,0.21111,0.21111,0.21111,157500,0.21111,,
1984-08-09,0.21111,0.21111,0.21111,0.21111,1111500,0.21111,,
1984-08-10,0.21111,0.21111,0.21111,0.21111,1593000,0.21111,,
1984-08-13,0.21667,0.21667,0.21667,0.21667,495000,0.21667,,
1984-08-14,0.21667,0.21667,0.21667,0.21667,108000,0.21667,,
1984-08-15,0.21667,0.21667,0.21667,0.21667,796500,0.21667,,
1984-08-16,0.21667,0.21667,0.21667,0.21667,1062000,0.21667,,
1984-08-17,0.21667,0.21667,0.21667,0.21667,409500,0.21667,,
1984-08-20,0.21667,0.21667,0.21667,0.21667,297000,0.21667,,
1984-08-21,0.21667,0.21667,0.21667,0.21667,580500,0.21667,,
1984-08-22,0.22778,0.22778,0.22778,0.22778,6295500,0.22778,,
1984-08-23,0.22222,0.22222,0.22222,0.22222,373500,0.22222,,
1984-08-24,0.22222,0.22222,0.22222,0.22222,171000,0.22222,,
1984-08-27,0.21667,0.21667,0.21667,0.21667,337500,0.21667,,
1984-08-28,0.21667,0.21667,0.21667,0.21667,130500,0.21667,,
1984-08-29,0.21667,0.21667,0.21667,0.21667,148500,0.21667,,
1984-08-30,0.21944,0.21944,0.21944,0.21944,1921500,0.21944,,
1984-08-31,0.21944,0.21944,0.21944,0.21944,76500,0.21944,,
1984-09-04,0.22222,0.22222,0.22222,0.22222,436500,0.22222,,
1984-09-05,0.22222,0.22222,0.22222,0.22222,1903500,0.22222,,
1984-09-06,0.22222,0.22222,0.22222,0.22222,117000,0.22222,,
1984-09-07,0.23611,0.23611,0.23611,0.23611,1363500,0.23611,,
1984-09-10,0.23611,0.23611,0.23611,0.23611,643500,0.23611,,
1984-09-11,0.24167,0.24167,0.24167,0.24167,2092500,0.24167,,
1984-09-12,0.24444,0.24444,0.24444,0.24444,328500,0.24444,,
1984-09-13,0.25278,0.25278,0.25278,0.25278,1422000,0.25278,,
1984-09-14,0.25833,0.25833,0.25833,0.25833,8199020,0.25833,,
1984-09-17,0.26389,0.26389,0.26389,0.26389,2074500,0.26389,,
1984-09-18,0.26389,0.26389,0.26389,0.26389,1570500,0.26389,,
1984-09-19,0.26389,0.26389,0.26389,0.26389,913500,0.26389,,
1984-09-20,0.23889,0.23889,0.23889,0.23889,4104010,0.23889,,
1984-09-21,0.23889,0.23889,0.23889,0.23889,3973500,0.23889,,
1984-09-24,0.23889,0.23889,0.23889,0.23889,3474000,0.23889,,
1984-09-25,0.22222,0.22222,0.22222,0.22222,985500,0.22222,,
1984-09-26,0.21944,0.21944,0.21944,0.21944,666000,0.21944,,
1984-09-27,0.21389,0.21389,0.21389,0.21389,1998000,0.21389,,
1984-09-28,0.2,0.2,0.2,0.2,720000,0.2,,
1984-10-01,0.19444,0.19444,0.19444,0.19444,306000,0.19444,,
1984-10-02,0.18889,0.18889,0.18889,0.18889,4797010,0.18889,,
1984-10-03,0.18889,0.18889,0.18889,0.18889,31500,0.18889,,
1984-10-04,0.18611,0.18611,0.18611,0.18611,72000,0.18611,,
1984-10-05,0.18611,0.18611,0.18611,0.18611,333000,0.18611,,
1984-10-08,0.18611,0.18611,0.18611,0.18611,45000,0.18611,,
1984-10-09,0.18611,0.18611,0.18611,0.18611,4950010,0.18611,,
1984-10-10,0.18611,0.18611,0.18611,0.18611,238500,0.18611,,
1984-10-11,0.18611,0.18611,0.18611,0.18611,711000,0.18611,,
1984-10-12,0.18611,0.18611,0.18611,0.18611,270000,0.18611,,
1984-10-15,0.17778,0.17778,0.17778,0.17778,535500,0.17778,,
1984-10-16,0.17222,0.17222,0.17222,0.17222,504000,0.17222,,
1984-10-17,0.16667,0.16667,0.16667,0.16667,967500,0.16667,,
1984-10-18,0.16667,0.16667,0.16667,0.16667,981000,0.16667,,
1984-10-19,0.16667,0.16667,0.16667,0.16667,684000,0.16667,,
1984-10-22,0.16667,0.16667,0.16667,0.16667,310500,0.16667,,
1984-10-23,0.16667,0.16667,0.16667,0.16667,184500,0.16667,,
1984-10-24,0.16667,0.16667,0.16667,0.16667,958500,0.16667,,
1984-10-25,0.16667,0.16667,0.16667,0.16667,247500,0.16667,,
1984-10-26,0.16667,0.16667,0.16667,0.16667,63000,0.16667,,
1984-10-29,0.16667,0.16667,0.16667,0.16667,1665000,0.16667,,
1984-10-30,0.17778,0.17778,0.17778,0.17778,7677010,0.17778,,
1984-10-31,0.18055,0.18055,0.18055,0.18055,432000,0.18055,,
1984-11-01,0.18333,0.18333,0.18333,0.18333,792000,0.18333,,
1984-11-02,0.18333,0.18333,0.18333,0.18333,7843510,0.18333,,
1984-11-05,0.19167,0.19167,0.19167,0.19167,544500,0.19167,,
1984-11-06,0.18889,0.18889,0.18889,0.18889,121500,0.18889,,
1984-11-07,0.18889,0.18889,0.18889,0.18889,81000,0.18889,,
1984-11-08,0.18889,0.18889,0.18889,0.18889,157500,0.18889,,
1984-11-09,0.18889,0.18889,0.18889,0.18889,927000,0.18889,,
1984-11-12,0.19167,0.19167,0.19167,0.19167,531000,0.19167,,
1984-11-13,0.19444,0.19444,0.19444,0.19444,414000,0.19444,,
1984-11-14,0.19444,0.19444,0.19444,0.19444,508500,0.19444,,
1984-11-15,0.19444,0.19444,0.19444,0.19444,400500,0.19444,,
1984-11-16,0.19444,0.19444,0.19444,0.19444,81000,0.19444,,
1984-11-19,0.19444,0.19444,0.19444,0.19444,886500,0.19444,,
1984-11-20,0.19167,0.19167,0.19167,0.19167,796500,0.19167,,
1984-11-21,0.18055,0.18055,0.18055,0.18055,274500,0.18055,,
1984-11-23,0.18055,0.18055,0.18055,0.18055,76500,0.18055,,
1984-11-26,0.18055,0.18055,0.18055,0.18055,1030500,0.18055,,
1984-11-27,0.18055,0.18055,0.18055,0.18055,36000,0.18055,,
1984-11-28,0.18333,0.18333,0.18333,0.18333,567000,0.18333,,
1984-11-29,0.18333,0.18333,0.18333,0.18333,423000,0.18333,,
1984-11-30,0.18333,0.18333,0.18333,0.18333,1138500,0.18333,,
1984-12-03,0.18333,0.18333,0.18333,0.18333,148500,0.18333,,
1984-12-04,0.18333,0.18333,0.18333,0.18333,391500,0.18333,,
1984-12-05,0.18333,0.18333,0.18333,0.18333,112500,0.18333,,
1984-12-06,0.18611,0.18611,0.18611,0.18611,238500,0.18611,,
1984-12-07,0.18889,0.18889,0.18889,0.18889,67500,0.18889,,
1984-12-10,0.18889,0.18889,0.18889,0.18889,189000,0.18889,,
1984-12-11,0.18889,0.18889,0.18889,0.18889,108000,0.18889,,
1984-12-12,0.18889,0.18889,0.18889,0.18889,135000,0.18889,,
1984-12-13,0.18889,0.18889,0.18889,0.18889,319500,0.18889,,
1984-12-14,0.18333,0.18333,0.18333,0.18333,31500,0.18333,,
1984-12-17,0.18333,0.18333,0.18333,0.18333,292500,0.18333,,
1984-12-18,0.18611,0.18611,0.18611,0.18611,949500,0.18611,,
1984-12-19,0.18333,0.18333,0.18333,0.18333,274500,0.18333,,
1984-12-20,0.175,0.175,0.175,0.175,4072510,0.175,,
1984-12-21,0.17222,0.17222,0.17222,0.17222,972000,0.17222,,
1984-12-24,0.17222,0.17222,0.17222,0.17222,18000,0.17222,,
1984-12-26,0.17222,0.17222,0.17222,0.17222,76500,0.17222,,
1984-12-27,0.175,0.175,0.175,0.175,994500,0.175,,
1984-12-28,0.18333,0.18333,0.18333,0.18333,1750500,0.18333,,
1984-12-31,0.18333,0.18333,0.18333,0.18333,301500,0.18333,,
1985-01-02,0.18333,0.18333,0.18333,0.18333,927000,0.18333,,
1985-01-03,0.18055,0.18055,0.18055,0.18055,139500,0.18055,,
1985-01-04,0.17222,0.17222,0.17222,0.17222,306000,0.17222,,
1985-01-07,0.15555,0.15555,0.15555,0.15555,414000,0.15555,,
1985-01-08,0.14722,0.14722,0.14722,0.14722,270000,0.14722,,
1985-01-09,0.15278,0.15278,0.15278,0.15278,1890000,0.15278,,
1985-01-10,0.15833,0.15833,0.15833,0.15833,94500,0.15833,,
1985-01-11,0.16111,0.16111,0.16111,0.16111,562500,0.16111,,
1985-01-14,0.17222,0.17222,0.17222,0.17222,1597500,0.17222,,
1985-01-15,0.18055,0.18055,0.18055,0.18055,1588500,0.18055,,
1985-01-16,0.18611,0.18611,0.18611,0.18611,1494000,0.18611,,
1985-01-17,0.19167,0.19167,0.19167,0.19167,2115000,0.19167,,
1985-01-18,0.2,0.2,0.2,0.2,2218500,0.2,,
1985-01-21,0.2,0.2,0.2,0.2,1314000,0.2,,
1985-01-22,0.19722,0.19722,0.19722,0.19722,693000,0.19722,,
1985-01-23,0.2,0.2,0.2,0.2,724500,0.2,,
1985-01-24,0.22222,0.22222,0.22222,0.22222,1354500,0.22222,,
1985-01-25,0.23611,0.23611,0.23611,0.23611,2308500,0.23611,,
1985-01-28,0.21944,0.21944,0.21944,0.21944,3591000,0.21944,,
1985-01-29,0.22778,0.22778,0.22778,0.22778,2902500,0.22778,,
1985-01-30,0.23333,0.23333,0.23333,0.23333,2983500,0.23333,,
1985-01-31,0.23333,0.23333,0.23333,0.23333,769500,0.23333,,
1985-02-01,0.22778,0.22778,0.22778,0.22778,468000,0.22778,,
1985-02-04,0.23055,0.23055,0.23055,0.23055,1962000,0.23055,,
1985-02-05,0.23611,0.23611,0.23611,0.23611,7551010,0.23611,,
1985-02-06,0.25833,0.25833,0.25833,0.25833,3132000,0.25833,,
1985-02-07,0.26389,0.26389,0.26389,0.26389,5616020,0.26389,,
1985-02-08,0.26389,0.26389,0.26389,0.26389,1233000,0.26389,,
1985-02-11,0.26111,0.26111,0.26111,0.26111,616500,0.26111,,
1985-02-12,0.25555,0.25555,0.25555,0.25555,1336500,0.25555,,
1985-02-13,0.25555,0.25555,0.25555,0.25555,2227500,0.25555,,
1985-02-14,0.24722,0.24722,0.24722,0.24722,2020500,0.24722,,
1985-02-15,0.25,0.25,0.25,0.25,787500,0.25,,
1985-02-19,0.25,0.25,0.25,0.25,895500,0.25,,
1985-02-20,0.24167,0.24167,0.24167,0.24167,684000,0.24167,,
1985-02-21,0.23889,0.23889,0.23889,0.23889,517500,0.23889,,
1985-02-22,0.22778,0.22778,0.22778,0.22778,571500,0.22778,,
1985-02-25,0.22778,0.22778,0.22778,0.22778,805500,0.22778,,
1985-02-26,0.225,0.225,0.225,0.225,900000,0.225,,
1985-02-27,0.22222,0.22222,0.22222,0.22222,756000,0.22222,,
1985-02-28,0.23611,0.23611,0.23611,0.23611,3870000,0.23611,,
1985-03-01,0.24444,0.24444,0.24444,0.24444,6268500,0.24444,,
1985-03-04,0.25278,0.25278,0.25278,0.25278,3492000,0.25278,,
1985-03-05,0.25278,0.26667,0.25278,0.26111,7690510,0.25833,,
1985-03-06,0.26111,0.26667,0.26111,0.26111,1269000,0.2625,,
1985-03-07,0.26111,0.26111,0.25278,0.25555,4950010,0.25764,,
1985-03-08,0.25555,0.25555,0.24722,0.25278,1183500,0.25277,,
1985-03-11,0.25278,0.25278,0.23611,0.24722,2313000,0.24722,,
1985-03-12,0.24722,0.24722,0.23889,0.24444,3316500,0.24444,,
1985-03-13,0.24444,0.24444,0.23611,0.23611,603000,0.24028,,
1985-03-14,0.23611,0.24167,0.23611,0.24167,1269000,0.23889,,
1985-03-15,0.24167,0.24444,0.23889,0.24167,972000,0.24167,,
1985-03-18,0.24167,0.24167,0.23333,0.23611,774000,0.2382,,
1985-03-19,0.23611,0.23611,0.23055,0.23611,220500,0.23472,,
1985-03-20,0.23611,0.23611,0.22778,0.23055,2736000,0.23264,,
1985-03-21,0.23055,0.23055,0.22222,0.22222,315000,0.22639,,
1985-03-22,0.22222,0.23333,0.22222,0.22222,5026520,0.225,,
1985-03-25,0.22222,0.23055,0.22222,0.23055,1359000,0.22639,,
1985-03-26,0.23055,0.23055,0.22778,0.23055,1467000,0.22986,,
1985-03-27,0.23055,0.23055,0.22222,0.22778,2682000,0.22778,,
1985-03-28,0.225,0.225,0.21944,0.21944,355500,0.22222,,
1985-03-29,0.21944,0.225,0.21944,0.22222,1791000,0.22153,,
1985-04-01,0.22222,0.225,0.21944,0.22222,666000,0.22222,,
1985-04-02,0.22222,0.225,0.22222,0.22222,378000,0.22292,,
1985-04-03,0.225,0.22778,0.225,0.22778,184500,0.22639,,
1985-04-04,0.22778,0.22778,0.22222,0.22222,193500,0.225,,
1985-04-08,0.225,0.23055,0.225,0.225,585000,0.22639,,
1985-04-09,0.225,0.23055,0.22222,0.225,234000,0.22569,,
1985-04-10,0.225,0.225,0.21944,0.225,1188000,0.22361,,
1985-04-11,0.225,0.225,0.22222,0.225,216000,0.22431,,
1985-04-12,0.225,0.225,0.22222,0.22222,148500,0.22361,,
1985-04-15,0.22222,0.225,0.22222,0.225,85500,0.22361,,
1985-04-16,0.225,0.23333,0.22222,0.23333,720000,0.22847,,
1985-04-17,0.23333,0.23333,0.22778,0.22778,292500,0.23056,,
1985-04-18,0.23055,0.23333,0.23055,0.23055,108000,0.23125,,
1985-04-19,0.23055,0.23333,0.22778,0.22778,2763000,0.22986,,
1985-04-22,0.22778,0.22778,0.22222,0.22222,778500,0.225,,
1985-04-23,0.22222,0.225,0.21944,0.225,310500,0.22292,,
1985-04-24,0.225,0.225,0.22222,0.22222,202500,0.22361,,
1985-04-25,0.22222,0.225,0.22222,0.225,117000,0.22361,,
1985-04-26,0.225,0.225,0.22222,0.225,1215000,0.22431,,
1985-04-29,0.225,0.225,0.21389,0.21667,4189510,0.22014,,
1985-04-30,0.21667,0.21944,0.20833,0.21111,805500,0.21389,,
1985-05-01,0.21111,0.21111,0.20555,0.20555,1012500,0.20833,,
1985-05-02,0.20555,0.21111,0.20555,0.21111,238500,0.20833,,
1985-05-03,0.21111,0.21111,0.20555,0.20555,4000510,0.20833,,
1985-05-06,0.20555,0.21111,0.20278,0.20833,1354500,0.20694,,
1985-05-07,0.20833,0.21111,0.20278,0.21111,6165000,0.20833,,
1985-05-08,0.21111,0.21111,0.20555,0.21111,211500,0.20972,,
1985-05-09,0.21111,0.21667,0.20555,0.21667,1692000,0.2125,,
1985-05-10,0.21667,0.22222,0.21111,0.22222,1287000,0.21806,,
1985-05-13,0.22222,0.22222,0.21944,0.21944,747000,0.22083,,
1985-05-14,0.21944,0.22222,0.21944,0.22222,1116000,0.22083,,
1985-05-15,0.22222,0.22222,0.21667,0.21667,675000,0.21945,,
1985-05-16,0.21944,0.22222,0.21944,0.22222,1984500,0.22083,,
1985-05-17,0.22222,0.23611,0.21944,0.23333,3627000,0.22778,,
1985-05-20,0.23333,0.23611,0.23055,0.23055,801000,0.23264,,
1985-05-21,0.23055,0.23333,0.23055,0.23055,513000,0.23125,,
1985-05-22,0.23055,0.23055,0.225,0.22778,589500,0.22847,,
1985-05-23,0.22778,0.22778,0.22222,0.22778,1417500,0.22639,,
1985-05-24,0.22778,0.22778,0.22222,0.22222,1134000,0.225,,
1985-05-28,0.22222,0.225,0.22222,0.225,657000,0.22361,,
1985-05-29,0.225,0.225,0.21944,0.225,868500,0.22361,,
1985-05-30,0.225,0.225,0.21667,0.225,468000,0.22292,,
1985-05-31,0.22222,0.22222,0.21667,0.21667,283500,0.21945,,
