Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1993-03-19,0.35666,0.35666,0.31825,0.32648,90045169,0.33951,,
1993-03-22,0.31825,0.321,0.31002,0.31277,13600406,0.31551,,
1993-03-23,0.31277,0.31825,0.31002,0.31277,8301488,0.31345,,
1993-03-24,0.31825,0.321,0.31002,0.31825,3663225,0.31688,,
1993-03-25,0.32374,0.33472,0.321,0.33197,4250981,0.32786,,
1993-03-26,0.33472,0.35392,0.33197,0.34295,8315156,0.34089,,
1993-03-29,0.34843,0.34843,0.34295,0.34569,7362900,0.34638,,
1993-03-30,0.34569,0.35392,0.3402,0.35118,3809025,0.34775,,
1993-03-31,0.35666,0.35666,0.34569,0.35392,3321506,0.35323,,
1993-04-01,0.34843,0.35666,0.34569,0.35118,1421550,0.35049,,
1993-04-02,0.35666,0.35666,0.34569,0.35666,1904513,0.35392,,
1993-04-05,0.35666,0.35666,0.34569,0.35392,441956,0.35323,,
1993-04-06,0.35118,0.35392,0.34569,0.34569,874800,0.34912,,
1993-04-07,0.35392,0.35392,0.34569,0.35392,1366875,0.35186,,
1993-04-08,0.35392,0.35666,0.34569,0.35666,947700,0.35323,,
1993-04-12,0.35666,0.35666,0.34843,0.34843,186806,0.35255,,
1993-04-13,0.35666,0.37313,0.35118,0.36215,2022975,0.36078,,
1993-04-14,0.36215,0.39233,0.36215,0.37587,6187388,0.37313,,
1993-04-15,0.37861,0.37861,0.35666,0.36215,3544763,0.36901,,
1993-04-16,0.36764,0.37038,0.36215,0.36764,2063981,0.36695,,
1993-04-19,0.36764,0.36764,0.35392,0.35666,1672144,0.36147,,
1993-04-20,0.35666,0.35666,0.34569,0.35666,2360138,0.35392,,
1993-04-21,0.35118,0.37861,0.34569,0.37038,3166594,0.36147,,
1993-04-22,0.37313,0.40056,0.36764,0.38959,2984344,0.38273,,
1993-04-23,0.40056,0.41154,0.38959,0.41154,1868063,0.40331,,
1993-04-26,0.40605,0.42251,0.39507,0.41428,3521981,0.40948,,
1993-04-27,0.41428,0.43348,0.40879,0.43348,2916000,0.42251,,
1993-04-28,0.43348,0.46641,0.43348,0.46092,7900538,0.44857,,
1993-04-29,0.46092,0.46641,0.41702,0.43897,8214919,0.44583,,
1993-04-30,0.44995,0.46641,0.43897,0.46641,5216906,0.45544,,
1993-05-03,0.46092,0.47189,0.46092,0.47189,1795163,0.4664,,
1993-05-04,0.46641,0.47189,0.44995,0.44995,1612913,0.45955,,
1993-05-05,0.44995,0.46641,0.44995,0.45543,1025156,0.45544,,
1993-05-06,0.46641,0.46641,0.45543,0.46641,154913,0.46367,,
1993-05-07,0.46641,0.49384,0.46641,0.48836,1895400,0.47876,,
1993-05-10,0.48836,0.51579,0.48836,0.51579,5900344,0.50208,,
1993-05-11,0.51579,0.51579,0.49933,0.51579,2847656,0.51168,,
1993-05-12,0.51579,0.51579,0.50482,0.51579,1854394,0.51305,,
1993-05-13,0.51579,0.51579,0.48836,0.48836,2574281,0.50208,,
1993-05-14,0.48836,0.50482,0.48836,0.49384,2328244,0.49385,,
1993-05-17,0.49384,0.51579,0.49384,0.5103,596869,0.50344,,
1993-05-18,0.51579,0.53225,0.51579,0.53225,1931850,0.52402,,
1993-05-19,0.53225,0.53225,0.52128,0.52128,2009306,0.52676,,
1993-05-20,0.53774,0.53774,0.52128,0.52677,984150,0.53088,,
1993-05-21,0.53774,0.53774,0.52128,0.53774,369056,0.53362,,
1993-05-24,0.53225,0.53225,0.49384,0.50207,1590131,0.5151,,
1993-05-25,0.49933,0.50482,0.49933,0.50482,1170956,0.50208,,
1993-05-26,0.49933,0.51579,0.49933,0.51579,405506,0.50756,,
1993-05-27,0.50756,0.51579,0.49933,0.5103,1603800,0.50825,,
1993-05-28,0.49933,0.5103,0.49933,0.5103,223256,0.50482,,
1993-06-01,0.49933,0.5103,0.49933,0.49933,437400,0.50207,,
1993-06-02,0.5103,0.5103,0.49933,0.49933,132131,0.50482,,
1993-06-03,0.49933,0.5103,0.49933,0.49933,419175,0.50207,,
1993-06-04,0.49933,0.5103,0.46092,0.47189,2715525,0.48561,,
1993-06-07,0.47189,0.48287,0.46641,0.48287,2355581,0.47601,,
1993-06-08,0.47189,0.47189,0.428,0.44446,5039213,0.45406,,
1993-06-09,0.46092,0.47189,0.44446,0.46092,2269013,0.45955,,
1993-06-10,0.46092,0.47738,0.46092,0.47189,405506,0.46778,,
1993-06-11,0.48836,0.51579,0.48287,0.51579,1344094,0.5007,,
1993-06-14,0.51579,0.53774,0.50482,0.53225,7176094,0.52265,,
1993-06-15,0.53774,0.54323,0.52677,0.53774,2114100,0.53637,,
1993-06-16,0.54323,0.58712,0.53774,0.58164,4948088,0.56243,,
1993-06-17,0.57615,0.58164,0.57066,0.58164,5836556,0.57752,,
1993-06-18,0.57066,0.58164,0.57066,0.57889,883913,0.57546,,
1993-06-21,0.59261,0.62553,0.57615,0.61456,1918181,0.60221,,
1993-06-22,0.62553,0.66943,0.60359,0.60907,4446900,0.6269,,
1993-06-23,0.63651,0.63651,0.62005,0.63651,4355775,0.63239,,
1993-06-24,0.63651,0.67492,0.61456,0.65846,1622025,0.64611,,
1993-06-25,0.66943,0.66943,0.65297,0.65297,2788425,0.6612,,
1993-06-28,0.65571,0.66394,0.65297,0.65297,765450,0.6564,,
1993-06-29,0.66394,0.66394,0.63651,0.63651,697106,0.65023,,
1993-06-30,0.62553,0.642,0.62553,0.642,209588,0.63377,0.0067,95.82089552238806
1993-07-01,0.62553,0.63651,0.62553,0.62553,250594,0.62828,0.0067,93.36268656716418
1993-07-02,0.642,0.642,0.62005,0.63651,1521788,0.63514,0.0067,95.00149253731344
1993-07-06,0.62005,0.63651,0.62005,0.62005,328050,0.62417,0.0067,92.54477611940298
1993-07-07,0.63651,0.63651,0.61456,0.61456,747225,0.62553,0.0067,91.72537313432835
1993-07-08,0.61456,0.63102,0.61456,0.63102,893025,0.62279,0.0067,94.1820895522388
1993-07-09,0.63102,0.63102,0.61456,0.62553,865688,0.62553,0.0067,93.36268656716418
1993-07-12,0.63651,0.63651,0.61456,0.63102,1385100,0.62965,0.0067,94.1820895522388
1993-07-13,0.63102,0.63102,0.61456,0.61456,1635694,0.62279,0.0067,91.72537313432835
1993-07-14,0.65297,0.6804,0.63376,0.66394,23564925,0.65777,0.0067,99.09552238805969
1993-07-15,0.66394,0.66943,0.63651,0.64748,5089331,0.65434,0.0067,96.63880597014926
1993-07-16,0.63651,0.64748,0.5981,0.60359,5576850,0.62142,0.0067,90.08805970149253
1993-07-19,0.60359,0.61456,0.58712,0.58712,1813388,0.5981,0.0067,87.62985074626864
1993-07-20,0.60359,0.60359,0.58164,0.58164,15468469,0.59262,0.0067,86.81194029850747
1993-07-21,0.58164,0.60359,0.58164,0.60359,628763,0.59262,0.0067,90.08805970149253
1993-07-22,0.60359,0.61456,0.58712,0.61456,4943531,0.60496,0.0067,91.72537313432835
1993-07-23,0.61456,0.61456,0.60359,0.60359,15372788,0.60908,0.0067,90.08805970149253
1993-07-26,0.60359,0.62553,0.60359,0.62553,3932044,0.61456,0.0067,93.36268656716418
1993-07-27,0.62553,0.62553,0.60907,0.62553,4870631,0.62141,0.0067,93.36268656716418
1993-07-28,0.62553,0.62553,0.60907,0.60907,36450,0.6173,0.0067,90.90597014925373
1993-07-29,0.60907,0.63102,0.60907,0.61456,9276525,0.61593,0.0067,91.72537313432835
1993-07-30,0.62553,0.63651,0.61456,0.62553,1403325,0.62553,0.0067,93.36268656716418
1993-08-02,0.61456,0.642,0.61456,0.642,4542581,0.62828,0.0067,95.82089552238806
1993-08-03,0.62005,0.642,0.62005,0.62005,328050,0.62554,0.0067,92.54477611940298
1993-08-04,0.642,0.642,0.62005,0.642,123019,0.63651,0.0067,95.82089552238806
1993-08-05,0.642,0.64748,0.62553,0.642,874800,0.63925,0.0067,95.82089552238806
1993-08-06,0.63102,0.67492,0.63102,0.67492,1421550,0.65297,0.0067,100.73432835820894
1993-08-09,0.67492,0.67492,0.65297,0.65846,1098056,0.66532,0.0067,98.27761194029851
1993-08-10,0.65846,0.6804,0.65846,0.67217,2264456,0.66737,0.0067,100.32388059701493
1993-08-11,0.6804,0.68589,0.64748,0.64748,3371625,0.66531,0.0067,96.63880597014926
1993-08-12,0.65846,0.75174,0.65846,0.73528,16643981,0.70099,0.0067,109.74328358208956
1993-08-13,0.7682,0.82856,0.75174,0.79838,7299113,0.78672,0.0067,119.16119402985073
1993-08-16,0.80112,0.81758,0.78466,0.8121,2966119,0.80387,0.0067,121.2089552238806
1993-08-17,0.8121,0.81758,0.79015,0.8121,2177806,0.80798,0.0067,121.2089552238806
1993-08-18,0.81758,0.84502,0.8121,0.84502,13149338,0.82993,0.0067,126.12238805970149
1993-08-19,0.87245,0.87245,0.84502,0.85325,6588338,0.86079,0.0067,127.3507462686567
1993-08-20,0.84502,0.86697,0.83404,0.85051,7850419,0.84914,0.0067,126.94179104477611
1993-08-23,0.85599,0.85599,0.83404,0.84502,2478600,0.84776,0.0067,126.12238805970149
1993-08-24,0.83404,0.92733,0.83404,0.91635,6018806,0.87794,0.0067,136.7686567164179
1993-08-25,0.9383,1.04,0.92733,0.97122,24394163,0.96921,0.0067,144.95820895522388
1993-08-26,0.98768,1.03,0.96025,1.02,6647569,0.99948,0.0067,152.23880597014926
1993-08-27,1.02,1.05,1.0,1.04,5663419,1.0275,0.0067,155.22388059701493
1993-08-30,1.04,1.05,1.0,1.05,4346663,1.035,0.0067,156.71641791044777
1993-08-31,1.04,1.05,1.01,1.02,4196306,1.03,0.0067,152.23880597014926
1993-09-01,1.0,1.02,0.91635,0.99866,11490863,0.98375,0.0067,149.05373134328357
1993-09-02,0.99866,1.05,0.98768,1.04,22731131,1.01909,0.0067,155.22388059701493
1993-09-03,1.05,1.11,1.05,1.09,12998981,1.075,0.0067,162.6865671641791
1993-09-07,1.1,1.15,1.09,1.12,7563375,1.115,0.0067,167.16417910447763
1993-09-08,1.09,1.1,1.05,1.08,7435800,1.08,0.0067,161.19402985074626
1993-09-09,1.06,1.08,1.03,1.05,7135088,1.055,0.0067,156.71641791044777
1993-09-10,1.05,1.06,1.05,1.06,6574669,1.055,0.0067,158.2089552238806
1993-09-13,1.06,1.08,1.04,1.05,3257719,1.0575,0.0067,156.71641791044777
1993-09-14,1.08,1.08,0.98768,1.05,4405894,1.04942,0.0067,156.71641791044777
1993-09-15,1.05,1.06,0.9822,1.05,8873297,1.03555,0.0067,156.71641791044777
1993-09-16,1.06,1.09,1.03,1.03,3941156,1.0525,0.0067,153.73134328358208
1993-09-17,1.03,1.04,1.01,1.04,3713344,1.03,0.0067,155.22388059701493
1993-09-20,1.05,1.09,1.03,1.05,4011778,1.055,0.0067,156.71641791044777
1993-09-21,1.08,1.09,1.02,1.06,7130531,1.0625,0.0067,158.2089552238806
1993-09-22,1.09,1.09,1.05,1.07,4528913,1.075,0.0067,159.70149253731344
1993-09-23,1.09,1.09,1.03,1.08,3977606,1.0725,0.0067,161.19402985074626
1993-09-24,1.05,1.09,1.05,1.06,3225825,1.0625,0.0067,158.2089552238806
1993-09-27,1.05,1.09,1.04,1.04,7636275,1.055,0.0067,155.22388059701493
1993-09-28,1.04,1.06,1.01,1.03,3977606,1.035,0.0067,153.73134328358208
1993-09-29,1.03,1.13,1.01,1.12,24161794,1.0725,0.0067,167.16417910447763
1993-09-30,1.17,1.17,1.1,1.14,10035141,1.145,0.0133,85.71428571428571
1993-10-01,1.14,1.2,1.11,1.2,11185594,1.1625,0.0133,90.22556390977444
1993-10-04,1.2,1.22,1.14,1.14,3285056,1.175,0.0133,85.71428571428571
1993-10-05,1.16,1.16,1.06,1.14,5191847,1.13,0.0133,85.71428571428571
1993-10-06,1.14,1.16,1.13,1.14,6369638,1.1425,0.0133,85.71428571428571
1993-10-07,1.16,1.16,1.13,1.15,3672338,1.15,0.0133,86.46616541353383
1993-10-08,1.13,1.23,1.13,1.22,9044156,1.1775,0.0133,91.72932330827068
1993-10-11,1.23,1.29,1.18,1.25,8836847,1.2375,0.0133,93.98496240601504
1993-10-12,1.27,1.36,1.25,1.36,12684600,1.31,0.0133,102.25563909774438
1993-10-13,1.56,1.56,1.49,1.5,24031941,1.5275,0.0133,112.78195488721805
1993-10-14,1.5,1.51,1.42,1.49,11504531,1.48,0.0133,112.03007518796993
1993-10-15,1.5,1.54,1.48,1.5,3986719,1.505,0.0133,112.78195488721805
1993-10-18,1.5,1.5,1.43,1.43,11928263,1.465,0.0133,107.5187969924812
1993-10-19,1.45,1.45,1.32,1.32,6918666,1.385,0.0133,99.24812030075189
1993-10-20,1.32,1.35,1.31,1.31,6478988,1.3225,0.0133,98.49624060150377
1993-10-21,1.33,1.33,1.21,1.28,7107750,1.2875,0.0133,96.24060150375941
1993-10-22,1.28,1.35,1.25,1.34,7545150,1.305,0.0133,100.75187969924814
1993-10-25,1.34,1.34,1.28,1.31,2583394,1.3175,0.0133,98.49624060150377
1993-10-26,1.27,1.34,1.27,1.33,2558334,1.3025,0.0133,100.00000000000001
1993-10-27,1.33,1.44,1.33,1.42,6561000,1.38,0.0133,106.76691729323308
1993-10-28,1.44,1.45,1.4,1.4,2781591,1.4225,0.0133,105.26315789473684
1993-10-29,1.43,1.44,1.4,1.4,2054869,1.4175,0.0133,105.26315789473684
1993-11-01,1.43,1.44,1.38,1.42,1501284,1.4175,0.0133,106.76691729323308
1993-11-02,1.45,1.48,1.44,1.45,7123697,1.455,0.0133,109.02255639097744
1993-11-03,1.48,1.48,1.45,1.45,2300906,1.465,0.0133,109.02255639097744
1993-11-04,1.45,1.48,1.45,1.46,5048325,1.46,0.0133,109.77443609022556
1993-11-05,1.44,1.5,1.43,1.48,4440066,1.4625,0.0133,111.2781954887218
1993-11-08,1.5,1.5,1.47,1.48,2808928,1.4875,0.0133,111.2781954887218
1993-11-09,1.5,1.53,1.48,1.52,28011825,1.5075,0.0133,114.28571428571429
1993-11-10,1.53,1.62,1.51,1.6,13848722,1.565,0.0133,120.30075187969926
1993-11-11,1.66,1.67,1.57,1.59,6472153,1.6225,0.0133,119.54887218045114
1993-11-12,1.58,1.59,1.51,1.55,2615288,1.5575,0.0133,116.54135338345866
1993-11-15,1.55,1.55,1.48,1.51,6378750,1.5225,0.0133,113.53383458646617
1993-11-16,1.51,1.53,1.47,1.49,4847850,1.5,0.0133,112.03007518796993
1993-11-17,1.49,1.49,1.46,1.47,1877175,1.4775,0.0133,110.52631578947368
1993-11-18,1.48,1.48,1.38,1.4,5055159,1.435,0.0133,105.26315789473684
1993-11-19,1.38,1.42,1.31,1.33,6458484,1.36,0.0133,100.00000000000001
1993-11-22,1.31,1.33,1.19,1.23,6043866,1.265,0.0133,92.4812030075188
1993-11-23,1.24,1.31,1.23,1.24,9490669,1.255,0.0133,93.23308270676692
1993-11-24,1.28,1.35,1.26,1.34,3059522,1.3075,0.0133,100.75187969924814
1993-11-26,1.35,1.44,1.34,1.42,1656197,1.3875,0.0133,106.76691729323308
1993-11-29,1.46,1.46,1.39,1.39,1858950,1.425,0.0133,104.51127819548871
1993-11-30,1.42,1.43,1.36,1.4,7447191,1.4025,0.0133,105.26315789473684
1993-12-01,1.43,1.47,1.39,1.45,4531191,1.435,0.0133,109.02255639097744
1993-12-02,1.47,1.47,1.44,1.45,1268916,1.4575,0.0133,109.02255639097744
1993-12-03,1.48,1.68,1.47,1.64,9914400,1.5675,0.0133,123.30827067669173
1993-12-06,1.51,1.59,1.51,1.56,6987009,1.5425,0.0133,117.29323308270678
1993-12-07,1.59,1.61,1.56,1.58,3166594,1.585,0.0133,118.79699248120302
1993-12-08,1.6,1.6,1.55,1.56,1075275,1.5775,0.0133,117.29323308270678
1993-12-09,1.53,1.55,1.5,1.55,2291794,1.5325,0.0133,116.54135338345866
1993-12-10,1.56,1.6,1.53,1.58,2722359,1.5675,0.0133,118.79699248120302
1993-12-13,1.58,1.59,1.57,1.57,2754253,1.5775,0.0133,118.0451127819549
1993-12-14,1.57,1.59,1.53,1.53,4720275,1.555,0.0133,115.03759398496241
1993-12-15,1.53,1.56,1.51,1.54,3376181,1.535,0.0133,115.78947368421053
1993-12-16,1.54,1.57,1.53,1.55,824681,1.5475,0.0133,116.54135338345866
1993-12-17,1.57,1.65,1.56,1.62,6460763,1.6,0.0133,121.8045112781955
1993-12-20,1.65,1.66,1.62,1.63,1246134,1.64,0.0133,122.55639097744361
1993-12-21,1.65,1.65,1.58,1.58,2690466,1.615,0.0133,118.79699248120302
1993-12-22,1.6,1.6,1.56,1.59,2897775,1.5875,0.0133,119.54887218045114
1993-12-23,1.59,1.59,1.56,1.59,1799719,1.5825,0.0133,119.54887218045114
1993-12-27,1.56,1.59,1.54,1.55,1068441,1.56,0.0133,116.54135338345866
1993-12-28,1.54,1.56,1.5,1.54,3578934,1.535,0.0133,115.78947368421053
1993-12-29,1.53,1.64,1.53,1.64,3362513,1.585,0.0133,123.30827067669173
1993-12-30,1.64,1.66,1.6,1.66,1788328,1.64,0.0133,124.81203007518798
1993-12-31,1.66,1.71,1.64,1.71,2970675,1.68,0.0167,102.39520958083833
1994-01-03,1.69,1.69,1.57,1.62,4392225,1.6425,0.0167,97.0059880239521
1994-01-04,1.54,1.59,1.45,1.57,7914206,1.5375,0.0167,94.0119760479042
1994-01-05,1.56,1.57,1.54,1.56,4335272,1.5575,0.0167,93.41317365269461
1994-01-06,1.56,1.56,1.47,1.51,2861325,1.525,0.0167,90.41916167664671
1994-01-07,1.48,1.56,1.44,1.54,3822694,1.505,0.0167,92.21556886227545
