Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1986-03-13,0.097223,0.10156,0.088543,0.097223,1031788800,0.09613725,0.005,19.4446
1986-03-14,0.097223,0.10243,0.097223,0.1007,308160000,0.099394,0.005,20.14
1986-03-17,0.1007,0.1033,0.1007,0.10243,133171200,0.10178,0.005,20.485999999999997
1986-03-18,0.10243,0.1033,0.098959,0.099827,67766400,0.10113,0.005,19.9654
1986-03-19,0.099827,0.1007,0.097223,0.098091,47894400,0.09896025,0.005,19.618199999999998
1986-03-20,0.098091,0.098091,0.094619,0.095487,58435200,0.096572,0.005,19.0974
1986-03-21,0.095487,0.097223,0.091147,0.092883,59990400,0.094185,0.005,18.5766
1986-03-24,0.092883,0.092883,0.089411,0.090279,65289600,0.091364,0.005,18.055799999999998
1986-03-25,0.090279,0.092015,0.089411,0.092015,32083200,0.09093,0.005,18.403
1986-03-26,0.092015,0.095487,0.091147,0.094619,22752000,0.093317,0.005,18.9238
1986-03-27,0.094619,0.096355,0.094619,0.096355,16848000,0.095487,0.005,19.270999999999997
1986-03-31,0.096355,0.096355,0.093751,0.095487,12873600,0.095487,0.005,19.0974
1986-04-01,0.095487,0.095487,0.094619,0.094619,11088000,0.095053,0.005,18.9238
1986-04-02,0.094619,0.097223,0.094619,0.095487,27014400,0.095487,0.005,19.0974
1986-04-03,0.096355,0.098959,0.096355,0.096355,23040000,0.097006,0.005,19.270999999999997
1986-04-04,0.096355,0.097223,0.096355,0.096355,26582400,0.096572,0.005,19.270999999999997
1986-04-07,0.096355,0.097223,0.092883,0.094619,16560000,0.09527,0.005,18.9238
1986-04-08,0.094619,0.097223,0.094619,0.095487,10252800,0.095487,0.005,19.0974
1986-04-09,0.095487,0.098091,0.095487,0.097223,12153600,0.096572,0.005,19.4446
1986-04-10,0.097223,0.098959,0.095487,0.098091,13881600,0.09744,0.005,19.618199999999998
1986-04-11,0.098959,0.10156,0.098959,0.099827,17222400,0.09982625,0.005,19.9654
1986-04-14,0.099827,0.10156,0.099827,0.1007,12153600,0.10048,0.005,20.14
1986-04-15,0.1007,0.1007,0.097223,0.1007,9302400,0.09983075,0.005,20.14
1986-04-16,0.1007,0.10504,0.099827,0.10417,31910400,0.10243,0.005,20.834
1986-04-17,0.10417,0.10504,0.10417,0.10504,22003200,0.10461,0.005,21.008
1986-04-18,0.10504,0.10504,0.1007,0.10156,21628800,0.10308,0.005,20.311999999999998
1986-04-21,0.10156,0.10243,0.098959,0.10156,22924800,0.10113,0.005,20.311999999999998
1986-04-22,0.10156,0.10156,0.099827,0.099827,15552000,0.10069,0.005,19.9654
1986-04-23,0.099827,0.1007,0.098959,0.10026,15609600,0.0999365,0.005,20.052
1986-04-24,0.10026,0.11198,0.099827,0.11024,62352000,0.10558,0.005,22.048000000000002
1986-04-25,0.11111,0.12196,0.11111,0.11719,85795200,0.11534,0.005,23.438
1986-04-28,0.11719,0.11893,0.11632,0.11806,28886400,0.11763,0.005,23.612
1986-04-29,0.11806,0.11806,0.11372,0.11458,30326400,0.11611,0.005,22.916
1986-04-30,0.11458,0.11545,0.10938,0.11198,30902400,0.11285,0.005,22.395999999999997
1986-05-01,0.11198,0.11198,0.10851,0.11024,54345600,0.11068,0.005,22.048000000000002
1986-05-02,0.11024,0.11198,0.10938,0.11024,20246400,0.11046,0.005,22.048000000000002
1986-05-05,0.11024,0.11024,0.10938,0.10938,3254400,0.10981,0.005,21.876
1986-05-06,0.11024,0.11198,0.11024,0.11024,9734400,0.11068,0.005,22.048000000000002
1986-05-07,0.11024,0.11111,0.10851,0.11024,5155200,0.11003,0.005,22.048000000000002
1986-05-08,0.11024,0.11111,0.10938,0.11111,3542400,0.11046,0.005,22.222
1986-05-09,0.11111,0.11111,0.11024,0.11024,6076800,0.11068,0.005,22.048000000000002
1986-05-12,0.11024,0.11372,0.11024,0.11111,10483200,0.11133,0.005,22.222
1986-05-13,0.11111,0.11285,0.11111,0.11198,3830400,0.11176,0.005,22.395999999999997
1986-05-14,0.11198,0.11198,0.11111,0.11111,9302400,0.11155,0.005,22.222
