Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
1984-06-01,1.41,1.41,1.41,1.41,7340000,1.41,,
1984-06-04,1.41,1.41,1.41,1.41,4067000,1.41,,
1984-06-05,1.4,1.4,1.4,1.4,2089000,1.4,,
1984-06-06,1.48,1.48,1.48,1.48,1894000,1.48,,
1984-06-07,1.64,1.64,1.64,1.64,2078000,1.64,,
1984-06-08,1.74,1.74,1.74,1.74,2227000,1.74,,
1984-06-11,1.63,1.63,1.63,1.63,1219000,1.63,,
1984-06-12,1.61,1.61,1.61,1.61,670000,1.61,,
1984-06-13,1.69,1.69,1.69,1.69,1339000,1.69,,
1984-06-14,1.64,1.64,1.64,1.64,680000,1.64,,
1984-06-15,1.69,1.69,1.69,1.69,704000,1.69,,
1984-06-18,1.74,1.74,1.74,1.74,480000,1.74,,
1984-06-19,1.86,1.86,1.86,1.86,1581000,1.86,,
1984-06-20,2.06,2.06,2.06,2.06,2273000,2.06,,
1984-06-21,2.04,2.04,2.04,2.04,2039000,2.04,,
1984-06-22,2.26,2.26,2.26,2.26,1199000,2.26,,
1984-06-25,2.24,2.24,2.24,2.24,1579000,2.24,,
1984-06-26,2.3,2.3,2.3,2.3,1040000,2.3,,
1984-06-27,2.24,2.24,2.24,2.24,1046000,2.24,,
1984-06-28,2.35,2.35,2.35,2.35,563000,2.35,,
1984-06-29,2.54,2.54,2.54,2.54,1019000,2.54,,
1984-07-02,2.48,2.48,2.48,2.48,940000,2.48,,
1984-07-03,2.53,2.53,2.53,2.53,339000,2.53,,
1984-07-05,2.65,2.65,2.65,2.65,1428000,2.65,,
1984-07-06,2.63,2.63,2.63,2.63,728000,2.63,,
1984-07-09,2.58,2.58,2.58,2.58,963000,2.58,,
1984-07-10,2.51,2.51,2.51,2.51,1938000,2.51,,
1984-07-11,2.4,2.4,2.4,2.4,980000,2.4,,
1984-07-12,2.34,2.34,2.34,2.34,1021000,2.34,,
1984-07-13,2.36,2.36,2.36,2.36,223000,2.36,,
1984-07-16,2.26,2.26,2.26,2.26,473000,2.26,,
1984-07-17,2.34,2.34,2.34,2.34,350000,2.34,,
1984-07-18,2.33,2.33,2.33,2.33,150000,2.33,,
1984-07-19,2.09,2.09,2.09,2.09,761000,2.09,,
1984-07-20,1.9,1.9,1.9,1.9,723000,1.9,,
1984-07-23,1.96,1.96,1.96,1.96,580000,1.96,,
1984-07-24,1.93,1.93,1.93,1.93,321000,1.93,,
1984-07-25,2.06,2.06,2.06,2.06,649000,2.06,,
1984-07-26,2.15,2.15,2.15,2.15,674000,2.15,,
1984-07-27,2.13,2.13,2.13,2.13,330000,2.13,,
1984-07-30,2.11,2.11,2.11,2.11,156000,2.11,,
1984-07-31,2.09,2.09,2.09,2.09,242000,2.09,,
1984-08-01,2.35,2.35,2.35,2.35,843000,2.35,,
1984-08-02,2.48,2.48,2.48,2.48,756000,2.48,,
1984-08-03,2.34,2.34,2.34,2.34,1030000,2.34,,
1984-08-06,2.29,2.29,2.29,2.29,1028000,2.29,,
1984-08-07,2.29,2.38,2.23,2.38,628000,2.32,,
1984-08-08,2.38,2.44,2.35,2.35,662000,2.38,,
1984-08-09,2.35,2.58,2.34,2.56,798000,2.4575,,
1984-08-10,2.59,2.74,2.59,2.68,1352000,2.65,,
1984-08-13,2.68,2.68,2.59,2.65,801000,2.65,,
1984-08-14,2.65,2.68,2.55,2.58,403000,2.615,,
1984-08-15,2.58,2.6,2.56,2.58,220000,2.58,,
1984-08-16,2.58,2.83,2.58,2.78,1096000,2.6925,,
1984-08-17,2.78,2.79,2.68,2.7,439000,2.7375,,
1984-08-20,2.7,2.8,2.68,2.78,350000,2.74,,
1984-08-21,2.81,3.05,2.81,3.03,1271000,2.925,,
1984-08-22,3.08,3.15,3.08,3.13,2068000,3.11,,
1984-08-23,3.13,3.35,3.13,3.3,2025000,3.2275,,
1984-08-24,3.3,3.46,3.3,3.4,1916000,3.365,,
1984-08-27,3.4,3.41,3.26,3.26,956000,3.3325,,
1984-08-28,3.26,3.31,3.15,3.29,1345000,3.2525,,
1984-08-29,3.29,3.33,3.15,3.21,1546000,3.245,,
1984-08-30,3.21,3.21,3.03,3.09,1008000,3.135,,
1984-08-31,3.09,3.13,3.05,3.13,384000,3.1,,
1984-09-04,3.14,3.41,3.14,3.39,1132000,3.27,,
1984-09-05,3.39,3.49,3.3,3.49,1808000,3.4175,,
1984-09-06,3.49,3.76,3.49,3.7,3009000,3.61,,
1984-09-07,3.71,3.83,3.71,3.75,2191000,3.75,,
1984-09-10,3.75,3.76,3.59,3.66,1856000,3.69,,
1984-09-11,3.68,3.79,3.68,3.75,1121000,3.725,,
1984-09-12,3.75,3.76,3.66,3.74,1148000,3.7275,,
1984-09-13,3.74,3.81,3.73,3.76,735000,3.76,,
