Date,Open,High,Low,Close,Volume,VWAP,EPS,PE
2012-07-20,9.19,10.34,8.85,8.85,42096396,9.3075,0.0001,88499.99999999999
2012-07-23,8.77,9.0,8.52,8.58,4730308,8.7175,0.0001,85800.0
2012-07-24,8.67,9.33,8.59,9.25,4300222,8.96,0.0001,92500.0
2012-07-25,9.42,9.83,9.22,9.82,3597650,9.5725,0.0001,98200.0
2012-07-26,9.96,10.31,9.68,9.98,2566808,9.9825,0.0001,99800.0
2012-07-27,10.15,10.15,9.5,9.5,920112,9.825,0.0001,95000.0
2012-07-30,9.48,9.48,8.99,9.17,1658358,9.28,0.0001,91700.0
2012-07-31,9.17,9.52,8.7,9.52,1712406,9.2275,0.0001,95199.99999999999
2012-08-01,9.79,9.79,9.19,9.36,664854,9.5325,0.0001,93599.99999999999
2012-08-02,9.28,10.0,8.88,9.18,995826,9.335,0.0001,91800.0
2012-08-03,9.44,9.48,9.04,9.13,1745058,9.2725,0.0001,91300.0
2012-08-06,9.28,9.32,8.95,9.13,937344,9.17,0.0001,91300.0
2012-08-07,9.17,9.57,9.09,9.47,2194394,9.325,0.0001,94700.0
2012-08-08,9.37,10.17,9.31,10.15,3023630,9.75,0.0001,101500.0
2012-08-09,10.17,10.41,9.98,10.22,1758780,10.195,0.0001,102200.0
2012-08-10,10.17,10.66,10.08,10.22,1710162,10.2825,0.0001,102200.0
2012-08-13,10.18,10.51,10.0,10.45,1331982,10.285,0.0001,104499.99999999999
2012-08-14,10.69,10.73,9.89,9.97,2841902,10.32,0.0001,99700.0
2012-08-15,9.93,10.48,9.62,10.45,1522416,10.12,0.0001,104499.99999999999
2012-08-16,10.58,11.15,10.31,11.08,2231180,10.78,0.0001,110800.0
2012-08-17,11.18,11.42,10.81,11.21,2307344,11.155,0.0001,112100.0
2012-08-20,11.13,11.19,10.83,10.91,1619922,11.015,0.0001,109100.0
2012-08-21,10.91,11.07,10.55,10.72,1485396,10.8125,0.0001,107200.0
2012-08-22,10.84,10.86,10.52,10.54,747912,10.69,0.0001,105399.99999999999
2012-08-23,10.53,10.81,10.42,10.69,1291218,10.6125,0.0001,106899.99999999999
2012-08-24,10.57,10.96,10.54,10.79,1217250,10.715,0.0001,107899.99999999999
2012-08-27,10.84,10.97,10.44,10.61,1061652,10.715,0.0001,106099.99999999999
2012-08-28,10.62,10.73,10.48,10.65,624912,10.62,0.0001,106500.0
2012-08-29,10.7,10.85,10.52,10.79,971934,10.715,0.0001,107899.99999999999
2012-08-30,10.78,11.11,10.54,10.57,1379124,10.75,0.0001,105700.0
2012-08-31,10.75,10.76,10.52,10.73,553416,10.69,0.0001,107300.0
2012-09-04,10.88,11.71,10.65,11.7,4606810,11.235,0.0001,116999.99999999999
2012-09-05,12.1,12.1,11.52,11.67,2837852,11.8475,0.0001,116700.0
2012-09-06,11.78,12.0,11.73,11.9,1348398,11.8525,0.0001,119000.0
2012-09-07,12.03,12.04,11.56,11.79,3541022,11.855,0.0001,117899.99999999999
2012-09-10,11.92,12.1,11.85,11.96,8309336,11.9575,0.0001,119600.0
2012-09-11,11.12,11.62,10.72,11.1,18155022,11.14,0.0001,110999.99999999999
